1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,119.482512,62.505535,-186.766179,-3.345004,-2.643637,-1.488033,4.131603,2.877333,1.574484,-4.550110,-0.079410,0.407219,0.003860,112.803623,188.495734,1176.909953,1.008680,0
0.001042,44.247609,116.849697,-185.964169,-3.378782,-1.102458,-3.027799,4.034949,1.361879,3.100131,-4.405412,-0.013779,0.386412,-0.025873,38.611264,188.495674,1177.542286,1.418452,0
0.002083,-23.348544,163.677052,-157.954566,-2.804557,0.438720,-4.118120,3.397039,-0.186923,4.079014,-3.708576,-0.042949,0.401018,-0.025873,-27.959210,188.495671,1176.925722,2.499686,0
0.003125,-80.718265,179.415366,-90.184693,-1.498478,2.100991,-4.401104,1.947241,-1.883935,4.458221,-2.303483,0.008098,0.395231,-0.044457,-81.999168,188.495691,1176.928206,2.736011,0
0.004167,-135.353404,180.425437,-16.509107,-0.091066,3.381637,-4.242965,0.543837,-3.173368,4.189248,-0.932660,0.048206,0.403292,-0.022156,-134.417927,188.495656,1176.876336,3.414622,0
0.005208,-168.609084,134.044392,49.717504,1.215013,4.097185,-3.235875,-1.037408,-3.855137,3.153043,0.731367,0.044560,0.401501,-0.018440,-168.586943,188.495638,1178.054066,3.656063,0
0.006250,-194.135616,59.228678,101.945389,2.228350,4.526513,-1.929155,-2.649583,-4.299769,1.847866,2.212618,0.124775,0.405221,-0.011006,-187.782386,188.495660,1178.450894,4.824169,0
0.007292,-164.642811,-2.503095,155.048194,3.286724,3.968753,-0.385228,-3.465336,-3.762505,0.273716,3.141731,0.091960,0.394128,-0.003573,-158.082926,188.495756,1178.916262,5.485276,0
0.008333,-119.036312,-62.872447,186.338749,3.894726,3.047715,1.491622,-4.165105,-2.788020,-1.569407,3.724331,0.106545,0.393715,-0.007290,-112.543003,188.495647,1178.829420,5.848298,0
0.009375,-43.564111,-117.416274,185.876985,3.905986,1.561579,2.977288,-4.056853,-1.279976,-3.174422,3.594864,0.102898,0.399020,-0.029590,-38.497002,188.495712,1180.020315,6.554871,0
0.010417,23.749545,-163.703359,157.964595,3.376799,-0.078675,4.092578,-3.449871,0.254004,-4.126849,2.917068,0.121129,0.395644,-0.037023,27.983405,188.495673,1179.781196,7.335555,0
0.011458,80.938467,-179.641338,90.887367,2.036942,-1.704252,4.421339,-2.038735,1.984364,-4.475190,1.500551,0.081021,0.409217,-0.033307,82.451180,188.495716,1179.849544,7.694288,0
0.012500,135.777004,-180.357783,17.795062,0.640789,-3.036271,4.254877,-0.608268,3.244154,-4.210627,0.125920,0.048206,0.406875,-0.014723,135.072589,188.495720,1179.864910,7.189124,0
0.013542,168.930985,-134.505264,-48.893312,-0.608994,-3.711454,3.222818,0.972977,3.962976,-3.200879,-1.538107,0.008098,0.407633,-0.007290,169.297896,188.495644,1180.518736,7.211213,0
0.014583,193.915120,-60.100625,-102.069027,-1.678627,-4.170138,1.924421,2.585152,4.355734,-1.864835,-3.061243,-0.017425,0.412042,0.003860,187.952940,188.495602,1180.465517,7.295610,0
0.015625,164.738713,1.607658,-155.390563,-2.725742,-3.561005,0.434593,3.393172,3.848113,-0.308323,-3.914200,-0.046595,0.411284,-0.011006,158.579971,188.495725,1180.585441,7.908376,0
0.016667,119.640711,62.529025,-186.474539,-3.367522,-2.680332,-1.492195,4.143201,2.881038,1.543618,-4.492992,-0.057533,0.410527,-0.011006,113.253956,188.495852,1179.780855,8.326425,0
0.017708,45.049904,117.425203,-185.842652,-3.378782,-1.157500,-3.036122,3.980824,1.343353,3.091312,-4.340678,-0.050241,0.410940,-0.037023,39.669546,188.495644,1179.066462,7.933274,0
0.018750,-22.647949,163.935443,-157.747987,-2.849594,0.438720,-4.118120,3.393172,-0.212859,4.114289,-3.666690,-0.017425,0.411560,-0.003573,-27.373777,188.571067,1179.080681,7.062928,0
0.019792,-81.000763,179.274426,-90.695063,-1.464701,2.093653,-4.426073,2.009099,-1.895051,4.431764,-2.273020,-0.010133,0.407082,-0.011006,-82.314401,188.495749,1178.717914,6.601357,0
0.020833,-136.302598,179.932146,-17.444786,-0.068547,3.414663,-4.209673,0.574766,-3.102968,4.153973,-0.898389,-0.006487,0.408735,-0.018440,-135.138460,188.495687,1177.754427,6.548777,0
0.021875,-169.117581,134.349762,49.352954,1.203754,4.082507,-3.260845,-1.018078,-3.806968,3.095721,0.761830,0.066437,0.406944,0.007577,-169.093567,188.495642,1177.011598,5.811947,0
0.022917,-194.090416,60.062573,102.467911,2.250869,4.537521,-1.949963,-2.661182,-4.284948,1.839047,2.281159,0.095606,0.408597,0.003860,-187.714836,188.571198,1177.449488,4.957389,0
0.023958,-164.303813,-2.139000,155.728688,3.297983,3.939397,-0.422682,-3.430541,-3.721747,0.269306,3.111268,0.084667,0.418037,-0.003573,-157.745176,188.495633,1176.806918,4.892136,0
0.025000,-119.002412,-63.048622,186.691147,3.883467,3.047715,1.491622,-4.153506,-2.739851,-1.569407,3.720523,0.106545,0.413420,-0.014723,-111.754920,188.495571,1176.513327,4.534825,0
0.026042,-44.196906,-117.921310,185.767620,3.928504,1.484520,3.002257,-4.033657,-1.246629,-3.090644,3.552978,0.110191,0.411216,-0.007290,-37.731436,188.495537,1175.394539,4.682497,0
0.027083,23.625245,-164.067454,157.697258,3.376799,-0.060328,4.105062,-3.403478,0.316994,-4.148896,2.882798,0.084667,0.410733,-0.011006,28.929105,188.495638,1175.408011,3.676579,0
0.028125,81.458263,-179.641338,89.927385,2.003164,-1.748286,4.421339,-2.034869,2.017711,-4.475190,1.439626,0.066437,0.406806,-0.040740,83.228004,188.495649,1175.167217,3.067056,0
0.029167,136.342000,-179.911473,16.494833,0.584492,-3.032601,4.229908,-0.616001,3.236744,-4.223856,0.084034,0.029975,0.403843,-0.040740,135.579214,188.495669,1175.131676,3.165862,0
0.030208,169.224783,-133.542173,-49.804688,-0.654031,-3.704115,3.235303,0.996174,3.955566,-3.134738,-1.583801,0.019036,0.405015,-0.025873,169.725712,188.495651,1174.588687,2.588845,0
0.031250,193.971620,-58.761694,-102.299909,-1.701146,-4.144451,1.895290,2.619947,4.337208,-1.798695,-3.080283,-0.035656,0.406599,0.007577,187.941681,188.495624,1174.110739,2.091373,0
0.032292,163.913818,3.240215,-155.645748,-2.703224,-3.572014,0.338878,3.451164,3.818471,-0.215726,-3.967510,-0.035656,0.413076,0.003860,157.803146,188.495683,1174.177129,1.153246,0
0.033333,118.250820,63.914937,-186.182899,-3.367522,-2.625290,-1.579587,4.147067,2.855101,1.618578,-4.557725,-0.046595,0.411836,-0.018440,111.497657,188.495743,1174.869471,0.660529,0
0.034375,42.857718,118.165138,-185.818349,-3.401300,-1.076772,-3.065253,3.988556,1.328532,3.175090,-4.378757,-0.061180,0.402190,-0.014723,37.260265,188.495698,1175.861681,0.629782,0
0.035417,-24.885334,163.312957,-157.468499,-2.838335,0.508440,-4.109797,3.358377,-0.242502,4.101061,-3.697153,0.008098,0.397091,0.003860,-29.242659,188.495828,1175.869617,1.127971,0
0.036458,-81.690059,180.155301,-88.191818,-1.453441,2.123008,-4.438557,1.958840,-1.954335,4.453811,-2.284444,-0.006487,0.401363,0.003860,-82.809767,188.495752,1176.527025,1.378141,0
0.037500,-136.008800,179.685501,-15.585580,-0.079807,3.399985,-4.276258,0.528373,-3.151136,4.202476,-0.860311,0.033621,0.402327,-0.025873,-135.037135,188.495754,1177.229438,1.243242,0
0.038542,-169.784277,132.529286,50.385846,1.237532,4.137549,-3.235875,-1.095400,-3.892189,3.117768,0.811332,0.070083,0.400674,-0.051890,-170.163108,188.495747,1178.363488,1.238369,0
0.039583,-193.875717,57.901491,102.735247,2.250869,4.544860,-1.883378,-2.707575,-4.259011,1.772906,2.307814,0.095606,0.405979,-0.033307,-187.298278,188.495597,1177.701542,0.885548,0
0.040625,-163.738817,-3.853772,156.275513,3.320502,3.939397,-0.339451,-3.496265,-3.721747,0.198756,3.164578,0.095606,0.419690,-0.029590,-157.497493,188.495653,1178.207581,0.389553,0
0.041667,-117.917619,-64.164398,185.804075,3.860949,2.974326,1.570691,-4.234695,-2.728736,-1.653185,3.785256,0.139360,0.402672,-0.037023,-111.259554,188.495606,1178.922997,-0.203927,0
0.042708,-42.366319,-118.684735,185.949895,3.905986,1.444156,3.048034,-4.006594,-1.220692,-3.187650,3.625327,0.106545,0.407219,0.018727,-37.281103,188.495741,1180.461425,-0.457040,0
0.043750,25.297634,-163.480204,157.454225,3.388058,-0.111701,4.125870,-3.415076,0.339225,-4.175352,2.856143,0.099252,0.407564,-0.022156,29.323146,188.495649,1180.348066,-0.599548,0
0.044792,81.876360,-180.604428,88.809432,2.003164,-1.744616,4.413016,-1.976877,2.021416,-4.488419,1.496743,0.077375,0.406875,0.018727,83.284296,188.495548,1181.036373,0.295620,0
0.045833,136.285501,-179.500397,16.883687,0.629529,-3.058287,4.213262,-0.546410,3.255270,-4.192990,0.053571,0.044560,0.408804,0.000144,135.748089,188.495647,1180.721158,-0.387696,0
0.046875,170.207877,-132.990158,-49.452289,-0.654031,-3.715123,3.202010,1.081229,4.014850,-3.143557,-1.656150,0.000805,0.406806,-0.029590,170.896578,188.495575,1181.766168,-1.226530,0
0.047917,193.587422,-58.843909,-102.773824,-1.712405,-4.144451,1.899452,2.623813,4.370555,-1.811923,-3.072667,-0.002841,0.414523,-0.003573,187.356249,188.420269,1182.137087,-0.896592,0
0.048958,164.015518,2.899609,-156.630033,-2.759520,-3.586691,0.334717,3.470495,3.844408,-0.233363,-3.971318,-0.042949,0.415487,-0.018440,158.050830,188.495678,1182.690591,-0.565168,0
0.050000,118.623718,63.738761,-185.988472,-3.345004,-2.632629,-1.550456,4.112272,2.855101,1.600940,-4.512031,-0.024718,0.411491,0.000144,112.105607,188.495727,1182.084801,-0.434118,0
0.051042,43.931211,118.576214,-185.927714,-3.367522,-1.087780,-3.098545,3.969225,1.324826,3.130996,-4.374949,-0.006487,0.412456,0.000144,38.296031,188.495600,1181.877468,-0.326849,0
0.052083,-24.320338,163.735777,-157.213314,-2.827076,0.464407,-4.113958,3.346779,-0.249912,4.070195,-3.636227,-0.035656,0.409769,0.007577,-28.893651,188.420256,1181.045518,-0.763749,0
0.053125,-81.870858,180.284497,-88.592824,-1.430923,2.159703,-4.409427,1.931777,-1.983977,4.444993,-2.246365,0.011744,0.407150,0.007577,-83.136259,188.495642,1180.990337,-1.492999,0
0.054167,-136.844994,179.297916,-16.569865,-0.068547,3.414663,-4.226319,0.532239,-3.154841,4.127517,-0.822232,0.055498,0.405152,-0.022156,-135.735151,188.495580,1180.270338,-2.345408,0
0.055208,-170.383173,132.787676,49.948385,1.181235,4.078837,-3.210906,-1.114731,-3.862547,3.135406,0.826563,0.055498,0.409217,-0.007290,-170.613441,188.495676,1180.301405,-2.390336,0
0.056250,-193.751418,58.700152,103.306376,2.239609,4.552199,-1.845925,-2.657315,-4.273832,1.711175,2.288774,0.059144,0.408322,-0.025873,-187.118145,188.495685,1180.214022,-2.923843,0
0.057292,-163.569318,-3.383971,156.919551,3.297983,3.943067,-0.322805,-3.515596,-3.732863,0.167890,3.187425,0.110191,0.409562,-0.033307,-157.294843,188.495676,1180.662039,-3.378559,0
0.058333,-117.940219,-64.187888,186.059260,3.917245,2.966987,1.537399,-4.226963,-2.721325,-1.644366,3.716715,0.110191,0.412662,-0.018440,-110.584054,188.495671,1179.851437,-3.234799,0
0.059375,-42.818316,-119.248496,185.767620,3.872208,1.451495,3.031388,-4.029790,-1.202166,-3.161194,3.572017,0.113837,0.413145,0.029877,-36.346662,188.495635,1179.081482,-3.369143,0
0.060417,25.342834,-163.856044,157.138281,3.376799,-0.075006,4.080093,-3.391880,0.320699,-4.122440,2.787602,0.135714,0.408873,0.000144,30.358912,188.495721,1177.906830,-3.299744,0
0.061458,82.497856,-180.533958,87.740084,1.969386,-1.803328,4.408854,-1.930484,2.054764,-4.470781,1.439626,0.084667,0.405428,-0.040740,84.049862,188.495691,1177.479836,-3.818133,0
0.062500,136.884397,-179.018852,15.692823,0.595751,-3.058287,4.229908,-0.561875,3.266386,-4.197399,0.064995,0.037267,0.403981,0.011294,136.130872,188.495720,1177.611010,-3.289854,0
0.063542,170.479075,-131.956597,-50.521636,-0.665290,-3.722462,3.160395,1.077363,3.988913,-3.139147,-1.656150,0.011744,0.402465,-0.011006,171.211811,188.495615,1177.232523,-2.754527,0
0.064583,193.542222,-57.352293,-103.308498,-1.712405,-4.140782,1.861998,2.619947,4.366850,-1.772238,-3.103130,-0.032010,0.406393,-0.003573,187.277440,188.495734,1177.139918,-2.965690,0
0.065625,163.394022,4.485186,-156.873067,-2.782039,-3.513302,0.239002,3.493692,3.799944,-0.171632,-3.986549,-0.028364,0.405910,-0.037023,157.409105,188.495665,1176.739348,-3.448900,0
0.066667,117.301626,65.065948,-185.551012,-3.345004,-2.606942,-1.621202,4.123870,2.780996,1.627396,-4.534878,-0.035656,0.416039,-0.003573,110.394341,188.495522,1176.376311,-3.821814,0
0.067708,41.501727,119.480579,-185.842652,-3.345004,-1.065764,-3.073576,3.969225,1.298889,3.179499,-4.363525,-0.013779,0.399778,-0.029590,35.954299,188.495738,1176.504662,-3.730788,0
0.068750,-26.557723,163.160272,-156.727247,-2.804557,0.479084,-4.147250,3.319716,-0.283260,4.083423,-3.624804,-0.002841,0.429405,-0.003573,-30.706241,188.495647,1176.381897,-3.642487,0
0.069792,-82.831351,181.047922,-86.053124,-1.419663,2.214745,-4.409427,1.889249,-1.991387,4.524361,-2.238750,0.004452,0.404808,0.011294,-83.879308,188.495758,1177.298134,-2.990198,0
0.070833,-136.630296,178.593215,-14.552688,-0.000992,3.451357,-4.209673,0.501310,-3.151136,4.167201,-0.837464,0.037267,0.403016,-0.022156,-135.723893,188.495635,1177.429277,-2.064655,0
0.071875,-171.174167,130.884984,51.066339,1.192494,4.126540,-3.144322,-1.130196,-3.877368,3.113359,0.841795,0.062790,0.400881,-0.029590,-171.559140,188.495707,1177.364690,-1.748108,0
0.072917,-193.559319,56.750480,103.670926,2.239609,4.515505,-1.854248,-2.676646,-4.273832,1.702356,2.281159,0.091960,0.414454,0.000144,-186.645295,188.495656,1177.065590,-1.192150,0
0.073958,-163.117321,-5.004783,157.502832,3.297983,3.921050,-0.281190,-3.561989,-3.743979,0.123797,3.217888,0.113837,0.407633,-0.033307,-157.148485,188.495687,1177.503272,-1.226884,0
0.075000,-116.878026,-65.350644,185.232946,3.838430,2.937631,1.566529,-4.199900,-2.710209,-1.666413,3.720523,0.143006,0.408184,-0.011006,-110.066171,188.495651,1177.287653,-1.064371,0
0.076042,-41.055527,-119.988431,185.949895,3.917245,1.436817,3.068842,-4.049121,-1.202166,-3.178832,3.613903,0.091960,0.387032,-0.037023,-35.997654,188.495593,1177.946222,-0.499859,0
0.077083,26.777925,-163.245304,156.810186,3.354280,-0.141056,4.088416,-3.391880,0.357752,-4.144487,2.837104,0.081021,0.418243,-0.011006,30.707920,188.495584,1178.489333,-0.300626,0
0.078125,82.893354,-181.497049,86.731496,1.980645,-1.803328,4.433823,-1.949814,2.091816,-4.567788,1.470088,0.081021,0.401776,-0.003573,84.229995,188.495582,1180.161502,-0.040530,0
