1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,-151.387998,166.437130,-2.680505,0.201676,4.706317,-5.087756,0.021910,-4.525790,5.093172,-0.232017,0.066437,0.462270,-0.040740,-152.172305,188.495960,1610.460578,-15.173072,0
0.001042,-186.598565,117.988963,59.815543,1.395162,5.686066,-3.751905,-2.131522,-5.403938,3.585163,1.866104,0.117483,0.459239,-0.007290,-180.318117,188.571494,1610.403847,-14.412505,0
0.002083,-189.446147,41.012167,118.301539,2.566129,5.686066,-1.700271,-4.072318,-5.529917,1.530390,3.770025,0.132068,0.461099,-0.003573,-185.204230,188.571446,1610.284013,-14.667776,0
0.003125,-162.631424,-23.961229,165.206991,3.444354,5.120968,0.405463,-5.348140,-4.933369,-0.533201,4.840028,0.153945,0.475224,-0.022156,-155.065695,188.571599,1609.555963,-15.212474,0
0.004167,-95.114370,-77.706395,192.037883,4.063616,3.410993,2.777534,-5.800476,-3.280820,-2.980409,5.449283,0.157591,0.473983,0.003860,-85.230307,188.496033,1609.098748,-15.037811,0
0.005208,-26.297825,-134.000228,186.982787,3.928504,1.557909,4.479600,-5.390667,-1.394840,-4.528103,4.878107,0.146652,0.480391,-0.022156,-21.575740,188.646864,1608.057544,-14.824235,0
0.006250,37.863151,-176.376225,138.011550,2.960204,-0.632766,5.557436,-4.126444,0.895015,-5.674543,3.632943,0.117483,0.460548,-0.029590,40.086104,188.496056,1607.539520,-14.304368,0
0.007292,90.780702,-196.941737,63.655471,1.541533,-2.940864,5.865389,-2.197246,3.062596,-5.833281,1.610979,0.106545,0.463166,-0.014723,92.065789,188.571413,1607.044679,-13.929277,0
0.008333,151.224002,-166.392966,1.523974,0.336788,-4.412323,5.058053,0.014178,4.633629,-5.092504,-0.586146,0.055498,0.452280,0.011294,152.432926,188.496049,1606.577788,-13.412594,0
0.009375,186.298970,-117.228354,-59.975637,-0.845439,-5.322352,3.738848,2.144414,5.511778,-3.632998,-2.684267,0.044560,0.456758,-0.029590,180.635029,188.646869,1606.918664,-13.127020,0
0.010417,189.462949,-39.805247,-118.012021,-1.993888,-5.395742,1.683052,4.058146,5.604409,-1.573816,-4.599611,-0.010133,0.462615,0.011294,185.554917,188.571458,1606.759836,-12.925797,0
0.011458,162.343129,24.792308,-164.917473,-2.928410,-4.852660,-0.397712,5.295307,4.955988,0.472138,-5.688654,-0.046595,0.463717,-0.018440,155.450157,188.571467,1606.876241,-12.755438,0
0.012500,94.826075,77.762304,-192.404555,-3.457597,-3.183049,-2.753138,5.794037,3.351607,2.967849,-6.248407,-0.064826,0.468403,-0.048173,86.324043,188.496272,1607.386971,-13.411756,0
0.013542,26.992623,133.997412,-186.438084,-3.322485,-1.293271,-4.500980,5.469282,1.469332,4.550818,-5.700078,-0.039302,0.478255,-0.018440,23.322459,188.646884,1607.584756,-13.889936,0
0.014583,-36.976254,177.078109,-137.734184,-2.387963,0.963455,-5.599624,4.177996,-0.779765,5.701667,-4.432066,-0.021072,0.471848,-0.025873,-38.902301,188.496020,1607.611271,-15.024758,0
0.015625,-90.854298,196.292945,-64.423149,-1.003069,3.242198,-5.861800,2.167610,-2.988104,5.833948,-2.402487,-0.002841,0.462546,-0.022156,-91.940269,188.571581,1607.734611,-15.884381,0
0.016667,-152.111193,166.343170,-1.987859,0.235454,4.709987,-5.050302,-0.070877,-4.559137,5.040259,-0.140629,0.051852,0.455518,-0.011006,-152.487538,188.495899,1607.661165,-17.036175,0
0.017708,-186.090069,117.284262,60.398823,1.383902,5.623685,-3.664513,-2.181782,-5.422464,3.532250,1.953684,0.084667,0.455725,-0.059323,-179.901559,188.646607,1607.591441,-18.158630,0
0.018750,-189.525246,39.602766,118.653937,2.588648,5.678727,-1.625364,-4.103247,-5.552149,1.517162,3.857605,0.117483,0.459377,-0.022156,-185.373105,188.495993,1608.476402,-18.423654,0
0.019792,-161.998628,-25.687745,164.757380,3.489392,5.106290,0.484532,-5.355872,-4.874085,-0.542020,4.897146,0.161237,0.452693,-0.029590,-154.153771,188.571413,1608.248405,-18.501033,0
0.020833,-93.204683,-78.058745,193.034320,4.074875,3.425671,2.835796,-5.858468,-3.217831,-2.993638,5.460707,0.150299,0.450626,0.007577,-84.172025,188.496056,1608.069506,-18.601914,0
0.021875,-24.919234,-134.164659,186.411659,3.894726,1.554240,4.525377,-5.464123,-1.365197,-4.558969,4.878107,0.157591,0.455863,-0.040740,-21.305540,188.646820,1608.022688,-18.568574,0
0.022917,38.021350,-177.538981,137.598393,2.881389,-0.687808,5.603213,-4.157373,0.906131,-5.687771,3.629135,0.124775,0.456001,-0.025873,39.793388,188.571453,1608.478017,-18.489794,0
0.023958,90.927601,-196.366232,64.117235,1.541533,-2.933525,5.890358,-2.216577,3.095944,-5.842099,1.584324,0.073729,0.462064,-0.014723,92.471089,188.571346,1608.543957,-19.170357,0
0.025000,152.071497,-166.510416,2.192316,0.359306,-4.434340,5.128799,0.014178,4.663272,-5.101323,-0.608993,0.066437,0.461030,-0.025873,153.142200,188.495957,1609.184646,-19.663627,0
0.026042,185.903473,-117.545469,-60.157912,-0.856698,-5.351708,3.738848,2.156012,5.489546,-3.571267,-2.653804,0.015390,0.461513,0.003860,180.139663,188.646956,1608.319117,-19.899851,0
0.027083,189.881047,-40.709613,-118.728969,-2.016406,-5.425097,1.691375,4.062012,5.630346,-1.591454,-4.580572,-0.032010,0.459790,-0.007290,185.858891,188.571527,1608.946584,-19.645103,0
0.028125,162.399628,24.392978,-164.808108,-2.917150,-4.808626,-0.406035,5.252779,4.955988,0.480957,-5.665807,-0.032010,0.478600,-0.014723,154.977307,188.571429,1608.677638,-19.805244,0
0.029167,94.769575,77.832774,-192.538223,-3.491375,-3.197727,-2.757300,5.790171,3.344197,2.910527,-6.240791,-0.086703,0.474052,-0.025873,85.333311,188.496138,1608.274787,-19.252744,0
0.030208,26.348527,134.103117,-186.243657,-3.356263,-1.311618,-4.459365,5.434487,1.461921,4.519952,-5.627729,-0.032010,0.477773,-0.018440,21.982718,188.646840,1607.102207,-19.131194,0
0.031250,-37.857648,177.113344,-137.138752,-2.421741,0.934099,-5.549686,4.104540,-0.809407,5.653164,-4.432066,-0.039302,0.464337,-0.029590,-39.757934,188.571415,1606.546097,-18.839848,0
0.032292,-91.102897,196.469121,-63.122920,-0.958032,3.227520,-5.807701,2.132815,-2.969578,5.758989,-2.394871,0.000805,0.457379,-0.007290,-92.097885,188.571453,1605.468386,-18.324894,0
0.033333,-151.760896,166.014309,-0.821299,0.246713,4.702648,-5.050302,-0.097940,-4.522085,5.053488,-0.216786,0.040913,0.453245,-0.040740,-152.251114,188.496091,1605.081623,-16.721267,0
0.034375,-186.169168,116.391642,60.824132,1.428940,5.634694,-3.668674,-2.197246,-5.363180,3.527841,1.877527,0.088314,0.454623,-0.025873,-179.969109,188.722268,1603.949107,-15.395459,0
0.035417,-189.378347,38.874575,118.666089,2.588648,5.645702,-1.654494,-4.083916,-5.563265,1.574484,3.754794,0.117483,0.459928,-0.029590,-185.159197,188.571478,1603.326646,-13.591057,0
0.036458,-161.863029,-25.558550,165.085475,3.466873,5.073264,0.392978,-5.266951,-4.885201,-0.480289,4.840028,0.124775,0.462822,-0.007290,-154.514037,188.571480,1602.817358,-12.511697,0
0.037500,-94.040877,-78.152705,192.523949,3.996060,3.425671,2.794181,-5.831405,-3.232652,-2.945134,5.403589,0.157591,0.479151,-0.029590,-85.174016,188.496109,1601.988406,-12.056397,0
0.038542,-25.970127,-134.587479,186.411659,3.894726,1.623960,4.517054,-5.433194,-1.424482,-4.545741,4.832413,0.132068,0.476119,0.026161,-22.149914,188.722322,1601.712114,-11.735514,0
0.039583,38.032650,-177.033945,137.768517,2.960204,-0.651113,5.549113,-4.145774,0.872784,-5.643677,3.617711,0.124775,0.473157,-0.011006,39.838421,188.496111,1600.914579,-11.391375,0
0.040625,91.458697,-196.342742,64.445330,1.541533,-2.907839,5.857066,-2.208845,3.029249,-5.802415,1.607171,0.088314,0.468471,-0.025873,92.853872,188.571433,1600.266072,-10.499841,0
