1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,135.336307,-185.654783,24.101780,0.787160,-1.869378,6.522911,-3.960200,1.910258,-6.587285,3.339739,0.099252,0.618053,0.015011,136.018288,188.344898,1639.385490,879.046866,0
0.001042,167.789693,-154.812386,-52.344387,-0.665290,-4.038037,6.564526,-1.853161,4.044492,-6.459413,1.142614,0.044560,0.619500,0.003860,164.175358,188.420336,1639.323869,880.790151,0
0.002083,187.304664,-77.929550,-108.205622,-1.779961,-5.725994,5.399298,0.899521,5.808199,-5.321792,-1.606648,-0.002841,0.615022,0.018727,187.232407,188.420215,1638.449491,881.499236,0
0.003125,179.643314,-3.748066,-153.118200,-2.669446,-6.437872,3.713879,3.068418,6.445505,-3.641817,-3.647651,-0.021072,0.619638,-0.007290,171.313136,188.495649,1637.931875,882.608009,0
0.004167,133.392720,65.559238,-182.889796,-3.254929,-6.100280,1.133730,5.121331,6.175020,-0.912408,-5.768619,-0.068472,0.632591,0.003860,125.108972,188.344869,1636.809161,883.376934,0
0.005208,54.711340,118.987289,-194.907799,-3.480115,-5.025125,-1.521325,6.362358,5.033798,1.671490,-6.789120,-0.097641,0.623152,0.015011,48.214615,188.420211,1636.726633,884.380672,0
0.006250,-15.415997,167.541161,-161.952466,-2.872113,-3.109660,-3.743582,6.459011,3.118175,4.012873,-6.933818,-0.075764,0.630386,0.007577,-21.800906,188.420236,1636.399749,884.472683,0
0.007292,-85.950131,181.447253,-110.344316,-1.836257,-0.676799,-5.641239,5.666455,0.713457,5.728123,-6.050399,-0.083057,0.616400,0.022444,-88.664096,188.495691,1635.931015,886.124366,0
0.008333,-135.183905,185.440556,-24.225419,-0.226178,1.800095,-6.527645,3.961493,-1.780187,6.618819,-4.386372,-0.035656,0.620051,-0.007290,-135.419918,188.420169,1635.276132,887.141546,0
0.009375,-167.784190,155.067960,52.342265,1.237532,3.979762,-6.527645,1.842856,-3.914421,6.473309,-2.170208,0.029975,0.620120,0.007577,-163.835930,188.420307,1635.025287,888.124913,0
0.010417,-187.242661,78.525729,108.434381,2.307165,5.634694,-5.395709,-0.890496,-5.659602,5.362144,0.579053,0.037267,0.615160,0.011294,-186.611520,188.420238,1634.502541,888.585359,0
0.011458,-179.897710,4.132835,153.043168,3.196650,6.397944,-3.739420,-3.028464,-6.322844,3.704216,2.608633,0.091960,0.622945,0.018727,-171.176357,188.495665,1634.231003,889.703893,0
0.012500,-133.760115,-65.256684,182.766157,3.804652,6.064022,-1.101011,-5.077511,-6.022718,0.948351,4.702946,0.161237,0.630249,0.022444,-125.186101,188.495553,1633.745260,889.895201,0
0.013542,-54.412039,-119.119301,195.075800,4.029838,5.003544,1.487460,-6.345600,-4.918548,-1.516494,5.769142,0.146652,0.633280,0.011294,-47.559953,188.420260,1632.646501,891.134359,0
0.014583,15.421500,-167.414782,162.132619,3.399317,3.106427,3.743009,-6.449986,-3.028862,-3.906380,5.993805,0.139360,0.634658,-0.007290,21.937685,188.495622,1632.085516,892.145899,0
0.015625,85.876534,-181.508794,110.803957,2.408499,0.636872,5.611536,-5.661296,-0.605618,-5.678952,5.060883,0.132068,0.633074,-0.003573,89.071075,188.495707,1631.915644,892.882632,0
0.016667,134.873010,-185.419883,24.891638,0.787160,-1.751955,6.489619,-4.060719,1.843564,-6.503507,3.400664,0.102898,0.617778,0.026161,135.590472,188.495595,1630.560303,893.358075,0
0.017708,167.880092,-155.293932,-51.554528,-0.665290,-3.924283,6.527072,-1.934350,3.966681,-6.463822,1.249234,0.059144,0.621292,0.041027,164.029000,188.495664,1629.754460,894.618127,0
0.018750,186.253771,-79.703047,-108.023347,-1.689887,-5.619579,5.440913,0.760340,5.700746,-5.405570,-1.480989,0.004452,0.616262,0.041027,186.151608,188.495615,1628.281341,895.965719,0
0.019792,180.310010,-4.570217,-152.583527,-2.624408,-6.434202,3.788786,2.909907,6.401042,-3.699139,-3.548647,-0.028364,0.630111,0.007577,172.067444,188.495658,1627.184476,896.603888,0
0.020833,134.635712,65.394808,-181.650325,-3.254929,-6.114958,1.246092,4.970552,6.156494,-1.027052,-5.635344,-0.104934,0.630662,0.022444,126.009638,188.495683,1625.112940,897.493072,0
0.021875,55.208537,118.529234,-195.235894,-3.513893,-5.080167,-1.413126,6.261838,5.096788,1.552437,-6.716772,-0.126811,0.637070,0.029877,48.676206,188.495649,1623.820307,898.786939,0
0.022917,-14.557202,166.531090,-162.025376,-2.872113,-3.205066,-3.602090,6.401019,3.203396,3.858545,-6.945242,-0.075764,0.625701,0.018727,-20.630040,188.495734,1622.188235,900.028533,0
0.023958,-85.283435,181.893563,-110.757473,-1.858776,-0.761197,-5.566332,5.736045,0.806089,5.661982,-6.096093,-0.086703,0.619018,0.033594,-88.213763,188.495707,1621.563471,901.276600,0
0.025000,-134.426810,184.818071,-25.319069,-0.226178,1.642307,-6.423607,4.089075,-1.576398,6.530631,-4.477761,-0.032010,0.620327,0.033594,-134.857002,188.495647,1618.912154,902.943007,0
0.026042,-168.360486,155.666955,51.357979,1.248791,3.843991,-6.477707,1.962706,-3.769916,6.490947,-2.295867,0.008098,0.620396,0.037311,-163.925996,188.495702,1617.629435,904.861939,0
0.027083,-185.084375,80.792516,108.604505,2.329684,5.465898,-5.379063,-0.716520,-5.489159,5.419466,0.438163,0.037267,0.619845,0.015011,-184.708864,188.495660,1614.985779,905.852632,0
0.028125,-180.846903,4.978476,152.496343,3.140353,6.313546,-3.806005,-2.877685,-6.226507,3.739491,2.467743,0.113837,0.606203,0.026161,-172.437290,188.495794,1613.016819,906.246392,0
0.029167,-135.330804,-65.491585,180.700373,3.793393,5.997972,-1.279957,-4.899669,-5.952318,1.098270,4.550632,0.121129,0.627975,-0.007290,-126.221867,188.495770,1610.020723,907.050139,0
0.030208,-55.135234,-118.579030,195.744142,4.018579,5.003544,1.400068,-6.241215,-4.933369,-1.428306,5.696793,0.139360,0.628044,0.044744,-48.235452,188.571143,1608.979419,907.489565,0
0.031250,14.370606,-166.111086,162.047557,3.410576,3.223850,3.534933,-6.399726,-3.140020,-3.690320,5.902416,0.146652,0.623359,0.026161,20.665494,188.495678,1605.580307,908.503334,0
0.032292,84.735242,-182.401415,111.302176,2.408499,0.816676,5.490852,-5.734752,-0.746418,-5.564308,5.091346,0.124775,0.633900,0.011294,88.215442,188.495716,1604.255796,910.052092,0
0.033333,134.059416,-184.597732,26.264777,0.809678,-1.553803,6.360611,-4.126444,1.639774,-6.477051,3.533939,0.117483,0.621292,0.015011,134.937489,188.495591,1602.382285,912.330774,0
