1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,88.678915,104.259046,-183.594593,-3.311226,-5.575546,-0.360259,5.921619,5.708157,0.577963,-6.343603,-0.086703,0.597452,-0.018440,78.206791,188.721878,1580.716998,909.894280,0
0.001042,9.669838,146.000812,-181.443747,-3.266189,-4.170138,-2.740653,6.551798,4.144534,2.848796,-6.834815,-0.108580,0.633900,-0.033307,13.009833,188.570993,1581.005468,910.057715,0
0.002083,-61.587492,173.883466,-135.255243,-2.320407,-1.806997,-4.767318,6.010540,1.828743,4.877112,-6.290293,-0.061180,0.634796,-0.018440,-56.510321,188.495676,1580.572661,909.694052,0
0.003125,-113.386349,193.368438,-52.854757,-0.744105,0.754295,-6.319569,4.854568,-0.713070,6.283706,-5.033705,-0.057533,0.619707,-0.025873,-120.727805,188.721842,1581.096529,909.619494,0
0.004167,-160.721736,159.648514,15.231059,0.550714,2.926623,-6.515160,2.805521,-2.962167,6.543859,-2.954624,-0.021072,0.614884,-0.029590,-162.980297,188.646554,1581.674825,908.781138,0
0.005208,-182.779191,111.646658,84.434830,1.913090,5.025561,-5.957516,0.273208,-4.988948,5.895680,-0.471911,0.019036,0.609165,-0.022156,-179.822751,188.571051,1581.566077,908.642868,0
0.006250,-183.265087,29.173197,134.353897,2.858871,6.045675,-4.451042,-2.131522,-6.052360,4.392080,1.957492,0.059144,0.615160,-0.025873,-171.063774,188.495573,1581.633739,908.837080,0
0.007292,-157.648157,-43.986471,168.585156,3.568207,6.438308,-2.370277,-4.385474,-6.389539,2.249120,4.055613,0.117483,0.627010,-0.033307,-139.123907,188.721712,1582.098941,908.497751,0
0.008333,-90.311902,-103.909513,183.021342,3.860949,5.616346,0.309748,-5.962854,-5.585496,-0.524383,5.639675,0.153945,0.629215,0.003860,-78.824320,188.571116,1581.388452,908.634506,0
0.009375,-11.314124,-146.285509,181.684658,3.815911,4.086176,2.765050,-6.558237,-4.066337,-2.870175,6.134695,0.161237,0.631764,-0.051890,-13.267096,188.571154,1582.136408,908.444526,0
0.010417,60.768100,-173.592657,136.237406,2.926427,1.818442,4.770907,-6.036310,-1.743135,-4.867626,5.593981,0.161237,0.630455,-0.048173,56.455708,188.495649,1581.177751,908.224722,0
0.011458,113.177154,-193.500450,53.946285,1.350125,-0.834587,6.318996,-4.841677,0.798678,-6.287447,4.341201,0.077375,0.625701,-0.011006,120.853325,188.721947,1581.688877,908.532324,0
0.012500,160.682040,-160.038916,-14.747115,0.032786,-3.036271,6.522911,-2.842890,3.029249,-6.525554,2.284967,0.095606,0.615917,-0.025873,163.195884,188.571266,1581.494928,909.136283,0
0.013542,182.829893,-111.778669,-83.938733,-1.318330,-5.087506,5.965266,-0.240986,5.130135,-5.886193,-0.251056,0.029975,0.609096,-0.029590,179.914496,188.571180,1582.622439,909.822549,0
0.014583,183.270590,-28.764938,-133.760587,-2.297889,-6.070925,4.400531,2.090288,6.156494,-4.351728,-2.661420,-0.042949,0.588289,-0.059323,170.997903,188.495736,1582.848629,910.454527,0
0.015625,157.653660,44.688355,-168.040453,-3.007225,-6.492914,2.357220,4.367436,6.501084,-2.195539,-4.748117,-0.064826,0.580916,-0.029590,138.967969,188.721947,1583.620679,910.371328,0
0.016667,89.323011,103.941931,-183.327256,-3.288707,-5.674621,-0.389389,5.940950,5.656283,0.600010,-6.393105,-0.108580,0.602137,0.011294,78.735933,188.571015,1584.173653,909.349756,0
0.017708,10.246134,145.742422,-181.893359,-3.243670,-4.126104,-2.769784,6.571128,4.144534,2.888480,-6.850046,-0.079410,0.622394,-0.022156,13.640300,188.571096,1585.000450,908.895111,0
0.018750,-61.158094,173.895211,-135.656248,-2.297889,-1.873048,-4.821418,6.010540,1.791690,4.952072,-6.358834,-0.104934,0.610337,-0.003573,-55.969921,188.495653,1586.727921,908.677418,0
0.019792,-113.013452,193.662063,-53.474492,-0.800402,0.768973,-6.361184,4.804309,-0.731597,6.323390,-5.060360,-0.053887,0.620534,-0.037023,-120.333763,188.721947,1587.706338,908.608064,0
0.020833,-160.597437,160.012609,14.611324,0.505677,3.000012,-6.565099,2.805521,-2.988104,6.530631,-2.954624,-0.039302,0.616606,-0.007290,-162.800164,188.571029,1588.072977,908.094243,0
0.021875,-182.700091,112.163438,83.888004,1.879312,5.043909,-5.965839,0.222949,-5.055643,5.882452,-0.433832,0.011744,0.609441,-0.025873,-179.822751,188.571069,1589.129560,907.145629,0
0.022917,-183.434586,29.713467,134.220229,2.858871,6.089708,-4.426073,-2.146987,-6.078297,4.396489,2.018418,0.059144,0.611990,-0.022156,-171.446557,188.495607,1590.154559,906.604153,0
0.023958,-158.314852,-43.446201,168.244909,3.568207,6.478673,-2.287047,-4.412537,-6.430297,2.222663,4.120346,0.110191,0.624461,0.011294,-139.439140,188.718146,1591.544213,906.006843,0
0.025000,-90.537900,-103.228302,183.422347,3.883467,5.583321,0.401301,-6.024712,-5.552149,-0.559658,5.738679,0.168530,0.626459,-0.037023,-79.240878,188.569925,1592.955470,905.114056,0
0.026042,-11.720921,-145.839199,182.061360,3.804652,4.097185,2.765050,-6.589166,-4.047811,-2.852537,6.161350,0.179468,0.634727,-0.022156,-13.706171,188.570950,1593.219019,904.856300,0
0.027083,60.112704,-174.038968,136.504743,2.903908,1.763400,4.770907,-6.074971,-1.720903,-4.938176,5.609212,0.157591,0.632522,-0.018440,56.072925,188.495533,1594.535591,904.400119,0
0.028125,112.612157,-193.629645,54.237926,1.361384,-0.852934,6.298188,-4.837811,0.813499,-6.300675,4.306931,0.088314,0.620120,-0.040740,120.402992,188.721751,1594.772222,903.624002,0
0.029167,160.512541,-160.449991,-14.285351,0.055305,-3.010584,6.535395,-2.831291,3.084828,-6.565238,2.231657,0.095606,0.611783,-0.018440,162.993234,188.570808,1595.975940,902.699457,0
0.030208,182.773394,-112.060550,-83.489121,-1.307070,-5.160895,5.940297,-0.213924,5.170893,-5.855328,-0.281519,0.051852,0.609303,-0.025873,179.813171,188.570863,1596.492776,901.778270,0
0.031250,183.801687,-29.187758,-133.274520,-2.252852,-6.070925,4.417177,2.144414,6.134262,-4.325271,-2.707114,0.015390,0.582914,-0.029590,171.313136,188.495405,1596.824046,900.784021,0
0.032292,157.811859,44.077615,-167.906785,-2.950928,-6.536948,2.290636,4.402232,6.504789,-2.195539,-4.797619,-0.053887,0.614815,-0.040740,139.305719,188.721603,1597.510569,900.329796,0
0.033333,90.034906,103.248975,-183.169284,-3.322485,-5.663613,-0.401874,5.971879,5.704452,0.577963,-6.396913,-0.086703,0.606065,-0.033307,79.433949,188.646250,1597.857563,900.596966,0
0.034375,10.788530,145.437052,-182.270061,-3.277448,-4.118765,-2.794753,6.578861,4.185292,2.892890,-6.876701,-0.148688,0.600828,-0.044457,14.270766,188.570883,1598.467821,900.897427,0
0.035417,-60.547898,173.249236,-136.506865,-2.365445,-1.836353,-4.783964,6.026005,1.799100,4.921206,-6.339795,-0.083057,0.631696,-0.033307,-55.238130,188.495609,1598.128669,900.349950,0
0.036458,-112.527555,193.838238,-54.106379,-0.800402,0.772642,-6.311246,4.827505,-0.698249,6.371893,-5.056552,-0.072118,0.623083,-0.029590,-119.996014,188.721639,1598.655542,900.369943,0
0.037500,-160.055041,160.294489,13.906527,0.505677,2.952309,-6.548453,2.855781,-2.988104,6.574725,-2.958432,-0.024718,0.616675,-0.063040,-162.271023,188.571015,1599.208904,900.235609,0
0.038542,-183.389387,112.445318,83.134601,1.868052,5.087942,-5.970000,0.211350,-5.051938,5.997096,-0.426217,0.011744,0.608752,-0.014723,-180.070434,188.570803,1600.282978,901.085209,0
