1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,153.902084,-154.929836,0.721963,0.404343,-6.045238,3.242109,3.373842,6.526946,-3.029918,-3.639390,-0.053887,0.324402,0.000144,23.693984,188.495664,1506.333344,-881.259435,0
0.001042,201.983267,-90.402751,-50.497333,-0.608994,-5.659944,0.830111,5.245047,6.143357,-0.644408,-5.436691,-0.090349,0.332325,-0.003573,25.607899,188.721855,1506.523027,-881.770194,0
0.002083,182.682994,-37.080405,-122.653959,-2.016406,-4.504060,-1.504213,6.122658,4.947017,1.659141,-6.213491,-0.145042,0.339560,-0.003573,13.955533,188.646496,1507.792331,-881.992687,0
0.003125,135.901303,13.423138,-186.450236,-3.266189,-2.929856,-3.630041,6.431948,3.287332,3.747001,-6.438153,-0.137749,0.353408,-0.003573,5.973381,188.571143,1508.875305,-882.748257,0
0.004167,79.051379,69.869657,-200.108715,-3.547671,-0.218115,-5.257118,5.275976,0.492074,5.390544,-5.204413,-0.093995,0.342178,0.007577,3.293899,188.495635,1509.453404,-883.501583,0
0.005208,23.839944,146.200477,-173.496554,-3.086040,2.321160,-6.438588,3.845509,-1.965171,6.490553,-3.749817,-0.061180,0.339077,0.026161,-2.661754,188.721884,1510.292747,-883.577373,0
0.006250,-27.190519,185.511026,-117.793291,-1.993888,4.236625,-5.992982,1.521967,-3.993253,5.925451,-1.278528,-0.021072,0.336735,-0.011006,-11.961131,188.646408,1510.358384,-883.992649,0
0.007292,-93.701879,195.611735,-54.726115,-0.744105,6.130073,-4.987301,-1.300305,-5.926387,4.911717,1.447887,0.048206,0.317718,-0.014723,-21.823423,188.571075,1510.559193,-884.957648,0
0.008333,-153.919181,154.433729,-0.809147,0.280491,6.709849,-3.159906,-3.449871,-6.469487,3.061113,3.633588,0.077375,0.322472,0.003860,-23.568463,188.495559,1511.014500,-885.819172,0
0.009375,-202.237662,90.681815,50.738244,1.271309,6.291529,-0.723379,-5.305612,-6.123878,0.636779,5.449929,0.073729,0.330534,0.003860,-24.424096,188.721768,1512.706406,-886.520694,0
0.010417,-182.327194,37.359469,122.992084,2.723759,5.080603,1.602768,-6.233483,-4.832590,-1.692652,6.257191,0.095606,0.338664,0.033594,-13.807496,188.646484,1513.377050,-887.561473,0
0.011458,-136.031400,-13.155820,186.557479,3.962282,3.444019,3.699980,-6.473182,-3.150118,-3.737375,6.462815,0.110191,0.354718,-0.011006,-5.183619,188.571123,1514.014841,-888.188516,0
0.012500,-79.057176,-69.755023,199.900014,4.232505,0.724939,5.306616,-5.317211,-0.411828,-5.385232,5.179572,0.081021,0.355613,0.011294,-2.335263,188.495718,1514.506339,-888.683923,0
0.013542,-23.450244,-146.273764,173.737465,3.714578,-1.671227,6.443117,-3.879011,2.128971,-6.433476,3.721169,0.073729,0.337355,-0.003573,3.079991,188.722025,1514.981690,-889.415318,0
0.014583,27.309021,-185.220217,118.313690,2.667463,-3.623386,6.030215,-1.524540,4.100084,-5.954648,1.276534,0.008098,0.333703,0.003860,12.750892,188.646511,1515.316384,-890.231305,0
0.015625,93.164986,-195.943412,55.307273,1.462718,-5.513165,5.036799,1.235874,6.014228,-4.893463,-1.415610,-0.064826,0.318683,-0.025873,21.881393,188.571158,1515.251730,-889.887052,0
0.016667,153.664786,-154.589231,1.256637,0.426862,-6.048908,3.209404,3.435700,6.587712,-3.042859,-3.601311,-0.057533,0.324057,0.011294,23.637692,188.495658,1515.680660,-889.801406,0
0.017708,202.073666,-90.555436,-50.266451,-0.608994,-5.685630,0.797406,5.283708,6.188932,-0.627153,-5.402420,-0.134103,0.329776,-0.007290,25.844324,188.721893,1515.881781,-889.791324,0
0.018750,182.502195,-37.303560,-122.386623,-2.005147,-4.482043,-1.516477,6.180650,4.882453,1.676396,-6.221106,-0.123164,0.337217,-0.007290,13.381358,188.646565,1514.997203,-890.270482,0
0.019792,135.878704,13.094278,-186.328719,-3.333744,-2.878483,-3.609601,6.408751,3.283534,3.755629,-6.430538,-0.126811,0.350859,0.003860,5.342914,188.571346,1514.761258,-890.441979,0
