1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,80.350870,58.923307,-198.334571,-3.480115,2.012924,-5.911739,3.663801,-1.554166,5.957411,-3.879929,-0.050241,0.212577,-0.014723,75.122010,188.496871,1002.680231,-1293.072987,0
0.001042,31.422194,140.339717,-173.277824,-3.052262,4.159566,-6.123977,1.788730,-3.692105,6.221974,-2.025510,-0.002841,0.211268,-0.022156,27.139031,188.571648,1002.978720,-1293.492865,0
0.002083,-14.048706,184.700620,-115.605990,-1.948850,5.517271,-4.875518,-0.712654,-5.044527,4.802153,0.548591,0.037267,0.210648,-0.007290,-16.847243,188.496282,1002.239368,-1294.176004,0
0.003125,-83.927444,192.781187,-58.067824,-0.834180,6.742875,-3.356560,-3.248833,-6.196865,3.338237,2.917068,0.102898,0.187497,-0.029590,-87.752172,188.721924,1003.419765,-1293.504760,0
0.004167,-150.371005,151.697142,-10.882883,0.044046,6.383266,-1.150949,-4.876472,-5.870802,1.005673,4.554440,0.095606,0.193492,-0.040740,-150.100774,188.497077,1003.201554,-1293.378395,0
0.005208,-199.977677,89.460334,39.024033,1.034864,5.161332,1.404230,-6.024712,-4.711053,-1.481219,5.609212,0.135714,0.200864,0.000144,-196.316196,188.496662,1003.570744,-1293.288671,0
0.006250,-180.575705,41.129617,115.628171,2.554870,3.502730,3.418410,-6.090436,-2.943641,-3.509535,5.597789,0.102898,0.217262,-0.022156,-173.124048,188.497444,1003.154374,-1292.719310,0
0.007292,-134.313811,-3.548401,185.232946,3.860949,1.495528,4.899914,-5.475722,-1.013197,-4.955813,4.939032,0.081021,0.211750,-0.033307,-128.158299,188.646944,1003.505584,-1292.611095,0
0.008333,-80.277568,-59.219749,198.077263,4.074875,-1.175848,5.898681,-3.662508,1.665711,-5.881784,3.160770,0.062790,0.223256,-0.033307,-75.277948,188.495568,1003.536077,-1292.763030,0
0.009375,-31.461891,-140.918039,173.409370,3.680800,-3.267447,6.165019,-1.775839,3.770302,-6.137528,1.245426,0.033621,0.200726,-0.011006,-27.047286,188.571027,1003.234102,-1293.386358,0
