1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,-150.258006,175.292867,-5.244507,0.190417,0.794659,-5.015918,3.710195,-0.753639,5.023875,-3.715546,-0.086703,0.589460,-0.003573,12.379367,188.495649,1067.750816,1012.510234,0
0.001042,-169.467879,138.413536,72.295310,1.676644,2.522981,-5.163091,2.117351,-2.561443,5.088581,-2.040096,-0.039302,0.587944,-0.007290,7.954846,188.495718,1069.109470,1012.569583,0
0.002083,-188.044956,57.983707,124.450285,2.678722,4.236625,-4.594841,-0.090207,-4.304681,4.570930,0.145605,0.000805,0.595730,0.011294,-2.684271,188.495752,1069.536209,1012.562560,0
0.003125,-163.196420,-15.281666,164.526498,3.511910,4.941163,-3.585072,-1.752642,-5.056667,3.466607,1.821056,0.022683,0.589804,-0.003573,-7.547867,188.495747,1070.400079,1012.794968,0
0.004167,-115.160438,-84.201386,183.835504,3.849689,5.014553,-1.524653,-3.693437,-5.125029,1.396001,3.808749,0.081021,0.580434,0.000144,-13.244580,188.420381,1072.544341,1013.335632,0
0.005208,-35.834962,-134.963319,181.951995,3.860949,4.302675,0.462179,-4.756622,-4.357852,-0.592643,4.722631,0.095606,0.602206,0.015011,-15.710153,188.495550,1073.175926,1013.116725,0
0.006250,37.976151,-174.262123,151.123204,3.264206,3.117435,2.326367,-5.317211,-3.188097,-2.516581,5.328078,0.091960,0.594145,0.007577,-18.344601,188.495618,1074.276030,1012.964006,0
0.007292,107.402892,-174.485278,94.605779,2.160794,1.238665,3.900298,-4.822346,-1.216984,-3.996201,4.707400,0.070083,0.598486,0.033594,-17.027377,188.495700,1074.452328,1012.586494,0
0.008333,150.387808,-175.460114,6.566917,0.471899,-0.750189,4.971389,-3.832618,0.814896,-5.048759,3.705937,0.084667,0.592078,-0.007290,-12.377689,188.570935,1074.385635,1012.622387,0
0.009375,169.507281,-139.226758,-71.228085,-1.025588,-2.500527,5.155355,-2.297766,2.577124,-5.143661,2.015255,-0.006487,0.592147,-0.033307,-8.482308,188.495588,1075.052943,1012.588699,0
0.010417,187.462863,-59.384179,-123.917733,-2.027666,-4.232519,4.611633,-0.047680,4.358342,-4.630324,-0.174254,-0.024718,0.584499,-0.037023,3.856816,188.495830,1076.036811,1012.523304,0
0.011458,163.812119,14.163074,-164.030401,-2.849594,-5.032464,3.622305,1.634085,5.129316,-3.556197,-1.838280,-0.042949,0.594558,-0.022156,8.213787,188.495884,1076.499324,1012.699919,0
0.012500,116.058635,83.540848,-183.400166,-3.243670,-5.087506,1.570063,3.567148,5.190083,-1.476964,-3.784088,-0.104934,0.594834,-0.025873,14.563482,188.571084,1076.365902,1012.830144,0
0.013542,37.524153,134.373252,-181.905511,-3.209892,-4.427001,-0.396329,4.653530,4.487470,0.511680,-4.789358,-0.115872,0.598279,-0.003573,16.387331,188.495712,1076.230216,1012.548112,0
