1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,161.845932,-137.688162,8.389668,0.471899,-5.421428,0.826023,5.241181,6.124368,-0.609898,-5.293427,-0.093995,0.190804,-0.007290,9.485978,188.495729,1003.688468,-1306.882189,0
0.001042,197.734495,-81.124193,-45.928304,-0.586475,-4.096748,-1.704531,6.145855,4.722940,1.900711,-6.115921,-0.108580,0.197005,-0.011006,-19.785666,188.571013,1003.060747,-1307.766403,0
0.002083,172.061064,-33.533412,-128.280183,-2.162777,-2.284029,-3.724069,6.203846,2.922733,3.876414,-6.173038,-0.083057,0.204860,-0.014723,-67.858712,188.571055,1003.411497,-1307.712277,0
0.003125,124.951676,8.513724,-186.267961,-3.299967,-0.269488,-5.003654,5.233449,0.738937,5.049757,-4.988799,-0.097641,0.229113,-0.014723,-107.319140,188.495626,1003.217265,-1308.280530,0
0.004167,69.977539,69.928382,-195.296653,-3.491375,2.445922,-6.029775,3.513022,-1.961373,6.145453,-3.439008,-0.061180,0.205273,-0.003573,-118.228457,188.495638,1003.190601,-1308.630374,0
0.005208,24.303241,144.720606,-165.731635,-2.950928,4.486149,-5.992982,1.467841,-4.004647,5.899568,-1.203805,-0.013779,0.185430,-0.014723,-106.789999,188.570989,1001.885188,-1308.191591,0
0.006250,-19.495270,191.724136,-100.793102,-1.689887,5.898896,-4.603017,-1.207518,-5.493426,4.562302,1.435030,0.055498,0.161453,-0.037023,-71.506409,188.571060,1001.167190,-1307.970608,0
0.007292,-94.481574,184.994246,-51.566680,-0.755365,6.819934,-2.996381,-3.507863,-6.366944,2.841111,3.651194,0.055498,0.184672,-0.011006,-39.712901,188.494151,1000.947132,-1307.781710,0
0.008333,-161.637030,137.262525,-8.051544,0.100342,6.364919,-0.707027,-5.212825,-5.975760,0.666975,5.368530,0.121129,0.191356,-0.003573,-9.112774,188.570950,1000.675877,-1307.729406,0
0.009375,-197.774192,81.015671,46.217822,1.181235,5.036570,1.807175,-6.156160,-4.581928,-1.921281,6.152946,0.153945,0.196868,-0.018440,21.183377,188.571046,1000.220485,-1307.333646,0
0.010417,-172.078161,33.671536,128.533246,2.780056,3.220181,3.818536,-6.264412,-2.789317,-3.840905,6.244334,0.143006,0.205136,0.033594,68.986224,188.571109,1000.211952,-1306.248535,0
0.011458,-125.002672,-8.269895,186.606085,3.872208,1.194632,5.040887,-5.205093,-0.616915,-5.005621,5.037248,0.113837,0.207823,0.022444,107.883735,188.495674,1000.296139,-1305.220262,0
0.012500,-70.570932,-70.248314,195.282379,4.018579,-1.506100,6.120154,-3.534926,2.128971,-6.140140,3.506496,0.084667,0.196937,-0.051890,120.222859,188.571087,1000.693383,-1305.569187,0
0.013542,-24.862734,-145.263693,166.106215,3.466873,-3.520641,6.071097,-1.474281,4.092488,-5.907197,1.275100,0.022683,0.203069,-0.014723,106.724128,188.571167,1000.779143,-1305.384021,0
0.014583,19.681571,-191.879638,101.750962,2.250869,-4.907702,4.689308,1.185614,5.664821,-4.587186,-1.352310,-0.017425,0.198728,0.018727,70.348481,188.571138,1000.700048,-1305.599373,0
0.015625,95.006874,-184.820887,52.536692,1.338865,-5.817731,3.074496,3.520755,6.466179,-2.844426,-3.617976,-0.064826,0.186533,-0.040740,41.831145,188.495741,1000.834866,-1305.598654,0
0.016667,162.456128,-137.476751,8.535488,0.483158,-5.447114,0.821935,5.206386,6.166145,-0.657349,-5.289619,-0.093995,0.194181,0.003860,9.913794,188.646529,1001.844089,-1305.544156,0
0.017708,197.723195,-81.570503,-46.147034,-0.597734,-4.107757,-1.700443,6.188382,4.726738,1.887770,-6.108305,-0.108580,0.198383,-0.048173,-19.740633,188.571033,1001.966526,-1305.500258,0
0.018750,172.004565,-34.155898,-129.142952,-2.185296,-2.291368,-3.711804,6.242508,2.880956,3.949748,-6.222540,-0.097641,0.205618,0.015011,-69.074611,188.571163,1001.908801,-1307.012997,0
0.019792,125.279374,8.431509,-186.328719,-3.243670,-0.247471,-5.011830,5.233449,0.708554,5.071326,-5.004031,-0.086703,0.216022,-0.003573,-105.810525,188.495772,1001.841306,-1307.666360,0
0.020833,70.542535,70.539122,-195.223743,-3.446337,2.434913,-6.082921,3.574880,-1.976565,6.205845,-3.469471,-0.072118,0.211612,-0.003573,-118.194682,188.646475,1002.588191,-1308.531285,0
0.021875,24.642239,144.673626,-165.768091,-2.860854,4.500827,-6.001158,1.467841,-4.084403,5.921137,-1.222844,-0.024718,0.198108,-0.003573,-104.515817,188.571132,1002.752317,-1309.562574,0
0.022917,-19.495270,192.370112,-100.647282,-1.644849,5.920913,-4.647986,-1.246179,-5.599767,4.644264,1.438838,0.029975,0.193767,0.015011,-69.918986,188.571094,1004.085478,-1311.033364,0
0.023958,-94.515474,184.418740,-51.712500,-0.721587,6.849289,-3.004557,-3.569721,-6.412519,2.815229,3.715927,0.110191,0.181847,0.007577,-39.172501,188.495756,1003.720161,-1312.009674,0
0.025000,-163.049521,136.593059,-8.160909,0.134120,6.423630,-0.715203,-5.297880,-6.070707,0.628152,5.360915,0.110191,0.188462,-0.014723,-8.786283,188.646547,1004.729607,-1312.617741,0
0.026042,-197.435194,80.616341,46.327187,1.158716,5.069595,1.839880,-6.198687,-4.578130,-1.908340,6.213871,0.128422,0.195145,0.000144,20.215161,188.571199,1005.030078,-1312.887474,0
0.027083,-171.919962,33.236970,129.639048,2.780056,3.289901,3.834888,-6.252813,-2.808306,-3.896984,6.278605,0.110191,0.160833,-0.048173,69.785565,188.571205,1005.870018,-1313.606069,0
