1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-FAULT 
0.000000,162.109469,-154.415684,-26.376072,2.441718,-4.096006,3.783098,0.639203,4.377948,-3.724936,-0.642601,-0.091910,0.400137,-0.046895,-144.301948,188.517739,0
0.001042,180.144045,-91.371490,-79.593345,1.423818,-4.486536,2.339169,2.523731,4.716117,-2.310818,-2.355704,-0.051727,0.400987,-0.054364,-176.094358,188.515397,0
0.002095,185.259512,-17.470672,-136.568799,0.236268,-4.223816,1.001915,3.440529,4.558060,-0.989364,-3.482545,-0.055380,0.419473,-0.009553,-195.434457,188.513607,0
0.003134,139.946223,46.958718,-168.643344,-0.419712,-3.311394,-0.666795,4.145758,3.558256,0.646339,-4.080228,-0.062686,0.405429,-0.046895,-164.105758,188.519996,0
0.004170,65.584790,96.387733,-189.549707,-0.838182,-1.976490,-2.434562,4.514044,2.282770,2.487513,-4.510407,-0.011544,0.394062,-0.050629,-103.257959,188.503031,0
0.005211,4.675562,154.281838,-164.223344,-0.295302,-0.371764,-3.169861,3.601165,0.698522,3.216730,-3.573911,-0.062686,0.408630,-0.020755,-49.354500,188.505521,0
0.006253,-56.891531,183.169694,-112.861526,0.677358,1.474381,-3.950878,2.367014,-1.165083,3.986236,-2.500366,-0.095563,0.382826,-0.020755,14.546998,188.651569,0
0.007295,-110.802436,182.021283,-38.596072,2.147658,3.103959,-3.985167,0.737151,-2.793441,4.022495,-0.871014,-0.095563,0.391449,-0.028224,85.573797,188.498244,0
0.008337,-161.889058,154.577820,26.663927,3.414378,4.236497,-3.585133,-0.771255,-4.021141,3.696160,0.727882,-0.121134,0.398243,-0.046895,147.914515,188.571156,0
0.009384,-181.420844,90.112912,80.436654,4.466208,4.676732,-2.106915,-2.698881,-4.381365,2.249812,2.479054,-0.161317,0.405494,-0.050629,182.602284,188.495740,0
0.010426,-185.549514,18.248451,136.726653,5.619828,4.385609,-0.777281,-3.572581,-4.226983,0.980732,3.533564,-0.197847,0.414182,-0.039427,200.924484,188.646585,0
0.011471,-140.304279,-45.967832,169.392107,6.230568,3.395081,0.872380,-4.266056,-3.197773,-0.659000,4.112212,-0.205153,0.409609,-0.039427,169.652335,188.495698,0
0.012511,-65.897476,-96.592615,189.293925,6.649038,2.085029,2.632527,-4.571655,-1.892882,-2.520317,4.523357,-0.201500,0.416273,-0.013287,108.917636,188.571192,0
0.013546,-5.169728,-154.486720,164.239380,6.196638,0.466102,3.409734,-3.686201,-0.297606,-3.201189,3.632543,-0.175929,0.396936,-0.020755,54.143307,188.495752,0
0.014587,56.601529,-183.007558,113.303017,5.212668,-1.333889,4.095505,-2.487312,1.543945,-4.019040,2.501895,-0.164970,0.401509,-0.031958,-11.997571,188.646552,0
0.015628,110.875394,-182.060415,38.694836,3.719748,-3.016721,4.171702,-0.837860,3.172302,-4.091559,0.876351,-0.146705,0.395434,-0.017021,-79.031940,188.495711,0
0.016667,161.996044,-154.344648,-26.269709,2.430408,-4.127958,3.695472,0.666629,4.366921,-3.712849,-0.608339,-0.102869,0.402228,-0.043161,-144.007888,188.571051,0
0.017708,180.575060,-90.590097,-79.711527,1.367268,-4.472335,2.293451,2.551157,4.694062,-2.258444,-2.382352,-0.069992,0.395107,-0.028224,-177.214048,188.495781,0
0.018750,185.282197,-19.305761,-135.906981,0.224958,-4.234467,0.963816,3.467955,4.524978,-0.949075,-3.444476,-0.029809,0.404906,0.001650,-196.226157,188.646527,0
0.019791,141.239268,45.573521,-167.827889,-0.419712,-3.247489,-0.674415,4.137922,3.528850,0.602022,-4.038352,-0.022503,0.405429,-0.013287,-164.626018,188.495665,0
0.020833,66.798437,96.044394,-189.218798,-0.792942,-1.955188,-2.419322,4.486619,2.242337,2.423051,-4.518021,-0.015197,0.397916,-0.024490,-104.875289,188.571082,0
0.021875,5.673702,153.997695,-164.199708,-0.340542,-0.385965,-3.120333,3.530642,0.742631,3.132125,-3.547262,-0.029809,0.403795,-0.024490,-49.501530,188.495638,0
0.022916,-56.210981,183.359122,-113.298799,0.654738,1.449529,-3.882301,2.382686,-1.150380,3.941918,-2.485138,-0.040768,0.396544,-0.054364,13.698748,188.726571,0
0.023958,-110.654983,181.891051,-39.340618,2.125038,3.093308,-3.939449,0.686218,-2.716250,3.994293,-0.867208,-0.110175,0.393474,-0.035692,83.504067,188.571679,0
0.025000,-162.422155,154.554142,25.694836,3.414378,4.222296,-3.516556,-0.830024,-3.969681,3.680045,0.701234,-0.143052,0.400464,-0.005818,147.631765,188.571708,0
0.026041,-180.638211,91.178448,79.857563,4.477518,4.566673,-2.061197,-2.620522,-4.304174,2.205495,2.444792,-0.190541,0.395434,-0.017021,181.833204,188.496205,0
0.027083,-185.560856,19.515255,136.265744,5.574588,4.300402,-0.773471,-3.533402,-4.142441,0.920300,3.480267,-0.175929,0.404449,-0.028224,201.342954,188.722349,0
0.028125,-141.710749,-45.304832,167.607562,6.253188,3.348928,0.864760,-4.191615,-3.109555,-0.598568,3.963743,-0.205153,0.409217,-0.035692,169.324345,188.571641,0
0.029166,-67.122466,-95.941454,189.447562,6.716898,2.060177,2.636336,-4.485461,-1.845097,-2.488087,4.492902,-0.216112,0.405363,-0.035692,110.286146,188.571616,0
0.030208,-5.975046,-153.800041,164.133017,6.196638,0.451901,3.310678,-3.556909,-0.286579,-3.116583,3.544985,-0.186888,0.400529,-0.017021,54.595707,188.496179,0
0.031250,56.091117,-183.362736,112.924835,5.144808,-1.355191,4.076456,-2.361938,1.588054,-3.978752,2.456213,-0.139399,0.394911,-0.013287,-10.753471,188.722384,0
0.032294,111.000162,-181.586843,38.659381,3.697128,-2.970567,4.095505,-0.810434,3.157599,-3.990838,0.830668,-0.143052,0.389685,-0.024490,-79.721850,188.571514,0
