1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,169.663574,-135.931440,8.457008,3.109008,-5.768187,0.625543,5.177472,6.304041,-0.666042,-4.946861,-0.015197,0.183716,-0.054364,155.944615,188.722061,987.233110,-1286.613541,0
0.001042,195.104803,-80.745870,-47.888637,2.045868,-4.156360,-1.969911,5.934940,4.782280,1.864564,-5.697567,0.035945,0.188615,-0.020755,169.199935,188.571227,986.393454,-1285.719401,0
0.002083,170.945277,-34.065257,-134.875379,0.405918,-2.537434,-3.918486,6.035687,3.051002,3.912550,-5.811418,0.032292,0.183781,-0.039427,168.589195,188.495783,985.903389,-1285.534982,0
0.003125,122.705622,9.619292,-188.783523,-0.634602,-0.169398,-4.942381,4.640155,0.823498,4.991100,-4.576845,0.024986,0.198544,-0.050629,138.911755,188.722012,985.694415,-1286.020828,0
0.004167,68.601895,75.146115,-198.164205,-0.860802,2.358400,-6.053584,3.188652,-1.782609,6.111617,-3.135917,-0.018850,0.190117,-0.020755,83.515377,188.722319,984.882522,-1286.087703,0
0.005208,24.887898,149.528241,-164.002273,-0.204822,4.311053,-5.648789,0.938636,-3.767514,5.847226,-1.011883,-0.077298,0.186786,-0.039427,20.880598,188.571165,983.888696,-1285.635324,0
0.006250,-20.731639,202.164740,-97.623485,1.050588,5.738265,-4.355030,-1.650935,-5.112839,4.537857,1.503515,-0.154011,0.180645,-0.035692,-46.787131,188.495825,982.461907,-1285.629381,0
0.007292,-95.263210,184.442054,-51.458712,1.876218,6.352463,-2.553293,-3.897220,-5.836962,2.880164,3.698706,-0.175929,0.173525,-0.024490,-102.511499,188.722215,981.581524,-1285.404296,0
0.008333,-170.600098,135.925143,-7.669886,2.747088,5.912229,-0.449944,-5.326334,-5.406899,0.685293,5.139634,-0.205153,0.180711,-0.005818,-151.585588,188.721860,981.350227,-1285.649496,0
0.009375,-195.145269,80.920787,48.294129,3.821538,4.332355,2.197102,-6.035295,-3.914544,-1.870492,5.858319,-0.201500,0.188288,-0.039427,-164.230168,188.571127,980.267712,-1285.668723,0
0.010417,-171.246621,33.926071,135.527084,5.438868,2.692126,4.109959,-6.169624,-2.179590,-3.859725,6.032654,-0.248989,0.196715,-0.024490,-163.834318,188.571152,980.236991,-1285.769302,0
0.011458,-122.451184,-9.420213,188.721213,6.468078,0.316990,5.121948,-4.721853,0.022184,-4.963455,4.734040,-0.208806,0.195670,-0.005818,-133.851509,188.721882,979.429328,-1285.913890,0
0.012500,-68.596991,-75.236978,198.335796,6.694278,-2.253411,6.264900,-3.307663,2.676076,-6.092365,3.289554,-0.172276,0.182278,-0.024490,-78.500370,188.646482,979.177676,-1286.675032,0
0.013542,-25.314009,-149.353324,163.804546,6.015678,-4.092455,5.820419,-0.997945,4.561735,-5.844761,1.172635,-0.128440,0.196585,-0.035692,-15.978691,188.571120,978.791215,-1286.481662,0
0.014583,20.838625,-202.316007,97.844318,4.771578,-5.562271,4.554441,1.580431,6.006305,-4.543786,-1.310742,-0.069992,0.176269,-0.024490,51.824757,188.495682,979.685014,-1287.268378,0
0.015625,95.143346,-183.844305,51.765720,3.900708,-6.197770,2.760641,3.808059,6.785564,-2.768585,-3.484586,0.010374,0.175877,-0.013287,107.311616,188.721994,979.245441,-1287.424457,0
0.016667,170.434864,-135.593174,7.964583,3.097698,-5.722033,0.593794,5.199860,6.300365,-0.590501,-4.971766,0.014027,0.180841,-0.009553,156.397015,188.646616,978.933749,-1288.016685,0
0.017708,194.560363,-80.431767,-48.516477,2.011938,-4.124408,-1.958006,5.908820,4.760226,1.952695,-5.694009,0.039598,0.187308,-0.028224,168.849325,188.571065,978.222440,-1288.457229,0
0.018750,170.979304,-33.267917,-135.577084,0.394608,-2.516132,-3.902612,6.039418,3.036299,3.937730,-5.804302,0.039598,0.190967,-0.002084,168.566575,188.571143,978.396115,-1288.559027,0
0.019792,121.934332,10.114609,-188.795834,-0.611982,-0.144546,-4.906663,4.572990,0.812470,4.957527,-4.527035,-0.000585,0.196127,-0.035692,138.629005,188.665869,977.861443,-1287.685251,0
