1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-FAULT 
0.000000,-151.261135,177.737152,-6.020265,2.792328,0.593912,-4.716656,4.090907,-0.569612,4.759770,-4.011704,-0.059033,0.570178,-0.002084,30.075628,188.495761,0
0.001042,-165.892960,137.676874,70.502462,4.251318,2.429406,-4.709036,2.128020,-2.315593,4.820202,-2.153938,-0.066339,0.552214,-0.024490,35.911588,188.420314,0
0.002083,-186.593024,55.466322,123.856629,5.257908,4.232947,-4.259475,-0.132631,-4.219632,4.352859,0.099744,-0.113828,0.561947,-0.058098,40.876678,188.495741,0
0.003125,-159.336995,-18.070140,163.718372,6.060918,4.964304,-3.284156,-1.809509,-4.918024,3.434286,1.710061,-0.186888,0.560706,-0.020755,41.249908,188.269527,0
0.004167,-110.439476,-87.631986,179.020455,6.309738,5.088564,-1.184934,-3.991800,-5.031972,1.383614,3.872378,-0.223418,0.544636,-0.054364,36.839008,188.495665,0
0.005208,-33.310472,-138.927504,181.753410,6.377598,4.506318,0.586642,-5.073152,-4.506340,-0.405184,5.029674,-0.194194,0.571811,-0.013287,22.927708,188.420334,0
0.006250,42.230581,-175.254782,151.235417,5.857338,3.324076,2.358218,-5.621663,-3.385236,-2.181896,5.562640,-0.230724,0.577560,-0.005818,3.655468,188.495689,0
0.007292,109.502952,-175.303106,93.744887,4.726338,1.314618,3.889774,-5.057480,-1.385628,-3.732994,5.121040,-0.252642,0.566912,-0.024490,-13.400011,188.269510,0
0.008333,150.914421,-177.683044,6.425758,3.075078,-0.503124,4.880333,-4.160272,0.455923,-4.687825,4.176929,-0.219765,0.572726,-0.054364,-25.671361,188.495698,0
0.009375,165.342082,-137.344906,-70.367803,1.729188,-2.324417,4.834614,-2.181713,2.279095,-4.824805,2.319164,-0.161317,0.553390,-0.031958,-30.659071,188.420247,0
0.010417,186.178255,-55.279325,-123.931250,0.586878,-4.110207,4.442201,0.035840,4.109618,-4.429980,0.137813,-0.132093,0.554304,-0.050629,-36.902191,188.495550,0
0.011458,159.126391,18.329624,-163.386743,-0.170892,-4.841564,3.447832,1.747980,4.844768,-3.495293,-1.491539,-0.080951,0.563319,-0.039427,-36.811711,188.344943,0
0.012500,109.922624,88.084763,-178.762690,-0.464952,-5.001327,1.363850,3.871502,5.021204,-1.468794,-3.691924,-0.044421,0.548752,-0.043161,-31.360291,188.495685,0
0.013542,33.372088,139.102421,-181.667993,-0.544122,-4.422631,-0.388677,4.988115,4.495572,0.275688,-4.792117,-0.000585,0.569133,-0.005818,-17.924011,188.420320,0
0.014583,-42.146280,175.538427,-151.026894,0.021378,-3.258140,-2.164063,5.556216,3.315656,2.112832,-5.397414,-0.029809,0.570636,-0.058098,3.214378,188.495642,0
0.015625,-109.758926,175.320971,-93.573296,1.174998,-1.273534,-3.710858,5.003787,1.378536,3.732420,-4.921552,-0.029809,0.566781,-0.017021,17.397118,188.269583,0
0.016667,-151.397245,177.773395,-6.340341,2.769708,0.547758,-4.693797,4.106579,-0.499773,4.707395,-4.034545,-0.040768,0.569656,-0.024490,29.283928,188.495785,0
0.017708,-165.495973,138.075544,70.330114,4.194768,2.386802,-4.697607,2.206378,-2.289863,4.767828,-2.249111,-0.095563,0.555349,-0.028224,35.809798,188.420358,0
0.018750,-186.309461,55.417999,124.078220,5.291838,4.225846,-4.263285,-0.097369,-4.127738,4.356887,0.065482,-0.113828,0.553259,-0.046895,40.412968,188.495734,0
0.019792,-159.597873,-17.804360,163.509091,6.038298,4.900399,-3.307015,-1.754658,-4.906997,3.470546,1.637730,-0.146705,0.562470,-0.009553,40.808818,188.269496,0
0.020833,-110.348736,-87.656147,178.934281,6.377598,5.028209,-1.226842,-3.940867,-5.028297,1.431960,3.826695,-0.183235,0.565671,-0.009553,36.940798,188.495703,0
0.021875,-33.548665,-138.722129,181.827273,6.445458,4.492117,0.525685,-5.037890,-4.495313,-0.376982,4.961150,-0.201500,0.572269,-0.039427,21.231208,188.420356,0
