1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-FAULT 
0.000000,69.146335,78.867034,-200.663258,-0.917352,0.150127,-5.819438,5.091650,0.275811,5.733915,-4.929072,-0.026156,0.319461,-0.039427,32.009638,188.194665,0
0.001042,17.537958,151.485347,-171.905682,-0.453642,2.521713,-6.454411,3.281936,-2.120778,6.527090,-3.292462,-0.077298,0.319396,-0.013287,10.961728,188.194618,0
0.002083,-28.784814,199.229080,-104.874432,0.858318,4.658980,-5.882935,0.658783,-4.135089,5.947946,-0.769949,-0.124787,0.290653,-0.050629,-4.295461,188.270058,0
0.003125,-99.981690,194.227586,-49.464394,1.910148,6.160748,-4.632831,-1.927056,-5.862692,4.819036,1.720544,-0.161317,0.297773,-0.017021,-35.002111,188.194598,0
0.004167,-165.575370,144.164320,-0.295833,2.871498,6.661337,-2.708068,-4.128565,-6.285403,2.884361,3.851694,-0.201500,0.304763,-0.031958,-62.915190,188.194569,0
0.005208,-201.122767,83.373211,53.550758,3.889398,5.954832,-0.084834,-5.718128,-5.686256,0.286608,5.509650,-0.256295,0.312275,-0.035692,-78.681330,188.194520,0
0.006250,-174.978303,31.739427,135.367046,5.438868,4.701584,2.328065,-6.650971,-4.340931,-2.134884,6.345744,-0.270907,0.322270,-0.017021,-73.218600,188.345391,0
0.007292,-129.199971,-17.417771,190.260038,6.445458,2.741830,4.074242,-6.192012,-2.510408,-3.931069,6.118042,-0.267254,0.338601,-0.009553,-57.067920,188.194613,0
0.008333,-69.413651,-79.006220,200.699432,6.682968,-0.023837,5.979162,-5.262901,0.290514,-5.735646,5.139634,-0.248989,0.317044,-0.039427,-27.435721,188.194580,0
0.009375,-18.315687,-151.274188,171.781819,6.162708,-2.384772,6.522858,-3.374828,2.676076,-6.503641,3.449657,-0.216112,0.322270,-0.039427,-6.602701,188.194573,0
0.010417,28.460786,-199.489076,105.538447,4.895988,-4.553992,6.038691,-0.792720,4.763902,-5.966465,0.952049,-0.175929,0.312145,-0.028224,8.756278,188.270011,0
0.011458,99.986594,-193.521109,50.226894,3.866778,-6.069960,4.740964,1.778194,6.432692,-4.841751,-1.627390,-0.080951,0.303456,-0.054364,40.446898,188.194696,0
0.012500,165.671014,-144.231021,0.861364,2.939358,-6.577650,2.847949,4.020747,6.877458,-2.915469,-3.794119,-0.044421,0.307964,-0.043161,67.873647,188.269997,0
0.013542,200.401751,-83.174132,-53.477652,1.864908,-5.846293,0.173124,5.632699,6.274635,-0.300929,-5.398708,-0.011544,0.310773,-0.028224,84.442797,188.195364,0
0.014583,174.937837,-30.887979,-135.392425,0.292818,-4.600145,-2.204058,6.535690,4.914607,2.107972,-6.227686,-0.004238,0.328018,-0.013287,78.618147,188.276317,0
0.015625,128.218077,18.160491,-190.420834,-0.691152,-2.615540,-3.978015,6.039418,3.047326,3.979697,-5.992868,0.014027,0.304110,-0.050629,61.415637,188.269651,0
0.016667,67.705837,79.193218,-201.204925,-0.906042,0.121725,-5.815469,5.110307,0.268459,5.746505,-4.968208,-0.004238,0.314888,-0.069301,31.500688,188.269635,0
0.017708,17.038888,151.533671,-171.548675,-0.408402,2.546565,-6.478223,3.319250,-2.139157,6.535483,-3.313810,-0.069992,0.292351,-0.009553,11.267098,188.194163,0
0.018750,-28.807499,199.869368,-104.862122,0.869628,4.673182,-5.930558,0.692365,-4.215956,5.994110,-0.809085,-0.132093,0.310903,-0.013287,-3.865681,188.344903,0
0.019792,-100.696268,193.840997,-50.535417,1.887528,6.199801,-4.684423,-1.904668,-5.899449,4.894576,1.699197,-0.157664,0.307180,-0.043161,-35.194381,188.269581,0
0.020833,-166.437400,144.526747,-0.948295,2.814948,6.725242,-2.696162,-4.102445,-6.292755,2.901147,3.901504,-0.219765,0.309597,-0.024490,-64.068810,188.269695,0
0.021875,-200.986657,84.629625,53.969318,3.878088,6.000986,-0.053085,-5.736785,-5.748744,0.307591,5.506093,-0.248989,0.315933,0.001650,-77.222340,188.194161,0
0.022917,-175.363948,32.319310,135.884091,5.450178,4.722885,2.336002,-6.677090,-4.407095,-2.055147,6.388439,-0.267254,0.325601,-0.035692,-73.523970,188.269704,0
0.023960,-128.973121,-17.611066,190.703220,6.479388,2.677925,4.141708,-6.225595,-2.539814,-3.985626,6.157179,-0.281866,0.342651,-0.054364,-54.568410,188.207605,0
0.025003,-68.177319,-79.706912,201.081061,6.649038,-0.038038,5.979162,-5.277827,0.294190,-5.844761,5.104056,-0.256295,0.332461,-0.043161,-25.648741,188.273436,0
0.026042,-17.419629,-151.564130,171.375569,6.117468,-2.423825,6.590324,-3.449455,2.712833,-6.574985,3.460331,-0.190541,0.313647,-0.020755,-6.161611,188.194027,0
0.027083,28.857773,-200.250173,104.270455,4.884678,-4.575293,6.070440,-0.826302,4.815362,-5.979055,0.937817,-0.186888,0.318285,-0.054364,9.140818,188.344896,0
0.028125,100.134046,-193.509028,49.672917,3.844158,-6.144516,4.756838,1.789388,6.524586,-4.862734,-1.616717,-0.069992,0.300909,-0.073035,39.327208,188.420325,0
0.029167,166.272167,-143.337034,0.885985,2.928048,-6.627354,2.863824,3.998359,6.962000,-2.902879,-3.790561,-0.059033,0.309466,-0.043161,68.970717,188.269536,0
0.030208,200.367723,-82.811705,-53.773106,1.887528,-5.906648,0.188998,5.617773,6.340798,-0.275749,-5.402266,-0.007891,0.314692,-0.024490,82.599267,188.194164,0
0.031250,174.654274,-31.383296,-136.623485,0.258888,-4.610796,-2.215963,6.599124,4.984447,2.133153,-6.330864,0.028639,0.312732,-0.050629,77.057367,188.344871,0
0.032292,128.943997,17.858468,-190.556251,-0.713772,-2.675894,-3.985952,6.136434,3.106138,3.975501,-6.021331,-0.000585,0.329782,-0.024490,60.465597,188.420197,0
0.033333,69.021567,80.002638,-201.217235,-0.928662,0.160778,-5.894841,5.188666,0.272135,5.855619,-5.010902,-0.015197,0.324622,-0.028224,31.998328,188.269415,0
0.034382,17.628698,152.210202,-170.576137,-0.351852,2.582068,-6.513940,3.252085,-2.194293,6.615220,-3.274673,-0.055380,0.324360,-0.039427,11.187928,188.194101,0
0.035417,-29.023007,201.222429,-104.135796,0.903558,4.790341,-5.978181,0.614006,-4.278444,6.036077,-0.762833,-0.077298,0.315215,-0.020755,-4.329391,188.344952,0
0.036458,-100.821035,193.152385,-49.981440,1.921458,6.285008,-4.684423,-1.949445,-5.969289,4.936543,1.773911,-0.161317,0.304501,-0.050629,-35.420581,188.420403,0
0.037500,-168.036693,143.209928,-0.899053,2.792328,6.806899,-2.708068,-4.233043,-6.417730,2.922131,3.915735,-0.208806,0.307506,-0.050629,-63.819990,188.269570,0
0.038542,-200.544299,82.865813,54.006250,3.889398,5.993885,0.006443,-5.792756,-5.741392,0.240444,5.619944,-0.259948,0.314170,-0.043161,-78.590850,188.271079,0
0.039583,-174.955618,31.159544,136.967425,5.450178,4.754838,2.447122,-6.807688,-4.388716,-2.168458,6.516521,-0.285519,0.313059,-0.043161,-72.992400,188.367155,0
0.040625,-128.020351,-18.070140,190.333902,6.490698,2.724079,4.169488,-6.296491,-2.547165,-4.010806,6.164294,-0.263601,0.357741,-0.028224,-56.683380,188.299422,0
0.041666,-67.269919,-79.996854,201.548864,6.660348,-0.069990,6.106157,-5.341260,0.356677,-5.869941,5.210791,-0.238030,0.320375,-0.046895,-26.621401,188.288445,0
0.042708,-17.204121,-151.346673,170.796970,6.094848,-2.480629,6.685570,-3.419604,2.775321,-6.612755,3.453215,-0.216112,0.308617,-0.046895,-6.568771,188.208279,0
0.043750,28.982541,-201.772367,104.147349,4.873368,-4.642749,6.129968,-0.796451,4.881526,-6.025218,0.980511,-0.128440,0.318742,-0.039427,8.824138,188.359704,0
0.044791,100.633116,-192.457990,50.928599,3.889398,-6.148067,4.875896,1.822970,6.561344,-4.908898,-1.659411,-0.113828,0.308356,-0.035692,40.933228,188.441547,0
0.045833,168.223077,-143.409519,1.612311,2.939358,-6.687709,2.887635,4.046867,7.039191,-2.932256,-3.847487,-0.080951,0.313124,-0.024490,68.823687,188.352465,0
0.046875,199.664488,-83.536559,-54.228599,1.853598,-5.935050,0.192967,5.677475,6.362853,-0.296733,-5.462749,-0.029809,0.317240,-0.024490,84.386247,188.272944,0
0.047916,174.994549,-31.624915,-137.226705,0.270198,-4.610796,-2.267555,6.670020,4.984447,2.133153,-6.359326,0.006721,0.326320,-0.024490,78.493737,188.420325,0
0.048971,127.480815,19.392743,-190.408523,-0.747702,-2.523232,-4.077229,6.091657,2.995866,4.030058,-5.982195,-0.029809,0.339124,-0.028224,60.850137,188.420368,0
0.050010,66.628300,81.778531,-201.894319,-0.939972,0.167878,-5.942464,5.211054,0.194944,5.893389,-5.057154,-0.004238,0.324295,-0.028224,30.629818,188.495834,0
0.051050,16.505790,152.149797,-169.862122,-0.340542,2.610470,-6.490128,3.270742,-2.238402,6.627810,-3.278231,-0.069992,0.318481,-0.028224,10.758148,188.269490,0
0.052088,-29.249857,202.696300,-102.387690,0.903558,4.825844,-5.982150,0.669977,-4.337256,6.069650,-0.777065,-0.121134,0.279874,-0.013287,-4.046641,188.420312,0
0.053131,-101.342790,192.210075,-48.922727,1.921458,6.299209,-4.672517,-1.979296,-5.991343,4.902970,1.809490,-0.146705,0.305285,-0.028224,-35.669401,188.495731,0
0.054173,-169.341081,142.255537,-0.455871,2.814948,6.821100,-2.747754,-4.188267,-6.425082,2.926327,3.972661,-0.234377,0.310119,-0.039427,-65.018850,188.495790,0
0.055213,-200.147312,82.696680,54.929546,3.934638,5.997435,-0.005462,-5.830069,-5.759771,0.299198,5.566576,-0.227071,0.316587,-0.031958,-77.097930,188.269687,0
0.056262,-174.785481,31.123301,139.417235,5.529348,4.747737,2.439185,-6.792763,-4.454880,-2.181048,6.527195,-0.278213,0.329456,-0.031958,-73.297770,188.420311,0
0.057299,-128.360626,-18.505053,190.690910,6.456768,2.670825,4.193299,-6.255446,-2.514084,-3.964642,6.164294,-0.270907,0.346636,-0.017021,-54.240420,188.495821,0
0.058338,-68.358799,-81.108297,201.511932,6.694278,-0.066440,6.106157,-5.326334,0.297865,-5.869941,5.175213,-0.230724,0.332722,-0.039427,-25.660051,188.495770,0
0.059383,-17.589766,-152.228579,170.009091,6.083538,-2.494830,6.661759,-3.400948,2.786348,-6.591772,3.446099,-0.212459,0.319984,-0.028224,-6.353881,188.344961,0
0.060421,29.175363,-202.219360,103.396402,4.907298,-4.653399,6.133937,-0.774063,4.892553,-6.088169,0.909355,-0.168623,0.316913,-0.002084,9.174748,188.495785,0
