1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-FAULT 
0.000000,-146.848902,183.535986,-4.013636,2.814948,2.429406,-6.426631,3.382683,-2.418514,6.497713,-3.356504,-0.059033,0.602645,-0.058098,-86.575710,188.495693,0
0.001042,-175.511401,135.514392,64.913447,4.115598,4.595075,-5.898809,0.778187,-4.473258,6.006700,-0.858895,-0.135746,0.595524,-0.046895,-62.632440,188.344853,0
0.002083,-194.736939,52.953494,118.981629,5.144808,6.008086,-4.716171,-1.669592,-6.031776,4.848413,1.556883,-0.164970,0.598856,-0.043161,-20.909851,188.420423,0
0.003125,-161.752948,-16.354652,168.285607,6.128778,6.480273,-2.719974,-3.863637,-6.447136,3.048032,3.631107,-0.208806,0.604409,-0.031958,12.873118,188.420296,0
0.004167,-114.987818,-84.877539,184.227841,6.388908,5.969033,-0.136426,-5.639770,-6.031776,0.395722,5.488303,-0.245336,0.605780,-0.043161,46.916217,188.495714,0
0.005208,-33.650747,-136.475080,187.970266,6.502008,4.563123,2.284411,-6.512910,-4.605585,-2.038360,6.221220,-0.256295,0.613031,-0.039427,72.160137,188.344921,0
0.006250,43.183351,-170.833171,160.579167,6.038298,2.603369,4.379823,-6.386044,-2.727277,-4.237427,6.231893,-0.238030,0.616232,-0.058098,88.751907,188.419840,0
0.007292,101.858106,-188.326320,84.844318,4.567998,-0.069990,6.026785,-5.274095,-0.029276,-5.861547,5.175213,-0.252642,0.609896,-0.031958,98.659466,188.420663,0
0.008333,146.740381,-183.602687,4.911553,3.063768,-2.278263,6.626041,-3.546471,2.257040,-6.524625,3.584855,-0.201500,0.608720,-0.024490,91.816916,188.497269,0
0.009375,175.176029,-135.774388,-64.791099,1.695258,-4.451034,6.030754,-0.848691,4.330163,-5.995841,1.076573,-0.161317,0.595982,-0.002084,67.172427,188.345066,0
0.010417,194.378883,-53.406784,-118.846970,0.677358,-5.892446,4.852084,1.535655,5.943817,-4.892111,-1.349878,-0.102869,0.596112,-0.039427,25.845688,188.420193,0
0.011459,161.531001,16.420841,-168.298675,-0.204822,-6.329131,2.895572,3.681193,6.304041,-2.986813,-3.374293,-0.099216,0.605388,-0.035692,-7.948591,188.420245,0
0.012500,114.947352,85.076618,-184.031629,-0.532812,-5.864044,0.284244,5.539415,5.914411,-0.372273,-5.259952,-0.022503,0.604082,-0.013287,-43.224481,188.495593,0
0.013541,33.020471,136.807049,-188.044887,-0.645912,-4.440383,-2.148498,6.378973,4.488220,2.053415,-6.064025,-0.007891,0.594675,-0.028224,-67.032030,188.344887,0
0.014583,-43.711545,170.887279,-160.567614,-0.114342,-2.484179,-4.239941,6.233450,2.543749,4.248286,-6.103161,-0.022503,0.615057,-0.069301,-84.913140,188.344842,0
0.015625,-101.864545,189.008635,-83.527841,1.299408,0.263736,-5.910715,5.069262,-0.139549,5.792669,-4.900609,-0.022503,0.601600,-0.043161,-93.316470,188.420354,0
0.016666,-146.588025,183.801766,-3.730492,2.781018,2.418755,-6.442505,3.326712,-2.414838,6.501910,-3.310252,-0.044421,0.594806,-0.024490,-88.113870,188.495665,0
