1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-FAULT 
0.000000,142.078613,-156.034064,22.404924,3.335208,-6.027357,1.359731,4.864037,6.678968,-1.413053,-4.562614,-0.048074,0.182605,-0.061832,-80.343900,188.493273,0
0.001042,196.136970,-93.394577,-24.867803,2.430408,-4.948072,-1.136509,5.938671,5.458618,1.104963,-5.694009,-0.018850,0.189660,-0.054364,-46.379971,188.420462,0
0.002083,179.032480,-48.743556,-102.658523,0.926178,-3.165833,-3.263670,6.091657,3.782476,3.215899,-5.875459,-0.000585,0.197630,-0.043161,-21.690241,188.494477,0
0.003125,134.932838,-8.598712,-179.427463,-0.498882,-1.174127,-4.743951,5.505832,1.720381,4.840019,-5.359571,-0.000585,0.212067,-0.054364,2.671498,188.344820,0
0.004166,83.823530,47.601654,-199.272160,-0.849492,1.545386,-5.759909,3.684924,-0.940863,5.780079,-3.601995,-0.022503,0.200112,-0.043161,38.987908,188.495676,0
0.005208,38.657693,133.629771,-174.810985,-0.419712,3.728808,-6.148830,1.860284,-3.194097,6.233321,-1.837303,-0.080951,0.193384,-0.076769,86.048817,188.438339,0
0.006250,-1.472073,184.671591,-118.231440,0.643428,5.230575,-4.839197,-0.751675,-4.646019,5.066641,0.603380,-0.150358,0.187635,-0.054364,110.772476,188.510369,0
0.007291,-70.355079,196.390068,-64.569508,1.627398,6.540628,-3.422413,-3.337514,-5.932531,3.576815,3.125893,-0.186888,0.171304,-0.046895,109.019426,188.283488,0
0.008333,-142.255189,155.967363,-22.639583,2.430408,6.253055,-1.148414,-4.986780,-5.800204,1.457485,4.773176,-0.252642,0.179861,-0.054364,85.619037,188.507137,0
0.009374,-196.551739,93.509089,25.125568,3.335208,5.106315,1.312108,-6.102459,-4.623964,-1.039547,5.897456,-0.252642,0.188942,-0.031958,51.949167,188.430359,0
0.010416,-179.016234,48.785583,102.879356,4.816818,3.395081,3.427363,-6.255446,-2.991931,-3.200844,6.089579,-0.256295,0.191359,-0.054364,27.553498,188.504947,0
0.011458,-135.427004,8.785709,179.451326,6.309738,1.346571,4.963205,-5.624844,-0.937187,-4.791391,5.541671,-0.267254,0.217815,-0.031958,2.185168,188.283736,0
0.012499,-83.886682,-47.076391,199.049811,6.682968,-1.404895,5.971225,-3.803936,1.812274,-5.786007,3.830347,-0.227071,0.198022,-0.043161,-34.278271,188.431410,0
0.013541,-38.743530,-133.285722,174.921023,6.230568,-3.609618,6.324429,-1.971833,4.113294,-6.167906,2.030076,-0.168623,0.163791,-0.039427,-81.135600,188.431919,0
0.014583,1.125359,-184.170489,118.021402,5.133498,-5.061681,5.054482,0.636395,5.557864,-5.001225,-0.428396,-0.113828,0.184238,-0.050629,-106.334279,188.499847,0
0.015625,70.042392,-196.348041,64.556440,4.160838,-6.375284,3.605949,3.140144,6.848052,-3.553366,-2.933120,-0.059033,0.181690,-0.050629,-104.603849,188.419862,0
0.016667,142.010558,-155.574990,22.540341,3.346518,-6.073511,1.308139,4.837917,6.686319,-1.434036,-4.587519,-0.015197,0.181299,-0.031958,-82.357080,188.419218,0
0.017708,196.295765,-93.249606,-24.769318,2.464338,-4.955173,-1.160320,5.972254,5.484349,1.079783,-5.669104,-0.007891,0.189856,-0.061832,-47.590141,188.415828,0
0.018750,178.794287,-48.514018,-102.510796,0.982728,-3.226188,-3.275575,6.099120,3.844964,3.232686,-5.935943,-0.004238,0.180253,-0.043161,-21.249151,188.494572,0
0.019792,134.978208,-8.550388,-179.378220,-0.532812,-1.202529,-4.775700,5.487176,1.764490,4.806446,-5.345340,-0.004238,0.202399,-0.031958,2.128618,188.494922,0
0.020833,83.721448,47.541249,-199.062879,-0.838182,1.499233,-5.763877,3.651342,-0.959241,5.767488,-3.630458,-0.033462,0.213373,-0.069301,39.021838,188.419533,0
0.021875,38.623666,133.436477,-174.897160,-0.419712,3.760760,-6.144861,1.830433,-3.223503,6.216535,-1.862208,-0.077298,0.185153,-0.035692,85.291047,188.419516,0
0.022917,-1.347306,184.442054,-118.231440,0.632118,5.173771,-4.815386,-0.733018,-4.627640,5.054051,0.603380,-0.164970,0.178490,-0.035692,110.195666,188.494771,0
0.023958,-69.912721,196.498796,-64.520265,1.627398,6.469622,-3.382727,-3.285275,-5.895774,3.568421,3.093872,-0.175929,0.177771,-0.058098,108.985496,188.419384,0
0.025000,-142.051024,156.329790,-22.541099,2.430408,6.238854,-1.156352,-4.971854,-5.789177,1.449092,4.751829,-0.227071,0.182801,-0.050629,83.979087,188.419439,0
0.026041,-196.268177,93.593655,24.940909,3.357828,5.102765,1.324013,-6.128579,-4.605585,-1.056334,5.879666,-0.256295,0.191032,-0.039427,50.931267,188.420392,0
0.027083,-179.299796,49.027201,102.633144,4.816818,3.391531,3.447206,-6.192012,-3.013986,-3.146287,6.050443,-0.263601,0.208931,-0.039427,26.117128,188.496196,0
0.028124,-135.256867,9.087732,179.229735,6.287118,1.374973,4.959236,-5.617381,-0.915132,-4.736834,5.573692,-0.238030,0.214157,-0.065566,2.411368,188.421052,0
0.029166,-84.295012,-46.907258,199.222160,6.649038,-1.383593,5.899790,-3.818861,1.749787,-5.731450,3.819673,-0.175929,0.211609,-0.058098,-33.350851,188.420927,0
0.030208,-39.197230,-132.995780,174.933334,6.253188,-3.602517,6.320460,-1.994221,4.076536,-6.167906,2.033634,-0.175929,0.180449,-0.069301,-80.762370,188.421112,0
0.031249,0.909852,-184.146328,118.870834,5.178738,-5.033279,5.034639,0.610275,5.539485,-5.034799,-0.371470,-0.135746,0.181429,-0.039427,-104.558609,188.496485,0
0.032291,69.804200,-196.190989,65.233523,4.149528,-6.371734,3.601980,3.121487,6.800267,-3.607923,-2.897541,-0.051727,0.171630,-0.065566,-104.185379,188.421070,0
