1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-FAULT 
0.000000,49.002054,113.660037,-182.185038,-0.532812,3.427034,-5.745313,2.182871,-2.852253,5.762947,-2.283373,-0.084604,0.191555,-0.039427,28.311268,188.721902,0
0.001042,3.700107,187.848869,-132.117803,0.371988,4.999807,-5.051922,-0.132631,-4.476934,5.223085,-0.037304,-0.168623,0.179077,-0.035692,30.878638,188.571111,0
0.002083,-52.615408,197.610239,-76.350758,1.446438,6.160748,-3.318445,-3.031906,-5.598038,3.442344,2.814061,-0.186888,0.177575,-0.028224,18.200128,188.495799,0
0.003125,-141.154967,171.382596,-27.588447,2.328618,6.458971,-1.543059,-5.006547,-6.013398,1.718007,4.858364,-0.234377,0.176138,-0.020755,8.824138,188.721878,0
0.004167,-185.583541,109.262588,19.745833,3.256038,5.038860,0.780944,-5.942934,-4.638667,-0.538135,5.695881,-0.278213,0.194560,-0.024490,8.801518,188.646523,0
0.005208,-192.672604,58.184526,91.664394,4.613238,3.753659,3.101137,-6.746111,-3.293343,-2.903056,6.647605,-0.256295,0.190509,-0.024490,2.501848,188.571246,0
0.006250,-153.461580,10.646169,162.647349,5.959128,1.573789,4.529827,-5.946852,-1.216544,-4.313144,5.878612,-0.234377,0.210238,-0.043161,-10.086181,188.495655,0
0.007292,-94.435207,-39.018428,209.612311,6.829998,-0.946909,5.592773,-4.293482,1.360157,-5.473446,4.325398,-0.227071,0.195539,-0.024490,-20.061601,188.721900,0
0.008333,-48.770300,-113.750900,182.122728,6.332358,-3.300743,5.973757,-2.303169,3.719989,-5.864242,2.269675,-0.190541,0.196454,-0.017021,-23.567701,188.646643,0
0.009375,-3.445668,-187.722275,131.796970,5.427558,-4.901919,5.223218,0.016251,5.385103,-5.272005,0.084516,-0.143052,0.191881,-0.039427,-24.031411,188.571151,0
0.010417,52.756422,-197.350756,76.263826,4.364418,-6.023807,3.504980,2.931197,6.473126,-3.527523,-2.808724,-0.080951,0.176464,-0.024490,-13.603591,188.571114,0
0.011458,140.910335,-171.086870,27.883144,3.493548,-6.297178,1.714355,4.913674,6.877458,-1.827359,-4.814959,-0.022503,0.180253,-0.039427,-4.182361,188.722023,0
0.012500,185.282197,-108.604435,-19.808144,2.509578,-4.930321,-0.659176,5.771703,5.469646,0.533532,-5.656283,0.006721,0.192404,-0.050629,-3.288871,188.646437,0
0.013542,192.257835,-57.647182,-91.702084,1.186308,-3.598967,-2.899362,6.606224,4.135348,2.821905,-6.539482,-0.011544,0.189334,-0.020755,2.728048,188.571163,0
