1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-FAULT 
0.000000,136.611528,-180.413328,14.538447,3.244728,-3.172933,4.022650,-0.378538,3.436956,-4.052773,0.457508,-0.132093,0.401378,-0.061832,-13.671451,188.269171,0
0.001040,174.552192,-132.150117,-49.193561,2.011938,-3.993048,2.994787,1.393863,4.194160,-2.953239,-1.239585,-0.106522,0.395630,-0.061832,3.644158,188.419961,0
0.002079,191.373120,-56.982732,-103.372538,0.971418,-4.298372,1.574034,2.845366,4.572763,-1.576724,-2.733881,-0.084604,0.395434,-0.043161,16.435768,188.420014,0
0.003120,161.281466,7.118545,-161.220076,-0.114342,-3.847486,0.105658,3.819253,4.102267,-0.170832,-3.612669,-0.037115,0.409021,-0.054364,35.199058,188.495305,0
0.004162,114.743187,67.438498,-185.065720,-0.555432,-2.761101,-1.577021,4.229704,3.069381,1.595976,-4.110767,-0.051727,0.405298,-0.028224,42.041608,188.269104,0
0.005203,39.054681,124.677821,-188.229546,-0.679842,-1.284185,-3.124769,4.143882,1.580702,3.102589,-3.979127,-0.051727,0.403795,-0.061832,50.659827,188.495197,0
0.006245,-29.193144,166.489830,-157.096023,-0.136962,0.242434,-3.918486,3.281936,0.022184,4.021664,-3.292462,-0.033462,0.407715,-0.031958,51.836067,188.419989,0
0.007287,-81.153139,190.107998,-85.042046,1.299408,2.198638,-4.315344,1.755806,-1.841421,4.382580,-1.759031,-0.062686,0.400595,-0.035692,34.181158,188.495307,0
0.008328,-136.686022,180.817782,-14.514583,2.622678,3.356028,-3.914517,0.352811,-3.065446,4.122385,-0.360797,-0.102869,0.396479,-0.031958,16.571488,188.269174,0
0.009370,-174.932933,132.735784,48.872727,3.798918,4.158391,-2.839031,-1.460635,-3.830002,3.010261,1.300718,-0.172276,0.394846,-0.065566,1.269058,188.497556,0
0.010412,-191.799232,57.326782,103.310228,4.873368,4.463715,-1.398435,-2.964377,-4.226983,1.625353,2.819918,-0.190541,0.396414,-0.043161,-12.777961,188.420285,0
0.011453,-161.673550,-6.665767,161.133144,5.947818,4.012830,0.109627,-3.938265,-3.734433,0.148117,3.730727,-0.216112,0.394323,-0.065566,-30.274531,188.495707,0
