1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,145.821638,-168.888146,3.951326,2.984598,-3.407252,3.796441,0.110271,3.646474,-3.759004,0.012777,-0.121134,0.393409,-0.031958,81.456957,188.495720,1191.298672,-7.702846,0
0.001042,184.556277,-119.912161,-57.343182,1.808358,-4.255768,2.772546,1.815508,4.499248,-2.789568,-1.691431,-0.062686,0.390665,-0.024490,103.601936,188.646562,1191.209978,-7.036310,0
0.002083,185.066690,-42.473566,-115.929356,0.711288,-4.223816,1.367668,3.080442,4.513951,-1.392069,-2.829942,-0.044421,0.390535,-0.028224,110.591516,188.571219,1190.368643,-5.228612,0
0.003125,159.171761,23.149904,-167.941667,-0.261372,-3.787131,-0.148331,3.901343,4.102267,0.135527,-3.733635,-0.051727,0.385766,-0.017021,106.519916,188.571118,1189.892726,-4.097124,0
0.004167,100.667144,80.691250,-184.474811,-0.578052,-2.413174,-1.910383,4.244629,2.812078,1.893941,-4.050284,-0.037115,0.397916,-0.035692,75.360867,188.495653,1189.967549,-2.934329,0
0.005208,26.180943,136.275489,-189.140531,-0.645912,-1.007264,-3.227952,3.968508,1.264588,3.304030,-3.815466,-0.018850,0.399615,-0.061832,31.036978,188.646520,1189.856164,-3.224016,0
0.006250,-38.357885,170.609419,-146.398107,0.100548,0.785627,-3.878800,2.819246,-0.400527,3.941927,-2.783690,-0.059033,0.392168,-0.031958,-7.959901,188.571107,1190.359237,-2.547722,0
0.007292,-90.476675,198.697520,-68.533523,1.548228,2.638872,-4.374873,1.356549,-2.389108,4.474907,-1.374783,-0.110175,0.398700,-0.046895,-39.299911,188.571123,1191.297094,-2.691148,0
0.008333,-146.656080,169.002658,-4.739962,2.792328,3.600998,-3.644654,-0.214358,-3.304370,3.803436,0.105281,-0.117481,0.395499,-0.031958,-76.668150,188.495484,1192.109519,-2.642357,0
0.009375,-185.231924,121.307249,57.243940,3.968568,4.435313,-2.616790,-1.949445,-4.127738,2.804623,1.816605,-0.139399,0.395238,-0.024490,-99.276839,188.646563,1192.629680,-3.030164,0
0.010417,-185.538171,44.327729,116.310228,5.054328,4.371408,-1.176195,-3.188260,-4.164495,1.356764,3.022716,-0.186888,0.403273,-0.031958,-105.904499,188.571002,1193.276537,-3.112557,0
0.011458,-160.221710,-21.549441,168.027084,6.072228,3.899221,0.367585,-4.068863,-3.716054,-0.141455,3.954871,-0.183235,0.411634,-0.069301,-101.765039,188.571082,1193.968746,-2.632766,0
0.012500,-101.512928,-80.008935,184.424811,6.434148,2.582068,2.125667,-4.356178,-2.400135,-1.920853,4.164784,-0.227071,0.409805,-0.028224,-70.153590,188.495727,1194.416638,-2.886255,0
0.013542,-26.527657,-136.028087,189.287501,6.422838,1.133554,3.423394,-4.020355,-0.911457,-3.247008,3.994008,-0.219765,0.410459,-0.058098,-26.542231,188.646543,1195.099570,-3.072673,0
0.014583,38.703063,-170.217045,146.348107,5.665068,-0.613183,4.058368,-2.919601,0.779389,-3.956249,2.923096,-0.186888,0.395956,-0.028224,13.676128,188.571136,1196.107479,-3.640052,0
0.015625,90.266071,-198.812545,67.978788,4.217388,-2.509031,4.451257,-1.464367,2.720185,-4.392705,1.524862,-0.161317,0.393670,-0.020755,44.314917,188.571082,1196.250350,-3.264480,0
0.016667,145.504048,-169.045198,3.852841,2.995908,-3.400151,3.828190,0.061764,3.664852,-3.733824,0.091050,-0.110175,0.396022,-0.028224,81.253377,188.495703,1196.186985,-2.649689,0
0.017708,184.374797,-120.371235,-57.109280,1.853598,-4.262869,2.800326,1.767000,4.502923,-2.743405,-1.630948,-0.062686,0.393148,-0.039427,104.687696,188.646451,1195.660890,-2.561501,0
0.018750,185.089375,-43.500443,-115.621591,0.756528,-4.248668,1.391479,3.065516,4.528654,-1.358496,-2.865521,-0.040768,0.405886,-0.058098,112.457666,188.571156,1196.025706,-3.530123,0
0.019792,159.546064,21.555225,-168.261743,-0.261372,-3.808433,-0.064991,3.938657,4.058158,0.106150,-3.754983,-0.051727,0.411896,-0.013287,107.583056,188.571075,1195.936004,-4.027767,0
0.020833,102.606711,80.050962,-184.130114,-0.600672,-2.516132,-1.890540,4.196122,2.797375,1.835187,-3.989800,-0.022503,0.412614,-0.046895,77.962167,188.495689,1194.971984,-4.109032,0
0.021875,28.075141,136.251328,-189.091288,-0.702462,-1.035666,-3.204141,3.953583,1.312372,3.249473,-3.811908,-0.059033,0.413072,-0.054364,31.364968,188.721846,1194.666111,-3.688776,0
0.022917,-37.552567,169.932888,-147.149053,0.123168,0.679119,-3.874832,2.804321,-0.415230,3.899960,-2.787248,-0.055380,0.405559,-0.028224,-7.767631,188.571221,1194.193139,-4.102489,0
0.023958,-90.363250,198.588792,-68.718182,1.570848,2.589168,-4.311376,1.360280,-2.289863,4.378383,-1.378341,-0.106522,0.396022,-0.035692,-39.424321,188.571120,1192.439618,-3.278276,0
0.025000,-145.748680,169.485894,-4.296780,2.758398,3.533542,-3.612905,-0.184507,-3.274964,3.778256,0.073261,-0.139399,0.393213,-0.046895,-76.600290,188.495754,1191.836987,-2.939913,0
0.026042,-185.061786,120.751528,57.231629,3.945948,4.367858,-2.604885,-1.841235,-4.065250,2.817213,1.770353,-0.175929,0.392364,-0.046895,-99.175049,188.721969,1190.904178,-2.072467,0
0.027083,-185.776364,43.385418,115.448485,5.020398,4.282651,-1.156352,-3.094975,-4.116711,1.407125,2.933769,-0.168623,0.399288,-0.039427,-107.804579,188.571082,1189.670261,-0.765230,0
0.028125,-159.563845,-21.960191,168.113258,6.026988,3.888570,0.343773,-3.960653,-3.624160,-0.082701,3.890830,-0.197847,0.384394,-0.013287,-102.703769,188.571123,1187.920390,-0.124994,0
0.029167,-101.864545,-80.045178,183.981629,6.388908,2.574967,2.018515,-4.318865,-2.400135,-1.807542,4.132764,-0.230724,0.383022,-0.058098,-70.278000,188.495676,1186.882431,0.995830,0
0.030208,-26.527657,-135.955602,189.275190,6.490698,1.190359,3.316242,-4.027818,-0.959241,-3.209237,3.944198,-0.190541,0.393735,-0.035692,-27.356551,188.721010,1186.089736,1.613118,0
0.031250,38.396816,-169.528434,147.480682,5.687688,-0.506674,3.994870,-2.927064,0.683819,-3.868118,2.923096,-0.164970,0.403795,-0.024490,12.737398,188.570450,1184.926538,2.645668,0
0.032292,90.186673,-198.425956,69.505303,4.273938,-2.398973,4.498880,-1.497949,2.646670,-4.350738,1.542651,-0.132093,0.399484,-0.028224,42.539248,188.571114,1184.100919,3.119079,0
0.033333,145.549418,-169.613000,5.477841,3.052458,-3.325595,3.816284,0.080421,3.587662,-3.767398,0.094608,-0.135746,0.397198,-0.069301,81.400407,188.495696,1183.855403,3.367758,0
0.034375,184.590305,-121.422274,-56.333712,1.853598,-4.227366,2.808264,1.763268,4.444111,-2.768585,-1.577580,-0.077298,0.399615,-0.046895,103.850756,188.721991,1183.343105,3.947424,0
0.035417,185.350252,-44.744776,-115.375379,0.711288,-4.202514,1.359731,3.017009,4.502923,-1.417250,-2.812153,-0.044421,0.404318,-0.035692,110.218286,188.495631,1182.979710,4.648332,0
0.036458,159.375926,21.144474,-168.224811,-0.250062,-3.794232,-0.124520,3.912537,4.069185,0.089363,-3.708731,-0.037115,0.409283,-0.028224,106.587776,188.571098,1182.527878,5.062182,0
0.037500,102.697451,80.026800,-184.007008,-0.555432,-2.477079,-1.846885,4.196122,2.808403,1.835187,-3.961338,-0.051727,0.411243,-0.024490,76.141257,188.495694,1182.247410,5.162390,0
0.038542,27.145055,135.876820,-189.288258,-0.679842,-1.035666,-3.200172,3.893881,1.360157,3.257866,-3.851044,-0.029809,0.403273,-0.061832,30.799468,188.721942,1182.778025,5.948410,0
0.039583,-38.391912,169.812079,-147.395266,0.157098,0.746574,-3.882769,2.815515,-0.334364,3.866387,-2.748112,-0.055380,0.386876,-0.043161,-8.717671,188.495700,1181.935114,6.849808,0
0.040625,-90.272510,198.673359,-68.484281,1.604778,2.603369,-4.311376,1.405057,-2.289863,4.416153,-1.371225,-0.084604,0.389097,-0.046895,-39.288601,188.571047,1182.323202,6.846499,0
0.041667,-145.294980,169.751674,-4.185985,2.803638,3.533542,-3.624811,-0.150924,-3.252909,3.782453,0.066145,-0.121134,0.393931,-0.024490,-76.046100,188.495600,1182.126150,7.018334,0
0.042708,-184.664799,121.053550,57.256250,3.957258,4.382059,-2.664413,-1.833772,-4.057899,2.792033,1.763238,-0.157664,0.395826,-0.050629,-99.175049,188.721766,1181.778721,6.809249,0
