1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-FAULT 
0.000000,-58.592906,-97.586650,196.944698,6.682968,-0.733892,6.530795,-4.949466,1.021988,-6.407117,4.968858,-0.234377,0.309989,-0.050629,-42.082171,188.495510,0
0.001042,-12.565039,-167.402195,150.373675,5.823408,-3.240389,6.915748,-2.908407,3.517822,-6.797410,2.866170,-0.190541,0.310185,-0.065566,-10.459411,188.495685,0
0.002083,39.962081,-207.704090,89.940909,4.658478,-5.327952,5.979162,0.039375,5.642406,-6.012628,0.190669,-0.128440,0.305808,-0.050629,15.417868,188.495683,0
0.003125,118.009827,-179.072348,39.984470,3.697128,-6.687709,4.423477,2.733425,6.965676,-4.417885,-2.467042,-0.048074,0.300451,-0.054364,62.976417,188.269331,0
0.004167,181.890790,-128.707059,-8.113068,2.792328,-6.705460,2.300285,4.543139,7.171518,-2.441243,-4.334912,-0.048074,0.309923,-0.076769,107.888426,188.495580,0
0.005208,193.414770,-68.181730,-70.934091,1.582158,-5.778838,-0.580907,6.285689,6.123929,0.471262,-5.939500,0.035945,0.309858,-0.017021,123.575396,188.495586,0
0.006250,169.788342,-19.386959,-148.417046,0.145788,-4.309022,-2.866811,6.819275,4.701414,2.804623,-6.629723,0.010374,0.312471,-0.084238,116.189966,188.499248,0
0.007292,109.831884,28.670877,-198.939773,-0.815562,-1.838029,-4.795543,6.099120,2.253364,4.663758,-5.925269,0.032292,0.338993,-0.054364,81.852807,188.420714,0
0.008333,56.703612,97.773648,-197.056251,-0.747702,0.913437,-6.351228,4.785678,-0.459339,6.346632,-4.768969,-0.026156,0.327561,-0.061832,45.785217,188.496071,0
0.009375,11.492405,166.948905,-150.115910,0.089238,3.384431,-6.728243,2.684917,-2.907389,6.774695,-2.723207,-0.077298,0.287582,-0.065566,15.383938,188.496083,0
0.010417,-40.161342,208.277677,-89.523106,1.208928,5.457793,-5.835312,-0.106148,-5.065054,5.960536,-0.040591,-0.128440,0.303064,-0.035692,-10.776091,188.496033,0
0.011458,-117.721361,179.029809,-39.652841,2.158968,6.785597,-4.247878,-2.796466,-6.340539,4.445530,2.592216,-0.194194,0.299471,-0.050629,-58.572150,188.345223,0
0.012500,-182.634491,129.244403,7.927652,3.075078,6.828200,-2.176278,-4.669613,-6.542706,2.447904,4.435181,-0.208806,0.307833,-0.058098,-102.975209,188.496009,0
0.013542,-193.228387,69.504333,70.896402,4.262628,5.880276,0.720789,-6.434551,-5.484090,-0.456207,6.114484,-0.256295,0.313647,-0.035692,-119.205059,188.496134,0
0.014583,-170.441303,20.951180,149.130303,5.732928,4.435313,3.010661,-6.897241,-4.157144,-2.764388,6.754897,-0.285519,0.325667,-0.054364,-110.541599,188.496018,0
