1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-FAULT 
0.000000,143.507768,-185.958463,8.789394,3.131628,-2.505481,6.677633,-3.468112,2.448179,-6.625345,3.481678,-0.248989,0.603429,-0.031958,84.827337,188.420289,0
0.001042,173.100352,-139.954381,-61.270265,1.785738,-4.550441,6.074408,-0.912124,4.411030,-6.088169,1.019648,-0.150358,0.597157,-0.028224,105.049616,188.495725,0
0.002083,195.354338,-57.248512,-114.833712,0.745218,-6.048659,4.816367,1.610282,6.098199,-4.887915,-1.488634,-0.095563,0.593107,-0.046895,119.334146,188.420254,0
0.003125,163.844871,12.240848,-165.787311,-0.216132,-6.439189,2.923353,3.763283,6.392259,-3.028780,-3.491702,-0.040768,0.607740,-0.046895,110.308766,188.495843,0
0.004167,117.442702,80.824140,-186.025948,-0.566742,-5.913748,0.288213,5.539415,5.951169,-0.397453,-5.348898,0.006721,0.595394,-0.046895,89.701946,188.420180,0
0.005208,36.547988,133.231102,-189.632955,-0.691152,-4.433282,-2.223901,6.341659,4.543357,2.045022,-6.088930,-0.011544,0.602710,-0.076769,37.664638,188.495586,0
0.006250,-39.787040,171.008088,-162.278788,-0.227442,-2.466428,-4.347093,6.259569,2.540073,4.252482,-6.067583,0.006721,0.597615,-0.054364,-11.816611,188.420300,0
0.007292,-98.257630,186.930720,-88.969129,1.231548,0.245985,-5.950401,5.080456,-0.150576,5.864012,-4.918398,-0.004238,0.596700,-0.069301,-47.850271,188.495664,0
0.008333,-143.684344,186.495807,-7.534470,2.735778,2.560766,-6.577437,3.378952,-2.525111,6.594237,-3.331599,-0.066339,0.592585,-0.028224,-80.683200,188.420377,0
0.009375,-172.777858,139.911841,62.192803,4.059048,4.563123,-5.970244,0.770724,-4.491637,6.031880,-0.926494,-0.091910,0.590821,-0.031958,-100.102469,188.420363,0
0.010417,-195.701052,57.314701,114.931440,5.110878,6.139446,-4.763794,-1.710637,-6.182482,4.898773,1.603135,-0.161317,0.592193,-0.009553,-115.190009,188.420359,0
0.011458,-164.055475,-11.570614,165.601894,6.049608,6.505125,-2.831094,-3.915877,-6.520651,3.035441,3.570624,-0.212459,0.602188,-0.009553,-106.560479,188.495732,0
0.012500,-118.322513,-79.791479,186.099054,6.456768,6.057790,-0.195954,-5.718128,-6.116319,0.374738,5.484745,-0.241683,0.605258,-0.050629,-82.843410,188.420311,0
0.013542,-38.097007,-132.826647,189.028978,6.513318,4.552472,2.276473,-6.471865,-4.649694,-2.025770,6.221220,-0.241683,0.611660,-0.050629,-33.588361,188.495723,0
0.014583,38.374131,-171.074789,162.413447,5.993058,2.574967,4.455226,-6.404700,-2.653762,-4.321361,6.274587,-0.292825,0.601992,-0.031958,15.949438,188.420283,0
0.015625,97.967629,-186.296729,89.990152,4.579308,-0.194250,6.102188,-5.150960,0.007481,-5.878334,5.104056,-0.256295,0.598399,-0.084238,52.446807,188.495727,0
0.016667,143.246891,-186.320890,7.410606,3.109008,-2.459327,6.633978,-3.483038,2.418773,-6.570788,3.449657,-0.175929,0.593369,-0.028224,83.798127,188.420329,0
0.017708,172.215637,-139.483226,-62.525947,1.808358,-4.543341,6.082345,-0.930781,4.455139,-6.075579,1.080131,-0.150358,0.586510,-0.061832,105.626426,188.420251,0
0.018750,195.479105,-56.028341,-114.784470,0.790458,-6.077061,4.871927,1.602819,6.079820,-4.921488,-1.474403,-0.121134,0.589906,-0.039427,118.836506,188.420258,0
0.019792,163.572651,12.856974,-165.553410,-0.193512,-6.435639,2.970976,3.767014,6.414313,-3.058156,-3.456123,-0.048074,0.598856,-0.061832,109.845056,188.495658,0
0.020833,117.714922,80.630845,-186.112122,-0.555432,-5.974103,0.331867,5.602848,6.024684,-0.472994,-5.331109,-0.040768,0.579258,-0.050629,88.797147,188.420376,0
0.021875,37.750293,133.291506,-189.078978,-0.679842,-4.468785,-2.204058,6.375242,4.558060,2.049219,-6.071141,0.003068,0.604213,-0.028224,37.913458,188.420175,0
0.022917,-38.097007,171.285949,-162.709660,-0.182202,-2.477079,-4.315344,6.315540,2.518018,4.319629,-6.128066,-0.011544,0.609569,-0.054364,-10.493341,188.420030,0
0.023958,-97.871985,186.749506,-90.101705,1.197618,0.267286,-5.958338,5.028217,-0.099116,5.884996,-4.939746,-0.011544,0.603755,-0.039427,-48.472320,188.495734,0
0.025000,-143.899852,186.447484,-7.903788,2.735778,2.599819,-6.565531,3.349101,-2.536138,6.581647,-3.313810,-0.062686,0.595916,-0.024490,-79.767090,188.344968,0
0.026042,-173.163503,139.827275,62.254356,4.059048,4.609277,-5.966275,0.755798,-4.535746,6.044470,-0.883800,-0.117481,0.589580,-0.050629,-100.011989,188.420354,0
