1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,-127.203691,-77.604835,171.117046,6.140088,4.996257,-1.831011,-3.255424,-4.947430,2.032432,3.004926,-0.186888,0.560902,-0.046895,4.096558,188.571071,975.177662,1016.119988,0
0.001042,-47.681420,-129.335266,187.970266,6.468078,4.577324,0.069941,-4.453194,-4.590882,0.064183,4.360466,-0.238030,0.569786,-0.017021,0.986308,188.495740,975.201568,1015.105681,0
0.002083,22.211068,-169.721728,158.978788,5.891268,3.441235,1.867709,-4.997974,-3.546969,-1.660658,4.769618,-0.256295,0.581479,-0.028224,-0.178622,188.495658,975.163456,1015.712082,0
0.003125,94.077151,-180.195872,107.791288,4.963848,1.634143,3.744849,-4.893496,-1.639255,-3.607923,4.773176,-0.219765,0.559334,-0.043161,-1.547132,188.646458,975.033345,1015.922964,0
0.004167,140.195758,-177.876338,23.968371,3.369138,-0.204901,4.736995,-4.009161,0.143484,-4.598343,3.897946,-0.208806,0.560771,-0.054364,-2.270972,188.571033,975.202844,1015.874801,0
0.005208,167.814747,-150.972165,-51.557197,1.955388,-2.051045,5.193383,-2.550195,2.051198,-5.101946,2.542406,-0.205153,0.561033,-0.061832,-2.734681,188.495656,975.022538,1015.132628,0
0.006250,174.438767,-77.677321,-117.714394,0.699978,-3.772930,4.891770,-0.568838,3.723664,-4.820767,0.663863,-0.135746,0.560118,-0.013287,-2.406691,188.495591,974.984461,1014.600931,0
0.007292,172.181609,4.074157,-155.187879,-0.080412,-4.671151,3.931373,1.143861,4.727144,-3.994019,-0.994093,-0.150358,0.562862,-0.046895,-0.845912,188.646471,974.631153,1015.059138,0
0.008333,127.356047,78.275069,-170.563826,-0.374472,-4.926771,2.038358,3.072979,4.936662,-2.143277,-2.805037,-0.095563,0.560380,-0.043161,0.624388,188.571062,973.457225,1015.063645,0
0.009375,47.572899,129.739720,-188.057198,-0.747702,-4.525589,0.153281,4.382690,4.635250,-0.175029,-4.185482,-0.048074,0.563646,-0.073035,4.073938,188.495703,972.934828,1016.033877,0
0.010417,-22.240192,169.340924,-158.400947,-0.136962,-3.353998,-1.707985,4.826723,3.462686,1.541419,-4.587519,-0.022503,0.561882,-0.065566,4.910878,188.495653,971.430032,1016.022774,0
0.011458,-93.788685,180.878187,-107.238069,0.858318,-1.546906,-3.612905,4.781947,1.632163,3.568421,-4.630213,-0.026156,0.559792,-0.024490,6.516898,188.571225,970.881362,1016.254036,0
0.012500,-139.907292,177.761314,-25.224811,2.419098,0.256635,-4.609020,3.920000,-0.128522,4.537857,-3.801235,-0.066339,0.561163,-0.039427,7.150258,188.571113,969.638365,1017.260510,0
0.013542,-168.785298,151.255810,49.377462,3.810228,2.141833,-5.041595,2.427452,-2.047263,5.058247,-2.470600,-0.088257,0.561555,-0.058098,7.433008,188.495756,968.729328,1017.424785,0
0.014583,-173.923451,79.036166,116.630303,5.054328,3.814014,-4.739983,0.509528,-3.741784,4.861003,-0.549363,-0.146705,0.555741,-0.031958,7.308598,188.495767,968.432210,1017.319651,0
0.015625,-172.845913,-3.428085,154.719319,5.789478,4.790341,-3.839114,-1.188245,-4.767318,3.929337,1.161962,-0.172276,0.562862,-0.028224,5.442448,188.571120,968.591318,1016.964310,0
0.016667,-128.111091,-78.063910,170.230682,6.072228,4.967855,-1.894508,-3.147214,-4.936403,2.179316,2.915980,-0.197847,0.548294,-0.039427,3.881668,188.571098,966.905187,1018.565017,0
0.017708,-47.590680,-129.238619,187.625569,6.479388,4.602176,0.014381,-4.442000,-4.612937,0.215264,4.303540,-0.227071,0.534968,-0.046895,1.122028,188.495703,964.970960,1019.873645,0
0.018750,21.882135,-168.743175,159.791288,5.925198,3.533542,1.776432,-4.960660,-3.546969,-1.534757,4.726924,-0.197847,0.555349,-0.065566,0.070198,188.495712,963.402963,1019.841760,0
0.019792,92.988271,-181.017373,109.071591,5.020398,1.726451,3.705164,-4.919615,-1.698067,-3.628907,4.801639,-0.259948,0.559857,-0.050629,-1.524512,188.495665,964.178545,1020.499979,0
0.020833,139.776085,-177.441426,26.787500,3.459618,-0.045138,4.709215,-4.035281,0.033211,-4.594146,3.969103,-0.234377,0.564299,-0.050629,-2.259662,188.495749,963.838556,1021.414711,0
0.021875,168.903627,-151.237945,-48.048674,1.978008,-1.965839,5.181477,-2.598703,1.988710,-5.131323,2.613563,-0.205153,0.564234,-0.046895,-2.734681,188.495731,963.983026,1022.090838,0
0.022917,173.463312,-79.332404,-116.741856,0.699978,-3.684173,4.844147,-0.602420,3.675880,-4.887915,0.759925,-0.154011,0.556787,-0.043161,-2.293592,188.495660,963.422374,1023.009794,0
0.023958,172.612624,4.025833,-155.150947,-0.001242,-4.653399,3.923436,1.106547,4.653629,-3.994019,-0.969189,-0.132093,0.561882,-0.076769,-0.800672,188.495767,962.563673,1022.793820,0
0.025000,128.081967,78.516687,-170.059091,-0.340542,-4.834464,2.085981,3.039397,4.921959,-2.185244,-2.755228,-0.062686,0.555284,-0.024490,0.454738,188.495749,961.801475,1023.164472,0
0.026042,47.765721,129.510183,-188.020266,-0.645912,-4.536240,0.153281,4.341645,4.627899,-0.187619,-4.164135,-0.051727,0.539345,-0.043161,4.051318,188.495759,961.478778,1023.030488,0
0.027083,-21.673067,169.038901,-158.573296,-0.114342,-3.417903,-1.604802,4.822992,3.503119,1.520435,-4.605308,-0.037115,0.560314,-0.046895,4.820398,188.495747,961.517271,1023.501768,0
0.028125,-92.813230,180.962753,-107.521212,0.835698,-1.578858,-3.604968,4.796872,1.668920,3.547438,-4.630213,-0.040768,0.561425,-0.058098,6.562138,188.420291,961.279907,1023.594288,0
0.029167,-139.884607,177.640505,-26.369697,2.385168,0.206932,-4.557428,3.920000,-0.099116,4.521071,-3.783445,-0.015197,0.558681,-0.035692,7.105018,188.495633,961.042045,1023.302782,0
0.030208,-169.034833,151.690723,48.429546,3.798918,2.085029,-5.009847,2.434915,-2.043588,5.129591,-2.424348,-0.080951,0.559334,-0.035692,7.546108,188.495655,962.055060,1023.207199,0
0.031250,-174.093588,79.495241,116.187122,5.009088,3.806914,-4.755857,0.468483,-3.712378,4.831626,-0.581383,-0.139399,0.554892,-0.050629,7.331218,188.495606,961.558582,1023.018101,0
0.032292,-173.186188,-3.573055,154.362311,5.778168,4.747737,-3.791491,-1.188245,-4.704831,3.887370,1.179751,-0.139399,0.563188,-0.043161,5.532928,188.420363,961.129527,1022.036384,0
0.033333,-128.474051,-77.955181,170.279925,6.128778,4.946553,-1.934194,-3.128558,-4.884942,2.103776,2.944443,-0.212459,0.559138,-0.035692,4.198348,188.495656,961.545688,1020.665599,0
0.034375,-47.851558,-129.033244,187.674811,6.434148,4.641229,-0.033242,-4.468119,-4.660722,0.152314,4.335561,-0.230724,0.574620,-0.024490,1.065478,188.495727,962.681553,1020.644216,0
0.035417,21.042790,-168.658609,160.197538,5.970438,3.512241,1.736746,-4.953198,-3.539618,-1.576724,4.766060,-0.241683,0.563776,-0.069301,-0.065522,188.495640,963.813766,1020.428356,0
0.036458,92.148926,-180.884484,109.785606,4.986468,1.683847,3.713101,-4.904690,-1.687040,-3.544973,4.790965,-0.223418,0.564626,-0.028224,-1.524512,188.344985,963.085094,1019.902694,0
0.037500,139.435810,-177.755529,27.784659,3.436998,-0.101943,4.709215,-4.027818,0.066293,-4.594146,3.969103,-0.216112,0.567892,-0.065566,-2.225732,188.495703,963.708914,1019.418919,0
0.038542,168.914969,-151.455401,-47.186932,1.966698,-2.004892,5.173540,-2.542733,1.988710,-5.114536,2.631352,-0.201500,0.560575,-0.024490,-2.791231,188.495866,963.724242,1019.269367,0
0.039583,173.554052,-79.477375,-115.104546,0.711288,-3.712576,4.883833,-0.591226,3.679555,-4.871128,0.756367,-0.143052,0.547119,-0.046895,-2.418001,188.495580,963.849317,1018.572191,0
0.040625,172.805447,3.941267,-153.858334,-0.035172,-4.688902,3.943279,1.106547,4.701414,-4.002412,-1.015441,-0.080951,0.559008,-0.073035,-0.913772,188.344943,964.779865,1018.263897,0
0.041667,128.433585,78.552930,-169.751326,-0.351852,-4.877067,2.085981,3.020740,4.921959,-2.214621,-2.751670,-0.059033,0.544440,-0.039427,0.522598,188.495689,964.662240,1018.528900,0
0.042708,48.242106,129.292727,-187.060038,-0.645912,-4.536240,0.157250,4.378959,4.675684,-0.191815,-4.167693,-0.044421,0.557244,-0.046895,4.006078,188.495743,964.722482,1018.819075,0
0.043750,-20.402707,168.579827,-159.927463,-0.159582,-3.478257,-1.596864,4.845380,3.536201,1.482665,-4.615981,-0.044421,0.548882,-0.043161,4.888258,188.495693,965.008893,1019.083770,0
0.044792,-91.667637,181.409747,-109.244697,0.790458,-1.628562,-3.585125,4.826723,1.698326,3.505471,-4.672907,-0.040768,0.564299,-0.043161,6.505588,188.344956,965.351125,1019.463922,0
0.045833,-139.260769,177.652586,-27.440720,2.339928,0.182080,-4.573302,3.912537,-0.084413,4.516874,-3.815466,-0.051727,0.560118,0.009119,7.161568,188.420339,965.498399,1019.538230,0
0.046875,-169.579273,151.666561,47.358523,3.764988,2.106330,-5.049532,2.475960,-1.999479,5.100214,-2.463484,-0.077298,0.559465,-0.073035,7.466938,188.495664,964.890796,1019.774414,0
0.047917,-173.367668,80.075124,115.620834,5.043018,3.782062,-4.728077,0.520722,-3.682972,4.810643,-0.599172,-0.124787,0.548817,-0.031958,7.274668,188.495767,964.370198,1019.298182,0
0.048958,-173.310956,-3.621379,154.066857,5.823408,4.761938,-3.835146,-1.206902,-4.708506,3.988091,1.115710,-0.168623,0.554304,-0.065566,5.442448,188.269525,963.803277,1020.854773,0
0.050000,-129.188629,-77.991424,169.799811,6.140088,4.960754,-1.973880,-3.094975,-4.940079,2.154136,2.912422,-0.208806,0.556787,-0.065566,3.949528,188.419978,963.755350,1021.852614,0
0.051042,-48.940438,-128.791625,187.403978,6.513318,4.705134,-0.053085,-4.501702,-4.657046,0.198477,4.335561,-0.263601,0.571354,-0.031958,1.223818,188.495698,963.611449,1021.950145,0
0.052083,19.466183,-168.102887,160.689963,5.936508,3.554844,1.728809,-4.975586,-3.583727,-1.496987,4.773176,-0.208806,0.571942,-0.043161,0.149368,188.495718,963.198950,1022.381049,0
0.053125,90.867223,-181.548933,110.241099,4.997778,1.719350,3.653572,-4.919615,-1.778934,-3.574350,4.819428,-0.278213,0.568349,-0.017021,-1.558442,188.269465,963.658662,1023.343106,0
0.054167,138.902713,-177.586397,28.584849,3.448308,-0.112594,4.697310,-4.020355,0.014833,-4.573163,3.979776,-0.205153,0.564887,-0.046895,-2.282282,188.420260,963.137812,1023.421398,0
0.055208,169.414039,-151.515806,-46.435985,2.023248,-1.983590,5.197351,-2.568852,1.988710,-5.127126,2.613563,-0.186888,0.559661,-0.024490,-2.779921,188.420377,963.491704,1023.271825,0
0.056250,172.998269,-79.984773,-116.089394,0.722598,-3.709025,4.907644,-0.628540,3.731016,-4.858538,0.777714,-0.132093,0.518637,-0.080503,-2.282282,188.420301,963.858785,1023.513146,0
0.057292,173.236462,4.122480,-154.313826,-0.035172,-4.685352,3.975027,1.087890,4.756550,-3.977232,-0.979862,-0.154011,0.502044,-0.028224,-0.778052,188.269534,964.176490,1023.953916,0
0.058333,129.204875,77.997208,-169.739016,-0.351852,-4.891268,2.070107,3.028203,4.969744,-2.210425,-2.805037,-0.055380,0.518572,-0.061832,0.364258,188.420338,965.483953,1024.051888,0
0.059375,49.546494,128.881976,-187.072349,-0.691152,-4.578844,0.125501,4.423735,4.672008,-0.183422,-4.217503,-0.059033,0.548882,-0.061832,3.972148,188.420376,966.499723,1023.771344,0
0.060417,-19.098319,168.676474,-160.309091,-0.159582,-3.428553,-1.644487,4.849111,3.517822,1.520435,-4.637329,-0.040768,0.565801,-0.061832,4.786468,188.420247,967.543395,1023.273398,0
0.061458,-91.077827,181.421828,-110.020265,0.756528,-1.603710,-3.612905,4.830454,1.694650,3.568421,-4.633771,-0.029809,0.563711,-0.050629,6.562138,188.269471,968.362073,1022.604463,0
0.062500,-138.852439,178.111660,-27.933144,2.317308,0.245985,-4.581239,3.849104,-0.146900,4.567234,-3.794119,-0.080951,0.558877,-0.039427,7.105018,188.344887,969.676645,1021.958376,0
0.063542,-169.023491,152.137716,47.260038,3.742368,2.156034,-5.045564,2.378944,-2.065642,5.066641,-2.406559,-0.069992,0.556852,-0.035692,7.546108,188.420377,970.353470,1020.622970,0
0.064583,-173.832711,79.640211,115.214584,5.065638,3.913422,-4.747920,0.446095,-3.730757,4.835823,-0.538689,-0.110175,0.557505,-0.073035,7.342528,188.420220,971.421857,1020.386903,0
0.065625,-173.707943,-3.500570,153.771402,5.800788,4.822293,-3.803397,-1.270335,-4.752615,3.899960,1.240234,-0.164970,0.549666,-0.020755,5.600788,188.269454,973.205703,1018.719035,0
