1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,58.257534,94.221862,-192.685985,-0.747702,2.724079,-6.053584,2.740887,-2.186942,6.153584,-2.808595,-0.066339,0.207755,-0.061832,4.910878,188.495682,1004.483063,-1291.826260,0
0.001042,18.207165,168.603988,-146.668940,0.123168,4.726436,-5.688474,0.457289,-4.182874,5.717128,-0.474648,-0.088257,0.185871,-0.039427,-1.762022,188.495776,1004.062080,-1292.429908,0
0.002083,-34.070420,202.635895,-88.205871,1.197618,6.011636,-4.069292,-2.281537,-5.531874,4.307039,2.069213,-0.175929,0.190117,-0.058098,-11.499931,188.571080,1004.694292,-1292.619917,0
0.003125,-115.883876,173.907505,-42.632008,2.079798,6.632935,-2.204058,-4.464388,-6.079561,2.405938,4.235941,-0.219765,0.179731,-0.069301,-19.428241,188.495647,1005.996876,-1292.645518,0
0.004167,-179.900949,122.164993,0.885985,2.905428,5.688561,0.034224,-5.471858,-5.333384,0.295001,5.278390,-0.212459,0.197303,-0.039427,-20.355661,188.495712,1006.361255,-1292.047240,0
0.005208,-190.699009,68.404971,66.009091,4.160838,4.296852,2.601897,-6.464402,-3.771190,-2.327932,6.196315,-0.263601,0.198806,-0.050629,-14.123851,188.495732,1006.795396,-1292.495387,0
0.006250,-165.348520,24.418399,147.123675,5.676378,2.372601,4.296483,-5.983056,-1.966397,-4.124116,5.929476,-0.248989,0.205207,-0.054364,-10.176661,188.571120,1007.309399,-1292.682878,0
0.007292,-105.233268,-21.283661,197.523296,6.626418,-0.144546,5.542618,-4.669613,0.540465,-5.286600,4.573937,-0.205153,0.214353,-0.046895,-1.773332,188.495694,1008.403326,-1293.501419,0
0.008333,-59.647758,-93.829489,192.426705,6.558558,-2.572936,6.237120,-2.848705,3.003217,-6.146922,2.983579,-0.183235,0.204228,-0.061832,0.454738,188.495819,1008.528405,-1293.652926,0
0.009375,-18.655962,-168.549881,147.000569,5.732928,-4.589494,5.840262,-0.553912,5.024880,-5.735646,0.706557,-0.139399,0.195213,-0.046895,5.838298,188.495797,1009.507236,-1294.584820,0
0.010417,34.188748,-202.074389,88.685228,4.601928,-5.864044,4.189331,2.173719,6.388583,-4.266804,-1.879997,-0.077298,0.187962,-0.054364,16.922098,188.571154,1009.659650,-1294.889005,0
0.011458,115.525819,-173.974206,43.000568,3.742368,-6.449840,2.403468,4.337914,6.925243,-2.395079,-4.046726,-0.059033,0.181233,-0.031958,23.775958,188.495662,1010.339476,-1294.488730,0
0.012500,179.542892,-121.675973,-0.578977,2.916738,-5.509016,0.153281,5.367772,6.175390,-0.229586,-5.135427,-0.029809,0.195670,-0.043161,26.094508,188.495797,1010.509540,-1294.286943,0
0.013542,190.091418,-67.154853,-65.505114,1.638708,-4.113757,-2.462016,6.341659,4.598493,2.389151,-6.028447,0.014027,0.193188,-0.058098,20.507368,188.495750,1010.411204,-1294.209402,0
0.014583,164.627504,-23.482385,-146.878220,0.123168,-2.178855,-4.136758,5.882701,2.801051,4.147565,-5.754492,-0.011544,0.211087,-0.028224,14.015428,188.571143,1010.627331,-1293.383966,0
0.015625,104.206004,21.796843,-197.339395,-0.826872,0.302789,-5.367019,4.509557,0.283162,5.297459,-4.395395,-0.018850,0.216509,-0.058098,6.381178,188.495736,1010.449768,-1293.744371,0
0.016667,58.473042,94.137296,-192.550569,-0.770322,2.748931,-6.025804,2.729693,-2.157536,6.166174,-2.733881,-0.080951,0.198022,-0.035692,4.956118,188.495674,1009.741542,-1293.692104,0
0.017708,18.173138,168.265723,-146.939773,0.089238,4.747737,-5.609103,0.442363,-4.215956,5.708735,-0.471090,-0.088257,0.206253,-0.039427,-1.807262,188.495662,1009.509782,-1294.074964,0
0.018750,-34.240557,202.744623,-88.144318,1.208928,6.018737,-4.021669,-2.288999,-5.517171,4.265072,2.079886,-0.150358,0.186067,-0.028224,-11.827921,188.646417,1009.016604,-1293.942118,0
0.019792,-115.214668,173.919586,-42.275000,2.079798,6.611633,-2.180246,-4.464388,-6.006046,2.347184,4.228826,-0.223418,0.174831,-0.031958,-19.416931,188.495729,1007.687419,-1293.339653,0
