1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-FAULT 
0.000000,112.134412,88.894184,-183.834660,-0.611982,-5.878245,0.208841,5.643893,6.006305,-0.292536,-5.405823,-0.037115,0.587620,-0.065566,-6.048511,188.496038,0
0.001042,29.152678,138.208434,-188.783523,-0.668532,-4.383578,-2.283429,6.408824,4.466166,2.175119,-6.163645,-0.004238,0.589253,-0.065566,-1.818572,188.420625,0
0.002083,-46.876103,168.966416,-159.422728,-0.148272,-2.285364,-4.323282,6.151359,2.411422,4.302843,-6.039120,-0.004238,0.611464,-0.046895,5.906158,188.496035,0
0.003125,-102.340930,192.330884,-82.112121,1.322028,0.448350,-6.049615,4.964784,-0.304958,6.002503,-4.886378,-0.022503,0.599183,-0.046895,7.840168,188.420645,0
0.004167,-146.928300,180.431193,-4.050568,2.814948,2.617570,-6.418694,3.166263,-2.624356,6.527090,-3.167938,-0.044421,0.596504,-0.050629,12.477268,188.496042,0
0.005208,-178.233601,130.380008,64.913447,4.149528,4.871997,-5.942464,0.531916,-4.704831,6.044470,-0.695234,-0.132093,0.584746,-0.080503,15.440488,188.420623,0
0.006250,-192.411727,49.003039,118.218372,5.156118,6.167849,-4.636800,-1.822578,-6.167779,4.827429,1.692081,-0.186888,0.595263,-0.091706,15.836338,188.496033,0
0.007292,-160.505273,-19.894357,167.436175,6.072228,6.647136,-2.664413,-4.136027,-6.572112,2.888557,3.826789,-0.194194,0.606172,-0.061832,16.514938,188.420803,0
0.008333,-112.481126,-88.453487,183.698485,6.422838,5.993885,-0.025305,-5.789024,-6.039128,0.295001,5.545229,-0.241683,0.605519,-0.065566,10.599808,188.420623,0
0.009375,-30.554245,-137.888546,188.856629,6.513318,4.538271,2.431248,-6.565149,-4.535746,-2.181048,6.299492,-0.256295,0.608067,-0.065566,6.358558,188.420479,0
0.010417,45.553934,-168.646528,159.606629,5.925198,2.393903,4.522692,-6.244251,-2.510408,-4.338148,6.142947,-0.245336,0.609700,-0.039427,-0.551852,188.496111,0
0.011458,101.880791,-192.204291,83.133144,4.477518,-0.286557,6.185528,-5.139766,0.176566,-5.979055,5.022225,-0.241683,0.605780,-0.065566,-3.254941,188.496053,0
0.012500,146.910518,-180.050901,5.071591,3.018528,-2.501931,6.562544,-3.307663,2.506991,-6.491051,3.271765,-0.216112,0.593891,-0.054364,-7.224751,188.420567,0
0.013542,178.147765,-130.627923,-64.446402,1.672638,-4.692452,6.062502,-0.647197,4.631575,-5.966465,0.813293,-0.135746,0.587881,-0.061832,-10.640371,188.420714,0
0.014583,192.110383,-48.344886,-117.985228,0.677358,-6.034458,4.800493,1.714761,6.094523,-4.799784,-1.538444,-0.113828,0.568349,-0.087972,-11.194561,188.496006,0
0.015625,160.113189,21.229040,-167.178410,-0.238752,-6.513745,2.816201,3.961045,6.476801,-2.890289,-3.673152,-0.048074,0.563515,-0.073035,-11.499931,188.495997,0
0.016667,111.113587,89.401582,-183.773107,-0.532812,-5.924399,0.236621,5.636430,5.954845,-0.275749,-5.427171,-0.037115,0.610288,-0.046895,-6.116371,188.496016,0
0.017708,28.676293,138.039301,-188.943561,-0.668532,-4.443933,-2.208026,6.416287,4.469842,2.145743,-6.184992,-0.029809,0.591997,-0.046895,-2.214422,188.496033,0
