1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-FAULT 
0.000000,48.899971,114.396972,-179.649054,-0.464952,3.501590,-6.204390,2.140137,-2.925768,6.208141,-2.161067,-0.110175,0.194364,-0.058098,1.348228,188.563857,0
0.001042,6.876007,185.191070,-129.015531,0.451158,5.109866,-5.370988,-0.210626,-4.649694,5.641588,0.044798,-0.132093,0.191097,-0.028224,1.710148,188.486598,0
0.002083,-51.742035,195.810184,-74.762690,1.469058,6.387966,-3.664497,-2.979303,-5.770798,3.832813,2.809245,-0.172276,0.177379,-0.046895,3.010798,188.637407,0
0.003125,-138.682302,169.147629,-29.890530,2.328618,6.586782,-1.735765,-4.859913,-6.127346,1.948498,4.655767,-0.234377,0.180776,-0.013287,5.759128,188.487628,0
0.004167,-185.628911,105.360456,15.929546,3.176868,5.269628,0.827940,-5.897234,-4.833482,-0.548534,5.580807,-0.252642,0.195670,-0.046895,7.647898,188.550568,0
0.005208,-190.279337,58.945623,90.753409,4.658478,3.828215,3.169405,-6.516642,-3.414642,-2.974223,6.367091,-0.259948,0.197564,-0.050629,8.055058,188.477410,0
0.006250,-148.425510,14.415411,164.580114,6.004368,1.680297,4.816367,-5.897234,-1.234923,-4.602539,5.680427,-0.274560,0.191032,-0.035692,6.867508,188.702457,0
0.007292,-92.609065,-36.058606,206.608523,6.863928,-0.929158,5.895822,-4.233043,1.330751,-5.811187,4.225268,-0.216112,0.188092,-0.046895,5.781748,188.478217,0
0.008333,-48.327943,-114.306622,179.820644,6.366288,-3.378849,6.356178,-2.251686,3.793504,-6.256036,2.325378,-0.179582,0.192665,-0.050629,3.497128,188.558326,0
0.009375,-6.678281,-184.895344,128.817803,5.416248,-4.987126,5.522775,0.031913,5.491700,-5.622336,0.126628,-0.113828,0.183193,-0.039427,3.101278,188.491590,0
0.010417,51.497404,-196.335960,74.171023,4.341798,-6.272326,3.756755,2.856560,6.689995,-3.767398,-2.573777,-0.044421,0.172872,-0.050629,1.970278,188.641623,0
0.011458,138.142765,-168.682771,29.668182,3.504858,-6.460491,1.839929,4.729707,7.002434,-1.883082,-4.512804,-0.000585,0.180057,-0.035692,-1.060802,188.496062,0
0.012500,185.497705,-104.424442,-15.967235,2.633988,-5.122036,-0.707902,5.733446,5.653433,0.584573,-5.437844,-0.022503,0.194233,-0.031958,-2.700751,188.571536,0
0.013542,189.830540,-57.659263,-90.606440,1.208928,-3.701925,-3.037460,6.337928,4.260324,3.039638,-6.177876,-0.015197,0.196127,-0.061832,-3.334111,188.496145,0
0.014583,148.373701,-13.684772,-164.470076,-0.193512,-1.522054,-4.672517,5.725983,2.007089,4.646971,-5.505443,-0.007891,0.207559,-0.054364,-2.531101,188.571435,0
0.015625,92.693366,36.535546,-206.486175,-0.962592,1.069649,-5.763877,4.114031,-0.503448,5.805259,-4.071631,-0.048074,0.209650,-0.039427,-0.857222,188.571576,0
0.016667,48.945341,114.590267,-179.821402,-0.476262,3.519341,-6.236139,2.128943,-2.936795,6.241715,-2.093468,-0.084604,0.196519,-0.020755,1.370848,188.571473,0
0.017708,7.000775,185.360202,-128.818561,0.473778,5.095665,-5.359082,-0.173313,-4.598234,5.612211,0.062587,-0.121134,0.189660,-0.020755,1.732768,188.496210,0
0.018750,-51.855460,196.003479,-74.639584,1.469058,6.345363,-3.652591,-2.994228,-5.774474,3.820223,2.748761,-0.179582,0.178359,-0.046895,3.067348,188.646868,0
0.019792,-139.215399,169.002658,-29.952083,2.317308,6.526427,-1.680205,-4.871107,-6.112643,1.982072,4.655767,-0.205153,0.183520,-0.020755,5.872228,188.496020,0
0.020833,-185.560856,105.396699,16.188068,3.199488,5.244776,0.808097,-5.859920,-4.796724,-0.531747,5.552345,-0.259948,0.197499,-0.061832,7.715758,188.571542,0
0.021875,-190.324707,58.691924,91.110417,4.635858,3.828215,3.169405,-6.486791,-3.399939,-2.953239,6.317282,-0.278213,0.197499,-0.050629,8.156848,188.496185,0
0.022917,-148.516250,13.932174,164.186175,6.015678,1.669646,4.756838,-5.822607,-1.234923,-4.564769,5.694658,-0.248989,0.205795,-0.028224,7.285978,188.571487,0
0.023960,-92.257447,-36.614328,206.608523,6.897858,-0.946909,5.911696,-4.229312,1.327075,-5.756630,4.225268,-0.212459,0.194625,-0.043161,5.804368,188.496045,0
0.025000,-48.123778,-114.234136,179.845266,6.298428,-3.403701,6.379989,-2.285268,3.800855,-6.184693,2.268452,-0.201500,0.168234,-0.028224,3.531058,188.571543,0
0.026042,-6.610226,-185.402742,128.633144,5.382318,-4.994226,5.510869,0.043107,5.458618,-5.534205,0.087492,-0.128440,0.192469,-0.050629,3.180448,188.496083,0
0.027084,51.656199,-196.033937,74.023296,3.787608,-6.233273,3.728975,2.845366,6.627507,-3.750611,-2.627145,-0.080951,0.184108,-0.046895,1.947658,188.644070,0
0.028125,138.687205,-168.634447,29.446591,3.504858,-6.446290,1.800243,4.711051,6.995082,-1.908263,-4.519920,-0.033462,0.180057,-0.024490,-0.959012,188.495609,0
0.029167,185.270855,-104.339876,-16.324242,2.645298,-5.132687,-0.703933,5.733446,5.620351,0.630736,-5.412939,0.021333,0.194755,-0.024490,-2.813851,188.571201,0
0.030208,189.966650,-57.659263,-90.889584,1.174998,-3.701925,-3.033492,6.334197,4.300757,2.985081,-6.213455,0.021333,0.196519,-0.035692,-3.221011,188.495667,0
0.031250,148.022083,-13.491478,-164.630114,-0.182202,-1.525604,-4.668548,5.699864,2.043847,4.634381,-5.509001,0.014027,0.210042,-0.035692,-2.418001,188.646618,0
0.032292,92.693366,36.765083,-206.732387,-0.951282,1.105152,-5.771815,4.087912,-0.492421,5.834636,-4.078747,-0.059033,0.207363,-0.024490,-0.619712,188.495758,0
0.033334,49.002054,115.133907,-179.599811,-0.464952,3.487389,-6.224233,2.162525,-2.918416,6.241715,-2.171741,-0.062686,0.196519,-0.050629,1.314298,188.571122,0
0.034375,6.717212,185.191070,-128.953978,0.462468,5.092114,-5.414642,-0.162119,-4.642343,5.637391,0.048356,-0.124787,0.194102,-0.065566,1.698838,188.495703,0
0.035417,-52.411243,195.930993,-74.676515,1.480368,6.370215,-3.688308,-2.979303,-5.814907,3.820223,2.759435,-0.172276,0.180384,-0.031958,3.044728,188.646471,0
0.036458,-138.977207,168.881849,-29.570455,2.385168,6.576131,-1.743702,-4.874839,-6.116319,1.986268,4.648651,-0.197847,0.182736,-0.035692,5.781748,188.495718,0
0.037500,-186.162009,104.937624,16.360417,3.222108,5.276729,0.843815,-5.889771,-4.829806,-0.548534,5.616386,-0.245336,0.196258,-0.069301,7.670518,188.495575,0
0.038542,-190.199939,58.208688,91.245834,4.635858,3.799813,3.169405,-6.494253,-3.388912,-2.965829,6.359976,-0.256295,0.199394,-0.024490,8.055058,188.495622,0
0.039584,-147.801672,13.871770,165.318751,6.072228,1.680297,4.828273,-5.874846,-1.279032,-4.627720,5.705332,-0.259948,0.224021,-0.046895,6.844888,188.646514,0
0.040625,-92.223420,-36.541842,206.546970,6.829998,-0.946909,5.919633,-4.225580,1.352806,-5.777613,4.228826,-0.219765,0.209388,-0.039427,5.759128,188.495729,0
0.041667,-48.044380,-115.043557,179.808334,6.366288,-3.400151,6.379989,-2.311388,3.822910,-6.251840,2.325378,-0.197847,0.182540,-0.035692,3.497128,188.571125,0
0.042708,-6.360691,-184.955748,128.546970,5.404938,-5.001327,5.506901,0.087883,5.465970,-5.559385,0.108839,-0.135746,0.195997,-0.039427,3.112588,188.495741,0
0.043750,52.132584,-196.372202,73.900190,4.375728,-6.297178,3.820252,2.860291,6.671616,-3.759004,-2.612914,-0.073645,0.178620,-0.069301,1.936348,188.571190,0
0.044792,138.301560,-168.368667,29.508144,3.516168,-6.485343,1.800243,4.740902,6.998758,-1.891476,-4.527035,-0.011544,0.180057,0.005384,-1.094732,188.495651,0
0.045834,185.849322,-104.037853,-16.275000,2.645298,-5.153989,-0.676153,5.759566,5.653433,0.597163,-5.437844,-0.007891,0.194364,-0.043161,-2.689441,188.571158,0
0.046875,189.683088,-57.598858,-91.086553,1.186308,-3.698375,-3.029523,6.341659,4.245621,3.022851,-6.195665,0.003068,0.196846,-0.039427,-3.322801,188.495763,0
0.047917,148.022083,-13.539801,-165.122538,-0.216132,-1.539805,-4.664580,5.714789,2.029144,4.646971,-5.512559,-0.029809,0.209780,-0.031958,-2.485861,188.571051,0
0.048958,92.750078,36.970458,-206.436932,-0.962592,1.073199,-5.767846,4.061792,-0.514476,5.788472,-4.050284,-0.007891,0.208539,-0.046895,-0.868532,188.495521,0
0.050000,48.763861,115.327202,-179.685985,-0.487572,3.526442,-6.200422,2.147599,-2.958849,6.224928,-2.121931,-0.106522,0.194755,-0.013287,1.359538,188.571042,0
0.051042,6.569760,185.493092,-128.658523,0.496398,5.131167,-5.367019,-0.195701,-4.627640,5.595424,0.059029,-0.124787,0.191881,-0.017021,1.721458,188.495669,0
0.052084,-52.388558,196.015560,-74.356440,1.457748,6.377315,-3.664497,-2.964377,-5.734041,3.757273,2.773666,-0.183235,0.180384,-0.065566,3.123898,188.646455,0
0.053125,-139.306139,168.676474,-29.644318,2.339928,6.519326,-1.640519,-4.811405,-6.097940,1.973678,4.659325,-0.219765,0.181103,-0.058098,5.917468,188.495640,0
0.054167,-185.889789,104.780573,16.557386,3.199488,5.230575,0.835877,-5.867383,-4.804076,-0.556928,5.548787,-0.248989,0.198806,-0.031958,7.681828,188.571134,0
0.055208,-190.097857,57.967070,91.492046,4.624548,3.835316,3.197185,-6.445745,-3.396264,-2.940649,6.327955,-0.252642,0.197042,-0.080503,8.202088,188.495660,0
0.056250,-147.971810,13.352291,164.850947,6.049608,1.641244,4.824304,-5.826338,-1.231247,-4.552179,5.683985,-0.267254,0.194037,-0.035692,7.274668,188.571109,0
