1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-FAULT 
0.000000,-184.914334,130.355846,13.676705,3.154248,6.490924,-2.136592,-4.359910,-6.178806,2.363971,4.171900,-0.223418,0.311622,-0.031958,4.933498,188.496152,0
0.001042,-192.842742,68.090867,73.900190,4.285248,5.589153,0.589825,-5.979324,-5.226787,-0.363880,5.666196,-0.256295,0.316325,-0.028224,4.345378,188.721726,0
0.002083,-170.815606,16.481245,152.207955,5.744238,4.264900,2.808264,-6.576343,-3.988059,-2.588127,6.399112,-0.259948,0.323250,-0.028224,0.782728,188.495421,0
0.003125,-113.558663,-34.101500,195.615152,6.581178,1.918166,4.518723,-5.833801,-1.712770,-4.233230,5.644849,-0.267254,0.340496,-0.024490,-5.347291,188.495119,0
0.004167,-54.498263,-101.657915,199.283713,6.660348,-0.581230,6.094251,-4.755435,0.878634,-5.958071,4.755387,-0.223418,0.316652,-0.002084,-10.595131,188.495459,0
0.005208,-5.419263,-164.188674,153.980682,5.823408,-2.935065,6.403801,-2.721838,3.245817,-6.247643,2.734530,-0.197847,0.302607,-0.035692,-12.393421,188.646201,0
0.006250,45.077549,-209.153799,88.882197,4.613238,-5.008427,5.741047,-0.132268,5.329967,-5.752433,0.261826,-0.139399,0.316652,-0.035692,-12.359491,188.495338,0
0.007300,119.643147,-179.434775,36.475947,3.640578,-6.194220,4.217111,2.453572,6.495180,-4.170280,-2.221551,-0.088257,0.305481,-0.039427,-6.025891,188.496226,0
0.008334,184.805812,-130.301738,-13.726705,2.656608,-6.350432,2.304253,4.252092,6.833349,-2.420259,-4.025379,-0.018850,0.315803,-0.028224,-0.257792,188.496127,0
0.009375,192.654823,-68.616643,-74.528788,1.514298,-5.448662,-0.406289,5.849118,5.818842,0.307591,-5.501885,0.010374,0.320767,-0.046895,0.760108,188.646895,0
0.010417,171.058702,-17.043263,-152.442614,0.077928,-4.159911,-2.577105,6.423749,4.532329,2.557018,-6.238360,0.006721,0.334551,-0.009553,4.107868,188.571601,0
0.011458,114.176062,34.179770,-195.985228,-0.747702,-1.795425,-4.382810,5.714789,2.253364,4.281859,-5.562369,-0.040768,0.334747,-0.017021,10.260508,188.496192,0
0.012500,55.614732,101.989884,-198.853599,-0.860802,0.725272,-5.946432,4.643886,-0.334364,6.015093,-4.587519,-0.029809,0.328149,-0.039427,15.632758,188.517589,0
0.013542,6.013977,165.390468,-153.513637,-0.023862,3.100408,-6.267888,2.636409,-2.650086,6.350829,-2.627145,-0.033462,0.320179,-0.024490,17.170918,188.518219,0
0.014583,-45.515003,209.038774,-88.969129,1.163688,5.177321,-5.533700,-0.031521,-4.723209,5.696145,-0.086843,-0.110175,0.310315,-0.028224,18.041788,188.518452,0
