1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,-125.343521,196.088045,-32.192614,2.238138,4.211645,-5.490045,0.796844,-3.995411,5.599621,-0.873127,-0.113828,0.443252,-0.065566,12.284998,188.345129,1605.576826,0.914694,0
0.001042,-165.643425,150.289338,33.841477,3.504858,5.312232,-4.299470,-1.378545,-5.153272,4.428743,1.215329,-0.168623,0.446257,-0.073035,8.043748,188.495881,1606.854852,-0.746855,0
0.002083,-199.512132,75.460219,85.324432,4.466208,6.075541,-2.485827,-3.691994,-5.818583,2.640952,3.478120,-0.186888,0.443317,-0.035692,2.490538,188.420475,1608.132178,-2.668496,0
0.003125,-174.808166,11.624722,147.874622,5.665068,5.440042,-0.501535,-4.863645,-5.300302,0.727260,4.605957,-0.241683,0.463699,-0.050629,-0.868532,188.495781,1608.846749,-4.780411,0
0.004167,-128.689559,-48.948931,191.725001,6.524628,4.318154,1.756589,-5.759173,-4.230659,-1.538954,5.595039,-0.234377,0.461151,-0.084238,-5.516941,188.345142,1610.066055,-5.532327,0
0.005208,-56.857503,-106.417791,197.141667,6.682968,2.305146,3.784535,-5.587530,-2.190618,-3.603727,5.442051,-0.241683,0.451679,-0.013287,-9.780811,188.495763,1611.388113,-7.230342,0
0.006250,8.520670,-165.892082,170.390720,6.151398,0.196281,5.237037,-4.789017,-0.066034,-5.118733,4.716251,-0.234377,0.459714,-0.043161,-12.483901,188.420538,1612.044652,-7.919581,0
0.007292,63.395687,-188.217592,109.514773,5.009088,-2.175305,5.796607,-2.908407,2.253364,-5.643319,2.940885,-0.194194,0.447955,-0.073035,-11.714821,188.495926,1613.190617,-9.052176,0
0.008333,124.996807,-195.876885,32.536553,3.550098,-4.120858,5.625958,-0.893467,4.275027,-5.605549,1.016090,-0.154011,0.443317,-0.106643,-7.462261,188.420477,1614.539894,-9.467735,0
0.009375,165.160602,-150.331877,-33.226705,2.339928,-5.242746,4.423477,1.315504,5.407158,-4.510212,-1.111502,-0.102869,0.445930,-0.073035,-4.747861,188.496002,1616.280338,-10.970922,0
