1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-FAULT 
0.000000,-178.800726,131.044458,-5.096970,2.781018,5.894477,-0.235640,-5.419619,-5.417926,0.475459,5.253485,-0.248989,0.190313,-0.028224,-1.185212,188.495651,0
0.001042,-191.504327,76.535419,55.114205,3.912018,4.225846,2.387594,-6.225595,-3.778542,-2.176851,5.982844,-0.281866,0.193384,-0.039427,5.023978,188.495725,0
0.002083,-169.681356,30.785036,143.073485,5.585898,2.582068,4.296483,-6.266640,-2.113427,-4.090543,6.128716,-0.274560,0.203901,-0.031958,17.136988,188.420298,0
0.003125,-116.745906,-14.433788,191.010985,6.445458,0.128825,5.288629,-4.677076,0.216999,-5.080962,4.602399,-0.208806,0.216378,-0.031958,24.940888,188.495609,0
0.004167,-63.594948,-83.645287,197.523296,6.558558,-2.363470,6.324429,-3.218110,2.819430,-6.230856,3.232628,-0.219765,0.199916,-0.043161,27.768388,188.495551,0
0.005208,-21.605012,-153.762854,156.368940,5.834718,-4.248668,5.816450,-0.882273,4.716117,-5.765023,1.026763,-0.135746,0.195147,-0.050629,24.714688,188.495736,0
0.006250,27.122370,-206.930913,93.560228,4.748958,-5.690081,4.463163,1.655059,6.142308,-4.447262,-1.513539,-0.088257,0.185675,-0.084238,17.035198,188.420258,0
0.007292,101.132186,-179.217319,47.863258,3.832848,-6.222622,2.522526,3.949851,6.748807,-2.579734,-3.690941,-0.051727,0.179339,-0.024490,6.652618,188.495778,0
0.008333,178.408642,-130.591680,4.886932,3.007218,-5.722033,0.423145,5.289413,6.307717,-0.472994,-5.067828,0.006721,0.189725,-0.017021,5.974018,188.495785,0
0.009375,191.214325,-75.792700,-54.917993,1.853598,-4.096006,-2.255649,6.125240,4.627899,2.128956,-5.818534,0.003068,0.195017,-0.061832,0.794038,188.495674,0
0.010417,169.175847,-29.981912,-142.507955,0.191028,-2.455777,-4.101041,6.151359,2.970136,4.130778,-5.967963,-0.000585,0.197630,-0.017021,-12.178531,188.420314,0
0.011458,116.126972,15.224831,-190.950190,-0.725082,-0.002535,-5.077312,4.576721,0.602953,5.096018,-4.462994,-0.026156,0.216117,-0.043161,-19.778851,188.495729,0
0.012500,63.134810,83.868528,-197.437879,-0.815562,2.472009,-6.160736,3.125218,-1.896558,6.216535,-3.111012,-0.077298,0.163073,-0.035692,-22.696831,188.495738,0
0.013542,21.337695,154.058580,-156.271213,-0.057792,4.382059,-5.672600,0.789381,-3.837354,5.771685,-0.858895,-0.110175,0.188550,-0.046895,-20.299111,188.495799,0
0.014583,-27.242234,206.960859,-93.536364,1.095828,5.816371,-4.263753,-1.848698,-5.285599,4.495891,1.677849,-0.157664,0.192469,-0.050629,-11.262421,188.344992,0
0.015625,-101.524270,179.404317,-47.839394,2.011938,6.359564,-2.390581,-4.098714,-5.840637,2.586395,3.873041,-0.201500,0.180841,-0.054364,-2.135252,188.495803,0
0.016667,-178.437766,131.286076,-4.690720,2.814948,5.869625,-0.271357,-5.427081,-5.425278,0.483852,5.246370,-0.216112,0.190575,-0.061832,-1.298312,188.495772,0
0.017708,-191.515669,76.450853,55.323485,3.934638,4.204545,2.411405,-6.255446,-3.785893,-2.101311,6.004191,-0.307437,0.191424,-0.028224,4.537648,188.495707,0
0.018750,-169.874178,30.712550,142.864205,5.551968,2.599819,4.280608,-6.259177,-2.128130,-4.094740,6.110927,-0.259948,0.186525,-0.065566,16.933408,188.345042,0
0.019792,-117.040811,-14.397545,190.974054,6.535938,0.157228,5.248943,-4.662151,0.257432,-5.055782,4.616631,-0.223418,0.213177,-0.050629,24.624208,188.495770,0
