1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-FAULT 
0.000000,-143.468837,-68.411267,168.851894,6.094848,4.932352,-2.085000,-2.874824,-4.925376,2.305217,2.791455,-0.175929,0.533008,-0.035692,21.095488,188.420374,0
0.001042,-63.515551,-123.814293,188.339584,6.468078,4.698033,0.018349,-4.546478,-4.668073,0.173297,4.360466,-0.212459,0.571223,-0.028224,25.076608,188.495606,0
0.002083,10.414867,-162.243649,164.629357,6.015678,3.682654,1.609751,-5.001705,-3.705027,-1.476003,4.844333,-0.216112,0.552018,-0.005818,23.708098,188.420318,0
0.003125,80.296013,-183.046965,113.577273,5.099568,1.857811,3.605949,-4.994243,-1.870827,-3.381302,4.812312,-0.194194,0.560249,-0.017021,17.182228,188.344979,0
0.004167,130.804168,-184.412108,33.582955,3.584028,0.093323,4.653655,-4.124833,-0.077061,-4.531196,4.107859,-0.223418,0.557701,-0.028224,13.789228,188.420349,0
0.005208,172.158924,-153.823259,-39.369697,2.170278,-1.784775,5.141791,-2.744227,1.760814,-5.038995,2.773666,-0.168623,0.558942,-0.050629,-1.219142,188.495635,0
0.006250,173.917012,-95.786596,-110.525000,0.880938,-3.485358,4.848116,-0.777795,3.510471,-4.829161,0.884450,-0.157664,0.551953,-0.028224,-5.573491,188.495691,0
0.007292,175.652414,-9.698074,-152.627273,0.077928,-4.561092,3.951216,1.054308,4.602169,-3.914282,-0.894474,-0.106522,0.552998,-0.031958,-16.080481,188.269621,0
0.008333,143.745961,67.837168,-168.803410,-0.295302,-4.820262,2.300285,2.811783,4.940338,-2.361505,-2.563104,-0.084604,0.554892,-0.046895,-16.544191,188.495618,0
0.009375,64.609335,124.194585,-187.700190,-0.634602,-4.575293,0.133438,4.457317,4.653629,-0.263159,-4.181924,-0.011544,0.556917,-0.073035,-19.428241,188.495736,0
0.010417,-9.820154,162.333999,-164.617804,-0.182202,-3.602517,-1.394467,4.871500,3.697934,1.365158,-4.669349,-0.077298,0.547772,-0.017021,-19.609201,188.495839,0
0.011458,-80.438562,183.064831,-113.159470,0.779148,-1.752822,-3.414476,4.871500,1.911520,3.325013,-4.651560,-0.029809,0.542611,-0.043161,-13.422631,188.344952,0
0.012500,-131.048799,184.852804,-32.426515,2.249448,0.032968,-4.470119,4.050598,0.058942,4.495891,-3.939991,-0.015197,0.552998,-0.024490,-8.276581,188.495848,0
0.013542,-172.029253,153.659910,40.304546,3.674508,1.882663,-4.990004,2.658797,-1.731149,5.037264,-2.591567,-0.062686,0.551822,-0.058098,4.729918,188.495580,0
0.014583,-174.275068,95.429953,110.782765,4.986468,3.600998,-4.708234,0.703559,-3.543294,4.772872,-0.723697,-0.106522,0.552279,-0.031958,11.063518,188.495703,0
0.015625,-175.556771,9.148136,152.601894,5.800788,4.705134,-3.811334,-1.147200,-4.579855,3.908354,1.087247,-0.146705,0.547576,-0.024490,19.455538,188.344844,0
0.016667,-144.058647,-67.384390,168.839584,6.128778,4.943003,-2.148498,-2.867362,-4.940079,2.351381,2.755877,-0.190541,0.559073,-0.046895,21.208588,188.420349,0
0.017708,-65.421091,-123.765969,187.564016,6.434148,4.690933,-0.017368,-4.509164,-4.686452,0.219461,4.385371,-0.208806,0.561425,-0.069301,24.906958,188.495553,0
0.018750,8.350532,-162.376539,164.666288,5.981748,3.746559,1.601814,-4.994243,-3.774866,-1.413053,4.858564,-0.212459,0.563907,-0.046895,24.352768,188.495703,0
0.019792,79.694860,-182.769105,113.811175,5.076948,1.886213,3.586106,-4.953198,-1.900233,-3.389695,4.844333,-0.238030,0.561425,-0.058098,18.437638,188.420253,0
0.020833,130.713428,-184.702049,33.176705,3.538788,0.093323,4.645718,-4.143490,-0.058682,-4.547982,4.125648,-0.219765,0.556983,-0.035692,13.710058,188.495647,0
0.021875,172.045499,-153.448751,-40.416099,2.136348,-1.791875,5.110042,-2.721838,1.742435,-5.043192,2.777224,-0.194194,0.552149,-0.028224,-1.705472,188.495721,0
0.022917,174.041779,-94.373130,-110.955872,0.847008,-3.506660,4.836210,-0.807646,3.543553,-4.803981,0.902239,-0.143052,0.536471,-0.039427,-5.969341,188.495740,0
0.023958,175.312139,-7.402702,-152.393372,0.032688,-4.578844,3.939310,1.099085,4.609520,-3.939462,-0.922937,-0.117481,0.524059,-0.020755,-15.537601,188.420343,0
0.025000,143.088096,68.755317,-168.741857,-0.329232,-4.866416,2.312191,2.785664,4.991798,-2.369899,-2.584451,-0.077298,0.533596,-0.031958,-16.487641,188.495649,0
0.026042,64.076237,124.291233,-187.675569,-0.713772,-4.628547,0.153281,4.461049,4.683035,-0.233782,-4.192598,-0.026156,0.548686,-0.054364,-19.416931,188.495702,0
0.027083,-9.071549,162.684346,-164.482387,-0.193512,-3.645120,-1.465901,4.942396,3.734692,1.398731,-4.697812,-0.022503,0.560314,-0.035692,-18.907981,188.495716,0
0.028125,-79.882779,182.968183,-113.824243,0.711288,-1.759923,-3.446224,4.893888,1.904168,3.366980,-4.680023,-0.040768,0.560445,-0.039427,-13.185121,188.420314,0
0.029167,-131.252964,184.574944,-33.842235,2.238138,0.015216,-4.478056,4.017016,0.058942,4.567234,-3.936433,-0.044421,0.562927,-0.046895,-6.772351,188.495740,0
0.030208,-172.630406,153.925690,39.947538,3.629268,1.957219,-4.978098,2.595364,-1.764231,5.058247,-2.584451,-0.051727,0.553651,-0.024490,4.741228,188.495731,0
0.031250,-174.297753,95.188335,110.979735,4.929918,3.632950,-4.636800,0.651320,-3.499185,4.793856,-0.691677,-0.088257,0.545747,-0.050629,10.712908,188.495741,0
