1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,47.727986,110.049336,-188.333745,-3.390041,1.264296,-6.173622,4.375360,-0.795656,6.179264,-4.397927,-0.036163,0.304558,-0.093440,68.029266,188.495805,1477.853423,-888.807239,0
0.001042,-1.019892,175.703943,-138.985806,-2.421741,3.678809,-6.547735,2.429902,-3.080666,6.551283,-2.460010,-0.054394,0.303043,-0.100873,182.380069,188.420361,1478.937889,-888.645869,0
0.002083,-55.338633,197.948992,-78.470481,-1.262033,5.509876,-5.493782,-0.291468,-4.926809,5.591643,0.284111,-0.123671,0.321508,-0.082290,253.003539,188.495655,1480.040937,-888.700577,0
0.003125,-136.370397,171.111644,-25.792984,-0.203659,6.636404,-4.021465,-2.653269,-5.938742,4.107796,2.721648,-0.149195,0.317236,-0.093440,310.893845,188.420374,1480.905278,-889.438161,0
0.004167,-184.270781,119.116484,24.028870,0.764641,6.295143,-1.772763,-4.386771,-5.819051,2.036327,4.462746,-0.192949,0.331154,-0.074856,299.905720,188.497430,1481.864575,-889.968149,0
0.005208,-194.632812,57.878001,89.672200,2.014423,5.517215,0.914415,-5.991585,-4.944944,-0.732676,6.124358,-0.233057,0.327847,-0.097156,250.920749,188.420345,1482.745158,-890.505191,0
0.006261,-164.326413,6.000292,156.506395,3.275465,3.763207,3.094731,-6.146767,-3.378080,-2.859102,6.381738,-0.214826,0.342798,-0.082290,163.770059,188.495647,1483.044558,-890.461487,0
0.007299,-101.284129,-41.649214,204.104493,4.221246,1.289982,5.106092,-5.575241,-1.027784,-4.795291,5.825344,-0.222118,0.339835,-0.082290,53.134502,188.420401,1484.096785,-890.327289,0
0.008333,-49.485272,-109.852488,188.380229,3.973542,-1.223607,6.240499,-4.106686,1.453084,-6.118494,4.489241,-0.214826,0.313653,-0.097156,-65.674597,188.495609,1484.449524,-891.309063,0
0.009375,0.053601,-175.659779,140.186699,3.027760,-3.612434,6.570363,-2.236926,3.738094,-6.401736,2.449128,-0.174718,0.322679,-0.086006,-181.027391,188.420354,1483.470830,-891.912540,0
0.010417,55.265036,-197.857848,79.732133,1.856793,-5.458179,5.496296,0.556358,5.526205,-5.518191,-0.238218,-0.098148,0.318201,-0.071140,-252.326361,188.495772,1482.925846,-892.270637,0
0.011458,136.240301,-171.513791,26.738692,0.809678,-6.566359,4.023979,2.884095,6.490987,-4.025888,-2.683325,-0.043455,0.317305,-0.104590,-316.386228,188.420410,1482.591888,-892.592697,0
0.012500,184.264984,-119.495141,-23.472015,-0.158622,-6.195743,1.779300,4.545682,6.374923,-1.907918,-4.329798,-0.043455,0.327020,-0.086006,-296.841777,188.495689,1482.707445,-892.847237,0
0.013542,194.581816,-57.528468,-88.653582,-1.453441,-5.388459,-0.895810,6.173206,5.482681,0.772309,-6.051970,0.011237,0.315858,-0.115740,-251.628345,188.495671,1481.677244,-892.899796,0
0.014583,165.348909,-6.050088,-155.171833,-2.703224,-3.733526,-2.939353,6.294324,3.952087,2.864915,-6.305565,0.029468,0.328536,-0.097156,-164.590237,188.495718,1480.846799,-893.124129,0
0.015625,101.357432,40.800757,-202.757779,-3.671523,-1.241954,-4.926578,5.764432,1.623553,4.839151,-5.718891,-0.006994,0.333014,-0.059989,-53.391765,188.420296,1480.007440,-893.393436,0
0.016667,47.931385,109.579536,-188.309442,-3.390041,1.286313,-6.153508,4.364005,-0.850061,6.149672,-4.394142,0.014883,0.312413,-0.089723,67.387541,188.495799,1479.333454,-893.868717,0
0.017720,-1.336290,176.948914,-138.135189,-2.354185,3.671470,-6.467281,2.392053,-3.084293,6.513235,-2.338890,-0.072625,0.300424,-0.067423,184.023785,188.420349,1478.251977,-894.155328,0
0.018759,-55.666331,197.514426,-78.045173,-1.239515,5.491528,-5.405282,-0.333102,-4.854269,5.519776,0.356026,-0.101794,0.298151,-0.104590,253.172414,188.495810,1476.606418,-893.756537,0
0.019792,-135.195205,170.982449,-26.060321,-0.248696,6.607048,-3.969170,-2.649484,-5.858948,4.057066,2.725433,-0.141902,0.314549,-0.071140,309.790529,188.420361,1474.864287,-893.547961,0
0.020833,-184.519379,119.515814,23.542803,0.742122,6.247440,-1.736559,-4.288363,-5.768273,1.981370,4.424896,-0.185656,0.329776,-0.089723,300.209695,188.495669,1473.776284,-893.656508,0
0.021875,-194.226015,57.666591,88.615005,2.036942,5.495198,0.874188,-5.874252,-4.843388,-0.711539,6.025949,-0.207533,0.326882,-0.119457,250.729358,188.420269,1471.558315,-892.561447,0
0.022917,-165.433805,6.669757,155.655778,3.331761,3.803571,2.941867,-6.071068,-3.370826,-2.808372,6.332533,-0.218472,0.336252,-0.089723,166.685965,188.495676,1470.812922,-892.309210,0
0.023958,-102.414122,-40.369008,202.135922,4.221246,1.326677,5.025637,-5.522252,-0.987887,-4.757243,5.768569,-0.236703,0.314618,-0.067423,56.050409,188.420267,1468.708446,-892.573123,0
0.025000,-49.666070,-109.265237,189.109330,3.951023,-1.223607,6.200272,-4.136965,1.420441,-6.118494,4.458961,-0.196595,0.342247,-0.063706,-64.571281,188.495787,1468.457991,-892.647584,0
0.026042,-0.093298,-174.485278,140.551250,3.050279,-3.619773,6.538181,-2.195292,3.687316,-6.444010,2.490763,-0.160133,0.325780,-0.123173,-180.002884,188.420397,1468.804695,-892.136994,0
0.027083,54.948638,-198.480334,80.546295,1.845534,-5.443501,5.464114,0.510939,5.497189,-5.492826,-0.207938,-0.094502,0.318958,-0.063706,-252.517753,188.495740,1468.673146,-892.045020,0
0.028136,136.624499,-171.161440,26.349839,0.809678,-6.562690,4.003866,2.895450,6.516376,-4.000523,-2.660615,-0.072625,0.316616,-0.104590,-317.174311,188.420305,1468.785033,-891.800742,0
0.029174,184.457083,-119.471651,-23.836565,-0.158622,-6.232437,1.718960,4.549467,6.356788,-1.865643,-4.329798,0.007591,0.327295,-0.093440,-296.886810,188.495763,1468.418677,-891.959376,0
0.030208,194.062019,-58.197933,-88.070302,-1.453441,-5.399467,-0.827424,6.120217,5.515324,0.780764,-5.957345,0.033114,0.315445,-0.093440,-249.793238,188.420287,1467.716372,-891.378127,0
0.031250,166.026904,-6.508144,-155.111074,-2.725742,-3.762882,-2.923262,6.320818,4.010119,2.860687,-6.324490,0.033114,0.336666,-0.082290,-165.671037,188.420350,1468.537100,-891.541599,0
0.032292,102.012827,40.471896,-202.052982,-3.649005,-1.267641,-4.974851,5.794712,1.619926,4.779966,-5.715106,0.025822,0.338250,-0.097156,-54.269914,188.420343,1467.934959,-891.162411,0
0.033333,48.485081,109.004030,-189.172210,-3.356263,1.282643,-6.173622,4.341296,-0.817418,6.196174,-4.431992,-0.010640,0.311311,-0.086006,66.295484,188.495689,1468.814687,-891.630161,0
0.034375,-0.330596,174.071386,-139.945788,-2.455519,3.623767,-6.471303,2.437472,-3.098801,6.466733,-2.380525,-0.054394,0.347345,-0.071140,180.409862,188.420282,1467.649361,-892.196570,0
0.035417,-54.378139,198.594967,-79.248188,-1.295811,5.509876,-5.457577,-0.276328,-4.905047,5.553596,0.280326,-0.127317,0.313653,-0.063706,252.609498,188.486994,1468.695327,-892.965731,0
0.036458,-134.720608,171.346544,-26.388416,-0.203659,6.596040,-4.017443,-2.664624,-5.848067,4.133161,2.721648,-0.167425,0.313446,-0.056273,309.576621,188.420235,1469.270496,-892.815091,0
0.037500,-184.248181,119.668500,23.226859,0.764641,6.276796,-1.768741,-4.311072,-5.786408,2.036327,4.447606,-0.182010,0.326951,-0.112023,300.153403,188.495745,1469.796534,-892.846007,0
0.038542,-194.158215,57.842766,88.214000,1.991905,5.495198,0.918438,-5.934811,-4.868777,-0.749586,6.052443,-0.225764,0.316065,-0.078573,250.909491,188.420361,1469.902042,-893.580767,0
0.039583,-165.727603,6.751973,155.181862,3.264206,3.832927,3.002208,-6.124057,-3.396215,-2.804145,6.396878,-0.233057,0.314411,-0.100873,167.372722,188.420207,1470.647265,-893.926284,0
0.040625,-102.425422,-40.110618,202.184528,4.164950,1.334016,4.993456,-5.579026,-1.027784,-4.753016,5.772354,-0.243995,0.312068,-0.074856,56.692133,188.419913,1470.917250,-893.631429,0
0.041667,-49.507871,-108.771947,189.267301,3.973542,-1.219937,6.188204,-4.201309,1.434949,-6.114266,4.511951,-0.182010,0.312826,-0.082290,-63.783199,188.495320,1471.289518,-893.663762,0
0.042708,-0.432296,-174.074203,141.219592,3.061538,-3.564731,6.538181,-2.210432,3.665554,-6.427100,2.490763,-0.127317,0.324539,-0.078573,-179.090960,188.419916,1470.967400,-893.681761,0
0.043750,54.361042,-198.468589,81.202485,1.203754,-5.472856,5.512387,0.488229,5.515324,-5.535101,-0.181443,-0.090856,0.315513,-0.056273,-252.146228,188.419853,1471.493785,-894.021573,0
0.044792,134.760011,-171.725201,28.002466,0.809678,-6.525995,4.023979,2.823536,6.501868,-4.021661,-2.618980,-0.039809,0.318269,-0.104590,-314.584896,188.419842,1470.844547,-894.288834,0
0.045833,184.479682,-120.986757,-22.512033,-0.158622,-6.232437,1.827573,4.507833,6.400312,-1.967102,-4.341153,-0.032517,0.329914,-0.037689,-298.631850,188.495302,1471.983385,-894.753721,0
0.046875,194.242818,-58.738204,-87.377656,-1.430923,-5.454509,-0.819378,6.112647,5.497189,0.721579,-5.998980,0.029468,0.325642,-0.059989,-250.344896,188.495360,1472.113819,-894.905945,0
0.047926,165.473208,-6.144049,-155.317653,-2.669446,-3.715179,-2.943376,6.252689,3.977476,2.848005,-6.286640,-0.003348,0.339422,-0.078573,-164.387588,188.419782,1471.446001,-894.381916,0
0.048963,102.193626,40.554112,-202.393229,-3.581449,-1.278649,-4.970828,5.734153,1.670704,4.818013,-5.688611,-0.010640,0.334530,-0.074856,-54.033490,188.419891,1471.844900,-894.405139,0
0.050000,48.970978,108.534230,-189.512457,-3.401300,1.256957,-6.161554,4.345081,-0.792029,6.204629,-4.466057,-0.017932,0.337561,-0.078573,65.372301,188.495316,1472.269314,-894.462351,0
0.051042,0.031001,173.401921,-140.772102,-2.444260,3.612758,-6.491417,2.418547,-2.982737,6.492098,-2.395665,-0.017932,0.314342,-0.078573,179.678071,188.420061,1472.384935,-893.570762,0
0.052083,-54.163441,198.959063,-79.831468,-1.307070,5.487859,-5.469645,-0.238479,-4.868777,5.595871,0.272756,-0.134610,0.312413,-0.071140,252.541948,188.419983,1472.785740,-893.492891,0
0.053125,-133.997413,171.323054,-26.594995,-0.237437,6.566684,-3.997329,-2.638130,-5.844440,4.069748,2.698938,-0.156487,0.314549,-0.086006,308.867346,188.420010,1471.818493,-893.582109,0
0.054167,-184.587179,120.079575,22.935219,0.730863,6.324499,-1.812991,-4.246728,-5.808170,2.019417,4.413541,-0.185656,0.327295,-0.071140,300.603736,188.495168,1471.924535,-893.671965,0
0.055208,-193.943517,57.960217,87.144652,1.935608,5.484189,0.874188,-5.915886,-4.843388,-0.681946,6.044873,-0.229410,0.307659,-0.059989,250.616775,188.419808,1471.437519,-893.082806,0
0.056250,-165.976202,6.869423,155.145407,3.264206,3.810910,2.961981,-6.116488,-3.421604,-2.774552,6.366598,-0.233057,0.325228,-0.048839,167.744247,188.419925,1471.440136,-892.561185,0
0.057292,-102.775719,-39.711287,201.516186,4.097394,1.341355,4.981387,-5.582811,-1.060427,-4.710741,5.813989,-0.247641,0.327778,-0.067423,57.570282,188.419900,1471.660457,-892.057669,0
0.058345,-49.180174,-109.594097,188.902751,3.951023,-1.274980,6.236477,-4.121825,1.492981,-6.118494,4.451391,-0.192949,0.331223,-0.059989,-65.111681,188.495271,1471.025249,-892.528469,0
0.059384,-0.183697,-174.861118,140.624160,3.016501,-3.627112,6.538181,-2.233141,3.672808,-6.431328,2.452913,-0.192949,0.331981,-0.078573,-180.363150,188.419918,1470.993642,-892.602039,0
0.060417,54.022044,-199.196779,81.676400,1.856793,-5.432492,5.500319,0.461734,5.479054,-5.560466,-0.181443,-0.072625,0.319716,-0.089723,-252.281328,188.420007,1471.247877,-892.639620,0
0.061458,134.104615,-171.795671,28.537140,0.865975,-6.551681,4.036048,2.846245,6.520003,-4.034343,-2.634120,-0.017932,0.319854,-0.089723,-313.920655,188.419934,1471.185127,-893.170675,0
0.062500,184.829980,-121.491793,-22.001663,-0.124844,-6.272802,1.895959,4.462414,6.422074,-1.992467,-4.375218,-0.021578,0.330809,-0.108307,-299.746425,188.495334,1471.758689,-893.798901,0
0.063542,193.937720,-59.419414,-86.952348,-1.385885,-5.450840,-0.815356,6.176991,5.482681,0.708897,-5.995195,0.036760,0.328329,-0.086006,-250.806487,188.419922,1471.348930,-893.909084,0
0.064583,166.727500,-7.482980,-154.965254,-2.635668,-3.825263,-2.895103,6.320818,4.057270,2.814185,-6.324490,0.003945,0.343900,-0.093440,-167.303494,188.344487,1472.444349,-894.252899,0
0.065625,103.334919,39.673236,-201.433247,-3.660264,-1.333691,-4.930601,5.821207,1.696093,4.796876,-5.764311,0.014883,0.332876,-0.093440,-56.116280,188.419900,1472.888401,-894.482997,0
0.066667,49.603774,108.123155,-189.646125,-3.311226,1.297321,-6.217872,4.405640,-0.792029,6.204629,-4.454702,-0.021578,0.329982,-0.063706,64.831902,188.495370,1472.599428,-894.842385,0
0.067708,0.562098,173.202256,-140.905770,-2.478038,3.620097,-6.523599,2.441257,-3.033515,6.538600,-2.452440,-0.050748,0.324815,-0.059989,178.901247,188.495208,1473.462162,-895.489168,0
0.068760,-54.310340,198.336577,-79.114520,-1.295811,5.502537,-5.481714,-0.348242,-4.908674,5.600098,0.337101,-0.109087,0.319647,-0.093440,252.688306,188.344487,1473.134151,-896.087158,0
0.069802,-135.296904,171.299564,-25.975259,-0.259955,6.658421,-4.025488,-2.713828,-5.909726,4.124706,2.748143,-0.149195,0.315927,-0.059989,310.229604,188.419779,1474.751592,-896.586915,0
0.070836,-184.327280,120.114810,22.716489,0.685826,6.335507,-1.716445,-4.314857,-5.837186,2.036327,4.451391,-0.196595,0.325504,-0.089723,300.198436,188.495320,1475.133376,-897.049819,0
0.071875,-194.090416,58.277332,86.913771,1.958127,5.498867,0.850052,-5.953735,-4.897793,-0.698856,6.078938,-0.236703,0.322335,-0.056273,250.695583,188.495175,1475.843731,-897.704545,0
0.072917,-166.145701,7.010363,154.890222,3.241687,3.840266,2.970026,-6.154337,-3.439739,-2.787235,6.442298,-0.196595,0.331360,-0.086006,167.823055,188.269010,1476.661318,-898.331941,0
0.073958,-102.606220,-39.535112,201.783523,4.176209,1.385388,5.033683,-5.586596,-1.071308,-4.731878,5.795064,-0.229410,0.326469,-0.086006,57.626574,188.419889,1476.642205,-898.447977,0
0.075000,-49.281873,-107.879326,189.972098,3.951023,-1.183243,6.252568,-4.197524,1.496608,-6.114266,4.546016,-0.189302,0.269626,-0.056273,-62.511008,188.420063,1477.292076,-898.780209,0
0.076042,-0.726094,-173.205072,142.045905,3.039020,-3.583078,6.550249,-2.289915,3.694570,-6.422873,2.509688,-0.138256,0.318201,-0.067423,-177.537311,188.495246,1477.187191,-899.271778,0
0.077083,53.445748,-199.079329,82.077405,1.890571,-5.469187,5.520432,0.518509,5.540713,-5.585831,-0.162518,-0.083563,0.319234,-0.052556,-251.549537,188.269230,1477.655440,-900.005949,0
0.078125,133.573519,-171.971846,29.071813,0.877234,-6.544343,4.100411,2.834891,6.498241,-4.106210,-2.645475,-0.061686,0.317374,-0.056273,-313.763039,188.495316,1477.962954,-899.988566,0
0.079176,184.389283,-120.787092,-22.414820,-0.113585,-6.236107,1.811482,4.515403,6.407566,-1.967102,-4.356293,-0.006994,0.330120,-0.059989,-298.519267,188.419882,1477.415074,-899.499097,0
0.080219,194.480116,-58.820419,-88.216122,-1.442182,-5.450840,-0.867651,6.169421,5.544340,0.751171,-6.010335,0.000299,0.310553,-0.082290,-250.626354,188.495403,1478.681683,-899.731645,0
0.081251,167.043898,-8.222915,-154.746524,-2.725742,-3.825263,-2.915217,6.332173,4.039135,2.831095,-6.324490,0.029468,0.337906,-0.056273,-168.226676,188.269116,1478.334922,-900.371138,0
0.082292,104.114613,39.121220,-201.117303,-3.615227,-1.326352,-4.918532,5.813637,1.696093,4.788421,-5.737816,0.025822,0.339353,-0.097156,-57.309662,188.419880,1477.786315,-900.618767,0
0.083333,50.033171,107.653354,-190.095737,-3.356263,1.216593,-6.157531,4.386715,-0.752132,6.141217,-4.477412,-0.028871,0.327226,-0.119457,63.525936,188.419942,1477.634032,-899.966041,0
0.084375,0.878496,172.391850,-141.659174,-2.444260,3.601750,-6.531644,2.452612,-2.997245,6.513235,-2.463795,-0.050748,0.314893,-0.063706,177.966806,188.495278,1477.187345,-899.718127,0
0.085417,-53.248147,199.428863,-80.742844,-1.284552,5.469512,-5.477691,-0.268759,-4.843388,5.625463,0.231121,-0.105440,0.315238,-0.082290,252.204198,188.268885,1477.852586,-899.130237,0
0.086458,-132.381524,171.663659,-27.737252,-0.304993,6.570353,-3.965147,-2.607850,-5.844440,4.099341,2.706508,-0.141902,0.311793,-0.056273,307.887872,188.419961,1475.821753,-899.262448,0
0.087500,-184.745378,120.913471,21.878024,0.674567,6.339177,-1.833104,-4.288363,-5.833559,2.044782,4.447606,-0.203887,0.323919,-0.063706,301.189169,188.419951,1475.862258,-899.706762,0
0.088542,-193.875717,58.641427,85.807969,1.969386,5.491528,0.886256,-5.942380,-4.865150,-0.660809,6.067583,-0.196595,0.319441,-0.089723,250.605516,188.495249,1475.106623,-899.490992,0
0.089583,-166.744597,7.503653,154.756554,3.241687,3.876960,2.970026,-6.097563,-3.461501,-2.761870,6.381738,-0.225764,0.315858,-0.063706,168.633655,188.269116,1474.754354,-899.089757,0
0.090625,-103.318116,-39.030077,200.726328,4.164950,1.396397,4.945183,-5.556317,-1.107578,-4.740333,5.821559,-0.203887,0.327089,-0.052556,58.437173,188.419981,1474.883725,-899.167690,0
0.091667,-49.553071,-107.292075,190.652592,4.007319,-1.190582,6.228431,-4.208879,1.405933,-6.114266,4.583865,-0.207533,0.314893,-0.093440,-61.711667,188.419815,1475.610809,-898.483800,0
0.092708,-0.703494,-171.830906,142.301090,3.084057,-3.539044,6.522090,-2.259636,3.632911,-6.435555,2.483193,-0.178364,0.337217,-0.063706,-176.343928,188.495289,1474.956101,-898.058900,0
0.093757,53.829946,-199.055839,81.518429,1.890571,-5.425153,5.552614,0.480659,5.555221,-5.564693,-0.181443,-0.068979,0.315238,-0.086006,-252.225036,188.269060,1474.788515,-898.063688,0
0.094792,132.533926,-171.960101,29.448515,0.888493,-6.566359,4.072252,2.812181,6.490987,-4.080846,-2.565990,-0.058040,0.319510,-0.067423,-312.434556,188.419768,1474.168118,-897.432638,0
