1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,-162.574924,160.059589,25.183279,0.730863,5.289707,-4.745555,-0.760800,-4.883285,4.911018,0.761021,-0.130964,0.463028,-0.086006,318.909772,188.571082,1603.865811,-17.597614,0
0.001042,-190.293641,89.213688,78.577724,1.744200,5.891501,-2.870967,-3.065828,-5.376557,3.000194,3.047158,-0.203887,0.469092,-0.078573,277.377812,188.495805,1604.005835,-18.003985,0
0.002083,-186.948863,21.033905,138.449010,2.903908,5.612621,-1.000401,-4.360276,-5.253239,1.178148,4.462746,-0.225764,0.472192,-0.115740,201.001338,188.646572,1603.719190,-17.476696,0
0.003125,-140.054173,-40.451223,182.024905,3.759615,4.464076,1.348869,-5.378425,-4.168766,-1.125833,5.496049,-0.236703,0.471916,-0.078573,93.574404,188.495678,1603.287754,-16.778978,0
0.004167,-67.915450,-92.105777,199.401796,4.131172,2.530264,3.641821,-5.510898,-2.264591,-3.488997,5.719364,-0.236703,0.452211,-0.097156,-30.582399,188.571078,1602.951855,-17.412527,0
0.005208,-6.240457,-153.884530,170.395755,3.579466,0.350597,5.085978,-4.776620,-0.204455,-4.888295,4.958580,-0.200241,0.440016,-0.093440,-154.378937,188.495560,1603.002147,-17.374877,0
0.006250,54.892139,-185.466863,120.051379,2.622425,-1.854756,5.769841,-3.152881,1.978999,-5.699973,3.440797,-0.211179,0.411836,-0.089723,-241.068037,188.646484,1602.982472,-17.437201,0
0.007292,112.646057,-190.070907,40.798177,1.113679,-3.953695,5.725591,-1.158219,3.912190,-5.666153,1.396900,-0.138256,0.461788,-0.063706,-310.678258,188.495640,1604.048952,-16.837537,0
0.008333,162.286629,-159.686565,-25.513496,-0.102325,-5.190307,4.760138,0.821304,5.181640,-4.820656,-0.639428,-0.098148,0.467714,-0.086006,-325.663088,188.495664,1603.624466,-16.200764,0
0.009375,189.948846,-89.698050,-78.215296,-1.149440,-5.898515,2.941867,3.152825,5.627761,-3.015519,-2.910424,-0.039809,0.471641,-0.097156,-278.490708,188.495683,1603.142767,-15.253018,0
0.010417,186.920466,-21.976322,-138.317464,-2.309148,-5.557254,1.067279,4.458629,5.569729,-1.163880,-4.394142,-0.010640,0.462408,-0.093440,-202.497016,188.571120,1603.009685,-14.756825,0
0.011458,141.178369,39.767196,-181.577415,-3.221151,-4.496777,-1.277969,5.507057,4.485256,1.102053,-5.427446,0.014883,0.487557,-0.089723,-95.002533,188.495682,1602.489138,-14.891507,0
0.012500,70.147038,92.220411,-199.136581,-3.637746,-2.562964,-3.498511,5.662239,2.686264,3.422943,-5.673471,-0.010640,0.473777,-0.071140,29.345663,188.495732,1601.411903,-14.199163,0
0.013542,8.370346,153.693794,-170.276361,-2.995965,-0.364950,-5.023123,4.939316,0.640636,4.864516,-4.886192,-0.006994,0.475706,-0.097156,153.637566,188.495731,1600.373498,-13.421307,0
0.014583,-53.926142,185.640221,-120.746147,-2.083962,1.862420,-5.719054,3.304223,-1.550072,5.726923,-3.417614,-0.072625,0.467851,-0.138040,241.396207,188.571008,1599.989279,-12.324350,0
0.015625,-112.538855,189.574800,-40.982574,-0.507660,3.935672,-5.658713,1.301991,-3.501398,5.604326,-1.305587,-0.101794,0.459721,-0.097156,306.660715,188.495689,1598.101977,-11.812098,0
0.016667,-162.642724,159.883414,26.094654,0.742122,5.219987,-4.769692,-0.677532,-4.861523,4.877198,0.745881,-0.134610,0.462064,-0.074856,318.909772,188.571031,1597.549721,-11.379435,0
0.017708,-189.208848,88.861338,79.075942,1.755459,5.814442,-2.903148,-2.963634,-5.282255,3.004422,2.918468,-0.225764,0.445045,-0.078573,276.263238,188.495721,1595.402874,-9.692973,0
0.018750,-187.084462,20.223499,138.351797,2.960204,5.583265,-1.064764,-4.258083,-5.238731,1.228877,4.413541,-0.203887,0.453727,-0.100873,200.911271,188.646502,1594.858206,-8.546253,0
0.019792,-140.325371,-41.426059,180.821890,3.748356,4.482423,1.276460,-5.325436,-4.099853,-1.037055,5.424134,-0.247641,0.433884,-0.078573,93.563146,188.495711,1592.952492,-7.647481,0
0.020833,-67.644252,-92.446383,199.693436,4.108653,2.577967,3.505048,-5.476833,-2.355266,-3.370628,5.715579,-0.233057,0.475293,-0.104590,-30.132066,188.495716,1592.714274,-5.416120,0
0.021875,-6.285657,-153.297280,170.286390,3.556947,0.479029,4.973342,-4.742555,-0.324146,-4.791063,4.935870,-0.207533,0.456001,-0.078573,-153.185555,188.495645,1591.409580,-3.671105,0
0.022917,54.711340,-185.960153,120.780480,2.667463,-1.792375,5.661227,-3.179376,1.826665,-5.653470,3.471077,-0.218472,0.460686,-0.082290,-241.248170,188.646493,1590.853909,-1.862279,0
0.023958,112.736456,-189.319226,41.952585,1.181235,-3.843610,5.705477,-1.207423,3.777991,-5.564693,1.449890,-0.123671,0.467025,-0.082290,-309.856400,188.495808,1588.724127,-0.663630,0
0.025000,163.100224,-160.273816,-24.857306,-0.136103,-5.153612,4.800365,0.764530,5.105473,-4.862930,-0.586438,-0.123671,0.472537,-0.112023,-327.396870,188.495816,1588.669425,0.414244,0
0.026042,188.852753,-90.837316,-78.713514,-1.194477,-5.777423,2.949913,3.046847,5.605999,-3.019746,-2.827155,-0.079917,0.466818,-0.082290,-277.747658,188.495716,1587.909817,1.116339,0
0.027083,187.236864,-21.999812,-138.378223,-2.320407,-5.560924,1.147733,4.420779,5.529832,-1.210382,-4.329798,-0.006994,0.467645,-0.112023,-201.922842,188.646433,1587.099308,1.952368,0
0.028125,141.008870,40.589347,-180.921225,-3.187373,-4.467421,-1.217628,5.465422,4.478002,1.021731,-5.321466,0.011237,0.477497,-0.071140,-93.448884,188.495732,1585.423919,3.435284,0
0.029167,69.243044,92.549271,-199.513283,-3.592708,-2.559295,-3.502534,5.628175,2.671756,3.376440,-5.688611,0.022176,0.479151,-0.089723,30.831761,188.495667,1585.271179,4.106016,0
0.030208,7.364653,153.529364,-170.069782,-2.984706,-0.386967,-4.962782,4.867402,0.633382,4.813786,-4.874837,0.022176,0.472674,-0.097156,154.313066,188.495622,1584.508817,4.626912,0
0.031250,-54.638037,185.569751,-120.138563,-2.072703,1.840403,-5.686872,3.319363,-1.513802,5.676193,-3.383549,-0.047102,0.452624,-0.082290,241.914090,188.646451,1583.459971,5.214147,0
0.032292,-112.990852,189.269429,-40.131957,-0.552697,3.895308,-5.626532,1.366335,-3.497771,5.600098,-1.332082,-0.061686,0.454967,-0.082290,306.615681,188.495582,1583.389960,5.966466,0
0.033333,-162.371526,159.718984,26.665782,0.775900,5.194301,-4.733487,-0.673747,-4.843388,4.860288,0.715601,-0.138256,0.463648,-0.100873,318.864739,188.495700,1582.897353,6.491888,0
0.034375,-189.197548,88.485498,79.476948,1.777978,5.807103,-2.931308,-2.933355,-5.304017,3.017104,2.941178,-0.200241,0.459652,-0.100873,276.578471,188.495573,1583.346516,6.598261,0
0.035417,-187.016663,20.012089,138.558375,2.926427,5.550240,-1.084878,-4.182384,-5.173445,1.241560,4.352981,-0.189302,0.444908,-0.112023,201.327829,188.646552,1582.121335,7.078690,0
0.036458,-140.121973,-41.296864,181.259350,3.759615,4.500771,1.232210,-5.287586,-4.085345,-1.020145,5.378714,-0.258580,0.449317,-0.104590,94.283679,188.495667,1581.522549,7.353365,0
