1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,61.581695,87.945227,-199.087974,-3.525153,0.471690,-6.081099,5.117208,-0.037613,6.018619,-5.075442,0.003945,0.331223,-0.056273,34.006609,188.495687,1494.460949,-897.892397,0
0.001042,10.799830,152.190432,-164.200525,-2.950928,2.864186,-6.382803,3.149040,-2.293607,6.547055,-3.201869,-0.021578,0.323781,-0.104590,144.608390,188.646511,1494.968351,-898.278666,0
0.002083,-37.654250,200.720814,-95.665096,-1.588553,5.036514,-5.867895,0.526078,-4.317473,5.934070,-0.522093,-0.101794,0.327226,-0.082290,242.814756,188.495716,1494.274685,-898.197509,0
0.003125,-109.386176,183.314709,-42.635201,-0.575216,6.313490,-4.455919,-1.915207,-5.670344,4.661596,1.960864,-0.130964,0.320957,-0.041406,292.182509,188.495629,1494.110673,-898.207830,0
0.004167,-176.790230,134.643387,6.396794,0.438121,6.720802,-2.557194,-4.034772,-6.025790,2.678905,4.148591,-0.160133,0.322472,-0.071140,312.560077,188.495649,1494.426973,-898.715367,0
0.005208,-197.525593,75.072696,62.865612,1.519014,5.770408,0.214461,-5.590381,-5.267747,0.066319,5.723149,-0.203887,0.327020,-0.074856,267.346645,188.567885,1494.466397,-897.732993,0
0.006250,-173.377653,23.559082,145.302553,3.061538,4.574160,2.531549,-6.389003,-3.951146,-2.288391,6.620193,-0.225764,0.327433,-0.074856,194.471510,188.495247,1495.009434,-897.413854,0
0.007292,-123.895280,-25.041770,188.854145,3.917245,2.332112,4.337752,-5.775843,-2.028836,-4.076618,6.078938,-0.222118,0.352513,-0.093440,93.439305,188.495383,1495.072236,-897.012228,0
0.008333,-62.321987,-88.206434,199.085852,4.164950,-0.397976,6.208318,-4.886383,0.742192,-5.957849,5.144045,-0.192949,0.315513,-0.067423,-32.169823,188.495470,1495.650864,-897.167346,0
0.009375,-11.562722,-152.439894,164.380678,3.444354,-2.750108,6.538181,-2.850086,2.947408,-6.405963,3.228837,-0.152841,0.327226,-0.071140,-143.345779,188.646150,1495.522451,-896.678775,0
0.010417,37.806652,-201.040746,97.072568,2.239609,-4.962800,6.023272,-0.276328,4.993036,-5.885982,0.628546,-0.065333,0.327709,-0.112023,-242.666719,188.495434,1496.113814,-896.931335,0
0.011458,110.058374,-183.106116,44.249251,1.147457,-6.144370,4.514752,2.138462,6.280621,-4.516277,-1.899831,-0.032517,0.322541,-0.071140,-292.619905,188.495454,1495.243692,-897.621521,0
0.012500,177.236430,-135.644530,-5.560451,0.156639,-6.628740,2.575799,4.212608,6.694099,-2.656183,-4.079988,0.007591,0.328467,-0.093440,-321.283600,188.495363,1496.574129,-897.588740,0
0.013542,197.384197,-76.402699,-62.843431,-0.924254,-5.722381,-0.135515,5.787142,5.867143,0.036726,-5.665901,0.047699,0.330258,-0.052556,-267.040992,188.646230,1496.845364,-897.473434,0
0.014583,173.631754,-23.902504,-145.462647,-2.500556,-4.438065,-2.416399,6.581979,4.615828,2.344934,-6.540235,0.062284,0.340180,-0.089723,-193.062540,188.495405,1497.845066,-897.554127,0
0.015625,124.420579,25.062443,-188.686143,-3.367522,-2.236381,-4.230647,5.987744,2.595589,4.171208,-6.010335,0.054991,0.344383,-0.093440,-91.805169,188.495421,1497.441542,-897.952592,0
0.016667,61.886793,88.391538,-199.245946,-3.513893,0.486367,-6.085122,5.094498,-0.059375,6.052439,-5.128431,0.014883,0.328398,-0.074856,34.456942,188.495493,1498.372606,-898.514743,0
0.017708,10.754630,152.343118,-163.884581,-2.928410,2.809144,-6.382803,3.073342,-2.300861,6.466733,-3.145094,-0.025225,0.334737,-0.074856,144.968656,188.721514,1497.029646,-898.298064,0
0.018750,-37.914148,201.084909,-95.519276,-1.599812,5.062200,-5.847781,0.533648,-4.342862,5.950980,-0.544803,-0.068979,0.324195,-0.056273,243.355155,188.495434,1497.684126,-898.322641,0
0.019792,-109.849473,183.032829,-42.428623,-0.552697,6.302482,-4.367419,-1.953056,-5.630447,4.610866,1.987359,-0.127317,0.315927,-0.089723,292.283834,188.570836,1496.854030,-898.186579,0
0.020833,-177.061428,134.431977,6.603372,0.393084,6.676768,-2.476740,-4.019632,-5.989520,2.691588,4.144806,-0.174718,0.318683,-0.041406,312.289877,188.495336,1496.720772,-897.743210,0
0.021875,-197.412594,74.685111,63.242314,1.451458,5.785086,0.266757,-5.548747,-5.231477,0.053636,5.700439,-0.225764,0.319923,-0.071140,266.119488,188.721617,1496.203617,-897.362003,0
0.022917,-173.129054,22.713441,145.460525,3.095316,4.508110,2.539595,-6.362509,-3.903995,-2.296846,6.597483,-0.247641,0.309726,-0.082290,192.613886,188.495410,1495.600296,-897.070342,0
0.023958,-123.194684,-25.511570,188.866296,3.928504,2.262392,4.261320,-5.737994,-1.927280,-4.055481,6.071368,-0.229410,0.299735,-0.071140,91.784331,188.495316,1494.641875,-897.186863,0
