1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,156.546267,-165.641286,-11.235282,0.077824,-1.418089,5.049774,-3.145311,1.271734,-5.108125,3.431604,-0.233057,0.575611,-0.067423,166.866098,188.571152,1075.370637,955.609073,0
0.001042,178.332523,-115.724993,-80.597024,-1.228255,-3.399604,4.937137,-1.105230,3.132385,-4.955935,1.421771,-0.141902,0.568721,-0.045123,256.302229,188.495629,1073.292989,956.329269,0
0.002083,185.813074,-36.833760,-133.481099,-2.230333,-4.636217,4.305570,0.643411,4.419970,-4.347177,-0.459371,-0.127317,0.569410,-0.067423,310.668678,188.646585,1072.997462,956.215756,0
0.003125,153.393588,30.817498,-173.800345,-3.052262,-5.278374,2.801072,2.569945,4.953139,-2.998609,-2.321588,-0.054394,0.579332,-0.078573,318.560764,188.721880,1072.408198,956.719021,0
0.004167,102.216226,101.663399,-176.862567,-3.119818,-5.032520,0.765574,4.106630,4.844329,-0.935596,-4.032406,-0.068979,0.581536,-0.078573,268.438703,188.571062,1071.700358,957.947916,0
0.005208,18.257781,146.693768,-178.709621,-3.176114,-4.107813,-1.213605,4.984735,3.926698,1.021731,-4.906740,-0.043455,0.561762,-0.067423,188.380756,188.495846,1071.175547,958.516442,0
0.006250,-60.050702,166.930420,-146.884393,-2.556853,-2.537278,-2.951421,4.988520,2.508541,2.733863,-4.963515,-0.032517,0.520078,-0.078573,79.895540,188.646496,1069.145426,960.123474,0
0.007292,-118.256617,183.173769,-65.140097,-1.025588,-0.486043,-4.552465,4.519188,0.484675,4.352990,-4.418476,-0.047102,0.581192,-0.089723,-55.069256,188.722012,1067.948940,960.558064,0
0.008333,-156.755463,166.084779,10.151661,0.483158,1.267965,-5.111623,3.319363,-1.212761,5.012478,-3.373817,-0.068979,0.579814,-0.063706,-165.254479,188.571141,1067.127990,962.221338,0
0.009375,-177.829823,116.826207,80.145290,1.789237,3.286175,-5.007032,1.245217,-3.022634,4.932155,-1.273145,-0.130964,0.573957,-0.108307,-255.377367,188.495720,1065.532348,964.247233,0
0.010417,-186.395167,37.570879,133.406067,2.813834,4.519118,-4.315124,-0.473145,-4.393640,4.344535,0.543653,-0.156487,0.578780,-0.082290,-314.742513,188.721949,1065.040483,965.677539,0
0.011458,-152.992588,-31.395820,173.263550,3.601985,5.117242,-2.891080,-2.361829,-4.890539,2.962147,2.424795,-0.189302,0.587324,-0.074856,-326.642562,188.721985,1063.298195,966.605729,0
0.012500,-101.046831,-101.959841,177.115630,3.680800,4.948446,-0.847537,-3.993137,-4.785356,0.932953,4.162108,-0.229410,0.553701,-0.086006,-267.716491,188.571248,1061.071080,967.676756,0
