1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,182.569995,-110.216583,-15.026603,0.021527,-5.050867,-0.569970,5.503272,5.384752,0.396063,-5.382026,0.025822,0.198866,-0.037689,-289.400024,188.420314,979.313933,-1294.368498,0
0.001042,192.197531,-57.657663,-86.648556,-1.397145,-3.711509,-2.995671,6.305679,4.017373,2.864915,-6.305565,0.036760,0.210303,-0.078573,-246.235608,188.344966,979.327367,-1294.050178,0
0.002083,155.879571,-13.472935,-155.171833,-2.703224,-1.458453,-4.544419,5.601680,1.942729,4.458677,-5.628051,-0.010640,0.202311,-0.063706,-162.710097,188.420325,978.520494,-1293.782566,0
0.003125,95.458871,33.330930,-204.531923,-3.671523,1.099169,-5.819622,4.205038,-0.472853,5.769198,-4.284378,-0.028871,0.201415,-0.045123,-56.363963,188.495740,978.392331,-1293.633815,0
0.004167,50.383469,105.386567,-179.681755,-3.176114,3.480657,-6.169599,2.244440,-2.732474,6.162354,-2.338890,-0.050748,0.201139,-0.089723,61.645796,188.495769,977.616712,-1293.464771,0
0.005208,7.861850,178.675430,-131.536831,-2.275370,5.131920,-5.562168,0.151370,-4.411775,5.659283,-0.117098,-0.123671,0.201966,-0.089723,174.544275,188.344798,976.644394,-1293.385666,0
0.006250,-49.360972,191.454001,-76.052298,-1.239515,6.163042,-3.727807,-2.547291,-5.365676,3.807644,2.551323,-0.192949,0.182674,-0.078573,242.150515,188.420233,975.552185,-1292.826969,0
0.007292,-136.709395,166.848205,-29.001026,-0.304993,6.438252,-1.865286,-4.379201,-5.655836,2.023645,4.466531,-0.203887,0.184121,-0.052556,304.645475,188.495741,975.348258,-1291.710148,0
0.008333,-182.507992,110.037591,15.303969,0.573233,5.058531,0.604665,-5.283801,-4.484315,-0.428297,5.427919,-0.243995,0.196868,-0.059989,289.829519,188.420294,975.541426,-1291.192640,0
0.009375,-192.146829,56.891421,87.071742,1.935608,3.737520,3.038412,-6.127842,-3.091547,-2.871784,6.287113,-0.236703,0.191080,-0.100873,246.012120,188.344952,975.029976,-1289.526308,0
0.010417,-155.670670,12.671458,155.303379,3.252946,1.539506,4.587161,-5.348145,-0.998768,-4.419044,5.594459,-0.247641,0.168481,-0.071140,162.610451,188.420339,974.483444,-1289.336311,0
0.011458,-94.978771,-33.474687,204.809290,4.277543,-1.062150,5.862364,-4.057481,1.434949,-5.750703,4.269711,-0.222118,0.174268,-0.074856,57.063658,188.495761,973.707113,-1288.990622,0
0.012500,-49.869469,-105.459854,179.934818,3.793393,-3.395935,6.212340,-2.127163,3.647419,-6.143859,2.339363,-0.182010,0.196248,-0.059989,-60.765968,188.420410,973.323043,-1289.039840,0
0.013542,-7.178351,-178.971872,131.765591,2.847611,-5.050867,5.612955,-0.000028,5.301331,-5.602741,0.227336,-0.123671,0.209339,-0.093440,-174.430013,188.344901,974.082956,-1288.474727,0
0.014583,49.592474,-191.679973,76.985855,1.766719,-6.096667,3.770548,2.687278,6.324145,-3.810286,-2.448655,-0.054394,0.186050,-0.078573,-242.013736,188.420338,974.498918,-1287.617481,0
0.015625,137.031296,-166.827532,29.825217,0.877234,-6.393894,1.912050,4.587317,6.603424,-2.022060,-4.447132,-0.021578,0.188393,-0.074856,-307.886193,188.495649,974.108778,-1286.986935,0
