1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,90.227005,114.383245,-176.947628,-3.198633,-4.794004,0.431688,4.250457,4.633963,-0.648127,-4.129193,-0.068979,0.548464,-0.078573,32.588060,188.495638,1020.403117,991.482944,0
0.001042,6.279860,154.562925,-176.631685,-3.198633,-3.972042,-1.374514,5.026370,3.752602,1.199285,-5.007312,-0.054394,0.596832,-0.126890,153.660083,188.495693,1021.141114,990.714585,0
0.002083,-69.531339,169.713988,-133.821346,-2.365445,-2.199687,-3.128421,4.867402,2.145841,2.902962,-4.878622,-0.028871,0.590287,-0.082290,244.143238,188.570970,1021.807282,989.839262,0
0.003125,-125.138272,189.363389,-48.844705,-0.676550,-0.221841,-4.592692,4.326156,0.180007,4.500952,-4.394142,-0.054394,0.590493,-0.100873,315.295850,188.495598,1021.926069,988.994992,0
0.004167,-166.518598,155.866621,22.582821,0.663307,1.436761,-5.111623,3.099836,-1.336079,4.991340,-3.224579,-0.087210,0.589598,-0.108307,318.211756,188.495571,1021.843827,988.987159,0
0.005208,-183.841384,106.067778,93.621494,2.036942,3.443963,-4.942669,1.082464,-3.305540,4.902563,-1.120122,-0.134610,0.580434,-0.112023,283.130816,188.495624,1022.664183,988.311460,0
0.006250,-179.875110,23.535592,144.184599,2.993982,4.511779,-4.134102,-0.605618,-4.284830,4.141615,0.598266,-0.138256,0.580434,-0.100873,198.062915,188.571051,1022.427060,988.231827,0
0.007292,-152.597090,-49.166021,174.964784,3.613244,5.080547,-2.641672,-2.452668,-4.865150,2.657768,2.509688,-0.196595,0.581261,-0.093440,98.764492,188.495835,1022.279035,988.032103,0
0.008333,-88.424814,-115.208212,177.249298,3.680800,4.746625,-0.453311,-4.106686,-4.506077,0.569390,4.095601,-0.240349,0.560315,-0.086006,-34.162547,188.495611,1021.431403,987.226311,0
0.009375,-4.093471,-154.706681,177.006265,3.725837,3.880630,1.292551,-4.875028,-3.686375,-1.286477,4.954795,-0.236703,0.566447,-0.104590,-154.007412,188.495602,1021.886993,986.564344,0
0.010417,70.565135,-169.822509,133.831375,2.881389,2.181664,3.078640,-4.757695,-2.166662,-2.960562,4.867740,-0.265872,0.588426,-0.082290,-243.826326,188.495492,1022.127419,986.765452,0
0.011458,125.539272,-189.507146,49.656745,1.248791,0.178132,4.599229,-4.269438,-0.262487,-4.558551,4.421111,-0.225764,0.597728,-0.112023,-325.640571,188.495709,1021.876444,987.495983,0
0.012500,166.953498,-155.963397,-21.199652,-0.113585,-1.502487,5.069887,-3.012839,1.300750,-5.095442,3.206127,-0.200241,0.599106,-0.074856,-331.112117,188.495658,1022.381830,987.821917,0
0.013542,183.892086,-107.127645,-92.979577,-1.487219,-3.539044,4.953228,-0.980327,3.284719,-4.972845,1.135735,-0.156487,0.587186,-0.104590,-285.696035,188.495765,1022.836399,988.246199,0
0.014583,179.824113,-24.994790,-144.441907,-2.444260,-4.595852,4.080298,0.772099,4.322041,-4.173850,-0.594008,-0.109087,0.586635,-0.112023,-198.444020,188.495691,1022.792136,988.586093,0
0.015625,152.907691,48.505483,-174.748176,-3.086040,-5.127926,2.595913,2.611579,4.909615,-2.761870,-2.516785,-0.079917,0.563829,-0.115740,-98.132347,188.495671,1022.689181,989.592031,0
0.016667,88.780615,115.099691,-177.482302,-3.153596,-4.764648,0.383416,4.246672,4.604947,-0.614307,-4.159473,-0.036163,0.586153,-0.108307,35.898007,188.495595,1022.810233,989.461715,0
0.017708,3.850376,154.457219,-176.911173,-3.142336,-3.931678,-1.390605,5.015015,3.745348,1.288062,-4.995957,-0.017932,0.568514,-0.078573,155.832940,188.495667,1023.089831,989.239289,0
0.018750,-71.237628,170.266003,-132.788454,-2.275370,-2.166661,-3.144512,4.905252,2.171230,2.941009,-4.889977,-0.043455,0.567343,-0.119457,245.696887,188.495564,1023.065275,990.206015,0
0.019792,-125.285171,189.727485,-47.896875,-0.620253,-0.203493,-4.705328,4.379145,0.154618,4.543227,-4.390357,-0.047102,0.587048,-0.112023,315.284591,188.495635,1023.572044,990.306403,0
0.020833,-166.857596,155.608230,22.801551,0.697085,1.484464,-5.167941,3.137686,-1.397738,4.999795,-3.182944,-0.036163,0.593112,-0.104590,318.234272,188.496527,1024.267849,989.694820,0
0.021875,-183.524986,106.490598,93.718707,2.104498,3.473318,-4.978873,1.097604,-3.320048,4.944838,-1.108767,-0.101794,0.586773,-0.097156,283.918899,188.495235,1024.824108,989.910392,0
0.022917,-179.626512,24.933248,144.986610,3.072797,4.493432,-4.170306,-0.696457,-4.324727,4.116251,0.613406,-0.152841,0.585533,-0.089723,199.898022,188.495311,1025.690322,989.607796,0
0.023958,-153.580184,-47.862324,174.843267,3.692059,5.084217,-2.617535,-2.520797,-4.868777,2.725408,2.524828,-0.233057,0.589322,-0.086006,100.284366,188.495398,1026.205321,989.980808,0
0.025000,-89.419208,-114.879352,177.662455,3.714578,4.720939,-0.445265,-4.152105,-4.578617,0.569390,4.178871,-0.262226,0.589873,-0.104590,-34.387713,188.495374,1027.969957,990.729275,0
0.026042,-5.223464,-154.530506,176.860445,3.692059,3.851274,1.377028,-4.878813,-3.729899,-1.286477,4.977505,-0.243995,0.586015,-0.119457,-154.559070,188.495278,1028.439406,991.080771,0
0.027083,70.644235,-170.315800,132.834938,2.813834,2.089927,3.106799,-4.731200,-2.141273,-3.007064,4.860170,-0.243995,0.587255,-0.089723,-245.481300,188.495179,1028.788708,990.829734,0
0.028125,125.482772,-189.577616,47.785388,1.203754,0.167123,4.615320,-4.220234,-0.229844,-4.609281,4.364336,-0.243995,0.585533,-0.104590,-325.618055,188.495202,1028.935978,990.328003,0
0.029166,166.761399,-155.751987,-23.350498,-0.147362,-1.528173,5.065865,-2.974989,1.373290,-5.015120,3.153137,-0.203887,0.584361,-0.030256,-330.977017,188.495253,1028.513445,989.258155,0
0.030208,183.417489,-105.694754,-93.939559,-1.498478,-3.557392,4.908978,-0.950047,3.241195,-4.926343,1.109240,-0.189302,0.580158,-0.093440,-284.131128,188.495369,1027.238141,988.851236,0
0.031250,179.835413,-22.892433,-144.405452,-2.500556,-4.584844,4.096388,0.802379,4.318414,-4.199215,-0.639428,-0.141902,0.559833,-0.108307,-198.095012,188.495235,1027.120059,989.184601,0
0.032291,152.873791,49.186694,-174.590204,-3.041003,-5.124257,2.583845,2.604009,4.935004,-2.753415,-2.535710,-0.076271,0.553425,-0.104590,-98.785330,188.495356,1027.435916,989.368732,0
0.033333,88.825814,115.029221,-177.312179,-3.209892,-4.841707,0.435711,4.269382,4.550542,-0.626989,-4.151903,-0.047102,0.586704,-0.108307,34.186742,188.495334,1026.949175,988.837701,0
0.034375,5.206367,154.656885,-176.498017,-3.198633,-3.953695,-1.410718,5.033939,3.730840,1.279607,-5.018667,-0.028871,0.594834,-0.126890,154.009091,188.495302,1027.291015,988.601511,0
0.035416,-69.825137,170.007613,-133.347430,-2.320407,-2.203356,-3.136466,4.882542,2.131333,2.949464,-4.897547,-0.047102,0.592629,-0.089723,244.492246,188.570711,1027.916634,987.728245,0
0.036458,-125.285171,189.292919,-48.881160,-0.721587,-0.254866,-4.628896,4.322371,0.205396,4.547454,-4.409282,-0.043455,0.594558,-0.082290,315.149491,188.495358,1027.777971,988.176769,0
0.037500,-167.106194,155.690445,22.327636,0.618270,1.477125,-5.107600,3.099836,-1.354214,5.037843,-3.198084,-0.087210,0.591527,-0.123173,318.290564,188.495233,1027.795782,988.798087,0
0.038541,-183.841384,105.926838,93.986044,2.059460,3.436624,-4.926578,1.097604,-3.272897,4.898336,-1.101197,-0.145548,0.578160,-0.078573,282.793066,188.495336,1026.857455,988.491140,0
0.039583,-179.637811,23.324182,144.634211,3.061538,4.504440,-4.158238,-0.635898,-4.302965,4.124706,0.613406,-0.123671,0.571546,-0.097156,197.398674,188.495271,1026.200836,988.705741,0
0.040625,-152.642290,-49.694546,174.770357,3.658281,5.058531,-2.593399,-2.482947,-4.839761,2.678905,2.498333,-0.203887,0.570995,-0.089723,97.627401,188.570635,1025.172829,988.507002,0
0.041667,-87.543420,-115.701503,177.297905,3.759615,4.713600,-0.481470,-4.099116,-4.545974,0.569390,4.110741,-0.233057,0.556801,-0.067423,-35.952620,188.493660,1023.531895,988.452828,0
0.042708,-3.008679,-154.765406,176.738928,3.725837,3.880630,1.308642,-4.901523,-3.711764,-1.269567,4.977505,-0.258580,0.562520,-0.104590,-155.223311,188.495334,1022.825287,988.844303,0
0.043750,71.356130,-169.904724,133.017213,2.881389,2.166986,3.094731,-4.791759,-2.213813,-2.935197,4.890450,-0.243995,0.588771,-0.100873,-244.659442,188.495374,1021.821211,990.147596,0
0.044791,125.810470,-189.436676,48.538792,1.305087,0.181801,4.595206,-4.258083,-0.284249,-4.609281,4.387046,-0.240349,0.594972,-0.097156,-325.753154,188.570834,1021.628876,990.843146,0
0.045833,167.032598,-155.705007,-21.685719,-0.091066,-1.484139,5.085978,-3.065828,1.318885,-5.091215,3.278042,-0.225764,0.600897,-0.093440,-331.269733,188.495340,1021.955034,992.771503,0
0.046875,183.745187,-106.740060,-93.344127,-1.543516,-3.524366,4.937137,-1.018176,3.281092,-4.993983,1.169800,-0.167425,0.586222,-0.086006,-285.459611,188.570874,1022.947555,993.858970,0
0.047916,179.632014,-24.889085,-144.770002,-2.556853,-4.581175,4.108457,0.772099,4.285771,-4.233035,-0.567513,-0.138256,0.589115,-0.074856,-198.331436,188.495338,1022.463703,994.365215,0
0.048958,153.133690,48.305818,-174.687418,-3.086040,-5.127926,2.575799,2.611579,4.869718,-2.744960,-2.516785,-0.065333,0.590976,-0.067423,-98.346255,188.570785,1021.930451,993.605770,0
0.050000,88.803215,115.311101,-177.336482,-3.142336,-4.786665,0.447779,4.227748,4.546915,-0.639672,-4.159473,-0.032517,0.587531,-0.089723,36.370857,188.495356,1021.900437,993.792236,0
0.051041,3.895576,154.633395,-176.485865,-3.142336,-3.931678,-1.366469,5.011230,3.738094,1.250015,-5.018667,-0.036163,0.578367,-0.082290,156.317048,188.570727,1021.304714,994.310783,0
0.052083,-71.407127,170.242513,-132.205173,-2.331667,-2.214365,-3.108307,4.863617,2.167603,2.957919,-4.886192,-0.025225,0.591182,-0.071140,246.203511,188.495446,1020.643917,995.136941,0
0.053125,-125.658068,189.457349,-47.058410,-0.654031,-0.243858,-4.640965,4.356436,0.219904,4.488269,-4.375218,-0.061686,0.585533,-0.089723,315.307108,188.570808,1019.273211,995.152534,0
0.054166,-166.993195,155.338095,23.700775,0.719604,1.444100,-5.139782,3.122546,-1.354214,5.012478,-3.190514,-0.032517,0.588426,-0.097156,318.177981,188.495398,1018.653998,995.188107,0
0.055208,-183.265087,105.644957,94.362745,2.115757,3.447632,-4.990941,1.124099,-3.251135,4.902563,-1.161757,-0.138256,0.578367,-0.082290,282.939425,188.570774,1017.852323,995.881717,0
0.056250,-179.411813,23.887942,145.035216,3.095316,4.475084,-4.130079,-0.624543,-4.281203,4.141615,0.620976,-0.130964,0.567963,-0.119457,199.098681,188.495430,1017.809246,995.921603,0
0.057291,-153.116887,-48.531790,174.612385,3.647022,5.054861,-2.641672,-2.467807,-4.843388,2.729635,2.513473,-0.207533,0.583534,-0.097156,99.924100,188.570865,1018.185500,996.121440,0
