1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,60.666401,87.604622,-193.473902,-3.446337,2.746763,-6.290281,3.088481,-2.137646,6.344136,-3.198084,-0.068979,0.206720,-0.052556,32.239052,188.420218,1002.541639,-1306.115900,0
0.001042,18.382080,154.844805,-150.274709,-2.691964,4.665897,-5.755259,0.775884,-3.954773,5.786108,-0.805967,-0.087210,0.196661,-0.067423,142.075267,188.495758,1001.853772,-1305.530723,0
0.002083,-32.625783,201.519475,-89.334076,-1.509738,6.115339,-4.254783,-1.960626,-5.275001,4.454449,1.896519,-0.138256,0.170479,-0.052556,234.787570,188.420300,1001.189592,-1305.682569,0
0.003125,-107.939785,172.051245,-42.829628,-0.586475,6.540998,-2.303763,-4.125610,-5.732003,2.471758,4.144806,-0.182010,0.180607,-0.067423,283.142074,188.495624,1000.237458,-1305.670569,0
0.004167,-181.027702,124.366504,-0.250170,0.303010,5.909848,-0.167697,-5.306511,-5.238731,0.391835,5.473339,-0.185656,0.196937,-0.074856,302.911693,188.420397,999.664260,-1305.252644,0
0.005208,-190.463140,70.445162,61.686900,1.440199,4.196204,2.515459,-6.120273,-3.559430,-2.284164,6.222768,-0.243995,0.197212,-0.033973,258.081044,188.495640,999.129271,-1305.017514,0
0.006250,-168.213587,25.273853,146.068109,3.084057,2.405502,4.317638,-5.927241,-1.934534,-4.127348,6.200058,-0.243995,0.211130,-0.067423,190.080763,188.420368,999.561904,-1304.647572,0
0.007292,-112.188557,-18.664229,191.345237,3.996060,-0.166799,5.403773,-4.405696,0.524572,-5.154627,4.610360,-0.163779,0.195490,-0.056273,87.584976,188.495696,998.866037,-1303.760253,0
0.008333,-60.536598,-87.830594,193.556842,4.018579,-2.691396,6.385318,-2.891720,3.038083,-6.245319,3.168277,-0.134610,0.185775,-0.045123,-31.066507,188.420361,998.897187,-1303.588982,0
0.009375,-18.523476,-155.070776,150.673592,3.219168,-4.650895,5.810068,-0.529919,4.884226,-5.729565,0.696676,-0.065333,0.184328,-0.078573,-141.049081,188.495618,998.312143,-1303.962288,0
