1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,-124.098678,187.319758,-41.286366,-0.552697,1.326677,-6.246031,4.401855,-1.227269,6.251131,-4.481197,0.033114,0.638861,-0.082290,311.287886,188.345013,1573.308560,923.901959,0
0.001042,-172.010362,159.037773,31.757333,0.865975,3.737520,-6.459235,2.342849,-3.443366,6.475188,-2.407020,-0.043455,0.629904,-0.082290,318.605797,188.420390,1573.316982,923.502449,0
0.002083,-179.784710,100.993933,99.089746,2.160794,5.476851,-5.465623,-0.280113,-5.224223,5.583188,0.151636,-0.072625,0.623565,-0.067423,273.527465,188.420238,1574.362983,922.997243,0
0.003125,-186.078769,16.277176,146.068109,3.084057,6.544667,-3.949056,-2.558646,-6.141854,4.112023,2.551323,-0.130964,0.629629,-0.086006,197.894040,188.269510,1574.924659,922.636551,0
0.004167,-151.342798,-57.739878,170.796760,3.601985,6.331838,-1.611855,-4.435975,-6.098330,1.871455,4.470316,-0.196595,0.629215,-0.059989,86.042585,188.344844,1574.735035,922.638135,0
0.005208,-69.463540,-110.486718,196.315271,4.131172,5.396122,1.276460,-6.097563,-5.158937,-0.973643,6.230338,-0.174718,0.633556,-0.071140,-48.190419,188.420235,1574.600519,922.913471,0
0.006250,0.607297,-155.963397,171.452951,3.635763,3.700826,3.299889,-6.233821,-3.548549,-3.066249,6.423373,-0.218472,0.613506,-0.082290,-162.214731,188.420432,1574.576307,922.424307,0
0.007292,70.067938,-186.629619,121.971344,2.689981,1.117517,5.415841,-5.643370,-1.161983,-5.137717,5.836699,-0.225764,0.618467,-0.056273,-259.362814,188.269478,1574.077554,922.296864,0
0.008333,123.832983,-187.839355,39.947560,1.124939,-1.308005,6.365204,-4.167245,1.224583,-6.211499,4.402186,-0.160133,0.627562,-0.059989,-315.102779,188.344905,1575.522385,922.349250,0
0.009375,171.755966,-158.993610,-32.743740,-0.282474,-3.689493,6.606567,-2.112023,3.462442,-6.444010,2.346933,-0.116379,0.630731,-0.063706,-332.373049,188.420334,1575.642361,921.917285,0
0.010417,179.824113,-100.139364,-98.763773,-1.554775,-5.472856,5.548591,0.563928,5.192521,-5.535101,-0.279853,-0.112733,0.619983,-0.059989,-274.617844,188.420296,1576.786000,921.158589,0
0.011458,186.423270,-16.503147,-145.875804,-2.523075,-6.452606,4.032025,2.880310,6.142795,-3.970931,-2.671970,-0.021578,0.605789,-0.059989,-199.175811,188.269478,1577.928850,920.537777,0
0.012500,151.359601,56.797461,-171.212039,-3.029743,-6.291149,1.638505,4.772779,6.073882,-1.738818,-4.685587,-0.010640,0.635209,-0.082290,-86.941573,188.344887,1580.341705,919.181399,0
0.013542,70.994532,109.920141,-196.244483,-3.558930,-5.355433,-1.201537,6.385162,5.083711,1.106280,-6.354770,0.040407,0.634727,-0.089723,46.886132,188.420368,1581.375988,917.333744,0
0.014583,1.499992,156.230716,-170.981158,-3.063521,-3.517027,-3.269216,6.483571,3.458815,3.173521,-6.532665,0.051345,0.639481,-0.078573,161.867402,188.495799,1582.593145,915.759601,0
0.015625,-69.169741,186.427137,-122.143589,-2.140259,-0.915371,-5.336896,5.859056,1.046860,5.270354,-5.900570,0.014883,0.602000,-0.067423,259.229393,188.269499,1583.790446,914.603550,0
0.016667,-123.951779,187.460698,-39.572980,-0.552697,1.506481,-6.286258,4.276952,-1.328825,6.293406,-4.382787,-0.028871,0.624943,-0.100873,311.569344,188.344655,1584.367252,913.181547,0
0.017708,-171.196767,159.472339,33.859572,0.911012,3.847605,-6.471303,2.229300,-3.584819,6.513235,-2.259405,-0.058040,0.619018,-0.074856,318.594539,188.420117,1586.189232,911.531732,0
0.018750,-179.886410,98.586206,99.150504,2.183313,5.575926,-5.389191,-0.370952,-5.275001,5.557823,0.329531,-0.109087,0.618811,-0.089723,272.289050,188.495665,1586.896429,909.956824,0
0.019792,-186.677665,14.315759,145.800772,3.129094,6.588701,-3.864579,-2.672194,-6.156362,4.019018,2.733003,-0.156487,0.595936,-0.074856,197.499999,188.269424,1588.334619,908.191595,0
0.020833,-149.964208,-58.280148,171.416496,3.624503,6.350185,-1.495196,-4.560878,-6.058433,1.765768,4.629285,-0.192949,0.607443,-0.078573,85.817419,188.344918,1589.745945,906.669878,0
0.021875,-68.943743,-109.875978,196.995765,4.142431,5.359427,1.401164,-6.161907,-5.115413,-1.134288,6.302253,-0.207533,0.642099,-0.082290,-46.400346,188.420278,1591.601230,904.764146,0
0.022917,-0.443596,-156.433198,171.003339,3.647022,3.579733,3.468844,-6.252745,-3.486890,-3.167708,6.465008,-0.200241,0.626321,-0.082290,-161.043865,188.495662,1593.184966,903.508171,0
0.023958,68.994446,-186.829284,122.931326,2.757537,1.000094,5.480205,-5.582811,-1.013276,-5.268769,5.795064,-0.182010,0.631282,-0.074856,-258.259498,188.269519,1595.544880,900.728968,0
0.025000,124.058982,-187.134654,41.308547,1.136198,-1.462123,6.381295,-4.053696,1.326139,-6.262228,4.326486,-0.189302,0.637070,-0.093440,-315.406754,188.269451,1596.837186,898.736883,0
0.026042,171.823766,-159.933211,-32.427797,-0.338771,-3.817924,6.598522,-2.009830,3.593014,-6.494740,2.191749,-0.123671,0.630318,-0.071140,-332.159141,188.420238,1599.415592,896.476441,0
0.027083,179.891913,-99.916209,-98.508588,-1.611071,-5.524229,5.488250,0.677476,5.217910,-5.505508,-0.412328,-0.094502,0.624048,-0.026539,-273.886053,188.495705,1600.275935,894.754660,0
0.028125,186.954366,-15.763212,-145.669226,-2.534334,-6.514987,3.931457,2.974933,6.193573,-3.907519,-2.808230,-0.036163,0.627079,-0.067423,-197.430770,188.344997,1602.020583,893.437046,0
0.029167,150.444307,57.948472,-171.199888,-3.041003,-6.272802,1.545982,4.814413,6.066628,-1.654268,-4.715867,0.022176,0.618122,-0.100873,-84.453483,188.344939,1602.096252,892.842239,0
0.030208,68.791047,109.873161,-197.034342,-3.525153,-5.282044,-1.322219,6.430582,5.083711,1.241560,-6.388835,0.069576,0.613161,-0.074856,48.653689,188.420282,1603.071873,892.200833,0
0.031250,-0.545295,156.136756,-171.017613,-3.063521,-3.517027,-3.381852,6.494925,3.462442,3.241161,-6.509955,0.058637,0.594490,-0.071140,162.914426,188.495645,1603.100648,892.343073,0
0.032292,-69.746038,186.979152,-121.815494,-2.050184,-0.867668,-5.393214,5.851486,0.945304,5.325312,-5.904355,0.058637,0.619638,-0.089723,259.477076,188.344985,1604.221681,891.580905,0
0.033333,-123.737081,187.601638,-39.585132,-0.473882,1.528498,-6.286258,4.322371,-1.426754,6.339908,-4.352508,-0.017932,0.629697,-0.078573,311.603119,188.269478,1605.499789,890.457233,0
0.034375,-171.513165,159.718984,33.021107,0.944790,3.906316,-6.487394,2.199021,-3.675494,6.602013,-2.285900,-0.025225,0.628182,-0.056273,318.639572,188.420256,1607.560762,890.735413,0
0.035417,-179.863810,99.643257,98.737347,1.383902,5.608952,-5.413327,-0.393661,-5.318525,5.557823,0.397661,-0.087210,0.626666,-0.071140,273.572499,188.495778,1608.841040,889.622884,0
0.036458,-186.994063,16.429861,146.298990,3.072797,6.632734,-3.840443,-2.683549,-6.228902,4.031701,2.714078,-0.123671,0.611301,-0.082290,199.526498,188.344992,1610.210917,889.723159,0
0.037500,-151.116800,-56.530142,171.635226,3.635763,6.353855,-1.418764,-4.606297,-6.138227,1.731948,4.648210,-0.163779,0.636725,-0.078573,87.337293,188.344834,1611.903626,889.189322,0
0.038542,-70.254534,-109.582352,197.190191,4.142431,5.355758,1.477596,-6.199756,-5.155310,-1.159652,6.317393,-0.236703,0.636036,-0.071140,-46.659287,188.420321,1612.938171,889.015508,0
0.039583,-1.053792,-156.585883,171.258524,3.545688,3.590741,3.484935,-6.260315,-3.472382,-3.188846,6.434728,-0.211179,0.644580,-0.078573,-162.102148,188.495644,1613.101977,888.380492,0
0.040635,70.305237,-187.393044,121.169333,2.667463,0.882671,5.544569,-5.605521,-0.915347,-5.416731,5.806419,-0.225764,0.628871,-0.097156,-260.702555,188.344929,1614.789052,888.116319,0
0.041679,124.680478,-187.087674,37.978989,1.012346,-1.568537,6.425545,-3.993137,1.434949,-6.274911,4.235646,-0.163779,0.628457,-0.078573,-316.881595,188.344930,1614.672145,887.405008,0
0.042720,171.563868,-159.933211,-36.292029,-0.417586,-3.957364,6.646794,-1.881142,3.738094,-6.520105,2.104694,-0.120025,0.625770,-0.063706,-332.215433,188.420377,1616.042169,887.249973,0
0.043751,180.084011,-98.177948,-98.860986,-1.554775,-5.575602,5.536523,0.726680,5.344855,-5.484371,-0.453963,-0.083563,0.627837,-0.074856,-272.827770,188.495629,1617.134208,887.107536,0
0.044791,187.157765,-14.600456,-145.462647,-2.511815,-6.525995,3.943525,2.997643,6.240724,-3.932883,-2.868790,-0.047102,0.630111,-0.082290,-197.881103,188.420296,1618.034457,887.491677,0
0.045833,150.048810,57.772296,-171.625196,-2.962187,-6.316835,1.497710,4.935531,6.150049,-1.578174,-4.787782,0.025822,0.615091,-0.078573,-85.669382,188.269539,1619.813742,887.160728,0
0.046875,69.039645,109.462086,-197.240920,-3.570190,-5.307730,-1.354400,6.536560,5.076457,1.262697,-6.475890,0.044053,0.610819,-0.082290,46.649707,188.420300,1621.092732,886.832356,0
0.047916,1.047995,156.759241,-170.908248,-2.984706,-3.454646,-3.450239,6.570624,3.397156,3.329938,-6.562945,0.025822,0.642306,-0.033973,161.912435,188.495631,1622.944697,885.535498,0
