1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,152.918991,-160.731871,4.999352,0.393084,-6.368208,3.106799,3.610803,6.527257,-3.125434,-3.294332,-0.025225,0.317580,-0.041406,-308.235201,188.420048,1473.042498,-880.989008,0
0.001042,198.807988,-95.359145,-45.150597,-0.575216,-5.975574,0.600643,5.420003,6.070255,-0.673491,-5.175475,-0.006994,0.322128,-0.086006,-293.982162,188.505372,1473.282214,-881.767943,0
0.002083,187.304664,-39.593837,-119.020609,-1.937591,-4.757309,-1.571627,6.165636,5.112727,1.567076,-6.068733,0.036760,0.328949,-0.052556,-220.037486,188.420030,1473.331502,-881.604300,0
0.003125,140.556873,10.616081,-183.351559,-3.221151,-2.988623,-3.675511,6.370023,3.346378,3.600497,-6.231488,0.007591,0.336804,-0.093440,-123.767552,188.495381,1473.904962,-881.566573,0
0.004167,81.164465,64.466952,-202.150196,-3.603968,-0.350272,-5.316782,5.279960,0.832867,5.308402,-5.236035,0.003945,0.338319,-0.033973,-10.024699,188.419994,1474.005454,-880.782123,0
0.005208,27.659319,142.160194,-176.607382,-3.063521,2.064241,-6.278213,3.800050,-1.488413,6.293406,-3.665262,-0.006994,0.315720,-0.059989,121.101008,188.495434,1473.958817,-880.717129,0
0.006250,-22.173352,185.969081,-123.565335,-2.185296,4.108137,-5.839736,1.389044,-3.443366,5.989027,-1.401835,-0.047102,0.300562,-0.052556,209.906673,188.495374,1473.332239,-881.250561,0
0.007292,-87.102723,195.646970,-58.152886,-0.890476,6.008924,-4.850146,-1.309616,-5.238731,4.978658,1.364997,-0.127317,0.311586,-0.056273,287.803021,188.495452,1472.853681,-881.320110,0
0.008333,-153.015187,160.799525,-4.564014,0.201676,6.493294,-2.987626,-3.391332,-5.833559,3.236933,3.495949,-0.163779,0.316340,-0.086006,310.274637,188.420021,1471.587869,-881.636627,0
0.009375,-198.361788,94.545923,45.318599,1.181235,6.052958,-0.477447,-5.208102,-5.369303,0.776536,5.384661,-0.229410,0.317994,-0.045123,292.644100,188.495416,1470.547696,-881.648630,0
0.010420,-187.107062,39.015515,119.638223,2.599907,4.842032,1.702869,-5.934811,-4.328354,-1.472486,6.240070,-0.240349,0.314067,-0.045123,219.600090,188.503832,1469.575763,-881.761911,0
0.011459,-140.314071,-10.783328,183.543864,3.838430,3.088024,3.734343,-6.097563,-2.605529,-3.480542,6.361190,-0.240349,0.326537,-0.045123,124.332147,188.497531,1468.261024,-881.367810,0
0.012500,-81.091163,-64.293594,202.439714,4.176209,0.460681,5.407796,-4.969651,-0.052121,-5.196902,5.380876,-0.243995,0.293259,-0.089723,11.636318,188.419943,1468.141485,-880.932819,0
0.013542,-28.196212,-142.350931,176.714625,3.737096,-1.968510,6.373249,-3.527590,2.243770,-6.114266,3.817673,-0.163779,0.320543,-0.048839,-120.435088,188.495341,1467.493280,-880.780646,0
0.014583,22.224055,-186.347738,123.757639,2.757537,-3.983050,5.894545,-1.135509,4.166080,-5.847935,1.592096,-0.134610,0.324402,-0.063706,-209.893736,188.495401,1467.628136,-880.269316,0
0.015625,87.300325,-196.002137,58.211522,1.485236,-5.865490,4.937137,1.521517,5.968699,-4.896750,-1.208800,-0.087210,0.312482,-0.063706,-287.958959,188.495385,1467.711681,-879.854955,0
0.016667,152.896391,-160.743616,4.586195,0.404343,-6.335183,3.094731,3.614588,6.570781,-3.142344,-3.366247,-0.032517,0.314687,-0.056273,-308.055068,188.420025,1468.357313,-880.736667,0
0.017708,198.514190,-94.372564,-45.041232,-0.563957,-5.931541,0.648915,5.442713,6.106525,-0.622762,-5.167905,-0.006994,0.318476,-0.059989,-292.991430,188.495401,1468.169669,-880.794693,0
0.018750,187.259464,-39.030077,-118.899093,-1.948850,-4.790334,-1.583696,6.161851,5.080084,1.562849,-6.072518,0.033114,0.309106,-0.067423,-220.014970,188.495345,1467.844562,-880.646536,0
0.019792,140.251775,10.533866,-183.448773,-3.221151,-3.032657,-3.615170,6.373807,3.342751,3.583587,-6.231488,0.033114,0.328536,-0.071140,-124.882126,188.495271,1467.755152,-880.406549,0
0.020836,81.763361,64.854537,-201.834252,-3.547671,-0.339264,-5.324827,5.268606,0.818359,5.350677,-5.205755,0.007591,0.339422,-0.067423,-10.294898,188.419838,1467.584500,-881.043932,0
0.021875,28.913610,142.547779,-176.461562,-3.119818,2.089927,-6.322463,3.788695,-1.542818,6.306089,-3.722037,0.007591,0.325366,-0.033973,121.112267,188.495421,1468.169128,-881.893106,0
0.022917,-22.162052,186.157002,-123.249391,-2.106481,4.122815,-5.811577,1.392829,-3.479636,6.022847,-1.375340,-0.083563,0.326537,-0.059989,210.469589,188.495365,1468.439378,-882.515311,0
0.023958,-87.373921,195.858380,-57.338724,-0.834180,6.052958,-4.866237,-1.260412,-5.253239,5.012478,1.414202,-0.123671,0.303180,-0.052556,288.095737,188.495293,1468.898317,-882.815502,0
0.025000,-152.619690,160.270999,-4.041492,0.190417,6.515311,-3.015785,-3.349698,-5.833559,3.258071,3.567864,-0.163779,0.311724,-0.063706,309.722979,188.423438,1468.947826,-883.200890,0
0.026042,-198.779885,93.982162,45.379357,1.181235,6.089652,-0.513651,-5.227027,-5.398319,0.759626,5.365736,-0.218472,0.319510,-0.052556,292.846750,188.435506,1469.213366,-883.025928,0
0.027083,-186.903663,39.285650,119.334431,2.599907,4.886065,1.694823,-5.957520,-4.375505,-1.447121,6.293060,-0.196595,0.330327,-0.093440,221.097448,188.518885,1470.040417,-883.161478,0
0.028125,-140.879068,-9.855472,183.981324,3.905986,3.176091,3.798707,-6.135412,-2.649053,-3.497452,6.463385,-0.251287,0.338595,-0.100873,126.122221,188.505242,1471.617893,-884.064304,0
0.029167,-82.605353,-64.187888,201.868585,4.232505,0.449673,5.500319,-5.011286,-0.139169,-5.226494,5.384661,-0.207533,0.333221,-0.078573,11.647576,188.501869,1472.187258,-884.013378,0
0.030208,-28.467410,-142.914691,176.690321,3.782133,-2.008874,6.429567,-3.516235,2.280040,-6.203044,3.908513,-0.171072,0.324539,-0.097156,-121.459596,188.504187,1474.061394,-884.728562,0
0.031250,22.450053,-186.101093,122.931326,2.689981,-4.016076,5.890523,-1.101445,4.202350,-5.894437,1.508826,-0.116379,0.328811,-0.041406,-210.028836,188.501731,1473.845194,-885.537327,0
0.032292,87.481123,-196.413212,57.190782,1.462718,-5.964566,4.985410,1.517732,6.041239,-4.820656,-1.220155,-0.101794,0.314204,-0.086006,-288.431808,188.501594,1473.657381,-886.091029,0
0.033333,152.546093,-160.156366,4.233797,0.415603,-6.382886,3.106799,3.584308,6.585289,-3.138116,-3.354892,-0.010640,0.313102,-0.052556,-306.985527,188.437838,1473.581715,-885.770055,0
0.034375,199.045286,-94.290349,-45.077687,-0.530179,-5.975574,0.604665,5.446498,6.113779,-0.669264,-5.209540,0.003945,0.322748,-0.030256,-294.252362,188.439658,1474.374070,-885.847588,0
0.035427,186.061672,-39.793502,-120.855512,-1.926332,-4.735292,-1.684264,6.222410,5.058322,1.617806,-6.087658,0.029468,0.335839,-0.030256,-219.181854,188.506916,1474.417580,-886.445109,0
0.036471,139.799778,10.416416,-185.623922,-3.209892,-2.977615,-3.695625,6.404087,3.266584,3.659682,-6.276908,0.025822,0.341902,-0.048839,-122.833111,188.507676,1475.033341,-888.040738,0
0.037515,80.983666,66.087764,-200.910725,-3.547671,-0.295230,-5.373100,5.215616,0.756700,5.401406,-5.201970,0.014883,0.339697,-0.052556,-6.939918,188.503677,1474.956025,-888.388546,0
0.038548,27.523720,143.393420,-176.364348,-3.086040,2.152308,-6.326485,3.728136,-1.571834,6.361046,-3.680402,0.007591,0.340111,-0.056273,123.341415,188.500649,1475.395174,-888.691494,0
0.039590,-22.941747,186.098277,-121.961314,-2.083962,4.144832,-5.855827,1.328485,-3.526787,6.001709,-1.310995,-0.065333,0.326331,-0.059989,211.246413,188.499156,1474.798085,-888.926125,0
0.040628,-87.735519,196.011065,-56.561017,-0.822920,6.049288,-4.886351,-1.324756,-5.307644,4.991340,1.383922,-0.141902,0.309450,-0.041406,288.591104,188.495311,1475.276371,-888.801544,0
0.041672,-152.902188,159.343144,-3.774155,0.269232,6.463939,-2.987626,-3.402687,-5.866202,3.241161,3.564079,-0.152841,0.318063,-0.059989,309.824304,188.646156,1475.404017,-888.643411,0
0.042708,-198.915484,94.933508,45.294295,1.192494,6.082314,-0.505606,-5.230812,-5.387438,0.814584,5.361951,-0.218472,0.321094,-0.078573,293.972583,188.495370,1475.731557,-888.492318,0
0.043750,-187.208761,40.636327,119.771891,2.577388,4.900743,1.702869,-5.961305,-4.375505,-1.438667,6.311985,-0.196595,0.329156,-0.074856,221.300097,188.495302,1476.043188,-889.103583,0
0.044791,-140.551370,-9.878962,184.163599,3.827171,3.117379,3.782616,-6.139197,-2.630918,-3.514362,6.448245,-0.211179,0.348379,-0.071140,124.906322,188.495235,1475.751643,-889.233792,0
0.045833,-81.486660,-64.234868,202.257438,4.164950,0.438664,5.468137,-5.011286,-0.070256,-5.260314,5.365736,-0.233057,0.323230,-0.074856,10.746910,188.570769,1475.401225,-889.866257,0
0.046875,-27.427817,-142.656301,176.556653,3.759615,-2.023552,6.453704,-3.557870,2.298175,-6.198816,3.836598,-0.189302,0.309657,-0.086006,-121.797346,188.495287,1474.540523,-889.932007,0
