1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,56.270730,97.493920,-189.877007,-3.423819,2.915558,-6.185690,2.732697,-2.235575,6.280724,-2.868790,0.000299,0.176473,-0.100873,46.492091,188.495736,1011.637339,-1302.129660,0
0.001042,12.664318,167.482436,-142.764976,-2.545593,4.941107,-5.638600,0.495799,-4.088972,5.688876,-0.461533,-0.076271,0.191907,-0.071140,161.248194,188.495631,1011.495911,-1303.276661,0
0.002083,-40.287132,199.569803,-85.324024,-1.430923,6.196067,-4.009397,-2.282345,-5.405573,4.179663,2.267449,-0.120025,0.157664,-0.097156,239.234608,188.495732,1012.217718,-1303.493983,0
0.003125,-121.793494,170.136808,-36.668730,-0.451364,6.680438,-2.106649,-4.375416,-5.793662,2.230792,4.451391,-0.189302,0.184810,-0.097156,296.989814,188.495779,1012.816186,-1303.823265,0
0.004167,-183.344187,119.433599,8.098028,0.449381,5.656655,0.166189,-5.333005,-5.017484,0.095911,5.594459,-0.185656,0.202380,-0.082290,299.038829,188.495799,1013.462810,-1304.042813,0
0.005208,-190.971637,64.279032,73.947937,1.721681,4.210882,2.809117,-6.347369,-3.501398,-2.537813,6.502858,-0.192949,0.201691,-0.093440,253.949239,188.571129,1014.695668,-1304.381877,0
0.006250,-165.490305,18.050672,151.828001,3.185390,2.225698,4.365911,-5.772058,-1.691525,-4.182305,6.086508,-0.207533,0.171375,-0.093440,178.935022,188.495660,1015.325031,-1304.400016,0
0.007292,-105.227803,-26.662581,199.304582,4.097394,-0.412653,5.552614,-4.341352,0.771208,-5.306817,4.583865,-0.196595,0.204240,-0.045123,72.791537,188.495716,1015.848392,-1304.785982,0
0.008333,-56.705924,-97.520227,189.814127,3.905986,-2.885878,6.272681,-2.558646,3.194044,-6.198816,2.899543,-0.134610,0.208374,-0.093440,-44.925505,188.495721,1016.699187,-1305.571872,0
0.009375,-12.930013,-167.849347,143.516257,3.095316,-4.805012,5.717546,-0.306608,5.047441,-5.695745,0.522566,-0.112733,0.194181,-0.100873,-160.548499,188.571002,1018.001550,-1306.640959,0
0.010417,40.439534,-199.290739,86.609979,2.014423,-6.115014,4.084320,2.467752,6.324145,-4.123120,-2.195060,-0.039809,0.177645,-0.059989,-238.422330,188.495703,1018.270653,-1305.912983,0
0.011458,121.923296,-170.468485,37.735955,1.012346,-6.573698,2.189618,4.606241,6.763012,-2.216524,-4.394142,-0.017932,0.189978,-0.067423,-297.753701,188.495582,1019.224396,-1306.292488,0
0.012500,183.677388,-120.329037,-7.784207,0.111601,-5.568263,-0.075175,5.525981,5.983207,-0.060506,-5.435016,0.007591,0.208787,-0.082290,-298.969600,188.495582,1019.814116,-1305.904270,0
0.013542,191.044939,-65.280174,-73.257414,-1.138181,-4.129829,-2.673853,6.521420,4.416343,2.594355,-6.445610,0.011237,0.206169,-0.074856,-253.880010,188.571064,1020.184148,-1306.354704,0
0.014583,165.755706,-18.664229,-151.672151,-2.613149,-2.181339,-4.299033,5.942325,2.617351,4.217710,-6.055755,0.011237,0.222430,-0.093440,-178.359168,188.495705,1020.354659,-1305.896324,0
0.015625,105.798302,26.741980,-199.112278,-3.558930,0.434995,-5.509873,4.598672,0.111094,5.397179,-4.587177,0.000299,0.225392,-0.112023,-71.686543,188.495577,1021.246241,-1306.333916,0
0.016667,56.926125,97.470430,-189.864855,-3.412560,2.933906,-6.197758,2.781901,-2.231948,6.284951,-2.876360,-0.072625,0.195696,-0.074856,45.985466,188.495694,1021.255284,-1306.543350,0
0.017708,12.969416,167.282770,-143.396863,-2.511815,4.886065,-5.686872,0.510939,-4.114361,5.735378,-0.484243,-0.065333,0.208236,-0.056273,160.775344,188.646592,1021.778726,-1307.235324,0
0.018750,-40.445331,199.675508,-85.688574,-1.442182,6.214415,-4.017443,-2.221786,-5.401946,4.209255,2.263664,-0.138256,0.188393,-0.100873,239.223350,188.495718,1022.150835,-1307.341560,0
0.019792,-121.183298,170.242513,-36.899612,-0.485141,6.673099,-2.098604,-4.379201,-5.804543,2.277294,4.447606,-0.200241,0.186739,-0.082290,296.381864,188.495604,1022.453622,-1307.331327,0
0.020833,-183.796184,119.762460,7.818540,0.393084,5.663994,0.166189,-5.359500,-5.100905,0.138186,5.567964,-0.192949,0.202655,-0.082290,299.342804,188.495732,1023.676802,-1307.355880,0
0.021875,-190.790838,64.372992,73.230988,1.676644,4.199874,2.756822,-6.324659,-3.461501,-2.503993,6.476363,-0.218472,0.205894,-0.097156,253.307514,188.721980,1022.908381,-1306.761862,0
0.022917,-165.569404,18.074162,151.900911,3.174131,2.262392,4.289479,-5.779628,-1.749557,-4.140030,6.071368,-0.236703,0.211681,-0.104590,178.417139,188.495749,1023.447554,-1306.003462,0
0.023958,-105.397302,-26.815266,198.903577,4.097394,-0.397976,5.532500,-4.337567,0.803851,-5.323726,4.549801,-0.211179,0.175095,-0.097156,72.127296,188.495732,1022.796807,-1306.279122,0
0.025000,-56.050528,-97.508482,190.409559,4.029838,-2.871200,6.256590,-2.577571,3.223060,-6.173451,2.929823,-0.167425,0.163727,-0.078573,-45.646038,188.495750,1023.040817,-1306.293353,0
0.026042,-12.410217,-166.944982,143.759291,3.039020,-4.790334,5.713523,-0.310393,4.971274,-5.606968,0.503641,-0.116379,0.209201,-0.063706,-160.008099,188.721996,1021.848572,-1304.926575,0
0.027083,40.371735,-199.948460,85.978092,2.003164,-6.074650,4.076275,2.410977,6.316891,-4.101983,-2.172350,-0.003348,0.165105,-0.071140,-238.861405,188.495691,1021.973359,-1304.568090,0
0.028125,120.815903,-170.315800,37.140523,1.012346,-6.573698,2.181573,4.572177,6.701353,-2.229206,-4.431992,0.025822,0.184466,-0.086006,-296.515285,188.495741,1021.235404,-1304.198779,0
0.029167,183.869486,-120.282057,-7.589780,0.156639,-5.579271,-0.091266,5.491917,5.907040,-0.043596,-5.472866,0.033114,0.204722,-0.052556,-299.813974,188.495738,1020.375360,-1304.453965,0
0.030208,190.525142,-65.385879,-72.965774,-1.138181,-4.100474,-2.653740,6.525205,4.365565,2.598583,-6.403975,0.080514,0.202931,-0.100873,-253.958818,188.721954,1019.280560,-1303.977262,0
0.031250,165.993005,-18.863894,-151.599241,-2.658186,-2.133636,-4.262829,5.953679,2.624605,4.192345,-6.059540,0.036760,0.213473,-0.100873,-179.124735,188.495750,1019.367153,-1303.825108,0
0.032292,106.510198,26.460099,-198.492542,-3.570190,0.449673,-5.473668,4.564607,0.143737,5.363359,-4.507692,-0.003348,0.221672,-0.115740,-72.654759,188.495705,1018.348049,-1303.149686,0
0.033333,57.412022,97.188550,-190.217254,-3.288707,2.922897,-6.157531,2.751622,-2.279099,6.268041,-2.914209,-0.036163,0.216229,-0.059989,45.355000,188.495814,1018.319896,-1303.717289,0
0.034375,13.398813,166.648540,-143.481925,-2.556853,4.827354,-5.626532,0.476874,-4.027313,5.688876,-0.484243,-0.083563,0.187842,-0.082290,159.784612,188.646560,1017.541710,-1302.559174,0
0.035417,-40.174133,199.816448,-86.174641,-1.487219,6.185059,-3.993306,-2.244496,-5.372930,4.200800,2.282589,-0.156487,0.196937,-0.097156,239.223350,188.495700,1017.077881,-1302.677353,0
0.036458,-120.945999,170.242513,-37.519347,-0.518919,6.640073,-2.042286,-4.360276,-5.732003,2.226564,4.428681,-0.171072,0.185292,-0.108307,296.044115,188.495698,1015.777969,-1302.229698,0
0.037500,-183.366787,120.431925,7.478293,0.404343,5.645646,0.190325,-5.340575,-5.010230,0.079001,5.567964,-0.185656,0.201277,-0.071140,299.500420,188.495644,1014.076832,-1302.480397,0
0.038542,-190.677838,64.878027,73.060865,1.721681,4.130154,2.793026,-6.332229,-3.457874,-2.580088,6.483933,-0.214826,0.197832,-0.074856,253.465131,188.721916,1013.513279,-1303.436591,0
0.039583,-165.851903,18.356042,151.572816,3.219168,2.181664,4.293502,-5.753134,-1.731422,-4.148485,6.037304,-0.236703,0.230560,-0.089723,178.664822,188.495685,1012.842777,-1303.507794,0
0.040625,-105.815399,-26.415936,198.575482,4.097394,-0.442009,5.504341,-4.307287,0.832867,-5.281452,4.534661,-0.211179,0.196661,-0.059989,72.712729,188.571129,1012.065811,-1303.374905,0
0.041667,-56.310426,-96.956467,190.421710,3.928504,-2.900556,6.204295,-2.505657,3.165028,-6.164996,2.854123,-0.141902,0.204516,-0.097156,-45.342063,188.495792,1011.166390,-1302.930945,0
0.042708,-12.263317,-166.710081,143.844353,3.084057,-4.775657,5.685364,-0.268759,5.007544,-5.568921,0.537706,-0.112733,0.202380,-0.037689,-160.019358,188.721976,1011.085054,-1302.898075,0
0.043750,40.179636,-200.007185,86.087457,1.946867,-6.081989,4.076275,2.467752,6.306010,-4.068163,-2.248050,-0.058040,0.190115,-0.045123,-238.805113,188.495763,1010.092758,-1303.518081,0
0.044792,120.499505,-170.515465,37.079765,1.012346,-6.544343,2.149391,4.530543,6.719488,-2.153112,-4.409282,0.029468,0.186119,-0.104590,-296.053694,188.571225,1009.416361,-1303.696905,0
0.045833,183.417489,-120.188097,-7.699145,0.167898,-5.531568,-0.055061,5.514627,5.903413,-0.056278,-5.484221,0.033114,0.203344,-0.089723,-298.868275,188.495792,1009.390290,-1303.590548,0
0.046875,190.785041,-64.598964,-72.273128,-1.160699,-4.126160,-2.657762,6.487356,4.347430,2.581673,-6.377480,0.058637,0.210303,-0.063706,-253.440935,188.721913,1009.028978,-1302.983752,0
0.047917,165.642707,-18.123959,-151.210388,-2.624408,-2.162992,-4.222601,5.930970,2.588335,4.226165,-6.036830,0.047699,0.232765,-0.056273,-178.877051,188.495660,1008.418080,-1302.975940,0
0.048958,105.922602,26.448354,-198.091537,-3.570190,0.449673,-5.441486,4.560822,0.136483,5.299947,-4.526617,0.014883,0.212784,-0.067423,-73.183900,188.571140,1008.258757,-1302.086229,0
0.050000,56.587128,97.000630,-190.265861,-3.423819,2.904550,-6.153508,2.793256,-2.235575,6.213084,-2.891499,-0.028871,0.205411,-0.074856,44.904667,188.495761,1007.890475,-1300.944721,0
0.051042,12.822517,165.943839,-144.040902,-2.556853,4.812676,-5.618486,0.522293,-4.034567,5.659283,-0.506953,-0.068979,0.193354,-0.086006,159.334279,188.721889,1007.757060,-1300.710434,0
0.052083,-40.151533,199.898663,-86.502736,-1.475960,6.159372,-3.965147,-2.255851,-5.336660,4.188118,2.225814,-0.127317,0.186808,-0.089723,239.426000,188.571029,1007.822145,-1299.953031,0
0.053125,-120.268004,170.324728,-37.847443,-0.473882,6.592370,-2.114695,-4.284578,-5.728376,2.230792,4.421111,-0.185656,0.188393,-0.059989,295.469940,188.571163,1007.524714,-1299.938213,0
0.054167,-183.909183,120.702060,7.417535,0.381825,5.660324,0.109871,-5.325436,-5.046500,0.142413,5.567964,-0.214826,0.205549,-0.037689,300.412344,188.495691,1008.599207,-1299.859960,0
0.055208,-190.497040,65.606218,72.732770,1.687904,4.163179,2.720617,-6.283025,-3.465128,-2.529358,6.453653,-0.218472,0.204309,-0.067423,253.926722,188.721822,1008.485903,-1299.283152,0
0.056250,-166.100501,19.178193,151.888759,3.207909,2.255053,4.309593,-5.756918,-1.749557,-4.127348,6.075153,-0.203887,0.207134,-0.067423,179.835688,188.571120,1008.972109,-1299.580604,0
0.057292,-107.024491,-26.157546,197.882837,4.097394,-0.386967,5.524455,-4.303502,0.731311,-5.230722,4.530876,-0.200241,0.234074,-0.074856,73.804786,188.571071,1009.260314,-1298.565571,0
0.058333,-57.056221,-97.144387,190.701199,3.962282,-2.863861,6.188204,-2.562431,3.204925,-6.181906,2.903328,-0.160133,0.201691,-0.108307,-44.869213,188.495707,1009.746895,-1299.392740,0
0.059375,-12.737914,-165.770481,144.391178,3.117835,-4.768318,5.693409,-0.295253,4.953139,-5.585831,0.507426,-0.109087,0.203482,-0.119457,-158.972333,188.721886,1009.178567,-1299.255077,0
0.060417,40.168336,-200.277320,86.281884,1.958127,-6.115014,4.052139,2.471536,6.309637,-4.114665,-2.195060,-0.032517,0.189702,-0.086006,-239.176638,188.571075,1010.100421,-1299.009509,0
0.061458,119.945809,-170.315800,37.189130,1.034864,-6.525995,2.173527,4.549467,6.661456,-2.148884,-4.379002,0.011237,0.184810,-0.063706,-295.423228,188.571131,1009.421900,-1298.178209,0
0.062500,183.937286,-120.340782,-7.723448,0.134120,-5.557254,-0.095288,5.518411,5.917921,-0.052051,-5.438801,0.029468,0.201966,-0.100873,-299.633841,188.495740,1009.645757,-1297.901885,0
0.063542,190.457343,-64.892589,-72.260977,-1.160699,-4.045432,-2.673853,6.460861,4.347430,2.568991,-6.388835,0.036760,0.185430,-0.067423,-253.024377,188.721900,1009.647274,-1297.897833,0
0.064583,165.947805,-18.370604,-151.186084,-2.635668,-2.144645,-4.258806,5.961249,2.610097,4.247303,-6.014120,0.022176,0.212508,-0.052556,-178.685660,188.571170,1009.605368,-1298.058798,0
0.065625,106.069501,26.471844,-197.933565,-3.558930,0.468020,-5.437464,4.534328,0.143737,5.283037,-4.526617,0.014883,0.213886,-0.071140,-72.407075,188.495696,1009.568688,-1297.835646,0
