1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,97.413758,81.227082,-186.620359,-3.367522,-2.485906,-2.404331,4.636521,2.631859,2.264612,-4.560682,0.000299,0.404119,-0.022822,-7.412767,188.495749,1270.649311,-37.493302,0
0.001042,23.602645,136.687019,-186.510994,-3.367522,-0.955735,-3.655398,4.212608,1.152043,3.600497,-4.269238,-0.010640,0.402534,-0.033973,117.633444,188.495727,1269.505810,-37.300849,0
0.002083,-41.360625,171.557954,-140.322490,-2.421741,0.996424,-4.371442,3.001428,-0.596171,4.255758,-3.039114,-0.025225,0.386343,-0.041406,217.866308,188.495631,1269.078403,-37.682691,0
0.003125,-93.893978,195.412070,-62.782673,-0.901736,2.878864,-4.600737,1.411754,-2.525735,4.640459,-1.449416,-0.098148,0.413145,-0.078573,289.660644,188.571199,1269.152350,-37.409280,0
0.004167,-150.529204,163.594837,0.223745,0.269232,3.898977,-3.888715,-0.242264,-3.436112,3.934469,0.162991,-0.101794,0.416039,-0.048839,315.104458,188.495694,1268.361608,-36.653381,0
0.005208,-186.971463,116.415132,61.638294,1.485236,4.647550,-2.665808,-1.983335,-4.208663,2.750772,2.032779,-0.156487,0.411629,-0.093440,298.160680,188.495640,1267.945637,-36.660697,0
0.006250,-186.022269,39.426591,121.132878,2.633685,4.581499,-1.076833,-3.326988,-4.183274,1.224650,3.380237,-0.171072,0.420448,-0.086006,222.718646,188.495618,1267.061337,-36.740581,0
0.007292,-160.789536,-24.748145,168.633763,3.545688,4.020070,0.479961,-4.087761,-3.671867,-0.314155,4.284851,-0.182010,0.434159,-0.071140,131.075884,188.571049,1266.404105,-36.106510,0
0.008333,-99.091944,-80.924528,186.277990,3.838430,2.500908,2.426959,-4.470040,-2.184797,-2.237661,4.523306,-0.214826,0.428716,-0.048839,9.902536,188.495667,1265.244361,-35.704587,0
0.009375,-25.167832,-137.230106,186.521024,3.838430,0.989085,3.686071,-4.030987,-0.781148,-3.573547,4.231861,-0.200241,0.448766,-0.048839,-116.449641,188.495817,1264.443655,-34.705829,0
0.010417,40.349135,-171.243655,140.927951,3.005242,-0.970413,4.313615,-2.804667,0.988828,-4.224580,3.001738,-0.189302,0.424444,-0.056273,-216.592439,188.495698,1263.164796,-33.959280,0
0.011458,94.204579,-195.297436,63.849898,1.564051,-2.845514,4.587161,-1.264197,2.947408,-4.588144,1.415825,-0.123671,0.415763,-0.074856,-289.771549,188.571236,1262.527027,-33.549538,0
0.012500,150.918904,-163.691614,0.053621,0.303010,-3.865627,3.927434,0.359541,3.843277,-3.937111,-0.151163,-0.101794,0.416039,-0.037689,-319.358426,188.495712,1262.252458,-32.429831,0
0.013542,187.259464,-116.723319,-61.445989,-0.879217,-4.592183,2.676367,2.100613,4.594066,-2.749187,-2.009596,-0.068979,0.411560,-0.078573,-297.280851,188.495741,1261.678913,-31.244190,0
0.014583,186.005172,-38.971352,-120.636782,-2.061443,-4.537141,1.159801,3.497255,4.590439,-1.218837,-3.357054,-0.021578,0.415350,-0.048839,-220.758019,188.495569,1261.519649,-30.686306,0
0.015625,160.433441,26.131239,-168.003998,-2.984706,-4.023415,-0.433197,4.223963,4.046389,0.324195,-4.269238,-0.003348,0.407495,-0.067423,-128.315916,188.495803,1260.851873,-29.964483,0
0.016667,97.470257,81.649902,-186.182899,-3.311226,-2.474897,-2.376172,4.606241,2.653621,2.209654,-4.522832,-0.010640,0.427338,-0.071140,-6.894884,188.495586,1260.185569,-29.088804,0
0.017708,23.320147,136.769234,-186.474539,-3.299967,-0.992430,-3.578966,4.159619,1.184686,3.545540,-4.242743,-0.014286,0.427889,-0.074856,117.971194,188.495890,1259.466692,-28.334388,0
0.018750,-41.518824,171.299564,-140.091608,-2.399222,0.945052,-4.327192,2.978718,-0.585290,4.221938,-3.016404,-0.068979,0.409562,-0.052556,217.663658,188.495816,1258.769404,-28.212206,0
0.019792,-94.131276,195.294620,-62.940645,-0.912995,2.834830,-4.564533,1.442033,-2.438687,4.564364,-1.475911,-0.109087,0.414523,-0.063706,289.863294,188.495763,1257.476115,-27.174335,0
0.020833,-150.698703,163.430407,0.175138,0.269232,3.821918,-3.848488,-0.204415,-3.352691,3.875284,0.159206,-0.105440,0.415005,-0.059989,315.003133,188.495664,1256.068431,-26.892506,0
0.021875,-186.824564,116.650032,61.759810,1.507755,4.559482,-2.641672,-1.907637,-4.183274,2.708498,1.994929,-0.141902,0.416176,-0.086006,298.115646,188.495841,1255.334317,-26.832406,0
0.022917,-185.818871,39.720216,121.400215,2.644944,4.537465,-1.129128,-3.239935,-4.132496,1.203512,3.270472,-0.152841,0.417554,-0.052556,222.504738,188.495696,1253.833766,-26.271218,0
0.023958,-160.913835,-24.771635,168.500095,3.523169,3.950350,0.399507,-4.023417,-3.592073,-0.343748,4.190226,-0.222118,0.413558,-0.063706,130.974559,188.495683,1252.091760,-26.704861,0
0.025000,-99.125843,-81.229898,185.986350,3.894726,2.449535,2.394777,-4.337567,-2.235575,-2.136202,4.462746,-0.189302,0.434366,-0.074856,9.564786,188.495785,1251.109733,-25.098016,0
0.026042,-25.009633,-136.936481,186.265839,3.894726,0.981746,3.573435,-3.970428,-0.748505,-3.480542,4.190226,-0.203887,0.422308,-0.041406,-116.460900,188.495627,1249.612902,-24.954364,0
