1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,-46.829789,-109.828998,181.089226,3.815911,-3.318876,5.504341,-1.589702,3.571252,-5.450551,1.887326,-0.174718,0.188531,-0.100873,-1.828638,188.797278,851.923035,-1242.207119,0
0.001042,-1.098991,-177.550726,131.522558,2.836352,-4.856385,4.840592,0.514724,5.145370,-4.837566,-0.258766,-0.145548,0.181572,-0.119457,11.050885,188.571033,851.855506,-1240.865283,0
0.002083,54.010745,-191.339368,74.458307,1.766719,-5.770084,3.062549,2.944654,6.063001,-3.121206,-2.764433,-0.061686,0.171444,-0.104590,32.407927,188.571084,852.812946,-1239.318007,0
0.003125,136.556699,-165.476855,25.717952,0.809678,-5.887507,1.288528,4.655446,6.146422,-1.311842,-4.509316,-0.036163,0.170341,-0.089723,57.671607,188.721916,852.522759,-1237.383998,0
0.004167,181.903299,-108.971612,-20.798647,-0.158622,-4.581175,-0.940060,5.344304,4.996663,0.763854,-5.277670,0.018530,0.185637,-0.100873,61.375596,188.797300,853.235574,-1236.158193,0
0.005208,189.564649,-53.523419,-90.123934,-1.453441,-3.289520,-3.027853,5.957464,3.654673,2.936782,-5.917334,0.000299,0.159455,-0.093440,57.986840,188.646518,853.281619,-1234.037619,0
0.006250,155.834372,-6.801769,-155.937388,-2.703224,-1.197921,-4.315124,5.075574,1.739617,4.255758,-5.073280,-0.025225,0.199899,-0.108307,37.192715,188.571125,853.374076,-1232.838316,0
0.007292,94.023780,39.497061,-202.247409,-3.536412,1.139534,-5.300691,3.716781,-0.541766,5.202715,-3.669047,-0.054394,0.187842,-0.104590,16.364814,188.721862,852.934902,-1230.949566,0
0.008333,46.496294,109.638261,-181.516657,-3.243670,3.231133,-5.445509,1.805387,-2.511227,5.540913,-1.867389,-0.120025,0.178747,-0.067423,4.284632,188.797329,854.819424,-1229.526707,0
0.009375,1.296593,176.561328,-131.804168,-2.354185,4.809006,-4.834055,-0.227124,-4.005551,4.923700,0.297628,-0.120025,0.158766,-0.134323,-10.272382,188.646529,854.634523,-1226.588063,0
0.010417,-54.378139,191.418766,-74.873586,-1.205737,5.752061,-3.068080,-2.713828,-4.937690,3.211568,2.731380,-0.192949,0.177024,-0.104590,-31.280416,188.646560,855.953976,-1224.354543,0
0.011458,-136.370397,165.297864,-25.902349,-0.237437,5.891501,-1.277969,-4.435975,-5.090024,1.372612,4.559532,-0.243995,0.172959,-0.078573,-57.163304,188.721936,855.394891,-1222.175904,0
0.012500,-182.406293,110.119806,21.221834,0.674567,4.588838,0.906370,-5.086984,-4.016432,-0.656582,5.293821,-0.265872,0.188393,-0.097156,-60.563318,188.797307,856.551934,-1220.634180,0
0.013542,-189.412247,54.413223,90.425604,2.048201,3.293514,3.010253,-5.737994,-2.652680,-2.888694,5.933485,-0.273164,0.190598,-0.082290,-56.375221,188.646514,855.534176,-1218.811667,0
0.014583,-156.348665,6.963383,156.251209,3.275465,1.260626,4.273388,-4.833394,-0.806537,-4.144258,5.176486,-0.211179,0.213473,-0.119457,-38.778460,188.646594,856.278689,-1217.786188,0
0.015625,-94.447674,-39.640817,202.002253,4.108653,-1.087836,5.303205,-3.512450,1.482100,-5.175764,3.741973,-0.211179,0.207409,-0.093440,-16.858502,188.721840,856.200405,-1216.095559,0
0.016667,-46.196993,-109.946448,182.061360,3.849689,-3.172097,5.444000,-1.582132,3.476950,-5.399821,1.932746,-0.156487,0.192389,-0.141757,-1.896188,188.797315,856.916923,-1214.749193,0
0.017708,-0.194997,-176.270520,132.215203,2.847611,-4.742631,4.828524,0.374681,5.043814,-4.786836,-0.205776,-0.145548,0.186188,-0.126890,11.287310,188.646583,856.683048,-1212.911978,0
