1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,-102.942083,-77.641078,196.439963,6.682968,3.451886,2.736829,-5.759173,-3.344803,-2.453833,5.506093,-0.248989,0.455337,-0.046895,-22.685521,188.715371,1616.967334,-9.226315,0
0.001041,-30.962575,-135.097857,193.485417,6.615108,1.516984,4.502849,-5.363648,-1.378277,-4.359131,5.249928,-0.270907,0.461869,-0.024490,64.412787,188.569308,1616.734670,-9.513705,0
0.002083,34.687818,-179.338128,145.240152,5.676378,-0.716141,5.562461,-4.109908,0.874958,-5.383124,4.054491,-0.227071,0.453900,-0.028224,132.442436,188.570368,1617.969557,-9.838363,0
0.003125,86.557073,-205.952359,70.305493,4.341798,-3.055774,5.729141,-1.990490,3.238465,-5.718860,2.044308,-0.197847,0.446257,-0.061832,186.786984,188.498796,1618.657538,-10.069095,0
0.004167,148.192221,-172.669469,6.499621,3.086388,-4.685352,5.133854,0.158779,4.833741,-5.038995,0.002104,-0.124787,0.445799,-0.039427,215.367354,188.719496,1619.847627,-10.476708,0
0.005209,189.671745,-124.877413,-56.998485,1.910148,-5.533868,3.717069,2.188645,5.793112,-3.813561,-2.008080,-0.102869,0.447759,-0.065566,214.157184,188.566160,1620.182105,-10.869639,0
0.006255,191.089558,-45.675006,-115.670834,0.745218,-5.590673,1.613720,4.173733,5.789436,-1.702625,-3.911528,-0.026156,0.451025,-0.043161,171.857785,188.563921,1621.269624,-11.587100,0
0.007306,164.389311,24.080134,-167.917046,-0.204822,-5.019078,-0.390415,5.252099,5.304237,0.303394,-5.121196,-0.026156,0.449850,-0.046895,104.065646,188.555873,1621.232327,-11.725844,0
0.008342,100.746541,78.939519,-197.216288,-0.792942,-3.297193,-2.612822,5.655087,3.617068,2.498265,-5.388034,-0.022503,0.446257,-0.024490,24.137878,188.704049,1622.169642,-11.723515,0
0.009376,29.980681,135.828496,-193.055304,-0.736392,-1.383593,-4.335187,5.233442,1.639514,4.336416,-5.171006,-0.015197,0.463503,-0.031958,-58.266780,188.496829,1622.534940,-11.263094,0
0.010416,-34.671572,179.513045,-145.056250,0.168408,0.885035,-5.367019,3.968508,-0.599018,5.339426,-3.939991,-0.007891,0.458799,-0.020755,-128.253059,188.556970,1622.299071,-11.942457,0
0.011458,-87.164665,206.175600,-70.293940,1.570848,3.199816,-5.549574,1.856553,-2.940471,5.666768,-1.936923,-0.106522,0.444558,-0.031958,-179.679628,188.501235,1622.124997,-11.677306,0
0.012500,-148.402825,172.566525,-5.503220,2.848878,4.811642,-4.938412,-0.229283,-4.487961,5.003690,0.126628,-0.139399,0.442990,-0.039427,-210.669027,188.725759,1621.749393,-10.962195,0
