1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,-81.701359,-63.201308,202.634140,4.243765,0.493706,5.464114,-5.075630,-0.160931,-5.243404,5.494426,-0.214826,0.312206,-0.071140,-11.758481,188.495662,1512.790538,-914.402657,0
0.001042,-27.958914,-142.550596,177.091326,3.770874,-2.019882,6.481863,-3.595719,2.316310,-6.262228,3.885803,-0.156487,0.314135,-0.078573,120.616900,188.495723,1510.266656,-913.940598,0
0.002083,20.675965,-185.924918,122.809809,2.768796,-4.104143,6.023272,-1.112800,4.311160,-5.957849,1.539106,-0.109087,0.332118,-0.074856,208.071566,188.344891,1509.917271,-913.547967,0
0.003125,86.520630,-196.765562,59.390234,1.462718,-6.092997,5.061842,1.574506,6.208081,-4.964390,-1.341275,-0.076271,0.316409,-0.063706,287.532821,188.495705,1508.103603,-913.915393,0
0.004167,152.048897,-159.616095,6.676283,0.438121,-6.595715,3.167140,3.690286,6.755758,-3.218438,-3.449517,-0.006994,0.320268,-0.063706,308.248138,188.495743,1507.405386,-912.506478,0
0.005208,199.689382,-94.125919,-43.412908,-0.541438,-6.206751,0.665006,5.609250,6.316891,-0.711539,-5.398789,0.003945,0.326055,-0.100873,293.173242,188.495631,1506.248762,-912.778073,0
0.006250,186.513669,-40.228068,-118.510239,-2.016406,-4.933444,-1.591741,6.381377,5.228791,1.567076,-6.201208,0.025822,0.324402,-0.082290,220.140490,188.420254,1505.269512,-912.029581,0
0.007292,139.607679,8.689899,-184.287238,-3.299967,-3.194114,-3.667466,6.547915,3.458815,3.663910,-6.454803,0.040407,0.339766,-0.082290,125.210297,188.495642,1504.528818,-912.172138,0
0.008333,81.706862,63.292451,-202.563352,-3.660264,-0.401645,-5.397236,5.348089,0.843748,5.422544,-5.273885,0.044053,0.345967,-0.052556,11.715126,188.495693,1503.496026,-911.963211,0
0.009375,28.201715,142.477309,-176.838263,-3.176114,2.100936,-6.402917,3.845469,-1.575461,6.441368,-3.782597,-0.025225,0.319716,-0.067423,-120.345022,188.495797,1503.332686,-911.294312,0
0.010417,-20.851261,185.769416,-122.216499,-2.095221,4.236569,-5.952372,1.377689,-3.610208,6.103169,-1.348845,-0.061686,0.326400,-0.041406,-208.159954,188.344903,1502.902760,-911.197159,0
