1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,-67.315289,-98.226938,200.182387,6.705588,2.038875,2.879698,-4.393492,-1.786285,-2.735011,4.339119,-0.216112,0.391645,-0.035692,-147.163378,188.721889,1222.475946,-18.242423,0
0.001042,-5.396578,-154.934702,169.147349,6.174018,0.430599,3.883750,-3.755428,-0.249821,-3.637300,3.645339,-0.168623,0.394454,-0.058098,-107.250389,188.570979,1221.613228,-17.288304,0
0.002083,58.007999,-192.035158,120.717425,5.223978,-1.280635,4.399666,-2.501687,1.496160,-4.342344,2.606447,-0.183235,0.402032,0.001650,-56.434560,188.571301,1222.162688,-16.083468,0
0.003125,112.383947,-190.126375,42.865152,3.764988,-2.896012,4.232985,-0.755406,3.135544,-4.077953,0.863103,-0.143052,0.391384,-0.043161,15.779788,188.571109,1222.393654,-15.911508,0
0.004168,164.253201,-160.648969,-27.465341,2.441718,-3.993048,3.645635,0.781918,4.286054,-3.607923,-0.652540,-0.110175,0.390665,-0.039427,80.970627,188.721838,1222.592045,-15.187626,0
0.005210,182.559997,-92.536833,-84.007955,1.389888,-4.269969,2.145510,2.475960,4.517626,-2.160064,-2.264245,-0.088257,0.396218,-0.054364,125.565956,188.571377,1223.414125,-15.064965,0
0.006251,184.295400,-18.855399,-139.873485,0.304128,-4.255768,0.780317,3.569251,4.561735,-0.728992,-3.477471,0.014027,0.404971,-0.043161,160.197175,188.570785,1224.013467,-15.049910,0
0.007293,141.080473,47.867434,-177.593182,-0.442332,-3.385950,-0.918237,4.244629,3.657501,0.886735,-4.021821,-0.033462,0.405755,-0.035692,168.532645,188.646373,1224.384038,-15.018407,0
0.008334,68.341017,98.715959,-199.764584,-0.894732,-1.898383,-2.731879,4.345376,2.216607,2.758460,-4.235292,-0.040768,0.399419,-0.017021,151.092625,188.721855,1225.098028,-15.566220,0
0.009376,4.879727,155.979444,-168.741857,-0.317922,-0.240404,-3.751805,3.707312,0.625007,3.681732,-3.527280,-0.055380,0.398896,-0.024490,110.444486,188.570291,1225.849321,-15.258524,0
0.010418,-59.160031,191.702677,-119.807197,0.654738,1.453079,-4.235973,2.408795,-1.124650,4.311236,-2.410116,-0.102869,0.376816,-0.035692,60.884067,188.571196,1225.598004,-16.037548,0
0.011459,-112.946168,190.554991,-41.302462,2.170278,3.121710,-4.065324,0.655051,-2.760359,4.147565,-0.695234,-0.102869,0.390273,-0.028224,-11.477311,188.646820,1226.566903,-16.405727,0
0.012501,-164.089503,160.968857,27.723106,3.459618,4.193894,-3.509722,-0.882273,-3.910869,3.618782,0.820408,-0.132093,0.395891,-0.039427,-76.724700,188.783264,1226.764539,-16.703471,0
0.013543,-183.632631,93.303714,84.117993,4.500138,4.488567,-1.950068,-2.650942,-4.186550,2.175119,2.421439,-0.150358,0.394127,-0.054364,-120.777149,188.544804,1227.893411,-17.075943,0
0.014584,-184.574059,20.020950,140.192803,5.540658,4.406911,-0.533284,-3.718114,-4.190226,0.718867,3.627549,-0.194194,0.401509,-0.020755,-157.217968,188.485547,1229.035844,-17.517716,0
0.015625,-140.531129,-47.946216,178.158713,6.287118,3.519341,1.157333,-4.326327,-3.285991,-0.901056,4.168342,-0.219765,0.403795,-0.046895,-164.954008,188.714996,1230.516482,-17.514352,0
0.016667,-66.827561,-98.492718,200.022349,6.739518,2.006923,2.883667,-4.427074,-1.856124,-2.785371,4.360466,-0.208806,0.423524,-0.024490,-146.846698,188.699133,1231.402630,-17.059092,0
0.017708,-3.990108,-155.889093,168.839584,6.174018,0.412848,3.971059,-3.781547,-0.139549,-3.704447,3.702264,-0.219765,0.367997,-0.024490,-105.927119,188.548072,1232.719113,-17.836404,0
0.018750,58.972112,-191.322385,120.335796,5.246598,-1.252233,4.403634,-2.512882,1.521890,-4.388508,2.560195,-0.208806,0.398308,-0.017021,-54.342210,188.474671,1232.848016,-18.313265,0
0.019792,113.234634,-190.331750,42.311174,3.764988,-2.920864,4.217111,-0.710630,3.164950,-4.140903,0.788388,-0.164970,0.390273,-0.054364,15.689308,188.706561,1233.731489,-18.923325,0
0.020833,164.003666,-160.552322,-27.736174,2.419098,-4.007249,3.594043,0.796844,4.286054,-3.620513,-0.698792,-0.106522,0.392233,-0.028224,82.633197,188.633476,1233.842455,-19.324574,0
0.021875,183.229205,-91.872383,-84.094129,1.355958,-4.298372,2.117730,2.479691,4.536005,-2.130687,-2.253571,-0.059033,0.391318,-0.054364,126.052286,188.546098,1233.917283,-19.331991,0
0.022917,183.796330,-17.973493,-139.922728,0.304128,-4.230916,0.744600,3.576714,4.598493,-0.691222,-3.463239,-0.051727,0.372635,-0.035692,162.606205,188.477170,1233.954042,-19.240255,0
0.023958,140.184415,48.604369,-177.962501,-0.431022,-3.336246,-0.930142,4.237167,3.664852,0.827981,-3.972011,-0.029809,0.401705,-0.046895,169.132075,188.701591,1233.238099,-17.964900,0
0.025001,67.694495,99.078386,-199.481440,-0.838182,-1.887733,-2.664413,4.296869,2.220283,2.724886,-4.213945,-0.033462,0.404906,-0.028224,152.020045,188.631464,1232.670935,-17.377514,0
0.026043,4.845700,156.196900,-168.618751,-0.250062,-0.258155,-3.692277,3.666267,0.632359,3.694322,-3.523723,-0.059033,0.403142,-0.046895,110.614136,188.557728,1232.788193,-17.332895,0
0.027084,-59.341511,191.751001,-119.548675,0.643428,1.488582,-4.172475,2.401333,-1.146705,4.323826,-2.403001,-0.095563,0.399615,-0.039427,62.478777,188.479278,1232.956898,-17.552058,0
0.028126,-113.365841,190.506667,-40.613068,2.147658,3.068456,-4.001826,0.640126,-2.741980,4.088811,-0.691677,-0.135746,0.389032,-0.050629,-11.409451,188.703346,1232.153890,-17.325489,0
0.029168,-164.282325,160.401055,28.757197,3.482238,4.147740,-3.438287,-0.871079,-3.841029,3.601995,0.802619,-0.128440,0.390730,-0.035692,-77.120550,188.704163,1231.221505,-16.500277,0
0.030209,-183.246986,92.627183,84.635038,4.556688,4.463715,-1.950068,-2.568852,-4.149792,2.128956,2.343167,-0.186888,0.396936,-0.058098,-121.806359,188.554374,1229.938900,-15.870982,0
0.031251,-184.165729,19.767251,140.808334,5.597208,4.396260,-0.565033,-3.658412,-4.149792,0.706277,3.549277,-0.208806,0.404383,-0.046895,-157.953118,188.493349,1228.769418,-15.400192,0
