1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,158.150936,-153.279618,-0.185038,2.950668,-6.407237,3.078127,3.647610,6.796592,-3.070747,-3.466797,-0.029809,0.314823,-0.039427,148.378225,188.419844,1511.313312,-892.325858,0
0.001042,205.222313,-89.866953,-51.077083,1.966698,-5.874695,0.502516,5.378966,6.278311,-0.582108,-5.142543,0.014027,0.321225,-0.009553,189.275184,188.495262,1511.387410,-892.226238,0
0.002083,180.336867,-35.647856,-129.384849,0.451158,-4.532690,-1.842917,6.184942,4.925635,1.768040,-5.903922,0.006721,0.338340,-0.024490,177.286585,188.269115,1511.428725,-893.164242,0
0.003125,134.331685,15.128184,-192.895266,-0.770322,-2.849858,-3.775617,6.117777,3.234790,3.706912,-5.999984,0.024986,0.339254,-0.020755,146.975785,188.344424,1511.808718,-894.421819,0
0.004167,76.405535,73.805135,-202.054357,-0.973902,0.018767,-5.549574,4.987172,0.455923,5.465327,-4.872146,0.017680,0.331677,0.020321,95.232536,188.419853,1512.058478,-895.127226,0
0.005208,21.099503,153.527020,-176.719129,-0.476262,2.386802,-6.426631,3.412534,-1.988451,6.535483,-3.427661,-0.018850,0.324556,-0.039427,48.307347,188.495213,1512.552446,-895.389821,0
0.006250,-27.559824,193.828916,-114.772159,0.711288,4.392710,-5.803563,0.875202,-3.929247,5.926963,-1.008325,-0.084604,0.326385,-0.002084,2.660188,188.269030,1512.662225,-895.325475,0
0.007292,-97.146065,200.715031,-53.194508,1.864908,6.221103,-4.831260,-1.691980,-5.862692,4.978510,1.560440,-0.132093,0.307310,-0.024490,-73.071570,188.419840,1512.975820,-894.881155,0
0.008333,-158.418253,153.889447,-0.037311,2.882808,6.579681,-2.898560,-3.837518,-6.222915,3.056425,3.577740,-0.186888,0.313320,-0.020755,-143.487628,188.419913,1513.544511,-895.228692,0
0.009375,-205.671110,91.346607,51.260985,3.855468,6.068441,-0.322949,-5.576336,-5.759771,0.622343,5.345989,-0.230724,0.320245,-0.028224,-184.384588,188.495354,1514.387765,-895.878659,0
0.010417,-180.706266,36.221442,129.285606,5.348388,4.673182,2.062170,-6.374849,-4.425474,-1.744592,6.061117,-0.227071,0.328672,-0.013287,-173.176378,188.269071,1514.662995,-896.551755,0
0.011458,-133.850397,-15.158642,193.263826,6.535938,3.001000,3.919467,-6.292759,-2.749332,-3.746414,6.171410,-0.201500,0.338928,-0.054364,-141.338728,188.344513,1515.184597,-897.393613,0
0.012500,-75.958274,-73.340276,202.250569,6.716898,0.160778,5.709298,-5.124841,0.125105,-5.492238,4.968858,-0.190541,0.307310,-0.028224,-90.443730,188.419934,1514.416558,-897.933777,0
0.013542,-21.105942,-153.436670,176.804546,6.287118,-2.253411,6.637947,-3.535277,2.584182,-6.512035,3.542161,-0.179582,0.312732,-0.073035,-43.348891,188.495354,1515.345886,-898.554287,0
0.014583,27.303850,-193.581514,115.276137,5.110878,-4.245117,5.987099,-1.027796,4.517626,-5.953875,1.169077,-0.139399,0.304175,-0.046895,2.671498,188.269021,1516.318120,-898.761919,0
0.015625,97.332449,-200.455548,54.510985,3.945948,-6.112564,5.038608,1.580431,6.458423,-5.022209,-1.442382,-0.040768,0.306657,-0.009553,77.340117,188.419902,1517.000519,-900.081864,0
0.016667,158.355101,-153.907825,0.615152,2.916738,-6.439189,3.058284,3.688655,6.789240,-3.121107,-3.434776,-0.000585,0.317893,-0.013287,148.197265,188.419923,1517.449722,-899.825136,0
0.017708,205.449163,-90.603888,-50.929356,1.932768,-5.910198,0.542202,5.423742,6.296689,-0.603091,-5.203026,-0.022503,0.320571,-0.013287,188.947194,188.495412,1518.160149,-900.665184,0
0.018750,180.268812,-35.092134,-129.212500,0.462468,-4.571743,-1.838948,6.214793,4.973419,1.830991,-5.960848,-0.007891,0.327888,-0.046895,177.071695,188.313492,1518.967644,-901.487839,0
0.019792,133.310860,15.732229,-193.006061,-0.747702,-2.825006,-3.759743,6.147628,3.205384,3.723699,-6.028447,0.054210,0.359766,-0.043161,145.878715,188.412822,1519.057228,-901.450751,0
0.020833,75.123833,73.696407,-202.275948,-0.906042,0.011666,-5.577354,5.039411,0.411814,5.494703,-4.904167,-0.011544,0.355847,-0.039427,95.673626,188.443112,1519.368844,-901.717635,0
0.021875,21.462463,153.418292,-177.051516,-0.464952,2.411654,-6.458380,3.475967,-2.036236,6.527090,-3.420545,-0.040768,0.323250,-0.013287,48.906777,188.438661,1519.113756,-902.484177,0
0.022917,-27.094782,194.167181,-115.387690,0.666048,4.442413,-5.811500,0.864008,-3.973356,5.943750,-1.029672,-0.091910,0.317501,-0.035692,2.411368,188.345019,1519.645838,-903.246231,0
0.023958,-97.509025,200.642546,-54.290152,1.830978,6.260156,-4.815386,-1.759145,-5.855340,5.041461,1.606693,-0.132093,0.308552,-0.028224,-73.738860,188.344844,1520.138353,-903.914539,0
0.025000,-159.008063,153.454535,-0.492803,2.848878,6.618734,-2.886654,-3.871100,-6.255997,3.102589,3.616876,-0.186888,0.312667,-0.002084,-143.849548,188.420262,1520.986546,-904.275895,0
0.026042,-205.784535,90.126436,51.064015,3.832848,6.128796,-0.318980,-5.606187,-5.800204,0.588770,5.388684,-0.234377,0.319200,-0.017021,-184.056598,188.495727,1521.334640,-904.693563,0
0.027083,-180.309279,35.001271,129.408713,5.314458,4.772589,2.062170,-6.445745,-4.454880,-1.790755,6.121600,-0.230724,0.302934,-0.002084,-172.882318,188.344840,1522.103904,-905.045080,0
0.028125,-133.895767,-15.303613,192.783713,6.547248,3.011651,3.927404,-6.333804,-2.741980,-3.712841,6.228335,-0.227071,0.317893,-0.035692,-141.858988,188.344921,1522.467213,-904.888198,0
0.029167,-76.729564,-73.473166,202.176705,6.705588,0.210482,5.745016,-5.154691,0.117754,-5.534205,5.050688,-0.183235,0.321159,-0.017021,-91.619970,188.420197,1523.764777,-905.491184,0
