1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,96.001267,49.386359,-207.375414,-3.705301,-1.080497,-4.922555,5.624390,1.449457,4.889881,-5.669686,-0.014286,0.353822,-0.041406,-89.654829,188.571065,1464.733366,-874.962877,0
0.001042,43.049817,119.022524,-186.413781,-3.288707,1.396397,-5.956395,4.076350,-0.926228,5.967890,-4.220033,-0.025225,0.345692,-0.067423,-38.755943,188.571033,1464.896117,-874.716317,0
0.002083,-8.443943,183.690550,-136.032950,-2.444260,3.667800,-6.217872,2.176311,-3.084293,6.268041,-2.259405,-0.072625,0.306970,-0.063706,11.501218,188.571125,1465.442293,-873.969859,0
0.003125,-63.282480,196.704021,-74.873586,-1.194477,5.520884,-5.095532,-0.651037,-4.865150,5.206942,0.579341,-0.120025,0.293672,-0.052556,66.509392,188.721871,1465.314445,-873.645508,0
0.004167,-145.387738,170.606608,-20.373339,-0.124844,6.607048,-3.655398,-2.922000,-5.891591,3.794962,2.907113,-0.196595,0.317994,-0.059989,145.722964,188.571127,1466.220564,-873.684454,0
0.005208,-186.259568,115.205396,31.963911,0.877234,6.093322,-1.358423,-4.507889,-5.579669,1.651626,4.530876,-0.218472,0.329638,-0.059989,182.751594,188.571125,1466.810572,-873.717029,0
0.006250,-195.582006,53.708523,100.037576,2.228350,5.429147,1.115551,-6.010509,-4.810745,-0.948278,6.101648,-0.247641,0.329293,-0.078573,190.576129,188.646504,1467.596582,-874.265815,0
0.007292,-161.535331,-0.506444,162.023253,3.433095,3.587072,3.078640,-5.980230,-3.222119,-2.837965,6.173563,-0.254934,0.345623,-0.063706,152.995842,188.721862,1468.021630,-873.868674,0
0.008333,-97.227456,-49.318706,207.300382,4.333839,1.154212,5.033683,-5.355715,-0.853688,-4.748788,5.545254,-0.236703,0.328467,-0.086006,90.861148,188.571084,1467.930027,-873.544860,0
0.009375,-43.711010,-119.401181,186.314445,3.894726,-1.293327,6.023272,-3.837955,1.511116,-5.915575,4.069106,-0.214826,0.340042,-0.071140,39.275505,188.571152,1467.952966,-872.988915,0
