1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,-73.328114,-89.639325,201.030120,4.198728,2.827491,3.372298,-5.461693,-2.598275,-3.171936,5.696654,-0.225764,0.481631,-0.078573,66.824625,188.495817,1558.998523,5.730474,0
0.001042,-12.014719,-148.869411,172.643815,3.647022,0.750569,4.683706,-4.636577,-0.661457,-4.440182,4.837460,-0.207533,0.475499,-0.071140,6.671397,188.495810,1557.478633,6.534217,0
0.002083,50.801566,-188.074255,123.818398,2.701241,-1.495148,5.544569,-3.236150,1.565521,-5.475916,3.471077,-0.211179,0.463235,-0.026539,-53.639448,188.495933,1557.135952,6.183325,0
0.003125,107.244693,-189.131306,46.047699,1.181235,-3.568400,5.419864,-1.222563,3.553117,-5.340636,1.393115,-0.127317,0.452487,-0.074856,-109.458222,188.495870,1556.192761,6.569528,0
0.004167,163.145423,-162.258723,-20.567765,-0.113585,-5.043528,4.731979,0.813734,4.978528,-4.727651,-0.681062,-0.130964,0.456552,-0.078573,-158.792200,188.495868,1554.883989,7.225390,0
0.005208,184.524882,-96.052101,-75.760658,-1.194477,-5.582941,2.953935,2.974933,5.439157,-2.947879,-2.789305,-0.065333,0.460617,-0.059989,-182.761173,188.495906,1553.583767,7.924497,0
0.006250,189.496849,-23.738074,-134.878541,-2.320407,-5.571932,1.191983,4.458629,5.500816,-1.206155,-4.443347,-0.021578,0.441738,-0.045123,-181.950574,188.495796,1553.186686,8.209808,0
0.007292,145.913037,39.767196,-174.614507,-3.119818,-4.540810,-1.016492,5.382154,4.507018,0.873769,-5.313896,0.007591,0.468127,-0.059989,-137.198734,188.495852,1552.090138,8.803051,0
0.008333,72.904220,89.765704,-200.716298,-3.626486,-2.772124,-3.309443,5.700089,2.893003,3.232706,-5.794591,-0.017932,0.468954,-0.041406,-67.149438,188.495854,1552.876742,8.707552,0
0.009375,12.675618,149.242435,-172.354297,-3.063521,-0.676855,-4.592692,4.886327,0.919915,4.479814,-4.920257,-0.021578,0.465784,-0.056273,-7.345217,188.495799,1552.298838,8.120207,0
0.010417,-50.502265,187.542913,-124.464558,-2.106481,1.576201,-5.485736,3.504825,-1.299809,5.524004,-3.587939,-0.021578,0.465026,-0.033973,54.012652,188.495969,1552.840775,6.955912,0
0.011458,-107.634687,188.834864,-46.997651,-0.665290,3.682478,-5.377123,1.392829,-3.222119,5.409861,-1.468341,-0.098148,0.459652,-0.033973,110.484408,188.495998,1552.945476,6.283827,0
0.012500,-163.128621,162.432081,20.249700,0.618270,5.102564,-4.644987,-0.590478,-4.691054,4.771511,0.560416,-0.116379,0.459377,-0.086006,159.142887,188.492285,1553.292931,6.115291,0
0.013542,-185.016576,96.108009,76.086631,1.766719,5.641977,-2.810626,-2.774387,-5.108159,3.004422,2.736788,-0.207533,0.454071,-0.048839,183.562193,188.418386,1552.550458,6.158596,0
0.014583,-189.434847,23.876197,135.265272,2.960204,5.579596,-1.072810,-4.216449,-5.198834,1.228877,4.318916,-0.262226,0.462822,-0.059989,182.076094,188.495579,1551.936995,5.383690,0
0.015625,-145.432937,-39.805247,175.110604,3.658281,4.515449,1.147733,-5.158898,-4.147004,-0.897548,5.246240,-0.218472,0.442565,-0.048839,136.873921,188.495649,1551.538348,4.514724,0
0.016667,-71.565326,-89.815500,200.945058,4.198728,2.772449,3.352185,-5.438984,-2.554751,-3.222666,5.647449,-0.218472,0.465509,-0.074856,65.777601,188.495617,1550.756118,4.115177,0
0.017708,-10.432730,-149.362702,172.607360,3.579466,0.735892,4.679683,-4.651717,-0.567155,-4.431727,4.799610,-0.222118,0.444839,-0.074856,6.243580,188.420173,1550.234526,3.523276,0
0.018750,51.411762,-187.616199,123.964218,2.735018,-1.509826,5.476182,-3.239935,1.572775,-5.433641,3.478647,-0.200241,0.469436,-0.048839,-53.740773,188.495573,1549.766070,3.733488,0
0.019792,107.448091,-189.272246,46.703889,1.226272,-3.561061,5.419864,-1.192283,3.527728,-5.294134,1.393115,-0.167425,0.455932,-0.097156,-110.009880,188.495584,1549.201865,3.676490,0
0.020833,163.156723,-162.423153,-19.765755,-0.068547,-4.988486,4.707842,0.802379,4.985782,-4.685376,-0.643213,-0.098148,0.463442,-0.071140,-159.084917,188.495448,1548.853810,3.499006,0
0.021875,184.886480,-97.414522,-75.772810,-1.228255,-5.604957,2.937844,2.940869,5.460919,-2.973244,-2.781735,-0.087210,0.464131,-0.063706,-183.132698,188.344717,1549.618168,3.432331,0
0.022917,189.485549,-25.358885,-135.449670,-2.354185,-5.542576,1.187960,4.405640,5.482681,-1.223065,-4.397927,-0.061686,0.465578,-0.056273,-181.759182,188.472862,1549.319272,3.490010,0
0.023958,146.704032,39.109475,-174.881844,-3.119818,-4.522463,-0.996378,5.359444,4.532407,0.869541,-5.294971,0.007591,0.477084,-0.074856,-137.187475,188.480066,1549.586445,3.432449,0
0.025000,73.231918,90.024094,-200.558327,-3.615227,-2.739099,-3.285307,5.666024,2.845852,3.156611,-5.741601,0.000299,0.472743,-0.033973,-65.989830,188.470979,1548.265348,3.623220,0
0.026042,11.918523,149.078005,-172.560875,-3.029743,-0.680525,-4.584646,4.856047,0.916288,4.454449,-4.905117,-0.032517,0.477360,-0.056273,-5.881635,188.548959,1547.839777,3.854437,0
0.027083,-51.157660,187.824793,-123.455970,-2.095221,1.557854,-5.421373,3.478330,-1.281674,5.490184,-3.553874,-0.021578,0.472468,-0.078573,54.654376,188.479057,1547.064399,4.340000,0
0.028125,-107.352189,189.104999,-45.588057,-0.654031,3.601750,-5.304714,1.438248,-3.200357,5.367587,-1.498621,-0.087210,0.453382,-0.052556,110.315533,188.495676,1546.430224,5.156172,0
0.029167,-163.083421,162.044496,21.185379,0.719604,5.065870,-4.636942,-0.582908,-4.640276,4.741919,0.552846,-0.112733,0.454691,-0.082290,159.199179,188.495767,1545.529812,5.716914,0
0.030208,-184.361180,95.896599,76.426878,1.834274,5.652985,-2.842808,-2.717613,-5.104532,3.034014,2.649733,-0.163779,0.455449,-0.037689,183.021794,188.269671,1545.009860,7.057653,0
0.031250,-189.412247,23.594317,135.678429,2.903908,5.608952,-1.121082,-4.159675,-5.158937,1.271152,4.303776,-0.200241,0.459721,-0.045123,182.199936,188.495723,1544.613932,7.706798,0
0.032292,-146.088333,-39.981423,174.648840,3.658281,4.552143,1.010960,-5.105909,-4.205036,-0.728449,5.189465,-0.247641,0.469987,-0.037689,138.022270,188.493769,1544.139776,10.151573,0
0.033333,-72.717918,-90.085636,200.774935,4.221246,2.856847,3.372298,-5.446554,-2.583767,-3.146571,5.651234,-0.229410,0.470814,-0.086006,67.455091,188.495745,1544.034994,10.930568,0
0.034375,-12.489316,-149.280487,172.583056,3.601985,0.779925,4.663592,-4.621437,-0.632441,-4.435954,4.822320,-0.243995,0.474259,-0.074856,7.515771,188.269391,1544.446412,11.067063,0
0.035417,50.677267,-188.015530,124.547498,2.667463,-1.491478,5.504341,-3.236150,1.521997,-5.446324,3.455937,-0.207533,0.466818,-0.030256,-53.583157,188.495602,1544.440784,11.025021,0
0.036458,107.809689,-188.684995,46.849709,1.203754,-3.542714,5.419864,-1.203638,3.484204,-5.315272,1.412040,-0.160133,0.460272,-0.056273,-109.987363,188.495604,1544.320660,11.758572,0
0.037500,163.699120,-162.305703,-20.191064,-0.124844,-5.050867,4.715888,0.783454,4.935004,-4.723423,-0.677277,-0.109087,0.459652,-0.071140,-159.062400,188.495682,1544.342060,12.142776,0
0.038542,184.468382,-96.345726,-76.100905,-1.239515,-5.604957,2.873481,2.990073,5.468173,-2.998609,-2.793090,-0.076271,0.457379,-0.048839,-182.806207,188.269550,1544.352422,12.644370,0
0.039583,189.451650,-23.749819,-135.218788,-2.309148,-5.549915,1.191983,4.401855,5.518951,-1.218837,-4.409282,-0.039809,0.458963,-0.056273,-181.804216,188.495595,1544.652000,13.126746,0
0.040625,145.619239,40.448406,-174.833238,-3.029743,-4.485768,-1.020514,5.404863,4.470748,0.920271,-5.321466,0.000299,0.477360,-0.067423,-136.331843,188.420273,1544.286718,12.671321,0
0.041667,71.548229,90.212014,-200.959332,-3.649005,-2.772124,-3.293353,5.696304,2.856733,3.228478,-5.798376,0.000299,0.451867,-0.045123,-65.336848,188.495660,1545.366192,12.676435,0
0.042708,10.788530,149.371630,-172.439358,-3.018484,-0.702542,-4.628896,4.920391,0.905407,4.500952,-4.939182,-0.010640,0.489348,-0.052556,-6.016735,188.269503,1546.158810,12.895113,0
0.043750,-51.474058,187.566403,-123.711155,-2.106481,1.576201,-5.481714,3.459405,-1.296182,5.473274,-3.599294,-0.058040,0.463648,-0.086006,54.462985,188.495700,1546.360099,13.194004,0
0.044792,-107.894586,188.940569,-46.511584,-0.642772,3.609089,-5.401259,1.426894,-3.218492,5.380269,-1.479696,-0.090856,0.460341,-0.026539,110.968516,188.420224,1546.715020,12.696828,0
0.045833,-163.139920,162.573021,20.030970,0.685826,5.084217,-4.636942,-0.605618,-4.665665,4.784193,0.560416,-0.152841,0.459446,-0.071140,159.480637,188.495629,1547.513746,12.255866,0
0.046875,-185.027876,97.024120,76.268906,1.800497,5.619960,-2.834762,-2.793312,-5.166191,3.025559,2.740573,-0.200241,0.463442,-0.048839,183.663518,188.270297,1549.073506,10.814111,0
0.047917,-189.299248,25.050698,135.994373,2.926427,5.630968,-1.056719,-4.216449,-5.177072,1.250015,4.284851,-0.233057,0.470263,-0.041406,181.997286,188.495524,1549.214176,10.367268,0
0.048958,-145.794535,-39.347192,175.475154,3.714578,4.566821,1.115551,-5.181608,-4.281203,-0.867956,5.227315,-0.254934,0.494722,-0.056273,137.065313,188.420204,1550.796812,9.124287,0
0.050000,-72.514519,-90.085636,200.811390,4.221246,2.816483,3.364253,-5.450339,-2.565632,-3.201528,5.647449,-0.254934,0.477291,-0.063706,66.092834,188.495559,1550.989359,8.463353,0
0.051041,-11.031626,-149.679817,172.461539,3.635763,0.728553,4.691751,-4.644147,-0.632441,-4.435954,4.852600,-0.254934,0.472261,-0.074856,5.939606,188.269246,1551.318559,9.218383,0
0.052083,51.615160,-187.698415,123.757639,2.712500,-1.539182,5.504341,-3.239935,1.576402,-5.412504,3.452152,-0.203887,0.445872,-0.045123,-54.348723,188.419980,1550.893713,9.164096,0
0.053125,107.854889,-189.377951,45.513025,1.181235,-3.564731,5.460091,-1.203638,3.531355,-5.311044,1.389330,-0.101794,0.456690,-0.074856,-110.156238,188.420034,1551.227881,8.900774,0
0.054167,162.885525,-162.094293,-21.248259,-0.102325,-5.050867,4.723933,0.768314,4.982155,-4.672694,-0.673492,-0.123671,0.456345,-0.074856,-158.702134,188.495533,1550.956713,8.630922,0
0.055208,184.920379,-95.617535,-76.198118,-1.205737,-5.564593,2.970026,2.948439,5.453665,-3.007064,-2.785520,-0.054394,0.453589,-0.063706,-183.211506,188.269418,1550.831559,9.064861,0
0.056250,189.282151,-23.620624,-135.473973,-2.342926,-5.535237,1.191983,4.382930,5.537086,-1.244202,-4.382787,-0.025225,0.436502,-0.033973,-181.556533,188.420139,1550.855702,9.734685,0
0.057291,145.980837,39.778941,-174.991209,-3.131077,-4.529802,-0.964196,5.367014,4.503391,0.894906,-5.325251,0.003945,0.462822,-0.048839,-137.221250,188.420115,1551.239265,9.964157,0
0.058333,73.028519,90.294229,-200.351748,-3.615227,-2.797811,-3.224966,5.669809,2.882122,3.177749,-5.745386,-0.003348,0.463580,-0.056273,-66.867980,188.495517,1550.481747,10.273805,0
0.059375,12.506119,149.477335,-172.329993,-3.086040,-0.706211,-4.592692,4.882542,0.923542,4.484042,-4.958107,-0.014286,0.478117,-0.063706,-6.669718,188.269321,1550.609848,10.146849,0
0.060416,-50.954262,187.683853,-123.929885,-2.185296,1.572531,-5.445509,3.425341,-1.205507,5.494411,-3.603079,-0.068979,0.459514,-0.041406,54.620601,188.495517,1550.611504,10.911842,0
