1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,-144.966047,166.598558,-2.745644,2.871498,3.750109,-3.922455,-0.199432,-3.506536,3.983894,0.073261,-0.110175,0.398374,-0.046895,-91.416390,188.511689,1230.161677,-18.667877,0
0.001035,-184.449291,120.654880,56.640720,4.025118,4.513419,-2.839031,-1.882280,-4.300498,2.909541,1.713428,-0.161317,0.394650,-0.035692,-110.134439,188.497665,1229.853753,-18.215720,0
0.002077,-185.368034,44.243163,114.857576,5.110878,4.399810,-1.207943,-3.251693,-4.271092,1.381944,2.997811,-0.190541,0.381650,-0.031958,-106.945019,188.268735,1229.439532,-17.485055,0
0.003118,-160.618698,-20.740020,166.106629,6.049608,3.948925,0.315993,-4.080057,-3.774866,-0.196012,3.922851,-0.197847,0.397002,-0.017021,-87.695400,188.495079,1228.641459,-17.567090,0
0.004160,-101.535613,-77.290732,184.264773,6.400218,2.486210,2.169322,-4.397223,-2.359702,-2.029967,4.203921,-0.227071,0.399680,-0.031958,-45.814471,188.494929,1228.268340,-17.350474,0
0.005202,-28.229032,-133.116589,188.314963,6.479388,0.973792,3.574200,-4.102445,-0.793833,-3.503006,3.997566,-0.194194,0.390730,-0.035692,-5.844931,188.495166,1227.024525,-17.816933,0
0.006257,36.593358,-170.857333,142.482576,5.619828,-0.840401,4.316325,-2.968109,0.919067,-4.191264,2.898191,-0.183235,0.394389,-0.031958,34.079368,188.267567,1226.095024,-17.466285,0
0.007294,88.791546,-197.411160,66.169129,4.172148,-2.651042,4.657624,-1.524069,2.841484,-4.598343,1.489284,-0.150358,0.395630,-0.039427,64.163967,188.495191,1224.466847,-17.977399,0
0.008327,143.848043,-167.305547,4.505303,2.973288,-3.570565,4.022650,-0.001670,3.764098,-4.010806,0.059029,-0.128440,0.399157,-0.046895,95.119436,188.476935,1223.244109,-17.450382,0
0.009369,184.147947,-121.011523,-56.173674,1.842288,-4.355176,2.915415,1.669984,4.565411,-2.944846,-1.595370,-0.084604,0.397132,-0.031958,114.255956,188.490830,1222.117657,-17.527491,0
0.010410,185.055347,-44.841424,-114.846023,0.722598,-4.287721,1.399416,2.994620,4.488220,-1.492790,-2.847732,-0.062686,0.401182,-0.039427,112.265396,188.349789,1220.515438,-17.067532,0
0.011452,160.158559,20.117597,-166.316667,-0.261372,-3.801333,-0.180080,3.901343,4.028752,0.110347,-3.747867,-0.015197,0.407584,-0.054364,90.143036,188.497810,1218.133825,-17.142562,0
0.012494,102.436574,77.441487,-183.514584,-0.589362,-2.427375,-2.017534,4.188659,2.650345,1.868761,-4.021821,-0.048074,0.399353,-0.061832,49.483587,188.420396,1216.021164,-17.041729,0
0.013535,28.767033,133.533124,-187.958713,-0.713772,-0.946909,-3.382727,3.920000,1.135936,3.362784,-3.854602,-0.051727,0.399484,-0.050629,9.638458,188.495758,1214.156318,-17.052740,0
0.014577,-36.134755,168.978496,-144.822349,0.077928,0.835331,-4.009763,2.785664,-0.514476,4.013271,-2.758785,-0.073645,0.396544,-0.054364,-28.758991,188.269499,1211.535480,-17.326080,0
0.015618,-88.559792,197.477349,-67.560985,1.616088,2.621121,-4.446308,1.375206,-2.374405,4.487497,-1.449498,-0.091910,0.392168,-0.065566,-58.628700,188.495642,1209.266244,-16.539711,0
0.016673,-145.068130,166.658963,-2.917992,2.837568,3.636500,-3.787523,-0.206895,-3.348479,3.912550,0.023451,-0.132093,0.395695,-0.024490,-91.416390,188.495676,1207.115027,-15.341253,0
0.017704,-184.744196,120.811932,56.529924,3.923328,4.346556,-2.719974,-1.811384,-4.179198,2.867574,1.695639,-0.161317,0.391514,-0.039427,-109.557629,188.495770,1205.472207,-15.262097,0
0.018744,-185.368034,45.572062,114.746781,5.088258,4.293302,-1.235723,-3.117364,-4.157144,1.352568,2.869728,-0.197847,0.400268,-0.039427,-105.542579,188.405430,1203.192870,-15.078814,0
0.019785,-160.176340,-19.423201,166.783713,6.060918,3.856618,0.288213,-3.997967,-3.701351,-0.124668,3.837462,-0.223418,0.407127,-0.065566,-86.225100,188.489511,1201.560627,-14.518858,0
0.020827,-103.305043,-77.266570,182.996781,6.354978,2.507512,2.070107,-4.233043,-2.381757,-1.862099,4.068722,-0.227071,0.400007,-0.046895,-44.932291,188.434961,1199.210814,-12.909022,0
0.021869,-29.057034,-133.334045,188.167235,6.468078,1.051898,3.443237,-4.042743,-0.815887,-3.402285,3.926409,-0.216112,0.389881,-0.035692,-5.516941,188.496373,1197.660678,-12.352144,0
0.022910,36.116973,-168.284101,145.314016,5.665068,-0.701940,4.070273,-2.930795,0.830849,-4.010806,2.876844,-0.175929,0.392494,-0.031958,33.977578,188.269801,1195.132604,-11.765948,0
0.023952,88.519326,-197.181623,67.560227,4.217388,-2.487730,4.542535,-1.527800,2.701806,-4.526999,1.531978,-0.172276,0.392429,-0.054364,64.853877,188.496000,1193.693647,-10.425695,0
0.024993,143.417028,-167.667975,4.406818,2.984598,-3.474707,3.927404,-0.046446,3.620743,-3.914282,0.083934,-0.150358,0.394846,-0.017021,94.689656,188.496112,1191.362414,-9.789476,0
0.026035,184.102577,-120.649096,-56.235227,1.797048,-4.277070,2.879698,1.628939,4.444111,-2.923862,-1.542002,-0.091910,0.392298,-0.046895,115.918526,188.496002,1189.569364,-9.004862,0
0.027077,185.123402,-45.119284,-114.575190,0.688668,-4.202514,1.419259,2.882679,4.444111,-1.476003,-2.765901,-0.088257,0.392168,-0.017021,112.140986,188.269800,1188.375050,-8.691430,0
0.028126,159.568749,21.639791,-166.562879,-0.272682,-3.698375,-0.160237,3.767014,3.958912,0.068380,-3.733635,-0.051727,0.406474,-0.061832,90.075176,188.495935,1187.454344,-8.043245,0
0.029160,103.071754,77.803914,-182.874432,-0.589362,-2.427375,-1.914351,4.072986,2.668724,1.789024,-3.918644,-0.037115,0.407127,-0.065566,51.869997,188.472761,1185.940838,-7.035847,0
0.030202,28.619581,133.303587,-187.995645,-0.679842,-0.914956,-3.287481,3.852836,1.165342,3.224293,-3.790561,-0.073645,0.396022,-0.035692,9.921208,188.494187,1184.048667,-5.923789,0
0.031243,-36.906045,168.519422,-145.105493,0.089238,0.735923,-3.934360,2.711036,-0.481394,3.950320,-2.773017,-0.048074,0.378645,-0.017021,-29.595931,188.422738,1183.383875,-5.101665,0
0.032285,-88.945437,197.102841,-67.080871,1.582158,2.557216,-4.378842,1.334161,-2.315593,4.432940,-1.428151,-0.080951,0.390012,-0.065566,-59.522190,188.495758,1182.193626,-4.599743,0
0.033327,-143.695687,167.818730,-3.619697,2.837568,3.544193,-3.775617,-0.102417,-3.289667,3.849600,-0.037033,-0.150358,0.391318,-0.013287,-89.934780,188.420332,1181.012964,-4.375533,0
0.034368,-183.927536,120.993146,56.628409,3.968568,4.264900,-2.723942,-1.807653,-4.098332,2.842394,1.610250,-0.157664,0.390143,-0.039427,-110.089199,188.474503,1179.418069,-3.525687,0
0.035410,-185.379376,44.593509,114.537500,5.054328,4.243598,-1.295252,-3.020348,-4.094656,1.402928,2.834150,-0.197847,0.396283,-0.061832,-106.899779,188.397153,1178.491579,-2.579549,0
0.036452,-159.847408,-20.244703,166.266667,6.026988,3.831766,0.228684,-3.889757,-3.631512,-0.099488,3.752074,-0.223418,0.399811,-0.031958,-87.028110,188.486884,1176.715115,-2.069604,0
0.037493,-102.817315,-77.713563,182.787501,6.400218,2.461358,1.986767,-4.195729,-2.311917,-1.828525,3.972661,-0.223418,0.402228,-0.058098,-46.108531,188.488283,1174.889719,-2.098437,0
0.038543,-27.196864,-133.829362,187.674811,6.456768,0.995093,3.419426,-3.897220,-0.830590,-3.301565,3.844578,-0.179582,0.398439,-0.035692,-4.295461,188.487488,1173.014660,-0.860376,0
0.039577,37.092428,-167.861269,145.510985,5.676378,-0.634484,4.050430,-2.908407,0.805119,-3.943659,2.816360,-0.183235,0.395173,-0.043161,34.396048,188.263763,1171.672927,-0.611082,0
0.040619,88.700806,-196.770872,67.129356,4.183458,-2.473529,4.483006,-1.535263,2.635642,-4.443065,1.507073,-0.161317,0.387399,-0.073035,63.768117,188.482077,1170.047058,-0.166369,0
0.041660,142.951986,-167.752541,3.545076,2.905428,-3.361098,3.899624,-0.080028,3.550904,-3.876512,0.140860,-0.164970,0.390404,-0.043161,94.090226,188.494918,1168.958521,0.882316,0
