1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,166.411102,-155.305677,-21.734326,-0.124844,-1.465792,5.122183,-2.986344,1.333393,-4.968618,3.225052,-0.192949,0.600828,-0.089723,-165.490903,188.571091,1016.348140,999.853080,0
0.001042,183.247991,-106.587375,-93.246914,-1.566034,-3.472994,4.921047,-0.908413,3.328243,-4.913660,1.154660,-0.152841,0.581054,-0.056273,-177.019428,188.571062,1017.225817,1000.882316,0
0.002083,178.931419,-24.607204,-144.259632,-2.545593,-4.581175,4.108457,0.847798,4.361938,-4.194988,-0.624288,-0.127317,0.588357,-0.071140,-173.045239,188.495723,1017.487480,1001.689652,0
0.003125,152.320095,48.693404,-173.618070,-3.097299,-5.142604,2.620049,2.687278,4.956766,-2.647728,-2.581130,-0.065333,0.592423,-0.074856,-147.455067,188.721835,1018.176738,1000.922357,0
0.004167,87.820121,115.546001,-177.154207,-3.198633,-4.794004,0.488006,4.284522,4.619455,-0.618534,-4.216248,-0.065333,0.593318,-0.093440,-78.250146,188.571120,1018.483288,999.752576,0
0.005208,3.330579,154.034399,-176.242832,-3.176114,-3.994059,-1.322219,5.071789,3.879547,1.266925,-5.022452,-0.032517,0.554183,-0.100873,1.864092,188.571075,1019.181763,1000.500929,0
0.006250,-71.576626,170.301238,-132.229477,-2.275370,-2.185009,-3.088194,4.905252,2.229262,2.979057,-4.893762,-0.043455,0.564105,-0.089723,73.151804,188.495658,1019.718685,1000.319274,0
0.007292,-125.499869,189.574800,-47.204230,-0.597734,-0.247527,-4.560510,4.386715,0.245293,4.530544,-4.409282,-0.032517,0.588909,-0.082290,124.906322,188.721905,1019.603949,999.709650,0
0.008333,-166.416899,155.091450,22.923068,0.764641,1.499142,-5.035191,3.111191,-1.346960,4.978658,-3.175374,-0.047102,0.593456,-0.093440,166.032982,188.495470,1019.895307,998.938994,0
0.009375,-182.835690,106.208718,93.803769,2.127016,3.535699,-4.878305,1.040830,-3.291032,4.915245,-1.089842,-0.079917,0.576369,-0.078573,177.054882,188.570821,1020.593611,998.662299,0
0.010417,-178.564319,24.193313,144.901548,3.072797,4.614524,-4.101920,-0.711596,-4.368251,4.188118,0.681536,-0.134610,0.602620,-0.100873,173.395926,188.495450,1021.813699,998.455459,0
0.011458,-152.823089,-48.531790,173.737465,3.669540,5.175954,-2.557194,-2.551076,-4.915928,2.712725,2.608098,-0.178364,0.592767,-0.089723,148.301120,188.721648,1022.847693,998.433106,0
0.012500,-88.232715,-115.407877,177.613848,3.793393,4.860379,-0.409061,-4.178599,-4.633022,0.615892,4.239431,-0.200241,0.590769,-0.063706,78.882291,188.571160,1024.863690,998.224203,0
0.013542,-4.082172,-154.072451,176.301468,3.737096,3.961358,1.340824,-4.897738,-3.777050,-1.218837,5.053205,-0.218472,0.594214,-0.052556,-0.905456,188.571024,1025.760888,997.545940,0
0.014583,71.220531,-170.562445,132.251658,2.847611,2.163317,3.138981,-4.708491,-2.155781,-2.930969,4.916945,-0.233057,0.583259,-0.078573,-72.654759,188.495712,1026.095612,996.721088,0
0.015625,125.324573,-189.695066,47.007681,1.181235,0.225835,4.615320,-4.182384,-0.218963,-4.507822,4.424896,-0.207533,0.586635,-0.097156,-124.465568,188.721991,1026.231684,995.648376,0
