1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,-162.002483,138.679589,-13.431250,2.633988,6.111044,-0.739650,-5.330066,-5.601714,0.937095,5.107614,-0.263601,0.182801,-0.031958,3.757258,188.495349,985.298761,-1272.589032,0
0.001042,-195.905217,83.433615,42.003409,3.708438,4.623478,1.776432,-6.094997,-4.252713,-1.585117,5.908129,-0.241683,0.189921,-0.024490,3.621538,188.495258,985.331544,-1273.068776,0
0.002083,-171.518841,37.622827,126.971213,5.291838,2.958397,3.879781,-6.262908,-2.492029,-3.624710,6.061117,-0.241683,0.194560,-0.024490,2.841148,188.495436,986.334375,-1273.837202,0
0.003125,-124.651629,-3.464327,185.975948,6.411528,0.672018,5.026702,-4.986780,-0.308634,-4.858538,4.958184,-0.241683,0.200831,-0.017021,1.076788,188.570832,986.530633,-1273.680331,0
0.004167,-71.239794,-67.130691,197.375569,6.615108,-1.972939,6.205371,-3.524083,2.393043,-6.004235,3.442541,-0.205153,0.177706,-0.050629,-0.653642,188.495410,986.489743,-1273.810271,0
0.005208,-29.794297,-143.784027,166.352841,6.060918,-4.007249,5.959319,-1.255410,4.480869,-5.970661,1.400337,-0.172276,0.180580,-0.020755,-1.648922,188.495407,987.499206,-1274.735878,0
0.006250,13.602110,-196.722549,101.045076,4.828128,-5.544519,4.740964,1.304310,5.943817,-4.703260,-1.111502,-0.091910,0.181233,-0.046895,-1.773332,188.495535,988.214054,-1274.965785,0
0.007292,88.145023,-186.018868,55.840530,3.957258,-6.304279,3.022567,3.595371,6.877458,-3.108517,-3.320925,-0.037115,0.176726,-0.073035,-0.291722,188.495293,988.010531,-1275.075581,0
0.008333,161.406234,-139.289931,14.304545,3.199488,-5.988304,0.879532,5.192397,6.451071,-0.913646,-4.943303,-0.051727,0.183781,-0.035692,1.088098,188.495372,987.941613,-1275.615552,0
0.009375,195.411050,-84.128523,-41.524053,2.113728,-4.518489,-1.636550,5.931209,5.113098,1.579189,-5.740261,0.003068,0.192012,-0.013287,1.291678,188.495019,988.397056,-1276.412156,0
0.010417,171.512402,-37.689528,-126.504167,0.541638,-2.814355,-3.712120,6.106583,3.308305,3.631372,-5.836323,0.017680,0.200177,-0.024490,2.117308,188.495329,989.135984,-1276.796232,0
0.011458,124.531765,3.603002,-186.025948,-0.566742,-0.549278,-4.827292,4.811798,1.121233,4.835823,-4.786758,-0.018850,0.210956,-0.009553,3.791188,188.570805,989.124911,-1276.555986,0
0.012500,70.813682,66.906939,-197.425569,-0.770322,2.085029,-5.962307,3.356563,-1.543686,6.006700,-3.306694,-0.077298,0.197042,-0.043161,5.487688,188.495327,989.377333,-1276.799372,0
0.013542,29.311473,143.995187,-166.452084,-0.238752,4.144190,-5.807532,1.158786,-3.576375,5.998307,-1.292953,-0.091910,0.189725,-0.054364,6.415108,188.495376,989.981511,-1275.998249,0
0.014583,-13.438411,196.474634,-100.504167,0.937488,5.688561,-4.585208,-1.419590,-5.024621,4.726709,1.282928,-0.139399,0.180123,-0.031958,6.765718,188.495369,990.097205,-1275.331815,0
0.015625,-88.264887,186.713264,-54.991856,1.830978,6.458971,-2.862843,-3.680800,-5.998695,3.152949,3.492351,-0.230724,0.173264,0.001650,4.843018,188.570772,990.323417,-1275.285783,0
0.016667,-161.106425,139.404443,-13.923674,2.645298,6.128796,-0.672184,-5.318872,-5.598038,0.874145,5.089824,-0.238030,0.181103,-0.039427,3.531058,188.495403,989.241549,-1275.679707,0
0.017708,-196.120724,83.941013,41.387879,3.663198,4.658980,1.792306,-6.061414,-4.252713,-1.568331,5.897456,-0.234377,0.189007,-0.020755,3.497128,188.495432,989.099976,-1275.706017,0
0.018750,-171.609581,37.598665,125.961743,5.291838,2.908693,3.836127,-6.244251,-2.436893,-3.595333,6.011307,-0.234377,0.171630,-0.054364,2.773288,188.495477,987.853545,-1275.084193,0
0.019792,-124.538204,-3.246871,186.246781,6.366288,0.700420,5.002890,-4.986780,-0.327012,-4.845948,4.983089,-0.219765,0.200243,-0.024490,1.167268,188.568980,988.266767,-1274.991958,0
