1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,157.459044,-172.343284,-6.303409,2.803638,-2.945716,6.558575,-2.785272,2.907648,-6.453281,2.827034,-0.194194,0.606042,-0.069301,15.960748,188.563227,1635.841440,875.956914,0
0.001042,188.605550,-124.080073,-75.008902,1.491678,-5.058131,5.868042,-0.236746,4.947689,-5.874137,0.318752,-0.150358,0.601861,-0.043161,-5.268121,188.500162,1635.455474,875.738645,0
0.002083,189.671745,-40.178195,-131.453031,0.417228,-6.087712,4.395697,2.110286,6.046738,-4.501819,-1.887113,-0.073645,0.608001,-0.039427,-21.045571,188.712467,1635.723416,875.872567,0
0.003125,162.268264,32.814627,-176.632955,-0.419712,-6.467592,2.379657,4.300600,6.417989,-2.499996,-4.039610,-0.084604,0.618127,-0.043161,-34.843771,188.771808,1635.813888,875.031975,0
0.004167,105.090719,100.298557,-185.927463,-0.623292,-5.505466,-0.350729,5.729715,5.550512,0.177494,-5.473423,-0.011544,0.609373,-0.050629,-39.797551,188.551902,1635.523173,875.254661,0
0.005208,18.649523,148.694659,-191.307198,-0.747702,-3.989497,-2.723942,6.405093,4.006697,2.653542,-6.231244,-0.015197,0.586052,-0.024490,-47.578831,188.478429,1635.342993,875.505634,0
0.006250,-55.643856,175.622994,-151.543940,0.021378,-1.742171,-4.660611,5.834193,1.834329,4.571431,-5.679778,-0.000585,0.587489,-0.031958,-45.656131,188.707764,1635.049066,875.568667,0
0.007292,-109.123745,202.986241,-66.132955,1.627398,1.027046,-6.192484,4.524482,-0.992323,6.195551,-4.466552,-0.022503,0.609765,-0.073035,-27.401791,188.780781,1635.377871,875.675552,0
0.008333,-158.191403,172.566525,5.748674,2.984598,3.103959,-6.418694,2.658797,-3.065446,6.501910,-2.737438,-0.077298,0.617016,-0.031958,-11.013601,188.552803,1635.589741,876.862072,0
0.009375,-189.371936,124.774469,74.860417,4.251318,5.170220,-5.732129,0.091615,-5.094460,5.843029,-0.186462,-0.157664,0.604017,-0.017021,9.547978,188.495099,1635.390954,876.619797,0
0.010417,-190.267994,40.232302,131.206061,5.359698,6.157198,-4.224067,-2.262880,-6.193509,4.395170,2.015845,-0.161317,0.602253,-0.039427,26.060578,188.721940,1634.941170,876.713991,0
0.011458,-162.025168,-34.016934,176.509091,6.207948,6.540628,-2.192152,-4.427074,-6.561084,2.422724,4.168342,-0.248989,0.582982,-0.061832,38.218828,188.721974,1634.000824,876.986160,0
0.012500,-104.235128,-100.280692,185.754357,6.434148,5.589153,0.502516,-5.863652,-5.642147,-0.233782,5.609270,-0.263601,0.609896,-0.039427,45.027447,188.578463,1632.796011,876.899107,0
0.013542,-18.973552,-148.555984,191.269508,6.502008,4.090936,2.879698,-6.572612,-4.190226,-2.663667,6.349302,-0.241683,0.627599,-0.058098,52.435497,188.516680,1632.153098,878.025792,0
0.014583,54.503167,-175.472239,151.937122,5.766858,1.879113,4.725090,-5.942011,-2.025209,-4.560573,5.840530,-0.241683,0.620021,-0.065566,49.325247,188.740282,1632.002995,878.868713,0
0.015625,109.071937,-202.666353,67.030871,4.172148,-0.925607,6.324429,-4.673345,0.812470,-6.209873,4.591726,-0.234377,0.609243,-0.043161,33.683518,188.514820,1632.599916,878.882824,0
0.016667,157.719921,-172.464093,-5.614015,2.769708,-2.974118,6.538732,-2.796466,2.874566,-6.482658,2.841265,-0.205153,0.609765,-0.028224,15.248218,188.586545,1632.782571,879.294509,0
0.017708,188.696290,-123.488109,-75.181250,1.491678,-5.061681,5.875979,-0.165850,4.995474,-5.827974,0.300963,-0.146705,0.595067,-0.039427,-5.234191,188.516427,1632.900208,878.746480,0
0.018750,189.717115,-38.353978,-131.194508,0.428538,-6.041558,4.379823,2.091629,6.024684,-4.447262,-1.894229,-0.135746,0.617735,-0.028224,-20.932471,188.738669,1632.010730,878.424417,0
0.019792,161.723824,34.240174,-176.559091,-0.453642,-6.499544,2.411405,4.281943,6.436368,-2.487406,-4.046726,-0.069992,0.608916,-0.020755,-33.712771,188.574100,1631.845002,878.911631,0
0.020833,105.113404,100.117344,-185.976705,-0.634602,-5.494815,-0.338823,5.729715,5.495376,0.169100,-5.476980,-0.015197,0.614730,-0.054364,-40.419601,188.570749,1631.517301,878.359815,0
0.021875,20.248815,148.706740,-191.085607,-0.747702,-3.978847,-2.747754,6.412555,3.969940,2.661936,-6.177876,-0.022503,0.622700,-0.046895,-47.171671,188.649242,1631.250949,877.114753,0
0.022917,-54.316783,176.045825,-151.519319,0.021378,-1.713769,-4.644737,5.804342,1.826977,4.504284,-5.679778,-0.015197,0.616755,-0.031958,-44.581681,188.732144,1630.746950,876.841304,0
0.023958,-109.033005,202.889594,-65.899053,1.616088,1.062549,-6.164704,4.524482,-0.981296,6.145191,-4.445205,-0.051727,0.606434,-0.058098,-27.175591,188.510695,1629.852359,876.632754,0
0.025000,-157.862470,172.542363,6.918182,3.029838,3.096858,-6.450442,2.658797,-3.032364,6.443156,-2.755228,-0.128440,0.602906,-0.031958,-8.808151,188.587667,1628.628349,876.982430,0
0.026042,-188.782126,123.928805,75.402084,4.273938,5.138268,-5.755940,0.072958,-5.098136,5.796865,-0.165115,-0.146705,0.598529,-0.054364,9.163438,188.651882,1627.923639,876.483460,0
0.027083,-190.063829,39.894037,131.464584,5.348388,6.174949,-4.247878,-2.247954,-6.208212,4.437137,2.030076,-0.186888,0.595132,-0.054364,26.603458,188.718048,1628.204255,877.066268,0
