1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERCT,12-IN,13-IFD,14-IFAULT,15-VFAULT,16-Speed (rad/s),17-Active Power,18-Reactive Power,19-FAULT 
0.000000,182.764162,-128.719140,-11.350758,2.724468,-6.623804,2.379657,4.405078,7.031840,-2.445439,-4.213945,-0.004238,0.310773,-0.046895,35.527048,188.426967,1528.028010,-923.250099,0
0.001038,192.802275,-66.876992,-73.346970,1.559538,-5.675880,-0.346761,6.050612,6.065117,0.303394,-5.679778,-0.004238,0.312667,-0.013287,44.914347,188.498137,1528.620852,-923.592778,0
0.002083,170.446207,-17.079506,-150.792993,0.123168,-4.262869,-2.608853,6.502108,4.653629,2.582199,-6.330864,0.003068,0.340888,-0.024490,47.628747,188.495446,1527.526696,-923.229892,0
0.003117,112.667509,30.869602,-196.625379,-0.792942,-1.894833,-4.489962,5.882701,2.323204,4.407760,-5.690451,0.017680,0.331873,-0.020755,36.918178,188.419934,1527.748782,-923.700456,0
0.004154,57.123284,99.525379,-198.779735,-0.849492,0.714621,-6.057553,4.725976,-0.290255,6.153584,-4.683581,-0.029809,0.325210,-0.039427,21.909808,188.495414,1527.787554,-924.057240,0
0.005196,9.802372,165.052203,-153.661364,-0.046482,3.221118,-6.438537,2.614021,-2.789765,6.493516,-2.588009,-0.055380,0.305285,-0.031958,9.955138,188.495508,1527.317622,-924.609319,0
0.006237,-41.715265,208.760913,-89.732387,1.174998,5.340634,-5.759909,-0.091222,-4.929051,5.914373,0.023451,-0.099216,0.291828,-0.020755,4.809088,188.495477,1526.049302,-924.850005,0
0.007279,-117.392428,179.295589,-38.163258,2.158968,6.558379,-4.232004,-2.643480,-6.127346,4.395170,2.453460,-0.161317,0.300451,-0.024490,-11.183251,188.495412,1525.172954,-924.594446,0
0.008321,-183.553234,129.630992,10.562121,3.097698,6.707491,-2.291367,-4.434537,-6.476542,2.506658,4.278635,-0.219765,0.314431,-0.031958,-29.663791,188.495499,1525.020108,-924.406575,0
0.009362,-192.933482,69.226472,72.422917,4.307868,5.869625,0.458862,-6.128579,-5.495117,-0.212799,5.833414,-0.216112,0.318873,-0.046895,-39.560041,188.495427,1524.677990,-924.141328,0
0.010404,-171.507498,19.163206,150.878410,5.755548,4.431763,2.732861,-6.669628,-4.124062,-2.520980,6.520079,-0.256295,0.326124,-0.046895,-43.348891,188.495459,1524.079931,-924.645223,0
0.011446,-113.059593,-30.489310,196.070645,6.581178,2.003372,4.641749,-5.975593,-1.789961,-4.363328,5.819183,-0.245336,0.329260,-0.039427,-32.163301,188.495492,1523.786984,-924.323539,0
0.012487,-56.233666,-99.314220,198.803599,6.671658,-0.606082,6.241089,-4.837525,0.882310,-6.151119,4.847891,-0.208806,0.310838,-0.039427,-15.616771,188.495399,1523.478921,-924.978480,0
0.013529,-9.196316,-164.671910,153.315910,5.834718,-3.123229,6.637947,-2.736764,3.345062,-6.482658,2.780782,-0.175929,0.307702,-0.039427,-5.449081,188.495182,1522.459407,-924.683202,0
0.014571,41.742854,-208.561835,89.657765,4.647168,-5.210793,5.907728,-0.072566,5.546836,-5.924498,0.222690,-0.146705,0.297969,-0.073035,0.420808,188.495716,1523.027163,-924.175183,0
0.015612,117.499414,-179.120672,39.282765,3.697128,-6.460491,4.431414,2.543125,6.774537,-4.409492,-2.271360,-0.088257,0.301693,-0.028224,16.379218,188.495320,1522.734860,-923.379068,0
0.016654,183.172492,-130.060120,-9.971970,2.735778,-6.641555,2.411405,4.341645,7.013461,-2.558750,-4.189040,0.017680,0.315607,-0.058098,34.724038,188.499169,1523.510235,-923.115603,0
0.017696,192.688850,-68.652885,-72.522159,1.536918,-5.704282,-0.326918,6.017030,6.087172,0.232051,-5.679778,0.043251,0.313516,-0.046895,44.416707,188.498682,1523.801335,-923.234808,0
0.018737,171.036017,-17.876846,-150.399053,0.089238,-4.319673,-2.612822,6.587930,4.716117,2.578002,-6.366442,0.021333,0.317697,-0.046895,46.972767,188.495629,1524.667755,-923.671212,0
0.019779,111.828164,31.147463,-196.736175,-0.860802,-1.884182,-4.529648,5.957328,2.319528,4.432940,-5.683336,0.024986,0.316717,-0.020755,35.300848,188.495973,1524.653229,-923.555604,0
0.020821,55.671444,99.634107,-198.853599,-0.815562,0.746574,-6.093270,4.729707,-0.312309,6.166174,-4.712043,-0.018850,0.306984,-0.035692,21.694918,188.495982,1525.085616,-923.245313,0
0.021862,9.802372,165.994513,-152.959660,-0.023862,3.313425,-6.462348,2.621483,-2.844901,6.531287,-2.580893,-0.080951,0.318873,-0.024490,10.102168,188.479770,1525.646071,-923.866715,0
0.022904,-41.953458,208.543457,-90.274053,1.163688,5.390338,-5.751972,-0.132268,-5.009918,5.918569,-0.029917,-0.106522,0.305743,-0.076769,4.650748,188.632989,1526.401776,-924.343184,0
0.023946,-118.538021,179.150618,-38.729546,2.170278,6.711041,-4.251847,-2.699450,-6.204537,4.390973,2.478365,-0.197847,0.300843,-0.061832,-11.228491,188.505553,1527.226290,-925.286415,0
0.024987,-183.235644,129.546426,10.832955,3.109008,6.721692,-2.215963,-4.542747,-6.498597,2.468888,4.332003,-0.194194,0.310642,-0.058098,-30.613831,188.436416,1527.128258,-926.146185,0
0.026029,-193.126304,67.825087,72.927652,4.296558,5.869625,0.562045,-6.184550,-5.513496,-0.267356,5.901014,-0.270907,0.322205,-0.054364,-38.779651,188.499428,1527.693251,-926.762668,0
0.027071,-171.337361,17.471879,150.558334,5.755548,4.449514,2.772546,-6.654702,-4.157144,-2.571340,6.566331,-0.256295,0.310969,-0.035692,-43.880461,188.495256,1528.501976,-926.844312,0
0.028116,-111.709836,-30.863818,197.523296,6.660348,1.950118,4.705247,-6.031563,-1.753203,-4.443065,5.879666,-0.219765,0.329194,-0.050629,-32.242471,188.495322,1529.616943,-927.738406,0
0.029154,-57.175093,-99.459191,198.397349,6.671658,-0.620283,6.256963,-4.777823,0.908040,-6.176299,4.851449,-0.205153,0.319461,-0.031958,-16.917421,188.495323,1529.622949,-928.486253,0
0.030196,-10.024319,-166.049133,152.798864,5.846028,-3.151632,6.665727,-2.703181,3.403874,-6.545608,2.734530,-0.186888,0.311491,-0.031958,-5.550871,188.495278,1530.088424,-929.895607,0
