1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,91.701101,-200.272532,130.786816,-8.769231,-0.244200,9.035409,-7.570208,1.221001,-8.058608,7.570208,0.209402,3.492063,0
0.001042,173.547257,-174.549454,71.657144,-23.523810,-4.151404,9.523810,-4.639805,4.151404,-9.035409,4.639805,-0.278999,3.472527,0
0.002084,197.265938,-154.839564,-28.562638,-3.758242,-7.081807,9.035409,-1.221001,7.570208,-8.547009,1.221001,-0.767399,3.492063,0
0.003125,191.920883,-116.756047,-125.775827,18.791209,-8.547009,7.081807,2.197802,9.035409,-6.105006,-1.709402,-0.767399,3.579976,0
0.004167,163.859344,-49.942858,-193.257147,27.699634,-9.035409,4.151404,6.105006,9.523810,-3.663004,-5.128205,-0.767399,3.501832,0
0.005208,143.815388,58.628573,-202.276928,0.695971,-8.547009,0.244200,8.547009,8.547009,-0.244200,-7.570208,-0.278999,3.511600,0
0.006251,95.041760,147.490113,-185.907696,-18.234432,-6.105006,-3.174603,9.523810,6.105006,3.174603,-8.547009,-0.278999,3.501832,0
0.007292,11.525275,194.593411,-163.191212,-10.439560,-2.686203,-6.593407,9.523810,2.686203,7.081807,-8.547009,-0.278999,3.492063,0
0.008333,-93.371431,198.268136,-133.793410,12.666667,0.732601,-8.547009,8.058608,-0.732601,8.547009,-7.081807,-0.278999,3.492063,0
0.009375,-176.553850,172.879125,-74.329672,28.256410,4.639805,-9.035409,5.128205,-4.151404,9.523810,-4.639805,0.209402,3.482295,0
0.010417,-200.606598,152.167036,26.224176,9.047619,7.570208,-8.547009,1.709402,-7.081807,9.035409,-0.732601,0.209402,3.472527,0
0.011459,-194.593411,113.749453,122.769234,-13.780220,9.035409,-6.593407,-1.709402,-8.547009,7.081807,2.197802,0.209402,3.501832,0
0.012500,-165.195608,47.604397,190.584620,-23.802198,10.012210,-3.663004,-5.128205,-9.035409,4.151404,6.105006,-0.278999,3.579976,0
