1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,-111.745057,-119.428574,211.964840,8.769231,9.035409,-1.709402,-6.593407,-8.547009,2.197802,7.081807,3.139805,4.107448,0
0.001041,-43.929671,-191.586817,182.232971,21.296703,7.570208,1.709402,-8.058608,-6.593407,-1.709402,8.547009,-0.278999,4.126984,0
0.002083,50.945056,-227.331873,138.470333,12.388278,4.639805,5.128205,-9.035409,-4.151404,-4.639805,9.035409,0.209402,4.087912,0
0.003124,144.149454,-208.624180,84.351650,-7.377289,1.221001,7.081807,-8.058608,0.244200,-7.081807,8.058608,0.209402,4.087912,0
0.004166,207.287917,-169.204399,12.861539,-18.791209,-2.197802,9.035409,-5.616606,2.686203,-8.547009,5.616606,-0.278999,4.078144,0
0.005207,220.984620,-125.775827,-89.028573,0.417582,-5.616606,9.035409,-3.174603,6.105006,-8.547009,3.174603,0.209402,4.097680,0
0.006249,194.593411,-66.646155,-172.210993,18.234432,-7.570208,8.058608,0.732601,8.058608,-7.081807,-0.244200,0.209402,4.097680,0
0.007291,151.164839,13.863737,-229.336269,22.410256,-9.035409,5.128205,4.151404,9.523810,-4.639805,-4.151404,-0.278999,4.078144,0
0.008332,108.738464,117.424178,-214.971433,-3.479853,-8.547009,2.197802,7.081807,8.547009,-1.221001,-6.105006,0.209402,4.087912,0
0.009374,41.257144,188.580224,-184.237367,-15.450549,-7.081807,-1.221001,8.547009,7.081807,2.197802,-8.058608,-0.278999,4.097680,0
0.010416,-53.951650,224.659346,-141.142860,-8.212454,-4.151404,-4.639805,9.523810,4.151404,5.128205,-8.547009,-0.767399,4.107448,0
0.011458,-147.156047,205.951653,-86.690112,14.058608,-1.221001,-7.081807,8.547009,1.221001,7.570208,-7.570208,0.209402,4.087912,0
0.012499,-209.960444,166.865938,-15.534066,23.802198,2.686203,-8.547009,6.105006,-2.197802,9.035409,-5.616606,0.209402,4.078144,0
0.013541,-222.654950,123.103299,86.356046,5.428571,6.105006,-8.547009,3.663004,-5.128205,9.035409,-2.686203,0.209402,4.097680,0
0.014582,-197.600004,64.307694,168.870333,-12.666667,8.058608,-7.570208,0.244200,-7.570208,7.570208,0.244200,0.697802,4.107448,0
0.015625,-153.837366,-16.870330,224.659346,-17.677656,9.523810,-4.639805,-3.663004,-8.547009,5.128205,4.151404,0.209402,4.078144,0
0.016666,-112.079123,-119.428574,212.298906,7.934066,9.035409,-1.709402,-6.105006,-8.058608,2.197802,7.081807,0.209402,4.087912,0
0.017708,-43.261539,-191.586817,181.898905,21.296703,7.081807,1.709402,-8.547009,-6.593407,-1.221001,8.547009,0.209402,4.097680,0
0.018749,51.613188,-226.997807,137.134069,13.501832,4.151404,5.128205,-9.035409,-3.663004,-4.639805,9.035409,0.697802,4.107448,0
0.019791,144.817586,-208.290115,84.017584,-4.036630,1.221001,7.570208,-8.058608,-0.244200,-7.081807,8.058608,-0.767399,4.097680,0
0.020833,208.290115,-168.870333,11.859341,-17.956044,-2.686203,9.035409,-6.105006,2.686203,-8.547009,6.105006,-0.278999,4.166056,0
0.021874,220.316488,-125.775827,-89.696705,-0.417582,-5.616606,9.523810,-2.686203,5.616606,-8.547009,3.174603,0.209402,4.097680,0
0.022916,194.593411,-66.312089,-171.876927,18.791209,-7.570208,8.058608,0.732601,8.058608,-7.081807,-0.244200,0.209402,4.097680,0
0.023958,150.496707,15.200000,-227.665939,23.245421,-8.547009,5.128205,4.151404,9.035409,-4.639805,-4.151404,0.209402,4.078144,0
0.024999,108.738464,117.090113,-214.637367,-4.036630,-8.058608,2.197802,7.081807,8.547009,-1.221001,-6.593407,0.209402,4.087912,0
0.026041,40.923078,188.914290,-184.571433,-15.172161,-6.593407,-1.221001,8.547009,7.081807,1.709402,-8.058608,0.209402,4.097680,0
0.027085,-55.287913,224.659346,-140.474728,-7.934066,-4.151404,-4.639805,9.523810,4.151404,5.128205,-8.547009,0.209402,4.087912,0
0.028126,-147.824179,204.949455,-86.690112,13.780220,-0.732601,-7.081807,8.547009,1.221001,7.570208,-7.570208,0.209402,4.087912,0
