1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,23.885715,-152.835168,166.531872,-12.945055,-3.663004,10.500611,-6.105006,4.151404,-10.012210,6.105006,-0.767399,2.730159,0
0.001041,105.731870,-166.865938,119.094508,-13.780220,-7.081807,10.500611,-2.686203,7.570208,-9.523810,2.686203,-0.767399,2.652015,0
0.002083,145.151652,-170.540663,34.241759,-1.531136,-9.523810,8.547009,1.221001,10.012210,-8.058608,-1.221001,-0.767399,2.661783,0
0.003125,155.507696,-158.180223,-60.632968,23.802198,-10.500611,5.616606,5.128205,10.500611,-5.128205,-4.639805,-0.278999,2.671551,0
0.004166,168.870333,-95.709892,-121.432970,14.336996,-10.012210,1.709402,7.570208,10.012210,-1.221001,-8.058608,-0.278999,2.642247,0
0.005208,168.870333,-6.180220,-147.824179,-3.758242,-8.058608,-2.197802,10.012210,7.570208,2.686203,-9.523810,-0.278999,2.661783,0
0.006250,145.151652,86.690112,-160.852751,-22.967033,-4.151404,-6.105006,10.989011,4.151404,6.593407,-10.012210,-0.278999,2.661783,0
0.007292,66.312089,132.457146,-173.213191,-7.655678,-0.244200,-9.035409,9.523810,0.732601,9.035409,-8.547009,0.209402,2.652015,0
0.008333,-25.890110,149.494509,-168.536267,15.728938,4.151404,-10.012210,6.593407,-3.663004,10.500611,-6.105006,-0.278999,2.652015,0
0.009375,-108.070332,164.527476,-122.435168,22.688645,7.570208,-10.012210,3.174603,-7.081807,10.012210,-2.197802,-0.278999,2.652015,0
0.010416,-147.824179,168.202202,-36.246155,4.871795,10.012210,-8.058608,-0.732601,-9.035409,8.547009,1.709402,-0.278999,2.710623,0
0.011459,-157.846157,156.175828,57.960441,-18.512821,10.989011,-5.128205,-5.128205,-10.500611,5.616606,5.616606,-0.767399,2.652015,0
0.012500,-170.206597,94.039563,118.760442,-11.274725,10.012210,-1.221001,-8.058608,-9.523810,1.709402,8.547009,-0.278999,2.661783,0
0.013541,-170.874729,4.175824,144.817586,7.377289,8.058608,2.686203,-10.012210,-7.570208,-2.197802,10.012210,-0.278999,2.661783,0
0.014583,-147.156047,-88.360442,158.848355,26.586081,4.639805,6.593407,-10.500611,-4.151404,-6.105006,10.500611,-0.278999,2.661783,0
0.015625,-69.318683,-135.129673,170.874729,15.728938,0.732601,9.523810,-9.035409,0.244200,-9.035409,9.035409,-0.278999,2.661783,0
0.016667,23.885715,-152.501102,166.531872,-12.388278,-3.174603,10.500611,-6.593407,4.151404,-10.012210,6.105006,-0.278999,2.671551,0
0.017708,105.731870,-166.865938,119.094508,-17.677656,-7.081807,10.500611,-2.686203,7.570208,-10.012210,2.686203,-0.278999,2.652015,0
0.018752,145.151652,-170.874729,33.239561,-0.974359,-9.523810,8.547009,1.221001,10.012210,-8.058608,-1.221001,-0.278999,2.652015,0
0.019793,155.173630,-157.846157,-61.635166,21.853480,-10.500611,5.616606,5.616606,10.989011,-5.128205,-5.128205,-0.278999,2.652015,0
0.020835,168.536267,-95.709892,-121.767036,15.450549,-9.523810,1.709402,8.547009,10.012210,-1.221001,-8.058608,-0.767399,2.661783,0
0.021876,168.870333,-5.512088,-147.156047,-3.479853,-7.570208,-2.197802,10.500611,7.570208,2.686203,-9.523810,-0.767399,2.681319,0
0.022917,145.151652,86.690112,-160.852751,-23.245421,-4.639805,-6.105006,10.989011,4.639805,6.593407,-10.500611,-0.767399,2.700855,0
0.023959,66.646155,132.457146,-172.545059,-11.553114,-0.244200,-9.035409,10.012210,-0.244200,9.523810,-9.035409,-0.278999,2.661783,0
0.025000,-25.890110,150.496707,-168.536267,15.728938,3.663004,-10.500611,6.593407,-3.663004,10.500611,-6.105006,-0.278999,2.652015,0
0.026042,-107.736266,165.195608,-121.767036,21.296703,7.570208,-10.012210,3.174603,-7.081807,10.012210,-2.197802,-0.278999,2.652015,0
0.027083,-147.490113,168.870333,-35.578023,4.593407,10.012210,-8.547009,-0.732601,-9.035409,8.547009,1.709402,-0.278999,2.652015,0
0.028125,-157.846157,155.507696,58.962639,-18.791209,10.989011,-5.128205,-5.128205,-10.012210,5.128205,5.616606,-0.278999,2.642247,0
0.029166,-170.540663,93.371431,118.426376,-10.996337,10.012210,-1.221001,-8.058608,-9.523810,1.709402,8.547009,-0.278999,2.652015,0
0.030208,-169.872531,3.507692,144.817586,8.490842,8.058608,2.686203,-10.012210,-7.570208,-2.197802,10.500611,-0.278999,2.759463,0
0.031250,-147.490113,-89.028573,157.846157,28.813187,4.639805,6.593407,-10.500611,-3.663004,-6.105006,10.500611,-0.767399,2.681319,0
0.032292,-68.984617,-134.795607,169.872531,10.717949,0.732601,9.523810,-9.035409,0.244200,-9.035409,9.035409,-0.767399,2.671551,0
0.033333,23.885715,-152.501102,166.531872,-11.553114,-3.663004,10.500611,-6.105006,4.151404,-10.500611,6.593407,-0.767399,2.681319,0
0.034375,105.731870,-167.200004,118.760442,-18.234432,-7.081807,10.012210,-2.686203,7.081807,-9.523810,2.686203,-0.767399,2.642247,0
0.035417,145.151652,-170.874729,33.907693,-1.531136,-9.523810,9.035409,1.221001,9.035409,-8.058608,-1.221001,-0.278999,2.652015,0
0.036458,155.841762,-158.180223,-60.967034,22.410256,-10.500611,5.616606,5.128205,10.500611,-5.128205,-5.128205,-0.278999,2.642247,0
0.037500,168.202202,-95.709892,-121.432970,14.058608,-9.523810,1.709402,8.547009,10.012210,-1.221001,-8.058608,-0.278999,2.652015,0
0.038541,168.536267,-5.512088,-147.490113,-4.593407,-7.570208,-2.197802,10.012210,7.570208,2.686203,-10.012210,-0.278999,2.661783,0
0.039584,144.149454,87.024178,-161.186817,-24.080586,-4.151404,-6.105006,10.989011,4.639805,6.593407,-10.012210,-0.278999,2.671551,0
0.040625,66.646155,132.457146,-173.547257,-10.717949,-0.244200,-9.035409,10.012210,0.732601,9.523810,-8.547009,-0.767399,2.671551,0
0.041666,-26.224176,150.496707,-168.870333,16.285714,4.151404,-10.012210,7.081807,-3.663004,10.500611,-6.105006,-0.278999,2.671551,0
0.042708,-108.070332,164.861542,-121.098904,20.739927,7.570208,-10.012210,3.174603,-7.081807,10.012210,-2.197802,-0.767399,2.661783,0
0.043750,-147.156047,168.870333,-35.912089,3.201465,10.012210,-8.547009,-0.732601,-9.523810,8.547009,1.709402,-0.278999,2.652015,0
0.044792,-157.178025,156.175828,58.294507,-17.956044,10.500611,-5.128205,-5.128205,-10.500611,5.128205,5.616606,-0.278999,2.652015,0
0.045833,-170.540663,93.705497,118.760442,-10.996337,10.012210,-1.221001,-8.058608,-9.523810,1.709402,8.547009,-0.278999,2.642247,0
0.046875,-171.542861,3.841758,145.151652,8.490842,8.058608,2.686203,-10.012210,-7.570208,-2.197802,10.012210,0.209402,2.661783,0
0.047916,-147.490113,-89.028573,158.514289,27.142857,5.128205,6.593407,-10.500611,-3.663004,-6.105006,10.500611,-0.278999,2.661783,0
0.048958,-68.984617,-135.129673,170.540663,10.717949,0.732601,9.523810,-9.523810,-0.244200,-9.035409,9.523810,-0.278999,2.671551,0
0.050000,23.551649,-152.835168,166.197806,-12.109890,-3.663004,10.989011,-6.593407,4.151404,-10.012210,6.593407,-0.767399,2.583639,0
0.051041,105.731870,-166.865938,119.094508,-17.120879,-7.081807,10.500611,-2.686203,7.570208,-9.523810,2.686203,-0.767399,2.661783,0
0.052083,145.151652,-170.874729,32.905495,-1.252747,-9.523810,9.035409,1.221001,10.012210,-8.058608,-1.221001,-0.767399,2.671551,0
0.053124,155.507696,-157.846157,-60.632968,22.131868,-10.500611,5.616606,5.128205,10.500611,-5.128205,-5.128205,-0.767399,2.652015,0
0.054166,168.870333,-95.375826,-121.432970,19.069597,-10.012210,1.709402,8.547009,10.012210,-1.221001,-8.058608,-0.278999,2.652015,0
0.055208,168.536267,-5.512088,-147.490113,-5.150183,-7.570208,-2.197802,10.500611,7.570208,2.686203,-10.012210,-0.278999,2.671551,0
0.056250,145.485718,87.358244,-160.852751,-22.967033,-4.151404,-6.105006,10.989011,4.639805,6.593407,-10.500611,-0.278999,2.661783,0
0.057291,66.312089,132.457146,-173.213191,-6.820513,-0.244200,-9.035409,9.523810,0.244200,9.523810,-8.547009,0.209402,2.661783,0
