1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,196.931873,-129.450552,-105.731870,16.564103,-9.035409,7.570208,1.709402,9.035409,-7.081807,-1.221001,-0.767399,3.511600,0
0.001041,171.542861,-69.652749,-181.564839,28.534799,-9.523810,4.639805,5.128205,9.523810,-4.151404,-4.151404,-0.278999,3.501832,0
0.002083,150.830773,31.569231,-201.274730,5.150183,-9.035409,1.709402,8.058608,9.035409,-0.732601,-7.570208,-0.278999,3.482295,0
0.003125,109.072530,127.780223,-192.254949,-16.564103,-6.593407,-2.197802,9.523810,6.593407,2.686203,-9.035409,0.209402,3.501832,0
0.004166,39.586814,192.589015,-165.863740,-20.461538,-3.663004,-5.616606,10.012210,3.663004,6.105006,-9.035409,0.209402,3.492063,0
0.005208,-67.982419,202.276928,-142.479124,5.428571,0.244200,-8.058608,8.058608,0.244200,8.547009,-8.058608,0.209402,3.492063,0
0.006250,-156.509894,181.564839,-90.364837,25.194139,3.663004,-9.035409,6.105006,-2.686203,9.035409,-5.128205,0.209402,3.482295,0
0.007292,-198.602202,157.178025,-1.503297,16.007326,7.081807,-9.035409,2.686203,-6.105006,9.523810,-1.221001,0.209402,3.482295,0
0.008333,-199.270334,126.443959,102.057145,-9.326007,9.035409,-7.081807,-0.732601,-8.058608,8.058608,1.709402,0.697802,3.521368,0
0.009375,-173.547257,66.980221,178.892312,-24.358974,10.012210,-4.151404,-4.151404,-9.035409,4.639805,5.128205,-0.278999,3.550672,0
0.010417,-152.835168,-34.909891,198.268136,-1.809524,9.035409,-0.732601,-7.570208,-8.547009,1.221001,8.058608,-0.278999,3.501832,0
0.011458,-111.410991,-130.118684,189.582422,19.626374,7.081807,2.197802,-9.035409,-6.593407,-2.197802,9.035409,-0.278999,3.550672,0
0.012500,-41.257144,-195.261543,163.191212,25.194139,4.151404,6.105006,-9.523810,-3.174603,-5.616606,9.523810,-0.278999,3.550672,0
0.013541,66.312089,-204.281323,139.472531,-0.974359,0.244200,8.547009,-8.058608,0.244200,-8.058608,8.058608,-0.278999,3.492063,0
0.014584,154.839564,-183.569235,86.690112,-20.739927,-3.174603,9.035409,-5.616606,3.174603,-9.035409,5.616606,0.209402,3.482295,0
0.015625,196.597807,-159.182421,-2.171429,-10.717949,-6.593407,9.523810,-2.197802,6.593407,-9.035409,2.686203,-0.278999,3.482295,0
0.016666,195.929675,-129.116486,-105.731870,13.501832,-8.547009,8.058608,1.221001,9.035409,-7.081807,-1.221001,-0.278999,3.511600,0
