1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,145.485718,-170.206597,-2.839561,10.439560,-10.012210,8.058608,2.686203,10.012210,-7.081807,-2.686203,-0.278999,2.671551,0
0.001043,157.512091,-143.481322,-97.380222,27.142857,-10.500611,4.151404,6.593407,10.500611,-3.663004,-6.105006,-0.278999,2.671551,0
0.002084,170.874729,-63.639562,-136.465937,8.212454,-9.035409,0.244200,9.523810,9.523810,0.244200,-9.035409,-0.767399,2.749695,0
0.003125,164.527476,27.560440,-151.832970,-11.831502,-6.593407,-3.663004,10.989011,6.593407,4.151404,-10.012210,-0.767399,2.681319,0
0.004167,117.758244,104.729673,-166.865938,-16.564103,-2.686203,-7.081807,10.500611,2.686203,8.058608,-9.523810,-0.278999,2.700855,0
0.005209,32.237363,143.147256,-173.213191,2.923077,1.221001,-9.523810,9.035409,-1.221001,10.012210,-8.058608,-0.278999,2.778999,0
0.006250,-61.301100,156.843960,-158.848355,19.069597,5.616606,-10.989011,5.616606,-4.639805,10.989011,-4.639805,-0.278999,2.671551,0
0.007292,-121.098904,170.540663,-90.698903,13.780220,9.035409,-9.523810,1.709402,-8.058608,9.523810,-0.732601,-0.278999,2.661783,0
0.008334,-147.490113,167.868136,0.835165,-6.820513,10.500611,-7.081807,-2.197802,-10.012210,7.570208,3.174603,-0.278999,2.671551,0
0.009376,-160.184619,141.476926,93.705497,-23.523810,10.989011,-4.151404,-6.105006,-10.012210,4.151404,7.081807,-0.278999,2.661783,0
0.010417,-172.879125,60.967034,133.459344,-5.428571,9.523810,0.244200,-8.547009,-9.035409,0.732601,9.523810,0.209402,2.661783,0
0.011458,-167.200004,-29.898902,148.826377,16.564103,7.081807,4.151404,-10.012210,-6.105006,-4.151404,10.500611,1.186203,2.691087,0
0.012500,-120.096706,-106.400002,164.193410,21.853480,3.174603,8.058608,-10.012210,-2.197802,-7.570208,10.500611,-0.767399,2.681319,0
0.013542,-34.241759,-145.151652,170.874729,1.252747,-0.732601,10.012210,-8.547009,1.709402,-9.523810,8.547009,-0.767399,2.700855,0
0.014584,59.296705,-158.848355,156.175828,-19.347985,-5.128205,10.989011,-5.128205,5.128205,-10.012210,5.128205,-0.278999,2.710623,0
0.015625,119.428574,-172.210993,88.026376,-11.274725,-8.547009,10.012210,-1.221001,8.547009,-9.035409,1.221001,-0.278999,2.652015,0
0.016667,146.153849,-169.872531,-2.839561,10.161172,-10.012210,7.570208,2.686203,10.012210,-7.081807,-2.686203,-0.278999,2.661783,0
0.017709,157.846157,-143.815388,-95.709892,27.142857,-10.500611,4.151404,6.593407,10.500611,-4.151404,-6.593407,-0.278999,2.661783,0
0.018750,169.872531,-63.639562,-136.131871,9.326007,-9.035409,0.244200,9.523810,9.523810,0.244200,-9.035409,-0.278999,2.661783,0
0.019792,164.193410,26.224176,-151.498904,-12.666667,-6.593407,-3.663004,10.989011,6.593407,4.151404,-10.500611,-0.278999,2.671551,0
0.020834,117.424178,104.729673,-167.534070,-16.842491,-2.686203,-7.081807,10.989011,2.686203,8.058608,-10.012210,-0.278999,2.681319,0
0.021875,32.905495,142.813190,-172.879125,2.644689,1.221001,-9.523810,9.035409,-0.732601,10.012210,-8.058608,-0.278999,2.622711,0
0.022917,-61.301100,156.509894,-158.514289,23.523810,5.616606,-10.500611,5.616606,-5.128205,10.989011,-4.639805,-0.278999,2.681319,0
0.023959,-121.432970,170.540663,-90.364837,14.058608,8.547009,-9.523810,1.221001,-8.058608,10.012210,-0.732601,-0.767399,2.671551,0
0.025001,-147.824179,167.868136,0.835165,-5.706960,10.500611,-7.081807,-2.686203,-10.012210,7.570208,3.174603,-0.278999,2.759463,0
0.026042,-159.516487,141.476926,93.705497,-23.523810,10.989011,-4.151404,-6.105006,-10.012210,4.151404,6.593407,-0.278999,2.671551,0
0.027084,-173.213191,61.301100,133.793410,-5.150183,9.523810,0.732601,-9.035409,-9.035409,0.244200,9.035409,-0.278999,2.671551,0
0.028125,-166.531872,-29.230770,148.826377,16.285714,7.081807,4.151404,-10.500611,-6.105006,-4.151404,10.500611,-0.278999,2.671551,0
0.029168,-120.096706,-107.068134,164.861542,20.183150,3.174603,8.058608,-10.500611,-2.197802,-7.570208,10.500611,-0.278999,2.681319,0
0.030209,-34.575825,-145.485718,170.206597,1.531136,-0.732601,10.012210,-8.547009,1.221001,-9.523810,8.547009,-0.278999,2.691087,0
0.031250,58.962639,-159.182421,156.175828,-18.234432,-5.128205,10.989011,-5.128205,5.616606,-10.500611,5.128205,3.628205,2.700855,0
0.032292,119.094508,-172.545059,87.358244,-12.109890,-8.058608,10.012210,-1.221001,8.547009,-9.035409,1.221001,-0.767399,2.671551,0
0.033335,146.153849,-169.872531,-4.509890,11.274725,-10.012210,7.570208,2.686203,10.500611,-7.081807,-2.686203,-0.767399,2.681319,0
