1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,-69.318683,-181.564839,170.874729,29.369963,5.128205,5.128205,-9.523810,-4.639805,-4.639805,9.523810,-0.278999,3.472527,0
0.001042,32.237363,-202.610994,151.164839,5.150183,1.709402,8.058608,-8.547009,-0.732601,-7.081807,8.547009,-0.278999,3.472527,0
0.002083,128.114289,-192.589015,108.070332,-15.450549,-1.709402,9.035409,-6.105006,2.686203,-8.547009,6.593407,-0.278999,3.482295,0
0.003126,192.589015,-165.195608,32.237363,-19.069597,-5.616606,9.523810,-3.663004,6.105006,-9.035409,3.663004,0.209402,3.482295,0
0.004167,201.608796,-140.140662,-73.661540,4.036630,-8.058608,8.547009,0.244200,8.058608,-8.058608,-0.244200,-0.767399,3.492063,0
0.005208,181.564839,-90.364837,-159.850553,25.750916,-9.035409,6.105006,3.663004,9.523810,-5.616606,-3.663004,-0.278999,3.492063,0
0.006250,157.512091,-2.839561,-198.602202,15.450549,-9.035409,2.686203,7.081807,9.523810,-2.197802,-6.593407,-0.278999,3.521368,0
0.007292,126.778025,100.386815,-197.934070,-7.377289,-7.570208,-1.221001,9.035409,7.570208,1.709402,-8.547009,-0.278999,3.492063,0
0.008333,67.314287,179.560444,-173.881323,-25.472527,-4.639805,-4.639805,10.012210,4.639805,5.128205,-9.035409,-0.278999,3.482295,0
0.009375,-34.909891,199.604400,-153.837366,0.139194,-1.221001,-7.570208,8.547009,1.221001,7.570208,-8.547009,0.209402,3.482295,0
0.010417,-131.454948,190.250554,-109.740662,20.461538,2.197802,-9.035409,6.593407,-2.197802,9.035409,-6.105006,0.209402,3.482295,0
0.011459,-195.595609,162.523081,-35.243957,23.802198,6.105006,-9.035409,3.663004,-5.616606,9.523810,-3.174603,0.209402,3.472527,0
0.012500,-204.281323,137.468135,69.986815,0.139194,8.547009,-8.058608,0.244200,-8.058608,8.547009,0.732601,0.209402,3.482295,0
0.013542,-183.903301,87.358244,157.512091,-21.018315,9.523810,-5.616606,-3.174603,-9.035409,6.105006,3.663004,-0.278999,3.540904,0
0.014584,-160.184619,0.501099,195.929675,-7.377289,9.523810,-2.197802,-6.593407,-8.547009,2.686203,7.081807,-0.278999,3.472527,0
0.015625,-129.450552,-102.725277,195.261543,13.501832,8.058608,1.709402,-8.547009,-7.081807,-1.221001,9.035409,-0.278999,3.511600,0
0.016667,-69.652749,-181.898905,170.874729,27.421245,5.128205,5.128205,-9.523810,-4.639805,-4.639805,9.523810,-0.278999,3.482295,0
0.017708,32.571429,-202.276928,150.830773,7.934066,1.221001,7.570208,-8.547009,-1.221001,-7.570208,8.547009,-0.278999,3.482295,0
0.018750,128.448355,-192.254949,107.068134,-15.172161,-2.197802,9.035409,-6.593407,2.197802,-8.547009,6.593407,-0.278999,3.472527,0
0.019792,193.257147,-164.861542,33.239561,-19.626374,-5.616606,10.012210,-3.174603,6.105006,-9.035409,3.174603,0.209402,3.462759,0
0.020833,204.615389,-140.140662,-73.995606,4.593407,-8.547009,9.035409,0.244200,8.547009,-8.058608,-0.244200,0.209402,3.472527,0
