1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,146.821981,-172.210993,92.369233,-23.523810,-4.639805,8.547009,-2.686203,5.128205,-7.570208,2.686203,-0.767399,2.730159,0
0.001042,176.219784,-160.184619,0.835165,-0.974359,-7.081807,7.570208,0.244200,7.570208,-6.593407,-0.244200,-0.767399,2.710623,0
0.002083,179.894510,-131.454948,-97.714288,17.677656,-8.058608,5.128205,3.174603,8.547009,-4.151404,-3.174603,-2.232601,2.739927,0
0.003126,164.861542,-67.982419,-165.529674,23.245421,-8.058608,2.197802,6.105006,8.058608,-1.709402,-5.616606,-0.767399,2.710623,0
0.004167,150.830773,26.892308,-185.239565,2.923077,-7.570208,-0.732601,8.058608,7.081807,1.709402,-7.570208,-0.278999,2.710623,0
0.005208,115.419783,120.096706,-177.890114,-19.069597,-3.663004,-3.663004,8.058608,4.151404,4.639805,-8.058608,-0.278999,2.710623,0
0.006250,36.580221,170.206597,-164.861542,-12.666667,-0.732601,-6.593407,8.058608,1.709402,7.081807,-7.570208,0.209402,2.710623,0
0.007295,-65.978023,182.901103,-144.483520,11.831502,2.686203,-7.570208,6.105006,-1.709402,8.058608,-5.128205,0.209402,2.720391,0
0.008338,-150.162641,169.538465,-94.373628,28.813187,5.616606,-8.058608,3.174603,-4.639805,8.058608,-2.686203,-0.278999,2.700855,0
0.009375,-176.887916,158.180223,-3.507692,9.604396,7.570208,-7.081807,0.244200,-7.081807,7.081807,0.732601,0.209402,2.710623,0
0.010417,-181.564839,128.448355,95.041760,-14.615385,8.547009,-5.128205,-2.686203,-8.058608,5.128205,3.663004,-0.278999,2.720391,0
0.011458,-166.531872,65.978023,163.525278,-26.307692,8.547009,-1.709402,-5.616606,-7.570208,2.197802,6.105006,-0.278999,2.720391,0
0.012500,-152.501102,-28.896704,183.235169,1.252747,7.081807,1.221001,-7.570208,-6.105006,-1.221001,8.058608,-0.767399,2.720391,0
0.013542,-117.090113,-122.435168,175.551652,24.358974,4.151404,4.151404,-8.058608,-3.663004,-4.151404,8.058608,-0.278999,2.720391,0
0.014585,-37.582418,-172.210993,162.857146,14.615385,1.221001,7.081807,-7.570208,-0.732601,-6.593407,7.570208,-0.278999,2.710623,0
0.015626,63.639562,-184.905499,142.479124,-8.212454,-2.197802,8.058608,-5.616606,2.686203,-7.570208,5.616606,-0.278999,2.720391,0
0.016667,146.487915,-171.208795,92.703299,-24.080586,-4.639805,8.547009,-2.686203,5.128205,-7.570208,3.174603,-0.278999,2.691087,0
0.017711,175.885718,-159.850553,-0.167033,-4.036630,-7.081807,7.570208,0.244200,7.570208,-7.081807,-0.244200,-0.278999,2.691087,0
0.018751,178.892312,-131.454948,-98.716486,17.956044,-8.058608,5.128205,3.174603,8.058608,-4.639805,-3.174603,-0.278999,2.720391,0
0.019792,164.861542,-67.648353,-165.863740,23.523810,-8.058608,2.197802,6.105006,8.058608,-1.709402,-5.616606,-0.767399,2.739927,0
0.020833,150.830773,26.892308,-184.905499,0.417582,-6.593407,-0.732601,8.058608,7.081807,1.709402,-7.570208,-0.767399,2.730159,0
0.021875,115.085717,120.430772,-177.556048,-19.069597,-4.151404,-4.151404,8.547009,4.151404,4.639805,-7.570208,-1.744200,2.730159,0
0.022920,35.912089,170.206597,-164.861542,-11.831502,-0.732601,-7.081807,8.058608,1.221001,7.081807,-7.081807,-0.278999,2.818071,0
0.023958,-65.309892,183.235169,-144.817586,12.109890,2.686203,-8.058608,6.105006,-1.709402,8.058608,-5.616606,-0.278999,2.710623,0
0.025000,-149.160443,169.872531,-95.041760,27.421245,5.128205,-8.058608,3.174603,-4.639805,8.058608,-2.686203,-0.278999,2.700855,0
0.026042,-177.890114,158.514289,-2.839561,8.490842,7.570208,-7.081807,0.244200,-7.081807,7.081807,0.732601,0.209402,2.691087,0
0.027084,-179.894510,129.450552,95.375826,-14.336996,8.058608,-4.639805,-2.686203,-8.058608,5.128205,3.174603,-0.278999,2.710623,0
0.028125,-166.865938,65.309892,163.525278,-21.018315,8.547009,-1.709402,-5.616606,-7.570208,2.197802,6.105006,-0.278999,2.710623,0
0.029167,-152.501102,-29.564836,182.901103,2.366300,7.081807,1.221001,-7.570208,-6.105006,-1.221001,8.058608,-0.278999,2.730159,0
0.030208,-117.090113,-122.435168,175.217586,22.410256,4.639805,4.151404,-8.058608,-3.663004,-4.151404,8.058608,-0.278999,2.730159,0
0.031251,-37.582418,-171.876927,162.857146,19.626374,1.221001,7.081807,-7.570208,-0.732601,-6.593407,7.570208,-0.767399,2.720391,0
0.032292,63.973628,-184.905499,142.479124,-7.377289,-2.197802,8.058608,-5.616606,2.197802,-7.570208,5.616606,-0.278999,2.759463,0
0.033333,147.156047,-171.208795,92.703299,-26.864469,-4.639805,8.547009,-3.174603,5.128205,-7.570208,3.174603,-0.278999,2.700855,0
0.034376,176.219784,-160.184619,-0.167033,-3.479853,-7.570208,7.570208,0.244200,7.570208,-7.081807,-0.244200,-0.278999,2.700855,0
0.035418,179.894510,-130.786816,-98.382420,18.234432,-8.058608,5.128205,3.174603,8.058608,-4.639805,-2.686203,-0.278999,2.720391,0
0.036458,165.529674,-67.648353,-165.863740,23.245421,-7.570208,2.197802,6.105006,8.058608,-1.709402,-5.616606,0.209402,2.710623,0
0.037500,150.830773,27.560440,-185.239565,2.366300,-6.593407,-1.221001,8.058608,7.081807,1.709402,-7.570208,0.209402,2.720391,0
0.038542,114.417585,120.430772,-173.881323,-18.512821,-4.151404,-4.151404,8.058608,4.151404,4.639805,-8.058608,-0.278999,2.710623,0
0.039583,35.912089,170.206597,-165.529674,-12.666667,-1.221001,-6.593407,8.058608,0.732601,7.081807,-7.081807,-0.278999,2.759463,0
0.040625,-65.978023,183.235169,-144.817586,12.945055,2.686203,-7.570208,6.105006,-1.709402,8.547009,-5.128205,-0.767399,2.730159,0
0.041667,-149.494509,169.872531,-94.707694,27.978022,5.616606,-8.058608,3.174603,-4.639805,8.058608,-2.686203,-0.278999,2.710623,0
0.042708,-177.890114,158.514289,-2.505495,4.315018,7.570208,-7.081807,-0.244200,-7.081807,7.081807,0.732601,-0.278999,2.700855,0
0.043750,-181.564839,128.782420,96.378024,-13.780220,8.547009,-4.639805,-2.686203,-7.570208,5.128205,3.663004,-0.278999,2.710623,0
0.044792,-166.531872,64.975826,163.859344,-17.956044,8.547009,-1.709402,-6.105006,-8.058608,2.197802,6.105006,-0.278999,2.700855,0
0.045833,-152.501102,-29.564836,183.569235,0.974359,7.081807,1.221001,-7.570208,-6.593407,-1.221001,8.058608,-0.278999,2.710623,0
0.046876,-116.756047,-122.435168,175.217586,22.688645,4.151404,4.639805,-8.058608,-3.663004,-4.151404,8.058608,-0.278999,2.710623,0
0.047917,-37.582418,-170.874729,163.191212,16.007326,1.221001,7.081807,-7.570208,-0.732601,-6.593407,7.570208,-0.278999,2.710623,0
0.048962,64.975826,-185.239565,141.810992,-8.212454,-2.197802,8.058608,-5.616606,2.686203,-7.570208,6.105006,-0.278999,2.720391,0
0.050004,148.826377,-171.208795,90.698903,-24.080586,-4.639805,8.547009,-2.686203,5.616606,-8.058608,2.686203,-0.278999,2.700855,0
0.051043,176.553850,-160.184619,-0.501099,-4.036630,-7.081807,7.570208,0.244200,7.570208,-6.593407,-0.244200,-0.767399,2.700855,0
0.052083,179.894510,-131.120882,-98.382420,18.791209,-7.570208,5.128205,3.174603,8.058608,-4.639805,-3.174603,-0.278999,2.749695,0
0.053125,164.861542,-66.646155,-165.863740,22.688645,-8.058608,2.197802,6.105006,8.058608,-1.709402,-5.616606,-0.278999,2.710623,0
0.054167,150.496707,28.228572,-185.239565,2.087912,-6.593407,-1.221001,8.058608,7.081807,1.709402,-7.570208,-0.278999,2.710623,0
0.055211,114.751651,121.432970,-177.221982,-19.626374,-3.663004,-4.639805,8.547009,4.151404,4.151404,-7.570208,0.209402,2.710623,0
0.056250,35.912089,170.206597,-165.195608,-12.388278,-0.732601,-6.593407,7.570208,1.221001,7.081807,-7.570208,-0.278999,2.710623,0
0.057291,-68.650551,183.235169,-144.817586,11.553114,2.197802,-8.058608,6.105006,-1.709402,8.058608,-5.128205,-0.278999,2.710623,0
0.058339,-151.164839,169.204399,-93.705497,28.534799,5.616606,-8.058608,3.663004,-5.128205,8.058608,-2.686203,-0.278999,2.691087,0
0.059377,-178.224180,157.846157,0.501099,8.212454,7.570208,-7.081807,0.244200,-6.593407,7.081807,1.221001,-0.278999,2.700855,0
0.060418,-181.564839,129.116486,95.709892,-12.666667,8.058608,-4.639805,-2.686203,-7.570208,5.128205,3.663004,-0.767399,2.798535,0
0.061458,-166.531872,64.975826,163.859344,-19.347985,8.547009,-1.709402,-5.616606,-7.570208,2.197802,6.593407,0.209402,2.720391,0
0.062502,-152.501102,-30.232968,183.569235,0.974359,7.081807,1.221001,-7.570208,-6.105006,-1.221001,8.058608,-0.278999,2.759463,0
0.063542,-116.421981,-123.437365,175.217586,23.802198,4.151404,4.151404,-8.058608,-3.663004,-4.151404,8.058608,-0.767399,2.710623,0
0.064584,-37.248352,-171.876927,163.191212,16.285714,1.221001,7.081807,-7.570208,-0.732601,-5.616606,7.570208,-0.278999,2.710623,0
0.065625,64.975826,-184.571433,142.145058,-7.934066,-1.709402,8.547009,-5.616606,2.197802,-7.570208,5.616606,-0.278999,2.720391,0
0.066667,147.490113,-170.874729,92.035167,-23.802198,-4.639805,8.058608,-3.174603,5.128205,-7.570208,2.686203,-0.278999,2.691087,0
0.067709,175.885718,-159.516487,0.167033,-4.593407,-7.081807,7.570208,0.244200,7.570208,-7.081807,-0.244200,-0.278999,2.700855,0
0.068750,179.226378,-131.120882,-99.050552,18.234432,-8.058608,5.128205,3.174603,8.058608,-4.639805,-3.174603,-0.767399,2.720391,0
0.069792,165.195608,-66.646155,-166.531872,22.410256,-8.058608,2.197802,6.105006,8.058608,-1.709402,-5.616606,-0.767399,2.759463,0
0.070835,150.496707,28.562638,-185.239565,2.087912,-6.593407,-0.732601,8.547009,7.081807,1.709402,-7.570208,-0.767399,2.720391,0
0.071875,114.751651,121.432970,-177.556048,-19.069597,-4.151404,-4.151404,8.547009,4.151404,4.639805,-7.570208,-0.278999,2.749695,0
0.072917,35.578023,170.206597,-164.861542,-15.450549,-0.732601,-6.593407,8.058608,1.221001,7.081807,-7.081807,-0.278999,2.710623,0
0.073958,-66.646155,183.235169,-144.149454,11.553114,2.197802,-8.058608,6.105006,-1.709402,8.058608,-5.128205,-0.278999,2.720391,0
0.075001,-150.162641,169.538465,-94.039563,27.421245,5.128205,-8.058608,3.174603,-4.639805,8.058608,-2.686203,-0.278999,2.691087,0
0.076042,-177.556048,158.180223,-1.837363,9.047619,7.570208,-6.593407,0.244200,-6.593407,7.081807,0.732601,0.209402,2.691087,0
0.077083,-182.232971,129.116486,96.378024,-14.615385,8.547009,-4.639805,-2.686203,-7.570208,5.128205,3.174603,-0.278999,2.710623,0
0.078125,-167.200004,65.309892,164.527476,-19.069597,8.058608,-1.709402,-5.616606,-7.570208,2.197802,6.593407,-0.278999,2.710623,0
0.079167,-151.832970,-30.901100,183.235169,1.252747,7.081807,1.221001,-7.570208,-6.105006,-1.221001,8.058608,-0.767399,2.720391,0
0.080209,-116.087915,-122.435168,174.549454,22.967033,4.151404,4.639805,-8.058608,-3.663004,-3.663004,8.058608,-0.767399,2.788767,0
0.081250,-37.248352,-172.210993,162.857146,16.564103,0.732601,7.081807,-7.570208,-0.732601,-6.593407,7.570208,-0.767399,2.730159,0
0.082292,64.975826,-184.905499,141.810992,-8.212454,-2.197802,8.547009,-5.616606,2.197802,-7.570208,5.616606,-0.278999,2.730159,0
0.083334,148.158245,-170.874729,92.035167,-23.802198,-5.128205,8.547009,-2.686203,5.128205,-7.570208,2.686203,-0.278999,2.691087,0
0.084375,176.219784,-160.184619,-0.835165,-3.201465,-7.081807,7.081807,0.244200,7.570208,-6.593407,-0.244200,-0.278999,2.700855,0
0.085417,179.560444,-130.452750,-99.050552,17.956044,-8.058608,5.128205,3.174603,8.058608,-4.639805,-3.174603,-0.278999,2.710623,0
0.086459,164.861542,-66.312089,-165.863740,22.410256,-8.058608,2.197802,6.105006,8.058608,-1.709402,-6.105006,-0.278999,2.700855,0
0.087500,150.162641,27.894506,-184.905499,1.809524,-6.593407,-0.732601,8.058608,7.081807,1.709402,-7.081807,0.209402,2.710623,0
0.088541,113.749453,121.432970,-177.890114,-19.069597,-4.151404,-4.151404,8.547009,4.151404,4.151404,-7.570208,-0.278999,2.710623,0
0.089583,34.909891,170.206597,-165.195608,-11.274725,-0.732601,-6.593407,7.570208,1.221001,7.081807,-7.081807,-0.767399,2.720391,0
0.090625,-66.980221,183.235169,-143.147256,12.666667,2.686203,-8.058608,6.105006,-1.709402,8.058608,-5.616606,-0.767399,2.730159,0
0.091667,-150.496707,169.538465,-93.371431,26.029304,5.616606,-8.058608,3.174603,-4.639805,8.058608,-2.197802,-0.767399,2.700855,0
0.092708,-177.890114,158.180223,-1.169231,7.098901,7.081807,-7.081807,0.244200,-7.081807,7.570208,0.732601,-0.278999,2.661783,0
0.093750,-181.230773,128.782420,97.046156,-14.615385,8.547009,-4.639805,-3.174603,-8.058608,5.128205,3.663004,-0.278999,2.710623,0
0.094792,-166.531872,63.973628,164.193410,-19.069597,8.058608,-1.709402,-5.616606,-7.570208,2.197802,6.105006,-0.278999,2.700855,0
0.095833,-152.167036,-30.567034,183.569235,2.087912,7.081807,1.709402,-7.570208,-6.593407,-1.221001,8.058608,-0.278999,2.710623,0
0.096875,-117.424178,-123.437365,175.217586,21.018315,4.151404,4.151404,-8.058608,-3.663004,-4.151404,8.058608,-0.278999,2.710623,0
0.097917,-36.914287,-173.881323,163.859344,15.450549,1.221001,7.081807,-7.570208,-0.732601,-6.593407,7.570208,-0.278999,2.710623,0
0.098959,65.309892,-184.905499,141.810992,-8.490842,-1.709402,8.058608,-5.616606,2.686203,-7.570208,5.616606,-0.278999,2.720391,0
0.100000,148.158245,-171.208795,91.032969,-23.802198,-4.639805,8.547009,-2.686203,5.128205,-7.570208,3.174603,-0.767399,2.700855,0
0.101042,176.219784,-159.850553,-0.835165,0.139194,-7.081807,7.570208,0.244200,7.570208,-6.593407,-0.244200,-0.767399,2.710623,0
0.102083,179.560444,-130.786816,-99.384618,19.069597,-8.058608,5.128205,3.174603,8.058608,-4.639805,-3.174603,-0.767399,2.808303,0
0.103126,165.195608,-65.643958,-166.197806,21.853480,-7.570208,2.197802,6.105006,8.058608,-1.709402,-5.616606,-0.278999,2.710623,0
0.104167,150.162641,29.564836,-185.907696,2.366300,-6.593407,-1.221001,8.058608,6.593407,1.709402,-7.570208,-0.278999,2.710623,0
0.105208,114.083519,122.101102,-177.221982,-19.904762,-4.151404,-3.663004,8.547009,4.151404,4.639805,-7.570208,-0.278999,2.710623,0
0.106250,35.243957,170.540663,-164.861542,-13.223443,-0.732601,-6.593407,8.058608,1.221001,7.081807,-7.081807,0.209402,2.710623,0
0.107292,-67.314287,183.235169,-144.149454,11.831502,2.686203,-8.058608,6.105006,-2.197802,8.058608,-5.616606,-0.278999,2.720391,0
0.108333,-151.164839,168.870333,-93.371431,28.534799,5.128205,-8.058608,3.174603,-4.639805,8.058608,-2.197802,-0.278999,2.691087,0
0.109375,-178.224180,157.846157,-0.835165,7.934066,7.570208,-7.081807,0.244200,-7.081807,7.081807,0.732601,-1.255800,2.710623,0
0.110417,-181.564839,129.450552,96.043958,-13.501832,8.547009,-4.639805,-3.174603,-7.570208,5.128205,3.174603,-0.767399,2.720391,0
0.111458,-166.865938,63.973628,163.859344,-19.069597,8.547009,-1.709402,-5.616606,-7.570208,2.197802,6.105006,-0.767399,2.730159,0
0.112500,-151.832970,-31.235166,183.569235,1.252747,7.081807,1.221001,-8.058608,-6.105006,-1.221001,8.058608,-0.278999,2.710623,0
