1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,-183.903301,130.786816,91.701101,-12.109890,8.547009,-4.639805,-2.686203,-7.570208,5.128205,3.174603,-0.278999,2.739927,0
0.001042,-167.200004,71.323079,164.193410,-20.461538,8.547009,-2.197802,-5.616606,-7.570208,2.686203,6.105006,-0.278999,2.720391,0
0.002083,-155.841762,-23.885715,183.235169,-0.139194,6.593407,1.221001,-7.570208,-6.593407,-0.732601,8.058608,-0.278999,2.720391,0
0.003126,-119.762640,-118.760442,177.221982,21.853480,4.639805,4.639805,-8.058608,-4.151404,-3.663004,8.058608,-0.278999,2.739927,0
0.004167,-42.259342,-171.876927,164.861542,17.956044,1.709402,7.081807,-7.570208,-0.244200,-6.593407,7.570208,-0.278999,2.710623,0
0.005209,59.630771,-186.241762,145.485718,-6.263736,-1.709402,8.058608,-5.616606,2.197802,-7.570208,5.616606,-0.278999,2.720391,0
0.006250,143.815388,-173.881323,96.378024,-23.245421,-4.639805,8.547009,-2.686203,5.128205,-7.570208,3.174603,-0.278999,2.700855,0
0.007292,175.551652,-161.854949,5.512088,-5.706960,-7.081807,7.570208,0.244200,7.081807,-6.593407,0.244200,-0.278999,2.700855,0
0.008333,182.232971,-131.454948,-93.705497,16.007326,-8.058608,5.128205,3.174603,8.058608,-4.639805,-3.174603,-0.278999,2.720391,0
0.009376,164.861542,-72.993408,-166.865938,24.637363,-7.570208,2.686203,6.105006,8.058608,-2.197802,-5.616606,-0.278999,2.710623,0
0.010417,153.837366,22.215385,-185.907696,3.479853,-6.593407,-0.732601,8.058608,7.081807,1.709402,-7.570208,-0.767399,2.798535,0
0.011458,117.758244,116.421981,-180.562641,-19.904762,-4.151404,-3.663004,8.547009,4.151404,4.151404,-7.570208,-0.278999,2.730159,0
