1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,161.186817,-4.175824,-218.312093,24.080586,-8.547009,6.105006,3.663004,9.035409,-5.128205,-3.663004,0.209402,4.068376,0
0.001042,117.090113,97.046156,-218.980225,2.644689,-8.547009,2.686203,6.593407,9.035409,-2.197802,-6.105006,0.209402,4.078144,0
0.002083,54.285715,175.885718,-191.920883,-12.945055,-7.081807,-0.244200,8.547009,7.570208,1.221001,-7.570208,0.209402,4.097680,0
0.003126,-30.567034,225.995609,-147.490113,-14.336996,-4.639805,-4.151404,9.035409,4.639805,4.639805,-8.547009,-0.278999,4.107448,0
0.004167,-130.118684,210.294510,-99.718684,11.553114,-1.709402,-6.593407,9.035409,2.197802,7.081807,-8.058608,-0.278999,4.097680,0
0.005208,-197.600004,175.885718,-29.564836,21.296703,2.197802,-8.547009,6.593407,-1.709402,8.547009,-6.105006,0.209402,4.185592,0
0.006250,-226.329675,130.118684,67.314287,11.553114,5.128205,-9.035409,5.128205,-5.128205,9.035409,-3.174603,0.209402,4.087912,0
0.007292,-203.613191,76.668134,157.178025,-10.717949,7.570208,-8.058608,0.732601,-7.570208,8.058608,0.244200,0.209402,4.107448,0
0.008333,-162.857146,1.837363,216.307697,-17.956044,9.035409,-5.128205,-2.686203,-8.547009,5.616606,3.663004,0.209402,4.078144,0
0.009375,-119.094508,-100.052749,216.975829,3.201465,9.035409,-2.197802,-5.616606,-8.547009,2.686203,6.105006,0.209402,4.087912,0
0.010417,-56.290111,-178.558246,189.582422,19.069597,7.570208,0.732601,-8.058608,-7.081807,-0.732601,8.547009,0.209402,4.097680,0
0.011459,27.894506,-229.670335,144.149454,19.069597,5.128205,4.639805,-9.035409,-4.151404,-4.151404,9.035409,0.209402,4.078144,0
0.012500,128.114289,-212.632972,96.378024,-3.479853,1.709402,7.081807,-8.058608,-1.221001,-6.593407,8.547009,0.209402,4.078144,0
0.013542,195.929675,-177.890114,28.562638,-15.172161,-1.709402,9.035409,-6.105006,2.197802,-8.058608,6.593407,-0.278999,4.087912,0
0.014584,223.991214,-132.457146,-69.986815,-5.985348,-5.128205,9.523810,-3.663004,5.616606,-8.547009,3.663004,-0.278999,4.107448,0
0.015625,201.274730,-79.006595,-159.850553,16.285714,-7.570208,8.547009,-0.244200,8.058608,-7.570208,0.732601,0.209402,4.224664,0
0.016667,160.518685,-3.507692,-218.646159,23.802198,-8.547009,5.616606,3.663004,9.035409,-5.128205,-3.174603,0.209402,4.068376,0
0.017709,116.756047,97.714288,-218.980225,2.087912,-8.547009,3.174603,6.593407,9.035409,-2.197802,-6.105006,0.209402,4.078144,0
0.018751,53.283518,176.553850,-191.920883,-12.945055,-7.081807,-0.244200,8.547009,7.570208,0.732601,-8.058608,0.209402,4.097680,0
0.019792,-30.901100,226.997807,-146.487915,-14.336996,-4.639805,-4.151404,9.523810,5.128205,5.128205,-8.547009,0.209402,4.087912,0
0.020834,-130.786816,209.960444,-99.384618,10.439560,-1.221001,-6.593407,9.035409,1.709402,7.081807,-8.058608,0.209402,4.087912,0
0.021875,-198.268136,174.883520,-29.898902,20.183150,2.197802,-8.058608,7.081807,-1.709402,8.547009,-6.105006,0.209402,4.097680,0
0.022917,-225.995609,129.450552,67.648353,12.109890,5.616606,-8.547009,4.151404,-5.128205,9.035409,-3.174603,-0.278999,4.097680,0
0.023958,-203.279125,76.334068,157.512091,-5.985348,8.058608,-8.058608,0.732601,-7.081807,8.058608,0.244200,0.209402,4.117216,0
0.025000,-162.857146,0.835165,216.975829,-18.512821,9.035409,-5.128205,-3.174603,-8.547009,6.105006,3.663004,0.209402,4.117216,0
0.026042,-118.760442,-100.386815,216.307697,3.758242,9.035409,-2.197802,-6.105006,-8.547009,2.686203,6.593407,0.209402,4.078144,0
0.027084,-55.287913,-179.226378,189.248356,19.347985,8.058608,0.732601,-8.058608,-7.081807,-0.732601,8.058608,0.209402,4.097680,0
0.028125,29.564836,-229.336269,143.481322,19.069597,5.128205,4.639805,-9.035409,-4.639805,-4.151404,9.035409,0.209402,4.087912,0
0.029167,128.782420,-212.298906,96.043958,-4.315018,1.709402,7.081807,-8.058608,-1.221001,-6.593407,8.547009,0.209402,4.078144,0
0.030208,195.261543,-177.221982,26.558242,-15.728938,-1.709402,9.035409,-6.593407,2.686203,-8.058608,6.105006,0.209402,4.087912,0
0.031251,223.323082,-132.791212,-70.989013,-5.706960,-5.128205,9.035409,-3.174603,5.616606,-8.547009,3.663004,0.209402,4.087912,0
0.032292,200.940664,-78.672529,-160.518685,14.893773,-7.570208,8.058608,0.244200,7.570208,-7.570208,0.244200,0.209402,4.107448,0
0.033334,160.184619,-2.839561,-218.980225,24.358974,-8.547009,5.616606,3.663004,9.035409,-5.128205,-3.174603,-0.278999,4.107448,0
0.034376,116.421981,98.382420,-218.980225,1.809524,-8.547009,2.686203,6.593407,9.035409,-2.197802,-6.105006,-1.744200,4.107448,0
0.035417,52.615386,177.221982,-191.920883,-12.945055,-7.570208,-0.732601,8.547009,7.570208,1.221001,-7.570208,0.209402,4.146520,0
0.036458,-32.237363,226.997807,-146.487915,-13.780220,-4.639805,-4.151404,9.523810,4.639805,4.639805,-8.547009,0.209402,4.087912,0
0.037500,-131.120882,210.294510,-98.382420,12.388278,-1.221001,-6.593407,8.547009,1.709402,7.081807,-8.058608,0.209402,4.087912,0
0.038542,-198.268136,175.217586,-28.562638,21.296703,2.197802,-8.058608,6.593407,-1.709402,8.547009,-6.105006,0.209402,4.087912,0
0.039584,-225.995609,129.450552,68.984617,11.274725,5.616606,-9.035409,3.663004,-5.128205,9.035409,-3.174603,0.697802,4.097680,0
