1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,170.206597,-87.692310,-119.428574,11.553114,-7.081807,0.244200,8.058608,7.570208,0.244200,-7.081807,-0.278999,2.114774,0
0.001042,164.527476,-3.507692,-147.824179,-3.479853,-5.128205,-2.686203,8.547009,5.616606,3.663004,-8.058608,-0.278999,2.124542,0
0.002083,137.468135,86.021980,-161.854949,-19.347985,-2.197802,-6.105006,8.547009,2.197802,6.593407,-7.570208,-0.278999,2.124542,0
0.003125,59.964837,132.457146,-171.876927,-5.150183,1.221001,-7.570208,7.570208,-0.732601,8.058608,-6.105006,-0.278999,2.124542,0
0.004167,-28.228572,153.169234,-162.857146,14.336996,4.639805,-8.547009,4.639805,-4.151404,8.547009,-3.174603,-0.278999,2.153846,0
0.005209,-104.061541,167.200004,-112.747255,17.120879,7.081807,-7.570208,1.221001,-6.593407,8.058608,-0.244200,-0.767399,2.124542,0
0.006250,-144.149454,167.534070,-29.898902,2.087912,8.547009,-5.616606,-2.197802,-8.058608,6.105006,2.686203,-0.278999,2.144078,0
0.007292,-159.516487,149.160443,61.301100,-17.399267,9.035409,-3.174603,-5.128205,-8.058608,3.174603,5.616606,-0.278999,2.114774,0
0.008333,-171.208795,86.021980,117.424178,-8.769231,8.058608,0.244200,-7.081807,-7.081807,0.244200,7.570208,-0.278999,2.114774,0
0.009376,-167.200004,2.171429,145.819783,8.490842,6.105006,3.663004,-8.058608,-5.128205,-3.174603,8.547009,0.209402,2.124542,0
0.010417,-139.138465,-88.026376,159.850553,22.688645,2.686203,6.593407,-8.058608,-2.197802,-6.105006,8.547009,-0.278999,2.124542,0
0.011459,-61.635166,-134.461541,169.872531,7.655678,-0.732601,8.058608,-6.593407,1.221001,-7.570208,6.593407,-0.278999,2.134310,0
0.012500,26.224176,-155.173630,160.184619,-10.717949,-3.663004,9.035409,-4.151404,4.639805,-8.058608,4.151404,-0.278999,2.134310,0
0.013542,102.725277,-169.204399,110.074728,-12.945055,-6.593407,8.058608,-0.732601,7.081807,-7.081807,1.221001,-0.767399,2.134310,0
0.014583,142.813190,-169.204399,27.894506,5.706960,-8.058608,6.593407,2.686203,8.547009,-5.616606,-1.709402,-0.767399,2.134310,0
0.015625,158.180223,-150.496707,-63.305496,18.512821,-8.547009,3.663004,5.616606,8.547009,-2.686203,-5.128205,0.209402,2.124542,0
0.016667,170.206597,-87.024178,-119.428574,12.945055,-7.570208,0.244200,7.570208,7.570208,0.244200,-7.081807,-0.278999,2.114774,0
0.017709,164.861542,-3.173626,-147.824179,-4.315018,-5.128205,-3.174603,9.035409,5.616606,3.663004,-8.058608,-0.767399,2.124542,0
0.018750,137.468135,86.690112,-162.189015,-19.347985,-2.197802,-6.105006,8.547009,2.197802,6.105006,-7.570208,-0.278999,2.124542,0
0.019792,59.630771,132.791212,-172.210993,-5.150183,1.221001,-8.058608,7.081807,-0.732601,8.058608,-6.593407,-0.278999,2.124542,0
