1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,181.898905,-93.705497,-155.507696,25.194139,-9.523810,6.105006,3.174603,9.035409,-6.105006,-3.663004,-0.278999,3.462759,0
0.001042,157.846157,-7.182418,-196.597807,15.172161,-9.523810,2.686203,7.081807,9.523810,-2.197802,-7.081807,-0.278999,3.492063,0
0.002083,128.448355,96.378024,-197.934070,-8.212454,-7.570208,-1.221001,9.035409,7.570208,1.221001,-8.547009,-0.278999,3.511600,0
0.003125,69.652749,177.556048,-173.547257,-23.802198,-5.128205,-4.639805,9.523810,5.128205,4.639805,-9.523810,0.209402,3.501832,0
0.004169,-29.898902,198.268136,-154.171432,-2.366300,-1.221001,-7.570208,9.035409,1.709402,7.570208,-8.547009,-0.278999,3.492063,0
0.005208,-126.109893,189.248356,-112.079123,19.904762,2.197802,-9.035409,7.081807,-2.197802,9.035409,-6.593407,0.209402,3.511600,0
0.006250,-193.925279,161.520883,-41.925276,25.750916,5.616606,-9.523810,4.151404,-5.616606,9.523810,-3.174603,-0.278999,3.501832,0
0.007292,-202.276928,138.470333,66.646155,1.531136,8.547009,-8.058608,0.244200,-8.058608,8.547009,0.244200,-0.278999,3.619048,0
0.008334,-183.903301,92.035167,152.835168,-21.575092,9.523810,-5.616606,-3.174603,-9.035409,6.105006,3.174603,-0.278999,3.511600,0
0.009375,-160.518685,5.512088,194.259345,-12.388278,9.523810,-2.197802,-6.593407,-9.035409,2.197802,7.081807,-1.255800,3.511600,0
0.010416,-131.120882,-98.382420,195.261543,11.553114,8.058608,0.732601,-9.035409,-8.058608,-1.221001,8.547009,-0.278999,3.511600,0
0.011458,-71.657144,-179.894510,170.874729,29.369963,5.128205,4.639805,-9.523810,-5.128205,-4.639805,9.523810,-0.278999,3.501832,0
0.012500,27.560440,-200.606598,151.832970,7.098901,1.221001,7.570208,-9.035409,-1.221001,-7.570208,8.547009,-0.278999,3.501832,0
0.013541,123.437365,-191.586817,110.074728,-14.058608,-2.197802,9.035409,-6.593407,2.197802,-9.035409,6.105006,-0.278999,3.501832,0
0.014583,190.918686,-163.191212,39.252748,-21.018315,-5.616606,9.523810,-3.663004,5.616606,-9.523810,3.663004,-0.278999,3.492063,0
0.015625,200.606598,-141.476926,-69.986815,3.479853,-8.058608,8.547009,-0.244200,8.058608,-8.058608,0.244200,-0.278999,3.501832,0
0.016667,181.230773,-93.705497,-156.175828,26.029304,-9.035409,6.105006,3.663004,9.035409,-5.128205,-3.174603,2.651404,3.511600,0
0.017708,158.180223,-7.516484,-197.265938,19.904762,-9.523810,2.197802,7.081807,9.035409,-2.686203,-6.593407,-0.767399,3.501832,0
0.018750,128.448355,96.043958,-197.600004,-7.377289,-8.058608,-1.221001,9.035409,7.570208,1.221001,-8.547009,-0.278999,3.531136,0
0.019792,68.984617,177.556048,-173.547257,-23.523810,-5.128205,-4.639805,10.012210,5.128205,4.639805,-9.523810,-0.278999,3.540904,0
0.020833,-29.564836,197.934070,-154.505498,-2.366300,-1.709402,-7.570208,9.035409,1.709402,7.570208,-8.547009,-0.278999,3.501832,0
0.021874,-125.775827,189.582422,-112.079123,19.904762,2.197802,-9.035409,6.593407,-2.197802,9.035409,-6.105006,-0.278999,3.511600,0
0.022916,-192.923081,161.520883,-41.591210,26.029304,5.616606,-9.523810,3.663004,-5.616606,9.523810,-3.174603,-0.278999,3.492063,0
0.023958,-203.279125,138.804399,67.648353,0.974359,8.058608,-8.547009,0.244200,-8.058608,8.058608,-0.244200,0.209402,3.492063,0
0.025000,-184.237367,90.698903,153.169234,-20.183150,9.035409,-5.616606,-3.174603,-9.035409,5.616606,3.663004,0.209402,3.501832,0
0.026041,-160.852751,5.178022,195.929675,-12.388278,9.523810,-2.197802,-6.593407,-9.035409,2.197802,7.081807,0.209402,3.501832,0
0.027083,-130.786816,-99.050552,195.261543,13.501832,8.058608,1.221001,-9.035409,-7.570208,-0.732601,9.035409,-0.278999,3.501832,0
0.028125,-71.657144,-179.894510,169.872531,33.545788,5.128205,4.639805,-9.523810,-4.639805,-4.639805,9.523810,-0.767399,3.511600,0
0.029166,27.226374,-200.606598,151.832970,7.377289,1.709402,7.570208,-8.547009,-1.221001,-7.570208,8.547009,-0.767399,3.511600,0
0.030208,123.437365,-191.920883,109.406596,-12.945055,-2.197802,9.035409,-7.081807,1.709402,-9.035409,6.593407,-0.278999,3.589744,0
0.031249,191.252752,-163.525278,38.584616,-23.245421,-5.616606,9.523810,-3.663004,5.128205,-9.523810,3.663004,-0.278999,3.492063,0
0.032292,200.606598,-140.474728,-69.986815,4.593407,-8.058608,8.547009,-0.244200,8.058608,-8.547009,-0.244200,-0.278999,3.492063,0
0.033333,182.232971,-93.371431,-155.841762,25.750916,-9.523810,6.105006,3.663004,9.035409,-5.616606,-3.663004,-0.278999,3.501832,0
0.034375,158.180223,-7.516484,-196.597807,16.842491,-9.523810,2.686203,6.593407,9.035409,-2.197802,-7.081807,-0.278999,3.492063,0
0.035416,128.448355,95.709892,-198.268136,-9.326007,-8.058608,-0.732601,9.035409,8.058608,1.221001,-8.547009,-0.278999,3.511600,0
0.036459,68.650551,177.556048,-173.881323,-23.523810,-5.128205,-4.639805,9.523810,5.128205,5.128205,-9.035409,-0.767399,3.511600,0
0.037499,-29.564836,197.934070,-154.839564,-1.531136,-1.709402,-7.570208,9.035409,1.709402,7.570208,-8.547009,-0.278999,3.511600,0
0.038541,-126.109893,189.582422,-112.079123,19.626374,2.197802,-9.035409,7.081807,-1.709402,9.035409,-6.593407,-0.767399,3.511600,0
0.039583,-192.923081,161.520883,-41.591210,26.029304,5.616606,-9.523810,4.151404,-5.616606,9.523810,-3.174603,-0.278999,3.531136,0
0.040625,-203.279125,138.804399,67.314287,-2.366300,8.547009,-8.547009,0.244200,-7.570208,8.547009,-0.244200,-0.278999,3.501832,0
0.041666,-183.903301,90.698903,153.503300,-20.183150,9.523810,-6.105006,-3.174603,-9.035409,5.616606,3.663004,-0.278999,3.501832,0
0.042708,-160.852751,5.512088,193.925279,-12.388278,9.523810,-2.197802,-6.593407,-9.035409,2.197802,8.547009,-0.278999,3.492063,0
0.043750,-131.454948,-98.382420,194.927477,12.945055,8.058608,1.221001,-8.547009,-7.570208,-1.221001,8.547009,-0.278999,3.511600,0
0.044792,-71.657144,-180.228575,170.874729,28.813187,5.128205,4.639805,-9.523810,-4.639805,-4.639805,9.523810,-0.278999,3.501832,0
0.045833,27.560440,-200.940664,151.498904,7.655678,1.709402,8.058608,-9.035409,-1.221001,-7.570208,8.547009,-0.278999,3.501832,0
0.046874,123.437365,-192.254949,109.406596,-14.336996,-2.197802,9.035409,-6.593407,2.197802,-8.547009,6.593407,-0.767399,3.531136,0
0.047916,190.918686,-163.859344,38.250550,-19.347985,-5.616606,9.523810,-3.663004,5.616606,-9.035409,3.174603,-0.278999,3.501832,0
0.048958,200.940664,-141.142860,-69.986815,4.871795,-7.570208,8.547009,-0.244200,8.058608,-8.058608,0.732601,-0.767399,3.511600,0
0.050000,181.898905,-93.371431,-156.175828,25.472527,-9.523810,5.616606,3.663004,9.035409,-5.616606,-3.663004,-0.278999,3.531136,0
0.051041,158.180223,-7.516484,-196.931873,16.285714,-9.523810,2.686203,7.081807,9.035409,-2.197802,-6.593407,-0.278999,3.492063,0
0.052083,128.114289,96.712090,-197.934070,-7.655678,-8.058608,-1.221001,9.035409,7.570208,1.221001,-8.547009,-0.278999,3.521368,0
0.053125,68.984617,177.890114,-173.547257,-24.080586,-5.128205,-4.151404,9.523810,5.128205,4.639805,-9.523810,0.209402,3.501832,0
0.054166,-27.560440,198.268136,-154.839564,-1.809524,-1.221001,-7.570208,9.035409,1.221001,7.570208,-8.547009,0.209402,3.501832,0
0.055208,-126.109893,189.916488,-112.079123,19.347985,2.197802,-8.547009,6.593407,-2.197802,9.035409,-6.105006,0.209402,3.511600,0
0.056250,-193.591213,161.186817,-40.923078,25.472527,6.105006,-9.523810,4.151404,-5.616606,9.523810,-3.174603,-0.278999,3.492063,0
