1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,-183.235169,167.868136,-64.307694,30.205128,4.639805,-9.523810,4.639805,-4.639805,9.523810,-4.151404,-0.278999,3.482295,0
0.001042,-200.272532,148.492311,37.916484,4.871795,7.570208,-9.035409,1.221001,-7.081807,9.035409,-0.732601,-0.278999,3.482295,0
0.002084,-190.250554,108.070332,130.452750,-16.285714,9.035409,-6.593407,-2.197802,-9.035409,6.593407,2.686203,-0.278999,3.492063,0
0.003125,-162.857146,34.575825,189.582422,-18.234432,10.012210,-3.663004,-5.616606,-9.523810,3.174603,6.105006,0.209402,3.472527,0
0.004167,-139.138465,-71.323079,200.606598,4.593407,8.547009,0.244200,-8.058608,-8.058608,0.244200,8.547009,-0.278999,3.482295,0
0.005208,-90.364837,-158.848355,178.558246,26.307692,6.105006,3.663004,-9.523810,-5.616606,-3.663004,9.035409,-0.278999,3.492063,0
0.006251,-2.171429,-198.268136,156.843960,15.728938,2.686203,7.081807,-9.035409,-2.197802,-7.081807,9.523810,-1.255800,3.501832,0
0.007292,101.723079,-194.927477,124.105497,-9.604396,-1.221001,9.035409,-7.570208,1.221001,-8.547009,7.570208,-0.767399,3.501832,0
0.008333,181.230773,-170.206597,61.969232,-25.750916,-4.639805,9.523810,-4.639805,4.639805,-9.035409,4.639805,-0.278999,3.492063,0
0.009375,198.268136,-150.830773,-39.586814,-2.087912,-8.058608,9.035409,-1.221001,7.570208,-8.547009,1.221001,-0.278999,3.511600,0
0.010417,187.578026,-110.074728,-133.793410,21.575092,-9.035409,6.593407,2.197802,9.035409,-6.593407,-2.197802,-0.767399,3.492063,0
0.011459,161.520883,-36.914287,-192.254949,23.245421,-9.523810,3.174603,6.105006,9.035409,-3.663004,-6.105006,-0.278999,3.472527,0
0.012500,136.800003,69.318683,-203.279125,-0.974359,-8.547009,0.244200,8.547009,8.058608,0.244200,-8.058608,-0.278999,3.482295,0
0.013542,87.024178,156.509894,-181.564839,-21.853480,-5.616606,-3.663004,9.523810,5.616606,3.663004,-9.035409,0.209402,3.482295,0
0.014584,0.167033,195.929675,-159.182421,-9.882784,-2.197802,-7.081807,9.523810,2.197802,7.570208,-9.035409,0.209402,3.482295,0
0.015625,-104.395607,193.591213,-127.446157,15.172161,1.221001,-8.547009,8.058608,-0.732601,8.547009,-7.081807,-0.278999,3.501832,0
0.016667,-183.235169,167.868136,-64.307694,30.205128,4.639805,-9.523810,4.639805,-4.151404,9.523810,-4.639805,-0.767399,3.492063,0
0.017708,-200.272532,148.492311,36.914287,6.542125,7.570208,-9.035409,1.709402,-7.081807,8.547009,-0.732601,-0.278999,3.482295,0
0.018751,-189.916488,107.736266,130.786816,-16.285714,9.035409,-6.593407,-2.197802,-8.547009,6.593407,2.686203,0.209402,3.501832,0
0.019792,-163.525278,35.243957,189.248356,-16.564103,9.523810,-3.663004,-6.105006,-9.523810,3.663004,6.105006,0.209402,3.472527,0
0.020833,-139.138465,-70.989013,200.272532,5.985348,8.547009,0.244200,-8.547009,-8.547009,0.244200,8.547009,-0.278999,3.482295,0
0.021876,-90.030771,-158.514289,178.558246,25.472527,6.105006,3.663004,-9.523810,-5.616606,-3.174603,9.035409,-0.278999,3.501832,0
0.022917,-2.505495,-197.934070,156.509894,14.893773,2.686203,7.081807,-9.523810,-2.197802,-6.593407,9.035409,-0.278999,3.482295,0
0.023958,101.054947,-196.263741,124.439563,-9.882784,-0.732601,9.035409,-7.570208,1.221001,-8.547009,7.570208,-0.278999,3.492063,0
0.025000,180.562641,-170.874729,61.635166,-24.637363,-4.639805,9.523810,-4.639805,4.639805,-9.523810,4.639805,-0.278999,3.472527,0
0.026042,198.268136,-151.164839,-39.586814,-1.252747,-7.570208,9.035409,-1.221001,7.570208,-8.547009,1.221001,-0.767399,3.501832,0
0.027084,187.912092,-110.408794,-133.125278,24.915751,-9.035409,6.593407,2.197802,9.035409,-6.593407,-2.197802,-0.767399,3.492063,0
0.028125,161.520883,-37.248352,-192.254949,23.802198,-9.523810,3.663004,6.105006,9.523810,-3.174603,-6.105006,-0.767399,3.482295,0
0.029167,137.134069,68.650551,-203.279125,-1.252747,-8.547009,-0.244200,9.035409,8.058608,0.244200,-8.058608,-0.278999,3.501832,0
0.030209,88.026376,156.509894,-181.230773,-25.194139,-5.616606,-3.174603,9.035409,5.616606,3.663004,-9.035409,-0.278999,3.492063,0
0.031250,0.835165,195.261543,-159.516487,-10.717949,-2.686203,-7.081807,9.523810,2.197802,7.081807,-9.035409,-0.278999,3.482295,0
0.032292,-103.727475,193.925279,-127.112091,15.172161,1.221001,-8.547009,7.570208,-1.221001,8.547009,-7.081807,-0.278999,3.492063,0
0.033333,-183.569235,168.202202,-64.641760,29.091575,4.639805,-9.523810,5.128205,-4.639805,9.523810,-4.151404,-0.278999,3.472527,0
0.034375,-200.606598,148.492311,37.248352,5.428571,7.570208,-9.035409,1.221001,-7.081807,8.547009,-0.732601,0.209402,3.472527,0
0.035417,-190.584620,108.070332,129.450552,-16.007326,9.035409,-6.593407,-2.686203,-9.035409,6.593407,2.686203,0.209402,3.492063,0
0.036458,-163.525278,35.243957,189.248356,-19.347985,10.012210,-3.663004,-6.105006,-9.035409,3.663004,6.593407,-0.767399,3.579976,0
0.037500,-139.472531,-71.991210,199.604400,5.150183,8.547009,0.244200,-8.547009,-8.058608,0.244200,8.058608,-0.767399,3.492063,0
0.038543,-90.030771,-158.514289,178.558246,26.864469,5.616606,3.663004,-9.523810,-5.616606,-3.174603,9.035409,-0.767399,3.492063,0
0.039583,-3.173626,-197.934070,156.843960,16.564103,2.686203,7.081807,-9.523810,-2.197802,-7.081807,9.035409,-0.767399,3.511600,0
0.040625,101.389013,-196.597807,124.773629,-9.882784,-1.221001,9.035409,-7.570208,1.221001,-8.547009,7.081807,-0.278999,3.492063,0
0.041667,180.228575,-170.540663,62.303298,-24.915751,-4.639805,9.523810,-4.639805,4.639805,-10.500611,4.639805,-0.278999,3.472527,0
0.042709,197.934070,-150.830773,-39.586814,0.695971,-7.570208,9.035409,-1.221001,7.570208,-8.547009,1.221001,0.209402,3.472527,0
0.043750,186.909894,-110.408794,-132.791212,20.739927,-9.035409,7.081807,2.686203,9.035409,-6.593407,-2.197802,-0.278999,3.492063,0
0.044793,161.186817,-37.248352,-192.254949,23.245421,-9.523810,3.663004,6.105006,9.523810,-3.174603,-6.105006,-0.278999,3.472527,0
0.045833,136.465937,68.316485,-203.279125,-0.139194,-8.547009,0.244200,8.547009,8.547009,0.244200,-8.058608,-0.767399,3.492063,0
0.046876,88.360442,155.173630,-182.232971,-20.461538,-5.616606,-3.174603,9.523810,6.105006,3.663004,-9.035409,-0.767399,3.501832,0
0.047917,1.503297,195.261543,-159.516487,-10.439560,-2.686203,-7.081807,9.523810,2.686203,7.081807,-9.035409,-0.278999,3.492063,0
0.048958,-103.059343,193.925279,-127.446157,14.615385,1.221001,-9.035409,7.570208,-0.732601,8.547009,-7.081807,-0.278999,3.521368,0
