1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,168.202202,-49.608792,-138.804399,7.934066,-6.593407,-1.221001,8.058608,6.593407,1.709402,-8.058608,-0.278999,2.124542,0
0.001041,156.509894,39.252748,-156.843960,-13.501832,-3.663004,-4.639805,9.035409,4.151404,5.128205,-8.058608,-0.278999,2.124542,0
0.002083,102.391211,108.070332,-168.870333,-12.109890,-0.244200,-7.081807,8.058608,0.732601,7.081807,-7.570208,-0.278999,2.124542,0
0.003125,18.540660,141.810992,-170.206597,5.150183,2.686203,-8.058608,6.105006,-2.197802,8.547009,-5.128205,-0.278999,2.144078,0
0.004167,-71.323079,161.520883,-145.819783,20.739927,6.105006,-8.547009,3.174603,-5.128205,8.547009,-2.197802,-0.278999,2.114774,0
0.005208,-125.775827,169.872531,-76.000002,14.615385,8.058608,-6.593407,-0.244200,-7.570208,7.081807,1.221001,-0.278999,2.114774,0
0.006250,-150.162641,162.523081,12.193407,-7.098901,9.035409,-4.639805,-3.663004,-8.058608,4.639805,4.151404,2.163004,2.124542,0
0.007291,-163.191212,126.109893,96.378024,-13.780220,8.547009,-1.709402,-6.105006,-8.058608,1.709402,6.593407,-0.767399,2.134310,0
0.008333,-169.538465,47.604397,137.134069,-3.758242,7.081807,1.709402,-8.058608,-6.593407,-1.221001,8.547009,-0.278999,2.153846,0
0.009374,-158.180223,-40.254946,154.839564,11.274725,4.151404,5.128205,-8.058608,-3.174603,-4.639805,9.035409,-0.767399,2.134310,0
0.010416,-104.395607,-109.406596,167.200004,15.450549,0.732601,7.570208,-7.570208,-0.244200,-7.081807,7.570208,-0.767399,2.124542,0
0.011458,-19.208792,-143.481322,168.536267,-1.252747,-2.197802,9.523810,-5.616606,2.686203,-8.547009,5.616606,-0.278999,2.144078,0
0.012500,69.652749,-162.857146,143.481322,-17.120879,-5.616606,9.035409,-3.663004,5.616606,-8.547009,2.686203,-0.767399,2.124542,0
