1-Time,2-VGERA,3-VGERB,4-VGERC,5-VN,6-IGERAN,7-IGERBN,8-IGERCN,9-IGERAT,10-IGERBT,11-IGERC,12-IN,13-IFD,14-FAULT 
0.000000,187.578026,-99.718684,-143.481322,7.934066,-8.547009,7.081807,3.174603,9.523810,-5.616606,-2.197802,0.697802,3.472527,0
0.001041,162.523081,-20.545055,-191.586817,-13.223443,-9.035409,3.663004,7.081807,10.012210,-2.197802,-6.105006,0.697802,3.472527,0
0.002083,136.465937,84.685716,-200.940664,-15.728938,-7.570208,0.244200,9.035409,8.547009,1.221001,-7.570208,1.186203,3.472527,0
0.003125,81.679123,169.204399,-175.217586,-5.985348,-5.128205,-3.663004,10.012210,5.616606,4.639805,-8.547009,0.697802,3.482295,0
0.004172,-14.531868,198.936268,-156.175828,15.172161,-1.221001,-6.593407,9.523810,2.686203,7.570208,-8.058608,0.697802,3.462759,0
0.005214,-116.421981,195.929675,-118.092310,7.934066,2.197802,-8.058608,8.058608,-1.221001,9.035409,-6.105006,1.186203,3.531136,0
0.006250,-186.909894,166.197806,-54.285715,1.531136,5.616606,-9.035409,4.639805,-4.639805,9.523810,-3.174603,0.697802,3.501832,0
0.007292,-198.602202,147.490113,53.951650,-15.172161,8.058608,-8.058608,1.221001,-7.081807,9.035409,0.244200,0.697802,3.462759,0
0.008334,-185.239565,101.054947,145.151652,-5.985348,9.523810,-5.616606,-2.197802,-9.035409,6.593407,3.663004,0.697802,3.472527,0
0.009375,-161.854949,21.547253,192.923081,14.893773,10.012210,-2.686203,-6.105006,-8.547009,3.174603,7.081807,0.697802,3.462759,0
0.010416,-134.795607,-83.349452,202.276928,18.234432,8.547009,1.221001,-8.058608,-7.570208,-0.244200,9.035409,0.697802,3.472527,0
0.011458,-79.674727,-168.202202,175.551652,8.490842,6.105006,4.639805,-9.035409,-4.639805,-4.151404,9.523810,0.697802,3.472527,0
0.012500,14.197803,-197.265938,157.178025,-13.501832,2.686203,8.058608,-8.547009,-1.221001,-6.593407,9.035409,0.697802,3.462759,0
0.013542,117.090113,-194.927477,120.430772,-6.263736,-1.221001,9.035409,-6.593407,2.197802,-8.058608,7.081807,1.674603,3.492063,0
0.014584,188.246158,-164.861542,54.285715,2.923077,-4.639805,10.012210,-4.151404,5.616606,-8.547009,4.639805,0.697802,3.462759,0
0.015625,200.272532,-146.487915,-52.949452,14.058608,-7.570208,9.035409,-0.244200,8.058608,-8.058608,0.732601,0.697802,3.462759,0
0.016667,186.575828,-99.050552,-144.149454,8.769231,-8.058608,6.593407,3.174603,9.523810,-5.616606,-2.686203,0.697802,3.521368,0
0.017708,162.857146,-19.208792,-191.586817,-12.945055,-9.035409,3.174603,7.081807,10.012210,-2.197802,-6.105006,0.697802,3.472527,0
0.018750,136.465937,85.019782,-201.274730,-16.285714,-7.570208,-0.244200,9.523810,8.547009,1.221001,-7.570208,0.697802,3.482295,0
